Produce Name,Price,Description,Image,Category,Options,Product URL
"
    Large Green Amethyst Ring in 925 Silver, Amethyst Three Stone Ring, Prasiolite Green Quartz Ring, Natural Semi Precious Stone Ring,
",7727,"NATURAL GREEN AMETHYST JEWELRY (FEBRUARY BIRTHSTONE)Product DescriptionAggregate Weight - 10.20 GMSMetal - 925 Sterling silver coated with nickel free rhodium.Note - Prasiolite (also known as green quartz, green amethyst or vermarine) is a green variety of quartz.Packaging - All items arrive in a safety box and are ready for gifting.Order and Delivery Details:1. Jewelry Items will be prepared within 3-5 business days.2. Worldwide orders accepted.3. Free shipping available for selected countries.4. For silver jewelry we take 3 days and for gold jewelry we take usually 1 week to get it prepared.5. For customized jewelry we take 1 week to get it ready.*Express shipping is also available.-Express Shipping Charges-$30-Delivery Time - 5-7 DaysReturn Policy:Custom jewelry cannot be returned or exchanged.You can easily return you item within 30 days of purchasePlease feel free to ask any questions.Connect with our social linksInstagram: https://www.instagram.com/artisansilverjewelFacebook: https://www.facebook.com/artisansilverjewelPinterest : https://in.pinterest.com/artisansilverjewel/_created/#etsy #artisansilverjewel #jewelry #bestseller #silverjewelry #goldjewelry #giftforher #bridesmaidgifts  #Personalizedgiftssales #Readytoshipsales #Gifttohersales #Jewelrysales",https://i.etsystatic.com/19771992/r/il/5dd174/2967162278/il_794xN.2967162278_pz69.jpg,Jewellery,"[['Select an option', '5 US', '5 1/4 US', '5 1/2 US', '5 3/4 US', '6 US', '6 1/4 US', '6 1/2 US', '6 3/4 US', '7 US', '7 1/4 US', '7 1/2 US', '7 3/4 US', '8 US', '8 1/4 US', '8 1/2 US', '8 3/4 US', '9 US', '9 1/4 US', '9 1/2 US', '9 3/4 US', '10 US', '10 1/4 US', '10 1/2 US', '10 3/4 US'], []]",https://www.etsy.com/in-en/listing/987922435/large-green-amethyst-ring-in-925-silver?click_key=b49fc9dc74a6c2c7d6f581a3279d326eb8313cc0%3A987922435&click_sum=6a4d5c57&ref=shop_home_feat_1&pro=1&frs=1
"
    14k Solid Gold Chevron Ring - V Shaped Ring - Yellow Gold Chevron Ring - Stacking Ring - V Shape Jewelry - Chevron Stackable Ring - Gifts
",2440,"This is a shining yellow gold thumb ring. This ring is a good stackable ring made in 14K solid yellow gold metal. This beautiful ring is created in V shape. It is such an appealing compliment to your hand, and truly shines off your look. Whether the most minor minimalist ring or a sensational ring, once you wear a Thumb Ring you'll love it! This ring is absolutely handmade to appreciate an best fit.Metal : 14K Yellow GoldShape : V Shape ringHandmade ItemVariations : This Ring is also available in 18K yellow gold, 22K yellow gold and .925 Sterling Silver.Order and Delivery Details:1. Jewelry Items will be prepared within 3-5 business days.2. Worldwide orders accepted.3. Free shipping available for selected countries.4. For silver jewelry we take 3 days and for gold jewelry we take usually 1 week to get it prepared.5. For customized jewelry we take 1 week to get it ready.*Express shipping is also available.-Express Shipping Charges-$30-Delivery Time - 5-7 DaysReturn Policy:Custom jewelry cannot be returned or exchanged.You can easily return you item within 30 days of purchasePlease feel free to ask any questions.Connect with our social linksInstagram: https://www.instagram.com/artisansilverjewelFacebook: https://www.facebook.com/artisansilverjewelPinterest : https://in.pinterest.com/artisansilverjewel/_created/ #MothersDayGifts #GiftForMom",https://i.etsystatic.com/19771992/r/il/8ecd4d/4086860721/il_794xN.4086860721_f8yy.jpg,Jewellery,"[['Select a material', '14K Rose Gold (₹ 22,367)', '14K Yellow Gold (₹ 22,367)', '18K Rose Gold (₹ 30,664)', '18K Yellow Gold (₹ 30,664)', '22K Yellow Gold (₹ 39,611)', '.925 Sterling Silver (₹ 2,440)'], ['Select an option', '000 US', '00 US', '0 US', '1/4 US', '1/2 US', '3/4 US', '1 US', '1 1/4 US', '1 1/2 US', '1 3/4 US', '2 US', '2 1/4 US', '2 1/2 US', '2 3/4 US', '3 US', '3 1/4 US', '3 1/2 US', '3 3/4 US', '4 US', '4 1/4 US', '4 1/2 US', '4 3/4 US', '5 US', '5 1/4 US', '5 1/2 US', '5 3/4 US', '6 US', '6 1/4 US', '6 1/2 US', '6 3/4 US', '7 US', '7 1/4 US', '7 1/2 US', '7 3/4 US', '8 US', '8 1/4 US', '8 1/2 US', '8 3/4 US', '9 US', '9 1/4 US', '9 1/2 US', '9 3/4 US', '10 US']]",https://www.etsy.com/in-en/listing/1175333953/14k-solid-gold-chevron-ring-v-shaped?click_key=66316cbbb8987e7701a3a91a4e9ed53a41d53af2%3A1175333953&click_sum=3f912845&ref=shop_home_feat_2&pro=1&frs=1
"
    18k White Gold Pear Cut Natural Diamond Ring for Her Engagement Wedding Jewelry 1/2 Carat Diamond G-H VVS2 Real Diamond
",272475,Natural white pear shaped diamond ring surrounded by white 1.2mm round diamonds set in 18k White Gold.Center Stone  - Natural DiamondShape - PearSize - 6.5mmx5mm (0.50ct)Color & Clarity - G-H/VVS2Side Stones - Natural DiamondsShape - RoundSize - 1.2 mmPackaging : All items arrive in a safety box and are ready for gifting.Order and Delivery Details:1. Jewelry Items will be prepared within 3-5 business days.2. Worldwide orders accepted.3. Free shipping available for selected countries.4. For silver jewelry we take 3 days and for gold jewelry we take usually 1 week to get it prepared.5. For customized jewelry we take 1 week to get it ready.*Express shipping is also available.-Express Shipping Charges-$30-Delivery Time - 5-7 DaysReturn Policy:Custom jewelry cannot be returned or exchanged.You can easily return you item within 30 days of purchasePlease feel free to ask any questions.Connect with our social linksInstagram: https://www.instagram.com/artisansilverjewelFacebook: https://www.facebook.com/artisansilverjewelPinterest : https://in.pinterest.com/artisansilverjewel/_created/#etsy #cybersale2021 #jewelry #bestseller #silverjewelry #goldjewelry #giftforher #bridesmaidgifts  #MothersDayGifts #GiftForMom,https://i.etsystatic.com/19771992/r/il/73bc26/4005356013/il_794xN.4005356013_mkfa.jpg,Jewellery,"[['Select an option', '000 US', '00 US', '0 US', '1/4 US', '1/2 US', '3/4 US', '1 US', '1 1/4 US', '1 1/2 US', '1 3/4 US', '2 US', '2 1/4 US', '2 1/2 US', '2 3/4 US', '3 US', '3 1/4 US', '3 1/2 US', '3 3/4 US', '4 US', '4 1/4 US', '4 1/2 US', '4 3/4 US', '5 US', '5 1/4 US', '5 1/2 US', '5 3/4 US', '6 US', '6 1/4 US', '6 1/2 US', '6 3/4 US', '7 US', '7 1/4 US', '7 1/2 US', '7 3/4 US', '8 US', '8 1/4 US', '8 1/2 US', '8 3/4 US', '9 US', '9 1/4 US', '9 1/2 US', '9 3/4 US', '10 US', '10 1/4 US', '10 1/2 US', '10 3/4 US', '11 US', '11 1/4 US', '11 1/2 US', '11 3/4 US', '12 US', '12 1/4 US', '12 1/2 US', '12 3/4 US', '13 US', '13 1/4 US', '13 1/2 US', '13 3/4 US', '14 US', '14 1/4 US', '14 1/2 US', '14 3/4 US', '15 US', '15 1/4 US', '15 1/2 US', '15 3/4 US', '16 US'], []]",https://www.etsy.com/in-en/listing/1233601146/18k-white-gold-pear-cut-natural-diamond?click_key=2b51f9306bc4953f8ff2a2294c2147f93bf6da85%3A1233601146&click_sum=93a7927c&ref=shop_home_feat_3&pro=1&frs=1
"
    Natural Diamond Polki Handmade Necklace Set, Real Polki Jewelry, Diamond Set, Sterling Silver 925, Bridal Necklace Diamond Uncut Polki
",58969,"Polki Diamond Uncut Bridal Necklace In Sterling Silver 925.Polki diamonds are, in truth, one of the most seasoned shapes of cut diamonds, starting in India long some time recently Western cutting strategies were seen there. They regularly hold their unique unpleasant shape and have an unfaceted, cleaned surface. In spite of the fact that they have remained in utilize in conventional Indian gems plans − basically designed for wedding pieces − Western creators like Jagger, who is based in London, and others have started to join these classic diamonds into their pieces.Stone - Polki DiamondMaterial - Sterling Silver 925#christmasgifts #Personalizedgiftssales #Readytoshipsales #Gifttohersales #Jewelrysales",https://i.etsystatic.com/19771992/r/il/a3678a/3317487678/il_794xN.3317487678_2ws2.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1081711277/natural-diamond-polki-handmade-necklace?click_key=efa09a1b8fd184c37abf3a9682e22d45c20f9aa5%3A1081711277&click_sum=0e2af143&ref=shop_home_feat_4&pro=1&frs=1
"
    Beautiful Green Emerald Ring, Emerald Diamond Ring in 14K Yellow Gold, Cocktail Ring, Best Gift for Wife, May Birthstone
",42945,Emerald Diamond Promise Ring in 14K Yellow Gold for Women.Metal : 14K Yellow GoldGemstone : Emerald DiamondsShape : OvalApprox. Weight : 2.31gmsPackaging : All items arrive in a safety box and are ready for gifting.Order and Delivery Details:1. Jewelry Items will be prepared within 3-5 business days.2. Worldwide orders accepted.3. Free shipping available for selected countries.4. For silver jewelry we take 3 days and for gold jewelry we take usually 1 week to get it prepared.5. For customized jewelry we take 1 week to get it ready.*Express shipping is also available.-Express Shipping Charges-$30-Delivery Time - 5-7 DaysReturn Policy:Custom jewelry cannot be returned or exchanged.You can easily return you item within 30 days of purchasePlease feel free to ask any questions.Connect with our social linksInstagram: https://www.instagram.com/artisansilverjewelFacebook: https://www.facebook.com/artisansilverjewelPinterest : https://in.pinterest.com/artisansilverjewel/_created/#etsy #artisansilverjewel #jewelry #bestseller #silverjewelry #goldjewelry #giftforher #bridesmaidgifts #Personalizedgiftssales #Readytoshipsales #Gifttohersales #Jewelrysales  #JaipurGems #IndianJewelry,https://i.etsystatic.com/19771992/r/il/8a4f2a/3850881603/il_794xN.3850881603_gkce.jpg,Jewellery,"[['Select an option', '4 US', '4 1/4 US', '4 1/2 US', '4 3/4 US', '5 US', '5 1/4 US', '5 1/2 US', '5 3/4 US', '6 US', '6 1/4 US', '6 1/2 US', '6 3/4 US', '7 US', '7 1/4 US', '7 1/2 US', '7 3/4 US', '8 US', '8 1/4 US', '8 1/2 US', '8 3/4 US', '9 US', '9 1/4 US', '9 1/2 US', '9 3/4 US', '10 US', '10 1/4 US', '10 1/2 US', '10 3/4 US', '11 US', '11 1/4 US', '11 1/2 US', '11 3/4 US', '12 US', '12 1/4 US', '12 1/2 US', '12 3/4 US'], []]",https://www.etsy.com/in-en/listing/1200052728/beautiful-green-emerald-ring-emerald?click_key=14ef43d06fa0fdb260ab9ba7aa07a92b9c394af2%3A1200052728&click_sum=b7e3ce51&ref=shop_home_feat_5&pro=1&frs=1
"
    Large Green Amethyst Ring in 925 Silver, Amethyst Three Stone Ring, Prasiolite Green Quartz Ring, Natural Semi Precious Stone Ring,
",7727,"NATURAL GREEN AMETHYST JEWELRY (FEBRUARY BIRTHSTONE)Product DescriptionAggregate Weight - 10.20 GMSMetal - 925 Sterling silver coated with nickel free rhodium.Note - Prasiolite (also known as green quartz, green amethyst or vermarine) is a green variety of quartz.Packaging - All items arrive in a safety box and are ready for gifting.Order and Delivery Details:1. Jewelry Items will be prepared within 3-5 business days.2. Worldwide orders accepted.3. Free shipping available for selected countries.4. For silver jewelry we take 3 days and for gold jewelry we take usually 1 week to get it prepared.5. For customized jewelry we take 1 week to get it ready.*Express shipping is also available.-Express Shipping Charges-$30-Delivery Time - 5-7 DaysReturn Policy:Custom jewelry cannot be returned or exchanged.You can easily return you item within 30 days of purchasePlease feel free to ask any questions.Connect with our social linksInstagram: https://www.instagram.com/artisansilverjewelFacebook: https://www.facebook.com/artisansilverjewelPinterest : https://in.pinterest.com/artisansilverjewel/_created/#etsy #artisansilverjewel #jewelry #bestseller #silverjewelry #goldjewelry #giftforher #bridesmaidgifts  #Personalizedgiftssales #Readytoshipsales #Gifttohersales #Jewelrysales",https://i.etsystatic.com/19771992/r/il/5dd174/2967162278/il_794xN.2967162278_pz69.jpg,Jewellery,"[['Select an option', '5 US', '5 1/4 US', '5 1/2 US', '5 3/4 US', '6 US', '6 1/4 US', '6 1/2 US', '6 3/4 US', '7 US', '7 1/4 US', '7 1/2 US', '7 3/4 US', '8 US', '8 1/4 US', '8 1/2 US', '8 3/4 US', '9 US', '9 1/4 US', '9 1/2 US', '9 3/4 US', '10 US', '10 1/4 US', '10 1/2 US', '10 3/4 US'], []]",https://www.etsy.com/in-en/listing/987922435/large-green-amethyst-ring-in-925-silver?click_key=b49fc9dc74a6c2c7d6f581a3279d326eb8313cc0%3A987922435&click_sum=6a4d5c57&ref=shop_home_feat_1&pro=1&frs=1
"
    14k Solid Gold Chevron Ring - V Shaped Ring - Yellow Gold Chevron Ring - Stacking Ring - V Shape Jewelry - Chevron Stackable Ring - Gifts
",2440,"This is a shining yellow gold thumb ring. This ring is a good stackable ring made in 14K solid yellow gold metal. This beautiful ring is created in V shape. It is such an appealing compliment to your hand, and truly shines off your look. Whether the most minor minimalist ring or a sensational ring, once you wear a Thumb Ring you'll love it! This ring is absolutely handmade to appreciate an best fit.Metal : 14K Yellow GoldShape : V Shape ringHandmade ItemVariations : This Ring is also available in 18K yellow gold, 22K yellow gold and .925 Sterling Silver.Order and Delivery Details:1. Jewelry Items will be prepared within 3-5 business days.2. Worldwide orders accepted.3. Free shipping available for selected countries.4. For silver jewelry we take 3 days and for gold jewelry we take usually 1 week to get it prepared.5. For customized jewelry we take 1 week to get it ready.*Express shipping is also available.-Express Shipping Charges-$30-Delivery Time - 5-7 DaysReturn Policy:Custom jewelry cannot be returned or exchanged.You can easily return you item within 30 days of purchasePlease feel free to ask any questions.Connect with our social linksInstagram: https://www.instagram.com/artisansilverjewelFacebook: https://www.facebook.com/artisansilverjewelPinterest : https://in.pinterest.com/artisansilverjewel/_created/ #MothersDayGifts #GiftForMom",https://i.etsystatic.com/19771992/r/il/8ecd4d/4086860721/il_794xN.4086860721_f8yy.jpg,Jewellery,"[['Select a material', '14K Rose Gold (₹ 22,367)', '14K Yellow Gold (₹ 22,367)', '18K Rose Gold (₹ 30,664)', '18K Yellow Gold (₹ 30,664)', '22K Yellow Gold (₹ 39,611)', '.925 Sterling Silver (₹ 2,440)'], ['Select an option', '000 US', '00 US', '0 US', '1/4 US', '1/2 US', '3/4 US', '1 US', '1 1/4 US', '1 1/2 US', '1 3/4 US', '2 US', '2 1/4 US', '2 1/2 US', '2 3/4 US', '3 US', '3 1/4 US', '3 1/2 US', '3 3/4 US', '4 US', '4 1/4 US', '4 1/2 US', '4 3/4 US', '5 US', '5 1/4 US', '5 1/2 US', '5 3/4 US', '6 US', '6 1/4 US', '6 1/2 US', '6 3/4 US', '7 US', '7 1/4 US', '7 1/2 US', '7 3/4 US', '8 US', '8 1/4 US', '8 1/2 US', '8 3/4 US', '9 US', '9 1/4 US', '9 1/2 US', '9 3/4 US', '10 US']]",https://www.etsy.com/in-en/listing/1175333953/14k-solid-gold-chevron-ring-v-shaped?click_key=0fa1df0ec13c8588d79e650b5424f9e486b6b4cc%3A1175333953&click_sum=cac7d64f&ref=shop_home_feat_2&pro=1&frs=1
"
    18k White Gold Pear Cut Natural Diamond Ring for Her Engagement Wedding Jewelry 1/2 Carat Diamond G-H VVS2 Real Diamond
",272475,Natural white pear shaped diamond ring surrounded by white 1.2mm round diamonds set in 18k White Gold.Center Stone  - Natural DiamondShape - PearSize - 6.5mmx5mm (0.50ct)Color & Clarity - G-H/VVS2Side Stones - Natural DiamondsShape - RoundSize - 1.2 mmPackaging : All items arrive in a safety box and are ready for gifting.Order and Delivery Details:1. Jewelry Items will be prepared within 3-5 business days.2. Worldwide orders accepted.3. Free shipping available for selected countries.4. For silver jewelry we take 3 days and for gold jewelry we take usually 1 week to get it prepared.5. For customized jewelry we take 1 week to get it ready.*Express shipping is also available.-Express Shipping Charges-$30-Delivery Time - 5-7 DaysReturn Policy:Custom jewelry cannot be returned or exchanged.You can easily return you item within 30 days of purchasePlease feel free to ask any questions.Connect with our social linksInstagram: https://www.instagram.com/artisansilverjewelFacebook: https://www.facebook.com/artisansilverjewelPinterest : https://in.pinterest.com/artisansilverjewel/_created/#etsy #cybersale2021 #jewelry #bestseller #silverjewelry #goldjewelry #giftforher #bridesmaidgifts  #MothersDayGifts #GiftForMom,https://i.etsystatic.com/19771992/r/il/73bc26/4005356013/il_794xN.4005356013_mkfa.jpg,Jewellery,"[['Select an option', '000 US', '00 US', '0 US', '1/4 US', '1/2 US', '3/4 US', '1 US', '1 1/4 US', '1 1/2 US', '1 3/4 US', '2 US', '2 1/4 US', '2 1/2 US', '2 3/4 US', '3 US', '3 1/4 US', '3 1/2 US', '3 3/4 US', '4 US', '4 1/4 US', '4 1/2 US', '4 3/4 US', '5 US', '5 1/4 US', '5 1/2 US', '5 3/4 US', '6 US', '6 1/4 US', '6 1/2 US', '6 3/4 US', '7 US', '7 1/4 US', '7 1/2 US', '7 3/4 US', '8 US', '8 1/4 US', '8 1/2 US', '8 3/4 US', '9 US', '9 1/4 US', '9 1/2 US', '9 3/4 US', '10 US', '10 1/4 US', '10 1/2 US', '10 3/4 US', '11 US', '11 1/4 US', '11 1/2 US', '11 3/4 US', '12 US', '12 1/4 US', '12 1/2 US', '12 3/4 US', '13 US', '13 1/4 US', '13 1/2 US', '13 3/4 US', '14 US', '14 1/4 US', '14 1/2 US', '14 3/4 US', '15 US', '15 1/4 US', '15 1/2 US', '15 3/4 US', '16 US'], []]",https://www.etsy.com/in-en/listing/1233601146/18k-white-gold-pear-cut-natural-diamond?click_key=e2c5dc4e68b162827054255137e6e9defe3337f7%3A1233601146&click_sum=6258768a&ref=shop_home_feat_3&pro=1&frs=1
"
    Natural Diamond Polki Handmade Necklace Set, Real Polki Jewelry, Diamond Set, Sterling Silver 925, Bridal Necklace Diamond Uncut Polki
",58969,"Polki Diamond Uncut Bridal Necklace In Sterling Silver 925.Polki diamonds are, in truth, one of the most seasoned shapes of cut diamonds, starting in India long some time recently Western cutting strategies were seen there. They regularly hold their unique unpleasant shape and have an unfaceted, cleaned surface. In spite of the fact that they have remained in utilize in conventional Indian gems plans − basically designed for wedding pieces − Western creators like Jagger, who is based in London, and others have started to join these classic diamonds into their pieces.Stone - Polki DiamondMaterial - Sterling Silver 925#christmasgifts #Personalizedgiftssales #Readytoshipsales #Gifttohersales #Jewelrysales",https://i.etsystatic.com/19771992/r/il/a3678a/3317487678/il_794xN.3317487678_2ws2.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1081711277/natural-diamond-polki-handmade-necklace?click_key=521c8073c23225cb3f45fe555715cf725a4f17f1%3A1081711277&click_sum=21a45e2a&ref=shop_home_feat_4&pro=1&frs=1
"
    Beautiful Green Emerald Ring, Emerald Diamond Ring in 14K Yellow Gold, Cocktail Ring, Best Gift for Wife, May Birthstone
",42945,Emerald Diamond Promise Ring in 14K Yellow Gold for Women.Metal : 14K Yellow GoldGemstone : Emerald DiamondsShape : OvalApprox. Weight : 2.31gmsPackaging : All items arrive in a safety box and are ready for gifting.Order and Delivery Details:1. Jewelry Items will be prepared within 3-5 business days.2. Worldwide orders accepted.3. Free shipping available for selected countries.4. For silver jewelry we take 3 days and for gold jewelry we take usually 1 week to get it prepared.5. For customized jewelry we take 1 week to get it ready.*Express shipping is also available.-Express Shipping Charges-$30-Delivery Time - 5-7 DaysReturn Policy:Custom jewelry cannot be returned or exchanged.You can easily return you item within 30 days of purchasePlease feel free to ask any questions.Connect with our social linksInstagram: https://www.instagram.com/artisansilverjewelFacebook: https://www.facebook.com/artisansilverjewelPinterest : https://in.pinterest.com/artisansilverjewel/_created/#etsy #artisansilverjewel #jewelry #bestseller #silverjewelry #goldjewelry #giftforher #bridesmaidgifts #Personalizedgiftssales #Readytoshipsales #Gifttohersales #Jewelrysales  #JaipurGems #IndianJewelry,https://i.etsystatic.com/19771992/r/il/8a4f2a/3850881603/il_794xN.3850881603_gkce.jpg,Jewellery,"[['Select an option', '4 US', '4 1/4 US', '4 1/2 US', '4 3/4 US', '5 US', '5 1/4 US', '5 1/2 US', '5 3/4 US', '6 US', '6 1/4 US', '6 1/2 US', '6 3/4 US', '7 US', '7 1/4 US', '7 1/2 US', '7 3/4 US', '8 US', '8 1/4 US', '8 1/2 US', '8 3/4 US', '9 US', '9 1/4 US', '9 1/2 US', '9 3/4 US', '10 US', '10 1/4 US', '10 1/2 US', '10 3/4 US', '11 US', '11 1/4 US', '11 1/2 US', '11 3/4 US', '12 US', '12 1/4 US', '12 1/2 US', '12 3/4 US'], []]",https://www.etsy.com/in-en/listing/1200052728/beautiful-green-emerald-ring-emerald?click_key=f10a3c976bf60b1f5e37b2bd03436d6a425870c4%3A1200052728&click_sum=78344348&ref=shop_home_feat_5&pro=1&frs=1
