Produce Name,Price,Description,Image,Category,Options,Product URL
"
    Fire Opalite Earring, Long Drop Earrings, 925 Silver Earrings, Dangling Earrings, Long Opalite Earrings, Gift for Her, Teardrop Earring, 
",2196,"Opalite Earring, Long Drop Earrings, 925 Silver Earrings, Dangling Earrings, Opalite Stone Earrings, Gift for Her, Teardrop Earring, On SaleMaterial: 925 Solid Sterling SilverGemstone: Opalite Stone Shape: TeardropStone Size: 6x50 mmWeight: 6.50 GMGenuine 925 Solid Silver Handmade Ring***Lowest Price Guaranteed***....................................................................................................................................................................................................................................................................................................................................................''Spring Trends''THIS ALL DESIGN IS CRATED BY ARTISANSILVERINDIA ITS ORIGINAL DESIGN NO OTHER SITE IS SELLING THIS!! One-Of-Kind Item !!!! Artisan jewelry !!!! Halloween !!!! Christmas Day !!!! Christmas Offer !!!! Etsy Cyber 2020!! Jaipur Silver 925!! Best Seller bridesmaid Gift !!!! personalized jewelry !!!!! Birth Stone Earring !! Boho Magic Silver Boho Magic Silver Jewellerypersonalized giftbest_friend_giftsA one-of-a-kind communityPeace of mindetsy-gift-guides/gift-guide-ready-to-shipgift guides gift guide ready to ship Jewelry & Accessoriesjewelry purpose ALL SIZES! Ring Sets! All Different Styles BohoIf you have any inquiries please do not hesitate to contact us.Thanks for visiting!For More Details Visit us:www.etsy.com/in-en/shop/ArtisansilverIndia?ref=seller-platform-mcnav",https://i.etsystatic.com/27765644/r/il/fce734/3564173016/il_794xN.3564173016_ezas.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1151450371/fire-opalite-earring-long-drop-earrings?click_key=e3913debb50ff253e9b6c2a3667e53115da39117%3A1151450371&click_sum=aa91c30f&ref=shop_home_feat_1&pro=1&frs=1
"
    Malachite Ring, Gemstone Ring, Daily Wear Ring, 925 Silver Ring, Green Malachite Ring, Ring For Women, Big Stone Ring, Malachite Jewelry
",2603,"Malachite Ring, Gemstone Ring, Daily Wear Ring, 925 Silver Ring, Green Malachite Ring, Ring For Women, Big Stone Ring, Malachite Jewelry.Material: 925 Solid Sterling SilverGemstone: MalachiteStone Shape: OvalStone Size: 10x30 mmWeight: 9.65 GMGenuine 925 Solid Silver Handmade Ring***Lowest Price Guaranteed***....................................................................................................................................................................................................................................................................................................................................................''Spring Trends''THIS ALL DESIGN IS CRATED BY ARTISANSILVERINDIA ITS ORIGINAL DESIGN NO OTHER SITE IS SELLING THIS!! One-Of-Kind Item !!!! Artisan jewelry !!!! Halloween !!!! Christmas Day !!!! Christmas Offer !!!! Etsy Cyber 2020!! Jaipur Silver 925!! Best Seller bridesmaid Gift !!!! personalized jewelry !!!!! Birth Stone Earring !! Boho Magic Silver Boho Magic Silver Jewellerypersonalized giftbest_friend_giftsA one-of-a-kind communityPeace of mindetsy-gift-guides/gift-guide-ready-to-shipgift guides gift guide ready to ship Jewelry & Accessoriesjewelry purpose ALL SIZES! Ring Sets! All Different Styles BohoIf you have any inquiries please do not hesitate to contact us.Thanks for visiting!For More Details Visit us:www.etsy.com/in-en/shop/ArtisansilverIndia?ref=seller-platform-mcnav",https://i.etsystatic.com/27765644/r/il/277664/3013990358/il_794xN.3013990358_mcty.jpg,Jewellery,"[['Select an option', '3 US', '3 1/2 US', '4 US', '4 1/2 US', '5 US', '5 1/2 US', '6 US', '6 1/2 US', '7 US', '7 1/2 US', '8 US', '8 1/2 US', '9 US', '9 1/2 US', '10 US', '10 1/2 US', '11 US', '11 1/2 US', '12 US', '12 1/2 US', '13 US', '13 1/2 US', '14 US', '14 1/2 US', '15 US'], []]",https://www.etsy.com/in-en/listing/1000932383/malachite-ring-gemstone-ring-daily-wear?click_key=c5106718c7cf329a808f7d26714a5756a2fc5291%3A1000932383&click_sum=0cc9989e&ref=shop_home_feat_2&pro=1&frs=1
"
    Blue Copper Turquoise Pendant, Gemstone Pendant, Blue Turquoise Pendant, 925 Silver Pendant, Anniversary Gift, Silver Chain Pendant, On Sale
",2155,"Blue Copper Turquoise Pendant, Gemstone Pendant, Blue Turquoise Pendant, 925 Silver Pendant, Anniversary Gift, Silver Chain Pendant, On Sale.Material: 925 Solid Sterling SilverStone: Blue Copper TurquoiseShape: OvalSize: 15x20 mmWeight:- 5.02 Gram ApproxPendant Length: 1.25 Inches ApproxPendant Width: 0.7 Inches ApproxChain Length: 18 inches LongGenuine 925 Solid Silver Handmade Ring***Lowest Price Guaranteed***....................................................................................................................................................................................................................................................................................................................................................''Spring Trends''THIS ALL DESIGN IS CRATED BY ARTISANSILVERINDIA ITS ORIGINAL DESIGN NO OTHER SITE IS SELLING THIS!! One-Of-Kind Item !!!! Artisan jewelry !!!! Halloween !!!! Christmas Day !!!! Christmas Offer !!!! Etsy Cyber 2020!! Jaipur Silver 925!! Best Seller bridesmaid Gift !!!! personalized jewelry !!!!! Birth Stone Earring !! Boho Magic Silver Boho Magic Silver Jewellerypersonalized giftbest_friend_giftsA one-of-a-kind communityPeace of mindetsy-gift-guides/gift-guide-ready-to-shipgift guides gift guide ready to ship Jewelry & Accessoriesjewelry purpose ALL SIZES! Ring Sets! All Different Styles BohoIf you have any inquiries please do not hesitate to contact us.Thanks for visiting!For More Details Visit us:www.etsy.com/in-en/shop/ArtisansilverIndia?ref=seller-platform-mcnav",https://i.etsystatic.com/27765644/r/il/151dfd/2978623461/il_794xN.2978623461_j9sq.jpg,Jewellery,"[['Select an option', 'Only Pendant (₹ 2,155)', 'Pendant With Chain (₹ 2,969)'], []]",https://www.etsy.com/in-en/listing/978112951/blue-copper-turquoise-pendant-gemstone?click_key=37d9626367c4e12b907ad884d8d9a800aa8e4f21%3A978112951&click_sum=c04337a6&ref=shop_home_feat_4&pro=1&frs=1
"
    Red Coral Ring, Gemstone Ring, Women Ring, 925 Silver Ring, Coral Gemstone Ring, Birthstone Ring, Long Cushion Ring, Dainty Ring, On Sale
",2318,"Red Coral Ring, Gemstone Ring, Women Ring, 925 Silver Ring, Coral Gemstone Ring, Birthstone Ring, Long Cushion Ring, Dainty Ring, On SaleMaterial: 925 Solid Sterling SilverGemstone: Red CoralStone Shape: CushionStone Size: 10x30 mmWeight: 8.00 GMGenuine 925 Solid Silver Handmade Ring***Lowest Price Guaranteed***....................................................................................................................................................................................................................................................................................................................................................''Spring Trends''THIS ALL DESIGN IS CRATED BY ARTISANSILVERINDIA ITS ORIGINAL DESIGN NO OTHER SITE IS SELLING THIS!! One-Of-Kind Item !!!! Artisan jewelry !!!! Halloween !!!! Christmas Day !!!! Christmas Offer !!!! Etsy Cyber 2020!! Jaipur Silver 925!! Best Seller bridesmaid Gift !!!! personalized jewelry !!!!! Birth Stone Earring !! Boho Magic Silver Boho Magic Silver Jewellerypersonalized giftbest_friend_giftsA one-of-a-kind communityPeace of mindetsy-gift-guides/gift-guide-ready-to-shipgift guides gift guide ready to ship Jewelry & Accessoriesjewelry purpose ALL SIZES! Ring Sets! All Different Styles BohoIf you have any inquiries please do not hesitate to contact us.Thanks for visiting!For More Details Visit us:www.etsy.com/in-en/shop/ArtisansilverIndia?ref=seller-platform-mcnav",https://i.etsystatic.com/27765644/r/il/27d746/3934217561/il_794xN.3934217561_edn8.jpg,Jewellery,"[['Select an option', '3 US', '3 1/2 US', '4 US', '4 1/2 US', '5 US', '5 1/2 US', '6 US', '6 1/2 US', '7 US', '7 1/2 US', '8 US', '8 1/2 US', '9 US', '9 1/2 US', '10 US', '10 1/2 US', '11 US', '11 1/2 US', '12 US', '12 1/2 US', '13 US', '13 1/2 US', '14 US', '14 1/2 US', '15 US'], []]",https://www.etsy.com/in-en/listing/1086816701/red-coral-ring-gemstone-ring-women-ring?click_key=1b034c2515a0f383717be0c68074bd8618a1e763%3A1086816701&click_sum=b7ce466f&ref=shop_home_feat_5&pro=1&frs=1
"
    Fire Opalite Earring, Long Drop Earrings, 925 Silver Earrings, Dangling Earrings, Long Opalite Earrings, Gift for Her, Teardrop Earring, 
",2196,"Opalite Earring, Long Drop Earrings, 925 Silver Earrings, Dangling Earrings, Opalite Stone Earrings, Gift for Her, Teardrop Earring, On SaleMaterial: 925 Solid Sterling SilverGemstone: Opalite Stone Shape: TeardropStone Size: 6x50 mmWeight: 6.50 GMGenuine 925 Solid Silver Handmade Ring***Lowest Price Guaranteed***....................................................................................................................................................................................................................................................................................................................................................''Spring Trends''THIS ALL DESIGN IS CRATED BY ARTISANSILVERINDIA ITS ORIGINAL DESIGN NO OTHER SITE IS SELLING THIS!! One-Of-Kind Item !!!! Artisan jewelry !!!! Halloween !!!! Christmas Day !!!! Christmas Offer !!!! Etsy Cyber 2020!! Jaipur Silver 925!! Best Seller bridesmaid Gift !!!! personalized jewelry !!!!! Birth Stone Earring !! Boho Magic Silver Boho Magic Silver Jewellerypersonalized giftbest_friend_giftsA one-of-a-kind communityPeace of mindetsy-gift-guides/gift-guide-ready-to-shipgift guides gift guide ready to ship Jewelry & Accessoriesjewelry purpose ALL SIZES! Ring Sets! All Different Styles BohoIf you have any inquiries please do not hesitate to contact us.Thanks for visiting!For More Details Visit us:www.etsy.com/in-en/shop/ArtisansilverIndia?ref=seller-platform-mcnav",https://i.etsystatic.com/27765644/r/il/fce734/3564173016/il_794xN.3564173016_ezas.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1151450371/fire-opalite-earring-long-drop-earrings?click_key=e3913debb50ff253e9b6c2a3667e53115da39117%3A1151450371&click_sum=aa91c30f&ref=shop_home_feat_1&pro=1&frs=1
"
    Malachite Ring, Gemstone Ring, Daily Wear Ring, 925 Silver Ring, Green Malachite Ring, Ring For Women, Big Stone Ring, Malachite Jewelry
",2603,"Malachite Ring, Gemstone Ring, Daily Wear Ring, 925 Silver Ring, Green Malachite Ring, Ring For Women, Big Stone Ring, Malachite Jewelry.Material: 925 Solid Sterling SilverGemstone: MalachiteStone Shape: OvalStone Size: 10x30 mmWeight: 9.65 GMGenuine 925 Solid Silver Handmade Ring***Lowest Price Guaranteed***....................................................................................................................................................................................................................................................................................................................................................''Spring Trends''THIS ALL DESIGN IS CRATED BY ARTISANSILVERINDIA ITS ORIGINAL DESIGN NO OTHER SITE IS SELLING THIS!! One-Of-Kind Item !!!! Artisan jewelry !!!! Halloween !!!! Christmas Day !!!! Christmas Offer !!!! Etsy Cyber 2020!! Jaipur Silver 925!! Best Seller bridesmaid Gift !!!! personalized jewelry !!!!! Birth Stone Earring !! Boho Magic Silver Boho Magic Silver Jewellerypersonalized giftbest_friend_giftsA one-of-a-kind communityPeace of mindetsy-gift-guides/gift-guide-ready-to-shipgift guides gift guide ready to ship Jewelry & Accessoriesjewelry purpose ALL SIZES! Ring Sets! All Different Styles BohoIf you have any inquiries please do not hesitate to contact us.Thanks for visiting!For More Details Visit us:www.etsy.com/in-en/shop/ArtisansilverIndia?ref=seller-platform-mcnav",https://i.etsystatic.com/27765644/r/il/277664/3013990358/il_794xN.3013990358_mcty.jpg,Jewellery,"[['Select an option', '3 US', '3 1/2 US', '4 US', '4 1/2 US', '5 US', '5 1/2 US', '6 US', '6 1/2 US', '7 US', '7 1/2 US', '8 US', '8 1/2 US', '9 US', '9 1/2 US', '10 US', '10 1/2 US', '11 US', '11 1/2 US', '12 US', '12 1/2 US', '13 US', '13 1/2 US', '14 US', '14 1/2 US', '15 US'], []]",https://www.etsy.com/in-en/listing/1000932383/malachite-ring-gemstone-ring-daily-wear?click_key=d8ce12797345d95aceb46a82b57e982820827d46%3A1000932383&click_sum=8f3cde48&ref=shop_home_feat_2&pro=1&frs=1
"
    Blue Copper Turquoise Pendant, Gemstone Pendant, Blue Turquoise Pendant, 925 Silver Pendant, Anniversary Gift, Silver Chain Pendant, On Sale
",2155,"Blue Copper Turquoise Pendant, Gemstone Pendant, Blue Turquoise Pendant, 925 Silver Pendant, Anniversary Gift, Silver Chain Pendant, On Sale.Material: 925 Solid Sterling SilverStone: Blue Copper TurquoiseShape: OvalSize: 15x20 mmWeight:- 5.02 Gram ApproxPendant Length: 1.25 Inches ApproxPendant Width: 0.7 Inches ApproxChain Length: 18 inches LongGenuine 925 Solid Silver Handmade Ring***Lowest Price Guaranteed***....................................................................................................................................................................................................................................................................................................................................................''Spring Trends''THIS ALL DESIGN IS CRATED BY ARTISANSILVERINDIA ITS ORIGINAL DESIGN NO OTHER SITE IS SELLING THIS!! One-Of-Kind Item !!!! Artisan jewelry !!!! Halloween !!!! Christmas Day !!!! Christmas Offer !!!! Etsy Cyber 2020!! Jaipur Silver 925!! Best Seller bridesmaid Gift !!!! personalized jewelry !!!!! Birth Stone Earring !! Boho Magic Silver Boho Magic Silver Jewellerypersonalized giftbest_friend_giftsA one-of-a-kind communityPeace of mindetsy-gift-guides/gift-guide-ready-to-shipgift guides gift guide ready to ship Jewelry & Accessoriesjewelry purpose ALL SIZES! Ring Sets! All Different Styles BohoIf you have any inquiries please do not hesitate to contact us.Thanks for visiting!For More Details Visit us:www.etsy.com/in-en/shop/ArtisansilverIndia?ref=seller-platform-mcnav",https://i.etsystatic.com/27765644/r/il/151dfd/2978623461/il_794xN.2978623461_j9sq.jpg,Jewellery,"[['Select an option', 'Only Pendant (₹ 2,155)', 'Pendant With Chain (₹ 2,969)'], []]",https://www.etsy.com/in-en/listing/978112951/blue-copper-turquoise-pendant-gemstone?click_key=6528917684c2deb196648ad76a8e3c9f194411fe%3A978112951&click_sum=71a85479&ref=shop_home_feat_4&pro=1&frs=1
"
    Red Coral Ring, Gemstone Ring, Women Ring, 925 Silver Ring, Coral Gemstone Ring, Birthstone Ring, Long Cushion Ring, Dainty Ring, On Sale
",2318,"Red Coral Ring, Gemstone Ring, Women Ring, 925 Silver Ring, Coral Gemstone Ring, Birthstone Ring, Long Cushion Ring, Dainty Ring, On SaleMaterial: 925 Solid Sterling SilverGemstone: Red CoralStone Shape: CushionStone Size: 10x30 mmWeight: 8.00 GMGenuine 925 Solid Silver Handmade Ring***Lowest Price Guaranteed***....................................................................................................................................................................................................................................................................................................................................................''Spring Trends''THIS ALL DESIGN IS CRATED BY ARTISANSILVERINDIA ITS ORIGINAL DESIGN NO OTHER SITE IS SELLING THIS!! One-Of-Kind Item !!!! Artisan jewelry !!!! Halloween !!!! Christmas Day !!!! Christmas Offer !!!! Etsy Cyber 2020!! Jaipur Silver 925!! Best Seller bridesmaid Gift !!!! personalized jewelry !!!!! Birth Stone Earring !! Boho Magic Silver Boho Magic Silver Jewellerypersonalized giftbest_friend_giftsA one-of-a-kind communityPeace of mindetsy-gift-guides/gift-guide-ready-to-shipgift guides gift guide ready to ship Jewelry & Accessoriesjewelry purpose ALL SIZES! Ring Sets! All Different Styles BohoIf you have any inquiries please do not hesitate to contact us.Thanks for visiting!For More Details Visit us:www.etsy.com/in-en/shop/ArtisansilverIndia?ref=seller-platform-mcnav",https://i.etsystatic.com/27765644/r/il/27d746/3934217561/il_794xN.3934217561_edn8.jpg,Jewellery,"[['Select an option', '3 US', '3 1/2 US', '4 US', '4 1/2 US', '5 US', '5 1/2 US', '6 US', '6 1/2 US', '7 US', '7 1/2 US', '8 US', '8 1/2 US', '9 US', '9 1/2 US', '10 US', '10 1/2 US', '11 US', '11 1/2 US', '12 US', '12 1/2 US', '13 US', '13 1/2 US', '14 US', '14 1/2 US', '15 US'], []]",https://www.etsy.com/in-en/listing/1086816701/red-coral-ring-gemstone-ring-women-ring?click_key=614ea1273a85c5ddb61d7a37727c9c38c99e65ea%3A1086816701&click_sum=14fdf43e&ref=shop_home_feat_5&pro=1&frs=1
"
    925 Silver Ring, Natural Lepidolite Ring, Gemstone Ring, Gift For Her, Oval Shape Ring, Everyday Ring, Silver Rings, Dainty Ring, Stone Ring
",1830,"925 Silver Ring, Natural Lepidolite Ring, Gemstone Ring, Gift For Her, Oval Shape Ring, Everyday Ring, Silver Rings, Dainty Ring, Stone Ring.Material: 925 Solid Sterling SilverGemstone: LepidoliteStone Shape: OvalStone Size: 10x14 mmWeight: 3.50 GMGenuine 925 Solid Silver Handmade Ring***Lowest Price Guaranteed***....................................................................................................................................................................................................................................................................................................................................................''Spring Trends''THIS ALL DESIGN IS CRATED BY ARTISANSILVERINDIA ITS ORIGINAL DESIGN NO OTHER SITE IS SELLING THIS!! One-Of-Kind Item !!!! Artisan jewelry !!!! Halloween !!!! Christmas Day !!!! Christmas Offer !!!! Etsy Cyber 2020!! Jaipur Silver 925!! Best Seller bridesmaid Gift !!!! personalized jewelry !!!!! Birth Stone Earring !! Boho Magic Silver Boho Magic Silver Jewellerypersonalized giftbest_friend_giftsA one-of-a-kind communityPeace of mindetsy-gift-guides/gift-guide-ready-to-shipgift guides gift guide ready to ship Jewelry & Accessoriesjewelry purpose ALL SIZES! Ring Sets! All Different Styles BohoIf you have any inquiries please do not hesitate to contact us.Thanks for visiting!For More Details Visit us:www.etsy.com/in-en/shop/ArtisansilverIndia?ref=seller-platform-mcnav",https://i.etsystatic.com/27765644/r/il/76a460/4093661225/il_794xN.4093661225_2m5f.jpg,Jewellery,"[['Select an option', '3 US', '3 1/2 US', '4 US', '4 1/2 US', '5 US', '5 1/2 US', '6 US', '6 1/2 US', '7 US', '7 1/2 US', '8 US', '8 1/2 US', '9 US', '9 1/2 US', '10 US', '10 1/2 US', '11 US', '11 1/2 US', '12 US', '12 1/2 US', '13 US', '13 1/2 US', '14 US', '14 1/2 US', '15 US'], []]",https://www.etsy.com/in-en/listing/1263172160/925-silver-ring-natural-lepidolite-ring?click_key=8df4c95d9ca93dea547bcf00159e594f80e0cdea%3A1263172160&click_sum=cbfa9650&ref=shop_home_active_1&pro=1&frs=1
"
    Natural Garnet Ring, Cut Stone Ring, Birthstone Ring, Handmade Ring,Tiny Silver Ring, Dainty Ring, 925 Silver Ring, Gift For Her, Prong Ring
",1952,"Natural Garnet Ring, Cut Stone Ring, Birthstone Ring, Handmade Ring,Tiny Silver Ring, Dainty Ring, 925 Silver Ring, Gift For Her, Prong Ring.Material: 925 Solid Sterling SilverGemstone: GarnetStone Shape: TrillionStone Size: 6x6 mmWeight: 2.50 GMGenuine 925 Solid Silver Handmade Ring***Lowest Price Guaranteed***....................................................................................................................................................................................................................................................................................................................................................''Spring Trends''THIS ALL DESIGN IS CRATED BY ARTISANSILVERINDIA ITS ORIGINAL DESIGN NO OTHER SITE IS SELLING THIS!! One-Of-Kind Item !!!! Artisan jewelry !!!! Halloween !!!! Christmas Day !!!! Christmas Offer !!!! Etsy Cyber 2020!! Jaipur Silver 925!! Best Seller bridesmaid Gift !!!! personalized jewelry !!!!! Birth Stone Earring !! Boho Magic Silver Boho Magic Silver Jewellerypersonalized giftbest_friend_giftsA one-of-a-kind communityPeace of mindetsy-gift-guides/gift-guide-ready-to-shipgift guides gift guide ready to ship Jewelry & Accessoriesjewelry purpose ALL SIZES! Ring Sets! All Different Styles BohoIf you have any inquiries please do not hesitate to contact us.Thanks for visiting!For More Details Visit us:www.etsy.com/in-en/shop/ArtisansilverIndia?ref=seller-platform-mcnav",https://i.etsystatic.com/27765644/r/il/c77529/4046039902/il_794xN.4046039902_fgg5.jpg,Jewellery,"[['Select an option', '3 US', '3 1/2 US', '4 US', '4 1/2 US', '5 US', '5 1/2 US', '6 US', '6 1/2 US', '7 US', '7 1/2 US', '8 US', '8 1/2 US', '9 US', '9 1/2 US', '10 US', '10 1/2 US', '11 US', '11 1/2 US', '12 US', '12 1/2 US', '13 US', '13 1/2 US', '14 US', '14 1/2 US', '15 US'], []]",https://www.etsy.com/in-en/listing/1277189135/natural-garnet-ring-cut-stone-ring?click_key=4a371c192b58b38df719d2a0aaec6087a3ce83ff%3A1277189135&click_sum=b2934a8b&ref=shop_home_active_2&pro=1&frs=1
