Produce Name,Price,Description,Image,Category,Options,Product URL
"
    18K Gold Plated Ring, Red Quartz Ring, Gorgeous Gemstone Ring, Pear Shape Ring, Modern Trendy Ring, Daily Wear Ring, Unique Gift For Her
",683,"18K Gold Plated Ring, Red Quartz Ring, Gorgeous Gemstone Ring, Pear Shape Ring, Modern Trendy Ring, Daily Wear Ring, Unique Gift For HerProduct DetailsItem Code: IAJBR-2372Gross Wt. 5.60 GmsStone Name: Red Hydro Quartz Stone Shape : PearStone Size : 12*16mmMetal: 18K Yellow Gold Plated Over BrassRing Sizes: Please choose from the drop-down menu. If you do not see your finger size, select custom and I'll make a ring just for you!Shipping Info:All my items are safely and nicely packaged and shipped in a beautiful plastic box with bubbles wrap. The package is sent via international registered airmail that takes 12-20 working days to arrive. You can upgrade the shipping to stranded express mail that takes 3-7 days to arrive.Return Policy:If for any reason you are not happy with your purchase you may return it within 14 days of your purchase. Please send me a convo and I will be happy to assist you with any question or concern.Important information:My customer service is available 7 days a week. Since we use natural gemstones, the stones may vary slightly in color, hue, and reflection. All of our brass gemstone jewelry is handmade in our studio in Jaipur, India.Connect with me and be the first to know about exclusive discounts and everything around my shop & me:➼ Facebook: https://www.facebook.com/Bhagatjewels➼ Instagram: https://instagram.com/bhagatjewels➼ Twitter: https://twitter.com/bhagat_jewels➼ Pinterest: https://www.pinterest.com/bhagatjewelsENTER MY SHOP ► http://www.etsy.com/in-en/shop/bhagatjewelsSHOP POLICY ► https://www.etsy.com/shop/bhagatjewels/policyThanks for stopping by. Have a wonderful day!",https://i.etsystatic.com/11955506/r/il/c3b5ef/3962804028/il_794xN.3962804028_a99q.jpg,Jewellery,"[['Select a material', 'Brass+Yellow Finish (₹ 683)', 'Brass+Rose Finish (₹ 683)', 'Brass+Rhodium Plated (₹ 683)', '925 Sterling Silver (₹ 1,268)'], ['Select an option', '4 US', '4 1/2 US', '5 US', '5 1/2 US', '6 US', '6 1/2 US', '7 US', '7 1/2 US', '8 US', '8 1/2 US', '9 US', '9 1/2 US', '10 US', '10 1/2 US', '11 US']]",https://www.etsy.com/in-en/listing/1256309243/18k-gold-plated-ring-red-quartz-ring?click_key=242cf0125c2e1a4a8c2ef56274b4005e029f363e%3A1256309243&click_sum=e818ea3b&ref=shop_home_active_1&pro=1
"
    Handmade Earrings, Blue Quartz Earrings, Gorgeous Earrings, Teardrop Earrings, Daily Wear Earrings, Simply Earrings
",1073,"Handmade Earrings, Blue Quartz Earrings, Gorgeous Earrings, Teardrop Earrings, Daily Wear Earrings, Simply EarringsProduct DetailsItem Code: IAJBE-2653Gross Wt. 9.50 GmsStone Name: Blue Hydro QuartzStone Shape : PearStone Size: 15*20mmMetal: Rhodium Plated Over BrassEarrings dimension: 2.60 X 1.80 CmsShipping Info:All my items are safely and nicely packaged and shipped in a beautiful plastic box with bubbles wrap. The package is sent via international registered air mail that takes 12-20 working days to arrive. You can upgrade the shipping to stranded express mail that takes 3-7 days to arrive.Return Policy:If for any reason you are not happy with your purchase you may return it within 14 days of you purchase. Please send me a convo and I will be happy to assist you with any question or concern.Important information:My customer service is available 7 days a week. Since we use natural gemstones, the stones may vary slightly in color, hue and reflection. All of our brass gemstone jewelry is handmade in our studio in the Jaipur, India.Connect with me and be the first to know about exclusive discounts and everything around my shop & me:? Facebook: https://www.facebook.com/Bhagatjewels? Instagram: https://instagram.com/bhagatjewels? Twitter: https://twitter.com/bhagat_jewels? Pinterest: https://www.pinterest.com/bhagatjewelsThanks for stopping by. Have a wonderful day!",https://i.etsystatic.com/11955506/r/il/9ca0f5/3939448970/il_794xN.3939448970_4e21.jpg,Jewellery,"[['Select a material', 'Brass+Yellow Gold (₹ 1,073)', 'Brass+Rose Gold (₹ 1,073)', 'Brass+Rhodium Plated (₹ 1,073)', '925 Sterling Silver (₹ 1,804)'], []]",https://www.etsy.com/in-en/listing/1250308969/handmade-earrings-blue-quartz-earrings?click_key=51e0b355cd253f747b3b28ff04f65010f719a73a%3A1250308969&click_sum=08148818&ref=shop_home_active_2&pro=1
"
    Natural Rainbow Moonstone And Black Onyx Designer Gemstone Earrings For Women Handcrafted In Rhodium Plated Over Brass
",2048,"Natural Rainbow Moonstone And Black Onyx Designer Gemstone Earrings For Women Handcrafted In Rhodium Plated Over BrassProduct DetailsItem Code: IAJBE-2677Gross Wt.: 15.00 GmsStone : Black Onyx, And Rainbow Moonstone Stone Shape : Fancy, Round Stone Size : 10*20mm, 6mmMetal: Rhodium Plated Over BrassEarrings dimension: 5.50 X 2.90 CmsNote :- This earrings you will receive may vary slightly in color from the images because these are natural gemstones and vary to each other every single time and it is not possible to get the same color what is showing in the images. Images are for reference to get an idea of the similar color you will get.Shipping Info:All my items are safely and nicely packaged and shipped in a beautiful plastic box with bubbles wrap. The package is sent via international registered air mail that takes 12-20 working days to arrive. You can upgrade the shipping to stranded express mail that takes 3-7 days to arrive.Return Policy:If for any reason you are not happy with your purchase you may return it within 14 days of you purchase. Please send me a convo and I will be happy to assist you with any question or concern.Important information:My customer service is available 7 days a week. Since we use natural gemstones, the stones may vary slightly in color, hue and reflection. All of our brass gemstone jewelry is handmade in our studio in the Jaipur, India.Connect with me and be the first to know about exclusive discounts and everything around my shop & me:? Facebook: https://www.facebook.com/Bhagatjewels? Instagram: https://instagram.com/bhagatjewels? Twitter: https://twitter.com/bhagat_jewels? Pinterest: https://www.pinterest.com/bhagatjewelsThanks for stopping by. Have a wonderful day!",https://i.etsystatic.com/11955506/r/il/235722/4054789339/il_794xN.4054789339_akiy.jpg,Jewellery,"[['Select a material', 'Brass (₹ 2,048)', '925 Sterling Silver (₹ 3,120)'], ['Select a finish', 'Yellow Gold Plated', 'Rose Gold Plated', 'Rhodium Plated']]",https://www.etsy.com/in-en/listing/1267366499/natural-rainbow-moonstone-and-black-onyx?click_key=63ae4252235e1a5890e019214670f8e45d226909%3A1267366499&click_sum=0ede1635&ref=shop_home_active_3&pro=1
"
    Rhodium Plated Earrings, Black Onyx Earrings, Gemstone Earrings, Every Occasion Earrings, White Pearl Earrings, Long Dangle Earrings For Her
",1853,"Rhodium Plated Earrings, Black Onyx Earrings, Gemstone Earrings, Every Occasion Earrings, White Pearl Earrings, Long Dangle Earrings For HerProduct DetailsItem Code: IAJBE-2676Gross Wt. 15.00 GmsStone Name:  Black Onyx, Mother Of PearlStone Shape: Marquise, Round Stone Size: 10*19MM, 9MM And 12MMMetal: Rhodium Plated Over BrassEarrings dimension: 6.50 X 1.40 CmsNote :- This earrings you will receive may vary slightly in color from the images because these are natural gemstones and vary to each other every single time and it is not possible to get the same color what is showing in the images. Images are for reference to get an idea of the similar color you will get.Shipping Info:All my items are safely and nicely packaged and shipped in a beautiful plastic box with bubbles wrap. The package is sent via international registered air mail that takes 12-20 working days to arrive. You can upgrade the shipping to stranded express mail that takes 3-7 days to arrive.Return Policy:If for any reason you are not happy with your purchase you may return it within 14 days of you purchase. Please send me a convo and I will be happy to assist you with any question or concern.Important information:My customer service is available 7 days a week. Since we use natural gemstones, the stones may vary slightly in color, hue and reflection. All of our brass gemstone jewelry is handmade in our studio in the Jaipur, India.Connect with me and be the first to know about exclusive discounts and everything around my shop & me:? Facebook: https://www.facebook.com/Bhagatjewels? Instagram: https://instagram.com/bhagatjewels? Twitter: https://twitter.com/bhagat_jewels? Pinterest: https://www.pinterest.com/bhagatjewelsENTER MY SHOP ? http://www.etsy.com/in-en/shop/bhagatjewelsSHOP POLICY ? https://www.etsy.com/shop/bhagatjewels/policyThanks for stopping by. Have a wonderful day!",https://i.etsystatic.com/11955506/r/il/3ade28/4054775001/il_794xN.4054775001_86z7.jpg,Jewellery,"[['Select a finish', 'Yellow Gold Plated', 'Rose Gold Plated', 'Rhodium Plated'], ['Select a material', 'Brass (₹ 1,853)', '925 Sterling Silver (₹ 3,364)']]",https://www.etsy.com/in-en/listing/1267361913/rhodium-plated-earrings-black-onyx?click_key=df0048f3b1efbdb6cc3890c9ab8f50a01c6595a4%3A1267361913&click_sum=57f86fd9&ref=shop_home_active_4&pro=1
"
    Designer Bracelet, Black Onyx Bracelet, Trendy Bracelet, Mother Of Pearl Earrings, Elegant Bracelet, Silver Brass Bracelet, Fashion Bracelet
",2340,"Designer Bracelet, Black Onyx Bracelet, Trendy Bracelet, Mother Of Pearl Earrings, Elegant Bracelet, Silver Brass Bracelet, Fashion BraceletProduct DetailsItem Code: IAJBC-1024Gross Wt. 17.30 GmsStone Name: Black Onyx And Mother Of Pearl Stone Shape: OvalStone Size: 10*14mmMetal: Rhodium Plated Over BrassBracelet Inner diameter : 7.50"" Inch - AdjustableNote:- These bracelets you will receive may vary slightly in color from the images because these are natural gemstones and vary to each other every single time and it is not possible to get the same color what is showing in the images. Images are for reference to get an idea of a similar color you will get.Shipping Info:All my items are safely and nicely packaged and shipped in a beautiful plastic box with bubbles wrap. The package is sent via international registered airmail that takes 12-20 working days to arrive. You can upgrade the shipping to stranded express mail that takes 3-7 days to arrive.Return Policy:If for any reason you are not happy with your purchase you may return it within 14 days of your purchase. Please send me a convo and I will be happy to assist you with any question or concern.Important information:My customer service is available 7 days a week. Since we use natural gemstones, the stones may vary slightly in color, hue, and reflection. All of our brass gemstone jewelry is handmade in our studio in Jaipur, India.Connect with me and be the first to know about exclusive discounts and everything around my shop & me:? Facebook: https://www.facebook.com/Bhagatjewels? Instagram: https://instagram.com/bhagatjewels? Twitter: https://twitter.com/bhagat_jewels? Pinterest: https://www.pinterest.com/bhagatjewelsENTER MY SHOP? http://www.etsy.com/in-en/shop/bhagatjewelsSHOP POLICY? https://www.etsy.com/shop/bhagatjewels/policyThanks for stopping by. Have a wonderful day!",https://i.etsystatic.com/11955506/r/il/fc9864/4007177348/il_794xN.4007177348_cki6.jpg,Weddings,"[['Select a finish', 'Yellow Gold Plated', 'Rose Gold Plated', 'Rhodium Plated'], []]",https://www.etsy.com/in-en/listing/1253365554/designer-bracelet-black-onyx-bracelet?click_key=fe2775c8609346dd3881f080c4e6a1e060a2ec66%3A1253365554&click_sum=27aad176&ref=shop_home_active_5&pro=1
"
    Yellow Aventurine Earrings, 18K Gold Plated Earrings, Lightweight Earrings, Pear Stone Earrings, Designer Earrings, Best Gift Ideas Jewelry
",780,"Yellow Aventurine Earrings, 18K Gold Plated Earrings, Lightweight Earrings, Pear Stone Earrings, Designer Earrings, Best Gift Ideas JewelryProduct DetailsItem Code: IAJBE-2555Gross Wt. 5.00 GmsStone Name: AventurineStone Size: 7*11mmMetal: 18k Yellow Gold Plated Over BrassEarrings dimension: 4.20 X 1.00 CmsShipping Info:All my items are safely and nicely packaged and shipped in a beautiful plastic box with bubbles wrap. The package is sent via international registered air mail that takes 12-20 working days to arrive. You can upgrade the shipping to stranded express mail that takes 3-7 days to arrive.Return Policy:If for any reason you are not happy with your purchase you may return it within 14 days of you purchase. Please send me a convo and I will be happy to assist you with any question or concern.Important information:My customer service is available 7 days a week. Since we use natural gemstones, the stones may vary slightly in color, hue and reflection. All of our brass gemstone jewelry is handmade in our studio in the Jaipur, India.Connect with me and be the first to know about exclusive discounts and everything around my shop & me:? Facebook: https://www.facebook.com/Bhagatjewels? Instagram: https://instagram.com/bhagatjewels? Twitter: https://twitter.com/bhagat_jewels? Pinterest: https://www.pinterest.com/bhagatjewelsENTER MY SHOP ? http://www.etsy.com/in-en/shop/bhagatjewelsSHOP POLICY ? https://www.etsy.com/shop/bhagatjewels/policyThanks for stopping by. Have a wonderful day!",https://i.etsystatic.com/11955506/r/il/d977a5/3785053120/il_794xN.3785053120_b9iw.jpg,Jewellery,"[['Select a finish', 'Yellow Gold Plated', 'Rose Gold Plated', 'Rhodium Plated'], []]",https://www.etsy.com/in-en/listing/1209139751/yellow-aventurine-earrings-18k-gold?click_key=db3c5ebf3ee67f521c8aaf17873ee4c28a78b355%3A1209139751&click_sum=5066acc7&ref=shop_home_active_6&pro=1
"
    Rhodium Plated Pink Monalisa Earrings, Artisan Handcrafted Earrings, White Moonstone Earrings, Double Gemstone Earrings, Dangle Earrings
",1560,"Rhodium Plated Pink Monalisa Earrings, Artisan Handcrafted Earrings, White Moonstone Earrings, Double Gemstone Earrings, Dangle EarringsProduct DetailsItem Code: IAJBE-2679Gross Wt. 12.20 GmsStone Name: Pink Monalisa And White Moonstone Stone Shape: Round, Oval Stone Size: 10*14mm, 10mm	Metal: Rhodium Plated Over BrassEarrings dimension: 5.20 X 1.30 Cms Note :- This earrings you will receive may vary slightly in color from the images because these are natural gemstones and vary to each other every single time and it is not possible to get the same color what is showing in the images. Images are for reference to get an idea of the similar color you will get.Shipping Info:All my items are safely and nicely packaged and shipped in a beautiful plastic box with bubbles wrap. The package is sent via international registered air mail that takes 12-20 working days to arrive. You can upgrade the shipping to stranded express mail that takes 3-7 days to arrive.Return Policy:If for any reason you are not happy with your purchase you may return it within 14 days of you purchase. Please send me a convo and I will be happy to assist you with any question or concern.Important information:My customer service is available 7 days a week. Since we use natural gemstones, the stones may vary slightly in color, hue and reflection. All of our brass gemstone jewelry is handmade in our studio in the Jaipur, India.Connect with me and be the first to know about exclusive discounts and everything around my shop & me:? Facebook: https://www.facebook.com/Bhagatjewels? Instagram: https://instagram.com/bhagatjewels? Twitter: https://twitter.com/bhagat_jewels? Pinterest: https://www.pinterest.com/bhagatjewelsThanks for stopping by. Have a wonderful day!",https://i.etsystatic.com/11955506/r/il/b06881/4054806871/il_794xN.4054806871_azvn.jpg,Jewellery,"[['Select a finish', 'Yellow Gold Plated', 'Rose Gold Plated', 'Rhodium Plated'], ['Select a material', 'Brass (₹ 1,560)', '925 Sterling Silver (₹ 2,340)']]",https://www.etsy.com/in-en/listing/1253362138/rhodium-plated-pink-monalisa-earrings?click_key=fb7f05b6f3214531f7f2656e2420614f95e0e93c%3A1253362138&click_sum=0d927c28&ref=shop_home_active_7&pro=1
"
    Handmade Ring, Natural Pink Agate Ring, Oval Gemstone Ring, Bypass Style Ring, Silver Stackable Ring, Unique Gift For Women
",585,"Handmade Ring, Natural Pink Agate Ring, Oval Gemstone Ring, Bypass Style Ring, Silver Stackable Ring, Unique Gift For WomenProduct DetailsItem Code: IAJBR-2385Gross Wt. 4.80 GmsStone Name: Pink Agate Stone Shape: OvalStone:  10*14mmMetal: Rhodium Plated Over BrassRing Sizes: Please choose from drop down menu. If you do not see your finger size, select custom and I'll make a ring just for you! Note :- This rings you will receive may vary slightly in color from the images because these are natural gemstones and vary to each other every single time and it is not possible to get the same color what is showing in the images. Images are for reference to get an idea of the similar color you will get.Shipping Info:All my items are safely and nicely packaged and shipped in a beautiful plastic box with bubbles wrap. It takes about 5-7 working days to make the rings.The package is sent via international registered air mail that takes 12-20 working days to arrive. You can upgrade the shipping to stranded express mail that takes 3-7 days to arrive.Return Policy: If for any reason you are not happy with your purchase you may return it within 14 days of you purchase. Please send me a convo and I will be happy to assist you with any question or concern.Important information:My customer service is available 7 days a week. Since we use natural gemstones, the stones may vary slightly in color, hue and reflection. All of our jewelry is handmade in our studio in the Jaipur, India.Custom Design Options:Looking to have a custom piece or set designed just for you ? Send us a message and we'll work with you to create a custom design.Care:This delicate jewel is carefully hand-crafted & requires special care to prolong it's perfection. Keep away from water and perfume and covered when not in use.Our pieces are delicate and we take no responsibility for careless wear or storage. Treat your jewellery with care and it will be around for you to enjoy for a long time! If you have any questions please don't hesitate to contact me, I'm here to help.",https://i.etsystatic.com/11955506/r/il/911aac/4007205616/il_794xN.4007205616_70aa.jpg,Jewellery,"[['Select a material', 'Brass+ Yellow Finish (₹ 585)', 'Brass+ Rose Finish (₹ 585)', 'Brass+Rhodium Plated (₹ 585)', '925 Sterling Silver (₹ 1,073)'], ['Select an option', '4 US', '4 1/2 US', '5 US', '5 1/2 US', '6 US', '6 1/2 US', '7 US', '7 1/2 US', '8 US', '8 1/2 US', '9 US', '9 1/2 US', '10 US', '10 1/2 US', '11 US']]",https://www.etsy.com/in-en/listing/1267376455/handmade-ring-natural-pink-agate-ring?click_key=14964d488d66d9a2316f9a62a97a13112d3d151c%3A1267376455&click_sum=ce842d6f&ref=shop_home_active_8&pro=1
"
    Blue Monalisa Round Shape Gemstone Earrings For Women Handcrafted In Rhodium Plated Over Brass
",1268,"Blue Monalisa Round Shape Gemstone Earrings For Women Handcrafted In Rhodium Plated Over BrassProduct DetailsItem Code: IAJBE-2678Gross Wt. 11.20 GmsStone Name: Blue MonalisaStone Shape : Round Stone Size: 11mmMetal: Rhodium Plated Over BrassEarrings dimension: 5.50 X 1.50 CmsNote :- This earrings you will receive may vary slightly in color from the images because these are natural gemstones and vary to each other every single time and it is not possible to get the same color what is showing in the images. Images are for reference to get an idea of the similar color you will get.Shipping Info:All my items are safely and nicely packaged and shipped in a beautiful plastic box with bubbles wrap. The package is sent via international registered air mail that takes 12-20 working days to arrive. You can upgrade the shipping to stranded express mail that takes 3-7 days to arrive.Return Policy:If for any reason you are not happy with your purchase you may return it within 14 days of you purchase. Please send me a convo and I will be happy to assist you with any question or concern.Important information:My customer service is available 7 days a week. Since we use natural gemstones, the stones may vary slightly in color, hue and reflection. All of our brass gemstone jewelry is handmade in our studio in the Jaipur, India.Connect with me and be the first to know about exclusive discounts and everything around my shop & me:➼ Facebook: https://www.facebook.com/Bhagatjewels➼ Instagram: https://instagram.com/bhagatjewels➼ Twitter: https://twitter.com/bhagat_jewels➼ Pinterest: https://www.pinterest.com/bhagatjewelsENTER MY SHOP ► http://www.etsy.com/in-en/shop/bhagatjewelsSHOP POLICY ► https://www.etsy.com/shop/bhagatjewels/policyThanks for stopping by. Have a wonderful day!",https://i.etsystatic.com/11955506/r/il/353461/4054700327/il_794xN.4054700327_h4fu.jpg,Jewellery,"[['Select a material', 'Brass (₹ 1,268)', '925 Sterling Silver (₹ 2,340)'], ['Select a finish', 'Yellow Gold Plated', 'Rose Gold Plated', 'Rhodium Plated']]",https://www.etsy.com/in-en/listing/1253339880/blue-monalisa-round-shape-gemstone?click_key=c34804c4294517727846adc7c7614c21f83c740a%3A1253339880&click_sum=15855e11&ref=shop_home_active_9&pro=1
"
    Natural Black Onyx Round Shape Gemstone Stackable Ring For Women Handmade In Brass With Rhodium Plated
",683,"Natural Black Onyx Round Shape Gemstone Stackable Ring For Women Handmade In Brass With Rhodium PlatedProduct DetailsItem Code: IAJBR-2384Gross Wt. 3.80GmsStone Name: Black OnyxStone Shape: Round Stone Size: 12mmMetal: Rhodium Plated Over BrassRing Sizes: Please choose from drop down menu. If you do not see your finger size, select custom and I'll make a ring just for you! Shipping Info:All my items are safely and nicely packaged and shipped in a beautiful plastic box with bubbles wrap. The package is sent via international registered air mail that takes 12-20 working days to arrive. You can upgrade the shipping to stranded express mail that takes 3-7 days to arrive.Return Policy:If for any reason you are not happy with your purchase you may return it within 14 days of you purchase. Please send me a convo and I will be happy to assist you with any question or concern.Important information:My customer service is available 7 days a week. Since we use natural gemstones, the stones may vary slightly in color, hue and reflection. All of our brass gemstone jewelry is handmade in our studio in the Jaipur, India.Connect with me and be the first to know about exclusive discounts and everything around my shop & me:? Facebook: https://www.facebook.com/Bhagatjewels? Instagram: https://instagram.com/bhagatjewels? Twitter: https://twitter.com/bhagat_jewels? Pinterest: https://www.pinterest.com/bhagatjewelsENTER MY SHOP ? http://www.etsy.com/in-en/shop/bhagatjewelsSHOP POLICY ? https://www.etsy.com/shop/bhagatjewels/policyThanks for stopping by. Have a wonderful day!",https://i.etsystatic.com/11955506/r/il/96c723/4007510742/il_794xN.4007510742_e6ss.jpg,Jewellery,"[['Select an option', '4 US', '4 1/2 US', '5 US', '5 1/2 US', '6 US', '6 1/2 US', '7 US', '7 1/2 US', '8 US', '8 1/2 US', '9 US', '9 1/2 US', '10 US', '10 1/2 US', '11 US'], ['Select a finish', 'Yellow Gold Plated', 'Rose Gold Plated', 'Rhodium Plated']]",https://www.etsy.com/in-en/listing/1267436019/natural-black-onyx-round-shape-gemstone?click_key=3c771af4da1b2deabbecc257987846c971b24d60%3A1267436019&click_sum=2cfc1d6c&ref=shop_home_active_10&pro=1
