Produce Name,Price,Description,Image,Category,Options,Product URL
"
    Yellow Citrine Emerald Shape  Natural Loose Gemstone PAIR 113.30 CT Certified
","
                    ₹ 10,157
            ","DimensionsCarat weight: 113.30DescriptionNatural Loose Gemstone Yellow Citrine Certified Emerald  Shape PAIR 113.30 CTCitrine shoves out the negativity from your mind. It possesses the inherent spiritual characteristics which induces positive energy and reduces depression in the life of wearer. It leads to psychic growth with enhanced clarity and self confidence. It is the gemstone to bring about success and prosperity.One who wears this stone starts performing better in the field of education, law, and studies. Anyone who has ailments related to Liver or diabetes and did not find much relief even after trying all the medications must wear this stone; they will surely find relief from their sufferings.Citrine (The Lucky Merchants Stone) ... Not only does Citrine's vibration bring wealth and prosperity, but it teaches us to understand how to attract it, encourages generosity and helps ensure we spend wisely. As Citrine is rare, heat treated Amethyst is often sold in its placeCitrine is a beautiful yellow-orange stone and is known for attracting wealth and abundance. ... If you are looking to bring more money into your life, using a citrine can be an easy way to help align yourself with wealth and abundance!DimensionsLength: 33 MMWidth: 22 MMDepth: 11 MMTREATMENT - NoneColour - As Shown in FigureOrigin - BrazilCertificate (Free) - Included With This Item (CGI)",https://i.etsystatic.com/23637330/r/il/4f7bec/2678078333/il_794xN.2678078333_ijhe.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/896986011/yellow-citrine-emerald-shape-natural?click_key=d175934379b62593554b8d79a13f8e7965f9253e%3A896986011&click_sum=56ab8066&ref=shop_home_feat_1&frs=1
"
    Padparadscha sapphire emerald cut 7.35 carats, 13.80x8.50x5.74 mm, natural sapphire calibrated and faceted
","
                    ₹ 5,688
            ",RODUCT DETAILS______________________Grab the SPOTLIGHT with this Exclusive & Emerald Natural Gemstone.GIFT your loved ones or Flaunt this beauty !!Specification:_________________Gemstone Name : Padparadscha Sapphire GemstoneStone Size :13.80 x 8.50 x 5.74 MM Approx BetweenStone Clarity : TransparentStone Quantity : 1Country Of Origin : Sri LankaStone Treatment : NoneGemstone ... The Secret Metaphysical and Healing Properties ...,https://i.etsystatic.com/23637330/r/il/33f94a/2941186561/il_794xN.2941186561_b5x4.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/954287590/padparadscha-sapphire-emerald-cut-735?click_key=85cc76d358849929118207571d0f47ec7ff8157a%3A954287590&click_sum=4f7f9ec6&ref=shop_home_feat_3&frs=1
"
    52 Cts Yellow Natural Sapphire BIG SIZE Loose Sapphire Round Cut  Certified Yellow Sapphire From Ceylon Sapphire Ring Sapphire Pendant
","
                    ₹ 13,001
            ","STONE INFORMATION• Variety/Species: Sapphire• Origin: Ceylon(Srilanka)• Carat Weight: 38 Carats• Quantity: 1pc(s)• Shape/Cutting Style: Round (Faceted)• Dimensions:--Length: 22 mm(Approx)--Width: 20mm(Approx)--Depth: 10.5mm(Approx)• Color: Yellow(as shown in pictures)• Calibrated: Yes• Treatment: None• Manufacture: India**We do not deal in synthetic sapphire or sapphire which is treated with any treatment method that is not accepted by the fine jewelry industry.The only kind of treatment our sapphires might be subjected to, where disclosed, is the standard heat treatment.*Please do let us know if you need matching pairs or lots. We will be delighted to conduct the search for you.",https://i.etsystatic.com/23637330/r/il/fff0ba/2842981515/il_794xN.2842981515_gzis.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/928802306/52-cts-yellow-natural-sapphire-big-size?click_key=1cc25638c03c467684fbf7d318897ca183c7f179%3A928802306&click_sum=d32fa3bf&ref=shop_home_feat_4&frs=1
"
    Cushion Shape Red Topaz Cut Gemstone Wholesale Healing Cut Red Topaz Gemstone Best For Jewelry making Low Price 42x32x20 mm 208.80 ct.
","
                    ₹ 7,313
            ",Cushion Shape Red Topaz Cut Gemstone Wholesale Healing Cut Red Topaz Gemstone Best For Jewelry making Low Price 42x32x20 mm 208.80 ct. Gemstone Type: TopazDimensions :- 42 x 32 x 20 mmShape :- CushionColor: RedTreatment - NoneOrigin - BrazilManufacture - IndiaCertificate (Free) - Yes(CGI),https://i.etsystatic.com/23637330/r/il/f83fc6/3224956365/il_794xN.3224956365_lpu5.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1044317803/cushion-shape-red-topaz-cut-gemstone?click_key=89d0f12c3d2f5e61934d8bb07846c069ee386f38%3A1044317803&click_sum=eb04f1bf&ref=shop_home_feat_5&frs=1
"
    Yellow Citrine Emerald Shape  Natural Loose Gemstone PAIR 113.30 CT Certified
","
                    ₹ 10,157
            ","DimensionsCarat weight: 113.30DescriptionNatural Loose Gemstone Yellow Citrine Certified Emerald  Shape PAIR 113.30 CTCitrine shoves out the negativity from your mind. It possesses the inherent spiritual characteristics which induces positive energy and reduces depression in the life of wearer. It leads to psychic growth with enhanced clarity and self confidence. It is the gemstone to bring about success and prosperity.One who wears this stone starts performing better in the field of education, law, and studies. Anyone who has ailments related to Liver or diabetes and did not find much relief even after trying all the medications must wear this stone; they will surely find relief from their sufferings.Citrine (The Lucky Merchants Stone) ... Not only does Citrine's vibration bring wealth and prosperity, but it teaches us to understand how to attract it, encourages generosity and helps ensure we spend wisely. As Citrine is rare, heat treated Amethyst is often sold in its placeCitrine is a beautiful yellow-orange stone and is known for attracting wealth and abundance. ... If you are looking to bring more money into your life, using a citrine can be an easy way to help align yourself with wealth and abundance!DimensionsLength: 33 MMWidth: 22 MMDepth: 11 MMTREATMENT - NoneColour - As Shown in FigureOrigin - BrazilCertificate (Free) - Included With This Item (CGI)",https://i.etsystatic.com/23637330/r/il/4f7bec/2678078333/il_794xN.2678078333_ijhe.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/896986011/yellow-citrine-emerald-shape-natural?click_key=d175934379b62593554b8d79a13f8e7965f9253e%3A896986011&click_sum=56ab8066&ref=shop_home_feat_1&frs=1
"
    Padparadscha sapphire emerald cut 7.35 carats, 13.80x8.50x5.74 mm, natural sapphire calibrated and faceted
","
                    ₹ 5,688
            ",RODUCT DETAILS______________________Grab the SPOTLIGHT with this Exclusive & Emerald Natural Gemstone.GIFT your loved ones or Flaunt this beauty !!Specification:_________________Gemstone Name : Padparadscha Sapphire GemstoneStone Size :13.80 x 8.50 x 5.74 MM Approx BetweenStone Clarity : TransparentStone Quantity : 1Country Of Origin : Sri LankaStone Treatment : NoneGemstone ... The Secret Metaphysical and Healing Properties ...,https://i.etsystatic.com/23637330/r/il/33f94a/2941186561/il_794xN.2941186561_b5x4.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/954287590/padparadscha-sapphire-emerald-cut-735?click_key=512c99dd1d043fda20967ebb76b32174cf4d77d2%3A954287590&click_sum=c0268e23&ref=shop_home_feat_3&frs=1
"
    52 Cts Yellow Natural Sapphire BIG SIZE Loose Sapphire Round Cut  Certified Yellow Sapphire From Ceylon Sapphire Ring Sapphire Pendant
","
                    ₹ 13,001
            ","STONE INFORMATION• Variety/Species: Sapphire• Origin: Ceylon(Srilanka)• Carat Weight: 38 Carats• Quantity: 1pc(s)• Shape/Cutting Style: Round (Faceted)• Dimensions:--Length: 22 mm(Approx)--Width: 20mm(Approx)--Depth: 10.5mm(Approx)• Color: Yellow(as shown in pictures)• Calibrated: Yes• Treatment: None• Manufacture: India**We do not deal in synthetic sapphire or sapphire which is treated with any treatment method that is not accepted by the fine jewelry industry.The only kind of treatment our sapphires might be subjected to, where disclosed, is the standard heat treatment.*Please do let us know if you need matching pairs or lots. We will be delighted to conduct the search for you.",https://i.etsystatic.com/23637330/r/il/fff0ba/2842981515/il_794xN.2842981515_gzis.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/928802306/52-cts-yellow-natural-sapphire-big-size?click_key=6d1ba185fabcd98b108f99d4781c162e032a135e%3A928802306&click_sum=40add6fb&ref=shop_home_feat_4&frs=1
"
    Cushion Shape Red Topaz Cut Gemstone Wholesale Healing Cut Red Topaz Gemstone Best For Jewelry making Low Price 42x32x20 mm 208.80 ct.
","
                    ₹ 7,313
            ",Cushion Shape Red Topaz Cut Gemstone Wholesale Healing Cut Red Topaz Gemstone Best For Jewelry making Low Price 42x32x20 mm 208.80 ct. Gemstone Type: TopazDimensions :- 42 x 32 x 20 mmShape :- CushionColor: RedTreatment - NoneOrigin - BrazilManufacture - IndiaCertificate (Free) - Yes(CGI),https://i.etsystatic.com/23637330/r/il/f83fc6/3224956365/il_794xN.3224956365_lpu5.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1044317803/cushion-shape-red-topaz-cut-gemstone?click_key=e5a7aa8d612a8102cea8b525c8f4b8ff9b8a9179%3A1044317803&click_sum=eb018168&ref=shop_home_feat_5&frs=1
"
    Natural Green Peridot, 10 Ct 1 piece, Round Faceted Cut, Earthly Mined Loose Gemstone, Flawless-VVS Clarity
","
                    ₹ 8,125
            ",PRODUCT ID :BPSTONE NAME : Natural PeridotSHAPE : RoundWEIGHT : 10 ctSIZE ( L x W x D ) : 12 mmQUANTITY : 1 piecesCOLOR : GreenCLARITY : VVSORIGIN : PakistanHARDNESS : 8LUSTER : ExcellentTREATMENT : None,https://i.etsystatic.com/23637330/r/il/cb95b0/4030115838/il_794xN.4030115838_pblt.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1259147484/natural-green-peridot-10-ct-1-piece?click_key=f06e35023a2d1f75bc13590c9e63ea0f04b56ff8%3A1259147484&click_sum=af16c255&ref=shop_home_active_1&frs=1
"
    12.90 Ct Heated 100% Natural Royal Blue Sapphire From Madagascar
","
                    ₹ 16,251
            ","HandmadeMaterialGem type: SapphireDimensionsCarat weight: 12.90DescriptionDescriptionRadiant Shape Natural Blue Sapphire Certified 10.20 Ct Gemstone Ring SizeBlue Sapphire is the gemstone of Saturn as per Vedic Astrology. It is one of the fastest acting gemstone and the impact is felt instantaneously. It can bless with wealth, good luck, opportunity, and promotion etc. It gives names, fame and a formidable reputation. In certain horoscope situations it removes negativity, unknown fears and complexes. A ring with a sapphire stone was believed to bring wisdom and compassion to its owner.DimensionsLength: 13 mmWidth: 10 mmDepth:8 mmTREATMENT -Non HeatingOrigin - Ceylon (Srilanka)Manufacture - India",https://i.etsystatic.com/23637330/r/il/9a3fb7/3964519413/il_794xN.3964519413_a4qi.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1230575860/1290-ct-heated-100-natural-royal-blue?click_key=adfa90314543ae045f9896721e4f94712548c401%3A1230575860&click_sum=25abd708&ref=shop_home_active_2&frs=1
