Produce Name,Price,Description,Image,Category,Options,Product URL
"
    RARE COLOMBIANITE, Cintamani Stone Crystal -Tektite, Metaphysical, Healing Crystals and Stones rare colombianite tektite for healing purpose
",1151,"Stone - natural rare colombianite, cintamani Tektite Crystal, wholesale beautiful colombianite tektite Crystal for healing purpose.Material natural colombianite, cintamani gemstone. Shape - roughQuantity - 1 pcs Convo us for bulk order. Thanks for visit our small businesses. ""WE ARE MANUFACTURERS AND WHOLESALER’’(We Make Customised Jewlery On Bulk Order) We Make All Kind Of ( Beads, Cabochon, and Faceted Stones) On Order Basis All Items Were Manufactured at Our Factory By Our Skilled Workers That Let Us To Keep Our Prices Down So We Can Sell Gemstones Beads And Jewelry In REASONABLE PRICE. Colombianite, also known as Piedra Rayo, is an ancient form of Obsidian (Black) glass that closely resembles a Tektite (Hence its Pseudotektie classification). Piedra Rayo translates to “Lightning Stone '' and is believed to have been the “Cintamani Stone” from sanskrit teachings and literature. It was estimated that these stones are around 30 million years old, which is extremely unique for any type of Obsidian. Most Colombianite forms in small ovals and spheres with irregular grooves along the outside that look nearly identical to the “hedgehog” makeup of Moldavite. Upon first glance, you may think that this is a solid, bold stone that is unable to be penetrated by light. However, shining a light through Colombianite will result in the black exterior being overwhelmed by a smoky or yellow transparent color that shines through. Pieces are generally sold by the gram due to their rarity and can usually range from a quarter-inch in size to up to a few inches. Local villagers and tribespeople make a living by hand mining these pieces. There are only a few known deposits in regions of Colombia coming out of the area of Cauca.",https://i.etsystatic.com/25517116/r/il/7999bc/3198156502/il_794xN.3198156502_la3g.jpg,Craft Supplies & Tools,"[['Select an option', '1 Stone 4+ Gram (₹ 1,151)', '1 Stone 5+ Gram (₹ 1,382)', '1 Stone 6+ Gram (₹ 1,689)', '1 Stone 7+ Gram (₹ 2,073)', '1 Stone 8+ Gram (₹ 2,457)', '1 Stone 9+ Gram (₹ 2,841)', '1 Stone 10+ Gram (₹ 3,225)'], []]",https://www.etsy.com/in-en/listing/1044555270/rare-colombianite-cintamani-stone?click_key=36608a4d5cc5918df010a7a6ed2c75f307725bf7%3A1044555270&click_sum=c90de602&ref=shop_home_feat_1&pro=1
"
    COLOMBIANITE BRACELET - Faceted beads, Cintamani Stone, Raw Crystal - Oval - Obsidian, Pseudotektite, Metaphysical, Rare Healing Crystal
",4761,"Stone = Natural Colombianite, Cintamani Tektite Crystal Handmade Jewellery, Wholesale Natural Colombianite Tektite Metaphysical healing crystal. Handmade item. Material natural Colombianite Tektite gemstone. Deliveres worldwide from Jaipur, RajasthanBracelet Length  = 7.5 inches. Quality  =  AAALocation :Colombia. Convo us for bulk order. Thanks for visit our small businesses. convo me for any stone or any custom lapidary art workbracelet length is 19 cm.beads width measurements are of middle beads, you will get accurate weight but slightly variable in beads widthMetaphysical propertiesColombianite is a sacred Stone of the Colombian Indians from the Muisca tribes. Natives call it ""Piedra Rayo,"" which means ""Lightning Stone."" It connects with the sacred and Divine origin. Colombian Healers use it for communication with the invisible. In cooperation with the Geology Department (University of Ljubljana) and Museum of Natural History, we performed an extensive comparison study between different types of Tektites. The conclusion was that it is a very old and exceptionally preserved Obsidian resembling Tektite (Pseudotektite).Interestingly, it has survived an incredible era of 30 million years (Obsidian is very unstable and rarely exceeds a few million years). It is a clear Natural, Highly Energetic Gem. Much rarer than Moldavite and Saffordite.According to some, this is Cintamani Stone from Sanskrit. The ancient writings mention the Stone as one of the four relics given from the sky to the people, to gain God's Mercy overall Life surrounding them. The Stone's power is supposed to bring Dharma among the people - in other words, the CENTER OF INFINITY. Because of its desirable age, some call it the Stone of Wisdom or ""Philosopher's Stone"", which has been sought by all alchemists since the beginning of time, but the Stone of Wisdom is impossible to find unless you seek it inside. The proper understanding of the Cintamani prophecy can help you turn from an empty external search to the infinite internal one. In reality, the Stone of Wisdom is built out of human Tears of Recognition. According to the Cintamani prophecy, the Energy will shift when the Stone raises Mercy, and the whole world will cry in recognition of its weaknesses.""WE ARE MANUFACTURERS AND WHOLESALER’’(We Make Customised Jewlery On Bulk Order) We Make All Kind Of ( Beads, Cabochon, and Faceted Stones) On Order Basis All Items Were Manufactured at Our Factory By Our Skilled Workers That Let Us To Keep Our Prices Down So We Can Sell Gemstones Beads And Jewelry In REASONABLE PRICES .",https://i.etsystatic.com/25517116/r/il/8a296e/3413868605/il_794xN.3413868605_f9k0.jpg,Weddings,"[['Select an option', '4-6mm. 7+ gram (₹ 4,761)', '5-7mm. 10+ gram (₹ 5,912)', '6-8mm. 12+ gram (₹ 7,141)', '7-9mm. 18 gram (₹ 9,291)', '8-10mm 18+ gram (₹ 9,676)', '8-11mm 19+ gram (₹ 10,290)', '9-11mm 22+ gram (₹ 11,058)', '10-13mm 28+ gram (₹ 12,901)'], []]",https://www.etsy.com/in-en/listing/1056496300/colombianite-bracelet-faceted-beads?click_key=8574f92e3669ecf33727c26c8a54c50162d9909e%3A1056496300&click_sum=6d284401&ref=shop_home_feat_2&pro=1&frs=1
"
    CARNELIAN HELLOWEEN PENDANT - Pendant Pendant - Natural Carnelian Helloween Pumpkin Silver Pendant, Gift Item, Wholesale Beautiful Jewellery
",691,"Stone = Natural Carnelian Crystal Helloween Pumpkin Silver Pendant, Handmade Work, Wholesale Beautiful Carnelian Gemstone for Healing purpose, gift item. Silver purity = 92.5%Handmade item. Deliveres worldwide from Rajasthan, India. Material natural carnelian gemstone. Convo us for bulk order. Thanks for visit our small businesses. Healing with Carnelian♥ Emotional warmth ♥ Sociability ♥ Creativity ♥ Individuality ♥ Memory ♥ Appreciation of nature ♥ Harmony ♥ Courage ♥ Happiness ♥ Self-esteem ♥ Rebirth ♥ Reincarnation ♥ Past life recallA stabilising stone, Carnelian restores vitality and motivation, and stimulates creativity.  It gives courage, promotes positive life choices, dispels apathy and motivates for success.  Carnelian is useful for overcoming abuse of any kind.  It helps in trusting yourself and your perceptions.  It overcomes negative conditioning and encourages steadfastness.  Carnelian improves analytic abilities and clarifies perception.  It sharpens concentration and dispels mental lethargy.  Protects against envy, rage and resentment.  Calms anger, banishes emotional negativity and replaces it with a love of life.  Carnelian boosts fertility and stimulates sexuality.Carnelian treats lower back problems, rheumatism, arthritis, neuralgia and depression.  It regulates the kidneys, and accelerates healing in bones and ligaments.  Improves vitamin and mineral absorption and ensures good blood supply to organs and tissues.""WE ARE MANUFACTURERS AND WHOLESALER’’(We Make Customised Jewlery On Bulk Order) We Make All Kind Of ( Beads, Cabochon, and Faceted Stones) On Order Basis All Items Were Manufactured at Our Factory By Our Skilled Workers That Let Us To Keep Our Prices Down So We Can Sell Gemstones Beads And Jewelry In REASONABLE PRICES .",https://i.etsystatic.com/25517116/r/il/5ba2f1/3400297402/il_794xN.3400297402_h858.jpg,Jewellery,"[['Select an option', '5+ gram (₹ 691)', '6+ gram (₹ 921)', '7+ gram (₹ 998)', '8+ gram (₹ 1,151)', '9+ gram (₹ 1,382)', '10+ gram (₹ 1,459)'], []]",https://www.etsy.com/in-en/listing/1082239812/carnelian-helloween-pendant-pendant?click_key=a91687583da697a29d0de9b20b64e94c1cb97e8e%3A1082239812&click_sum=6af0d93a&ref=shop_home_feat_3&pro=1
"
    HERKIMER Diamond Crystal - Terminated Raw Herkimer Diamond Crystal - Healing Crystal - Herkimer Diamond - Jewelry Making - Raw diamond
",323,"HARKIMER DIAMOND - Raw Harkimer Diamond Crystal - Healing Crystal - Terminated Herkimer Diamond - Jewelry Making - Raw diamond Crystal.Origin location :Mohawk River Valley, USA. convo me for any stone or custom lapidary work.Thanks for visit our small businesses.Metaphysical properties :HERKIMER DIAMOND:Properties : This stone helps with healing because of its brilliance and clarity. Believed to receive and magnify the influence of other stones and energy. Helps with research and study as this stone is believed to store knowledge.Healing effects : Wear this stone to help balance polarity such as work and home life.Personal effects : Boosts wearers creativity bringing rejuvenation and restoration in life.Color : TransparentMohs hardness : 7.5",https://i.etsystatic.com/25517116/r/il/bc4e30/3712161763/il_794xN.3712161763_cfmb.jpg,Craft Supplies & Tools,"[['Select an option', '1 pc. 0.5 gram. (₹ 323)', '1 pc. 1 gram. (₹ 565)', '1 pc. 1.5 gram. (₹ 887)', '1 pc. 2 gram. (₹ 1,130)', '1 pc. 2.5 gram. (₹ 1,371)'], []]",https://www.etsy.com/in-en/listing/1177910771/herkimer-diamond-crystal-terminated-raw?click_key=f6c9f80b25012107aab5477029d21c6ad447b54a%3A1177910771&click_sum=a856ac5d&ref=shop_home_feat_4&pro=1
"
    Amazing ~ Emerald ring - Size 7 US, Gold plated 92.5 Sterling silver - Natural Zambian Emerald ring - Wedding jewelry - Emerald jewelry
",4103,"Amazing ~ Emerald ring - Size 7 Us, Gold plated 92.5 Sterling silver - Natural Zambian Emerald ring - Wedding jewelry - Emerald jewelry.Rings size : 7 Us.Convo us for any stones lapidary works.Mataphyiscal properties : Emerald is known as the “stone of successful love”.  It brings loyalty and provides for domestic bliss.  It enhances unconditional love, unity and promotes friendship.  Keeps partnerships in balance and can signal unfaithfulness if it changes colour.  Emerald stimulates the heart chakra, having a healing effect on the emotions as well as the physical heart.  It ensures physical, emotional and mental equilibrium, bringing harmony to all areas of ones life.  Focusing intention and raising consciousness, it brings in positive actions, eliminating negativity and enhancing the ability to enjoy life to the fullest.Emerald enhances psychic abilities, opens clairvoyance, and stimulates the use of greater mental capacity.  It helps bring awareness of the unknown to conscious recognition, imparting reason and wisdom.  Emerald assists in inciting activity and focus in ones actions.  It strengthens memory and imparts clarity of thought.  It inspires a deep inner knowing, promoting truth and discernment.Emerald treats disorders of the heart, lungs, spine and muscular system.  It aids in recovery after infectious illness, helps sinuses and soothes the eyes, improving vision.  It has a detoxifying effect on the liver and alleviates diabetes and rheumatism.",https://i.etsystatic.com/25517116/r/il/9c991f/4050759426/il_794xN.4050759426_bxqu.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1278381607/amazing-emerald-ring-size-7-us-gold?click_key=e05fd360e946c3cf166be74d5f074dce599ef31c%3A1278381607&click_sum=125c9669&ref=shop_home_active_1&pro=1
"
    Beautiful ~ Emerald ring - Size 6.5 Us, Gold plated 92.5 Sterling silver - Natural Zambian Emerald ring - Wedding jewelry - Emerald jewelry
",2816,"Amazing ~ Emerald ring - Size 6.5 Us, Gold plated 92.5 Sterling silver - Natural Zambian Emerald ring - Wedding jewelry - Emerald jewelry.Rings size : 6.5 Us.Convo us for any stones lapidary works.Mataphyiscal properties : Emerald is known as the “stone of successful love”.  It brings loyalty and provides for domestic bliss.  It enhances unconditional love, unity and promotes friendship.  Keeps partnerships in balance and can signal unfaithfulness if it changes colour.  Emerald stimulates the heart chakra, having a healing effect on the emotions as well as the physical heart.  It ensures physical, emotional and mental equilibrium, bringing harmony to all areas of ones life.  Focusing intention and raising consciousness, it brings in positive actions, eliminating negativity and enhancing the ability to enjoy life to the fullest.Emerald enhances psychic abilities, opens clairvoyance, and stimulates the use of greater mental capacity.  It helps bring awareness of the unknown to conscious recognition, imparting reason and wisdom.  Emerald assists in inciting activity and focus in ones actions.  It strengthens memory and imparts clarity of thought.  It inspires a deep inner knowing, promoting truth and discernment.Emerald treats disorders of the heart, lungs, spine and muscular system.  It aids in recovery after infectious illness, helps sinuses and soothes the eyes, improving vision.  It has a detoxifying effect on the liver and alleviates diabetes and rheumatism.",https://i.etsystatic.com/25517116/r/il/572b9b/4098385979/il_794xN.4098385979_bii6.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1278377523/beautiful-emerald-ring-size-65-us-gold?click_key=37471f87cfcf7aac417189ab9e8ac4f07b3c5373%3A1278377523&click_sum=646592f0&ref=shop_home_active_2&pro=1
"
    Amazing ~ Emerald ring - Size 6.5 Us, Gold plated 92.5 Sterling silver - Natural Zambian Emerald ring - Wedding jewelry - Emerald jewelry
",2797,"Amazing ~ Emerald ring - Size 6.5 Us, Gold plated 92.5 Sterling silver - Natural Zambian Emerald ring - Wedding jewelry - Emerald jewelry.Rings size : 6.5 Us.Convo us for any stones lapidary works.Mataphyiscal properties : Emerald is known as the “stone of successful love”.  It brings loyalty and provides for domestic bliss.  It enhances unconditional love, unity and promotes friendship.  Keeps partnerships in balance and can signal unfaithfulness if it changes colour.  Emerald stimulates the heart chakra, having a healing effect on the emotions as well as the physical heart.  It ensures physical, emotional and mental equilibrium, bringing harmony to all areas of ones life.  Focusing intention and raising consciousness, it brings in positive actions, eliminating negativity and enhancing the ability to enjoy life to the fullest.Emerald enhances psychic abilities, opens clairvoyance, and stimulates the use of greater mental capacity.  It helps bring awareness of the unknown to conscious recognition, imparting reason and wisdom.  Emerald assists in inciting activity and focus in ones actions.  It strengthens memory and imparts clarity of thought.  It inspires a deep inner knowing, promoting truth and discernment.Emerald treats disorders of the heart, lungs, spine and muscular system.  It aids in recovery after infectious illness, helps sinuses and soothes the eyes, improving vision.  It has a detoxifying effect on the liver and alleviates diabetes and rheumatism.",https://i.etsystatic.com/25517116/r/il/c7f3c3/4050708044/il_794xN.4050708044_hedp.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1264358336/amazing-emerald-ring-size-65-us-gold?click_key=f497998ee7d4d52af72a8d09818d3171d8a8145a%3A1264358336&click_sum=34816762&ref=shop_home_active_3&pro=1
"
    Top High Quality ~ Tsavorite Garnet - Natural Tsavorite garnet Teardrop Briolette - Jewelry making - Rare Tsavorite garnet - Green garnet
",10107,"Top High Quality ~ Tsavorite Garnet - Natural Tsavorite garnet Teardrop Briolette - Jewelry making - Rare Tsavorite garnet - Green garnet.Beads length :9 inches.Weight :12.00 carat.Convo us for any stones lapidary works.Mataphyiscal properties :° Tsavorite is believed to heal the heart chakra, increasing zest and vitality and inducing feelings of charity and benevolence. ° Meditating with Tsavorite is believed to facilitate communication with higher spiritual realms and increases psychic awareness and intuition.",https://i.etsystatic.com/25517116/r/il/a3ec2a/4089656003/il_794xN.4089656003_q6na.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1276122683/top-high-quality-tsavorite-garnet?click_key=e86fdbf53e23be52d7db6b49f3c4602fd5ce01fd%3A1276122683&click_sum=42a1e4d5&ref=shop_home_active_4&pro=1&frs=1
"
    Beautiful Quality ~ Tourmaline Rose Cut Cabochon - Watermelon Tourmaline - Jewelry making - 20 pcs lot - Mataphyiscal Crystal
",5178,"Amazing Quality ~ Tourmaline Rose Cut Cabochon - Watermelon Tourmaline - Jewelry making - 20 pcs lot - Mataphyiscal Crystal.Convo us for any stones lapidary works.Mataphyiscal properties :Tourmaline aids in understanding oneself and others.  It promotes self-confidence and diminishes fear.  Tourmaline attracts inspiration, compassion, tolerance and prosperity.  It balances the right-left sides of the brain.  Helps treat paranoia, overcomes dyslexia and improves hand-eye coordination.  Tourmaline releases tension, making it helpful for spinal adjustments.  It balances male-female energy within the body.  Enhances energy and removes blockages.",https://i.etsystatic.com/25517116/r/il/37d224/4018952916/il_794xN.4018952916_i1er.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1256334836/beautiful-quality-tourmaline-rose-cut?click_key=8ac583024559724af74271c31d1c7aa89e70e5fc%3A1256334836&click_sum=1e621287&ref=shop_home_active_5&pro=1&frs=1
"
    High Quality ~ Tourmaline Rose Cut Cabochon - Watermelon Tourmaline - Jewelry making - 20 pcs lot - Mataphyiscal Crystal
",5602,"Amazing Quality ~ Tourmaline Rose Cut Cabochon - Watermelon Tourmaline - Jewelry making - 20 pcs lot - Mataphyiscal Crystal.Convo us for any stones lapidary works.Mataphyiscal properties :Tourmaline aids in understanding oneself and others.  It promotes self-confidence and diminishes fear.  Tourmaline attracts inspiration, compassion, tolerance and prosperity.  It balances the right-left sides of the brain.  Helps treat paranoia, overcomes dyslexia and improves hand-eye coordination.  Tourmaline releases tension, making it helpful for spinal adjustments.  It balances male-female energy within the body.  Enhances energy and removes blockages.",https://i.etsystatic.com/25517116/r/il/cc163c/4066597383/il_794xN.4066597383_h923.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1256332930/high-quality-tourmaline-rose-cut?click_key=fd2f7ed8f093e68bddf91ba3476b06b95abda948%3A1256332930&click_sum=db74b9b1&ref=shop_home_active_6&pro=1&frs=1
