Produce Name,Price,Description,Image,Category,Options,Product URL
"
    Strawberry Quartz Faceted Heart Shape Briolettes, 6mm Quartz Beads, Gemstone Beads, Jewelry making Gemstone 7 Inch Long Strand
",3129,"This Listing Is For Strawberry Quartz Faceted Heart Shape Briolettes, 6mm Quartz Beads, Gemstone Beads, Jewelry making Gemstone 7 Inch Long StrandGemstone: Strawberry QuartzGemstone Cut: Heart ShapeGemstone Size: 6mm ApproxStrand Weight: 43 CaratsStrand Length: 7 Inches ApproxPieces : 50 pcsGemstone Color: PinkSKU: GM 2649YOU CAN GET THEM CERTIFIED AT AN EXTRA COST OF $7.00(Measurements, number of pieces and weight are close to approximation.)I have made every attempt to portray the colors of the beads as accurately as possible. All photographs are taken in natural diffused daylight, without any enhancement of any sort. Colors do vary on different monitors; please keep this in mind when viewing the beads, gemstones or supplies. Also all pictures have been magnified to show details. Questions/ Comments are most welcome.Thanks for stopping by. Hope to see you again.",https://i.etsystatic.com/18231107/r/il/fcc01e/2039620323/il_794xN.2039620323_165j.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/718956208/strawberry-quartz-faceted-heart-shape?click_key=a44cd629dfe3f60c3ad29cc566d61b4ef2288f25%3A718956208&click_sum=5c55fb1d&ref=shop_home_feat_1&pro=1&frs=1
"
    Tiger Eye Hand Carved Stone, Oval Shape Carving Gemstone, Brown Color Tiger Eye, Earring and Pendant Set, 3 Pcs Lot, 12x16 - 20x28mm #AR9803
",2445,"This Listing Is For Tiger Eye Hand Carved Stone, Oval Shape Carving Gemstone, Brown Color Tiger Eye, Earring and Pendant Set, 3 Pcs Lot, 12x16 - 20x28mm #AR9803Gemstone: Tiger EyeShape : Oval Color: BrownSize : 12x16mm - 20x28mm ApproxPieces: 3 Pieces Lot Weight: 57.40 Carat ApproxSKU: AR9803(Measurements, number of pieces and weight are close to approximation.)I have made every attempt to portray the colors of the beads as accurately as possible. All photographs are taken in natural diffused daylight, without any enhancement of any sort. Colors do vary on different monitors; please keep this in mind when viewing the beads, gemstones or supplies. Also all pictures have been magnified to show details. Questions/ Comments are most welcome.Thanks for stopping by. Hope to see you again.",https://i.etsystatic.com/18231107/r/il/278955/2410540933/il_794xN.2410540933_ldey.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/810704518/tiger-eye-hand-carved-stone-oval-shape?click_key=cea7f54657099327c045640831f88da1f8f96c65%3A810704518&click_sum=91e58c2a&ref=shop_home_feat_2&pro=1&frs=1
"
    Natural Green Peridot Beads, Peridot Rondelles, Faceted Green Peridot Gemstone, August Birth Gemstone, 5mm - 7.5mm, 16"" Full Strand #PP9062
",3449,"This Listing Is For Natural Green Peridot Beads, Peridot Rondelles, Faceted Green Peridot Gemstone, August Birth Gemstone, 5mm - 7.5mm, 16"" Full Strand #PP9062Gemstone: PeridotGemstone Size: 5mm - 7.5mm ApproxStrand Length: 16 inches ApproxWeight : 145 carat approxPieces : 113 pcs approxGemstone Color: GreenSKU: PP9062YOU CAN GET THEM CERTIFIED AT AN EXTRA COST OF $7.00(Measurements, number of pieces and weight are close to approximation.)I have made every attempt to portray the colors of the beads as accurately as possible. All photographs are taken in natural diffused daylight, without any enhancement of any sort. Colors do vary on different monitors; please keep this in mind when viewing the beads, gemstones or supplies. Also all pictures have been magnified to show details. Questions/ Comments are most welcome.Thanks for stopping by. Hope to see you again.",https://i.etsystatic.com/18231107/r/il/a139a9/2356501086/il_794xN.2356501086_jlku.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/790329359/natural-green-peridot-beads-peridot?click_key=2e659937287d3deec19d3914c648465ff5516fad%3A790329359&click_sum=7e4ea5ff&ref=shop_home_feat_3&pro=1&frs=1
"
    3mm - 4mm Orange Garnet Gemstone Beads, Faceted Orange Garnet Drilled Rondelles, Natural Orange Garnet Beads, 16"" - 17"" Full Strand #PP9077
",4302,"This Listing Is For 3mm - 4mm Orange Garnet Gemstone Beads, Faceted Orange Garnet Drilled Rondelles, Natural Orange Garnet Beads, 16"" - 17"" Full Strand #PP9077Gemstone: Orange GarnetGemstone Size : 3mm - 4mm ApproxStrand Length: 16"" -  17"" ApproxWeight : 56 carat approxPieces : 1 StrandGemstone Color: OrangeSKU: PP9077YOU CAN GET THEM CERTIFIED AT AN EXTRA COST OF $7.00(Measurements, number of pieces and weight are close to approximation.)I have made every attempt to portray the colors of the beads as accurately as possible. All photographs are taken in natural diffused daylight, without any enhancement of any sort. Colors do vary on different monitors; please keep this in mind when viewing the beads, gemstones or supplies. Also all pictures have been magnified to show details. Questions/ Comments are most welcome.Thanks for stopping by. Hope to see you again.",https://i.etsystatic.com/18231107/r/il/7906db/2356499072/il_794xN.2356499072_qrnh.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/776454356/3mm-4mm-orange-garnet-gemstone-beads?click_key=50dc5bda13a8dcfc108bef8993c01ee0657b9a9d%3A776454356&click_sum=f84ecc90&ref=shop_home_feat_4&pro=1&frs=1
"
    Rough Chrome Diopside Beads, Diopside Gemstone Raw Beads, Rough Gemstone Beads 8mm To 12mm, 6 Inch Strand, Jewelry Making Stone
",1188,"The Above Listing Is For Rough Chrome Diopside Beads, Diopside Gemstone Raw Beads, Rough Gemstone Beads 8mm To 12mm, 6 Inch Strand, Jewelry Making StoneGemstone:  Chrome DiopsideGemstone Size: 8mm To 12mm ApproxWeight: 22 Gram ApproxStrand Length: 6 Inches ApproxPieces: 30 PiecesGemstone Color: GreenSKU: GN 1357(Measurements, number of pieces and weight are close to approximation.)I have made every attempt to portray the colors of the beads as accurately as possible. All photographs are taken in natural diffused daylight, without any enhancement of any sort. Colors do vary on different monitors; please keep this in mind when viewing the beads, gemstones or supplies. Also all pictures have been magnified to show details. Questions/ Comments are most welcome.Thanks for stopping by. Hope to see you again.",https://i.etsystatic.com/18231107/r/il/ea6d24/3904473266/il_794xN.3904473266_sork.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1241256209/rough-chrome-diopside-beads-diopside?click_key=9d3eef41b6a301dab9f964422f203da28f5b7469%3A1241256209&click_sum=fc60bd0a&ref=shop_home_active_1&pro=1&frs=1
"
    Rough Strawberry Quartz Beads, Pink Strawberry Quartz Gemstone Beads, Raw Gemstone, Loose Gemstone Beads 8mm To 14mm, 6 Inch Strand
",1101,"The Above Listing Is For Rough Strawberry Quartz Beads, Pink Strawberry Quartz Gemstone Beads, Raw Gemstone, Loose Gemstone Beads 8mm To 14mm, 6 Inch StrandGemstone: Strawberry Quartz Gemstone Size: 8mm To 14mm ApproxWeight: 22 GramStrand Length: 6 Inches ApproxPieces: 23 PiecesGemstone Color: PinkSKU: GN 1360(Measurements, number of pieces and weight are close to approximation.)I have made every attempt to portray the colors of the beads as accurately as possible. All photographs are taken in natural diffused daylight, without any enhancement of any sort. Colors do vary on different monitors; please keep this in mind when viewing the beads, gemstones or supplies. Also all pictures have been magnified to show details. Questions/ Comments are most welcome.Thanks for stopping by. Hope to see you again.",https://i.etsystatic.com/18231107/r/il/913cbf/3951947093/il_794xN.3951947093_n7is.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1241250033/rough-strawberry-quartz-beads-pink?click_key=b5bc4f651f79af19d5e4dbbbd31e874eb4bb7e43%3A1241250033&click_sum=ee3311f8&ref=shop_home_active_2&pro=1&frs=1
"
    Tiger's Eye Gemstone, Raw Tiger's Eye Box Bead, Cube Shape Beads, Rough Tiger's Eye Plain Box Shape, 7mm - 9mm Bead, 6 Inch Strand
",1142,"The Above Listing Is For Tiger's Eye Gemstone, Raw Tiger's Eye Box Bead, Cube Shape Beads, Rough Tiger's Eye Plain Box Shape, 7mm - 9mm Bead, 6 Inch StrandGemstone: Tiger's EyeGemstone Size: 7mm - 9mm ApproxStrand Length: 6 Inches ApproxWeight : 20 Gram ApproxPieces: 25 Pieces ApproxGemstone Color: Brown YellowSKU: GN 1363(Measurements, number of pieces and weight are close to approximation.)I have made every attempt to portray the colors of the beads as accurately as possible. All photographs are taken in natural diffused daylight, without any enhancement of any sort. Colors do vary on different monitors; please keep this in mind when viewing the beads, gemstones or supplies. Also all pictures have been magnified to show details. Questions/ Comments are most welcome.Thanks for stopping by. Hope to see you again.",https://i.etsystatic.com/18231107/r/il/5c8b89/3904495688/il_794xN.3904495688_ts3j.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1227320884/tigers-eye-gemstone-raw-tigers-eye-box?click_key=fdfb10c9285a09f278f5e580d081ace7d8fd3798%3A1227320884&click_sum=478ad077&ref=shop_home_active_3&pro=1&frs=1
"
    Faceted Malinga Jasper Briolette, Brown Color Malinga Jasper Stone, Briolette Beads, Faceted Long Pear Shape, # PP4441
",810,"This Listing Is For Faceted Malinga Jasper Briolette, Brown Color Malinga Jasper Stone, Briolette Beads, Faceted Long Pear Shape, # PP4441Gemstone:  Malinga JasperGemstone Cut: PearStone Details : 1. Size = 8x16 - 10x20mm, Length = 4"", Weight = 13.90 gms approx, Pieces = 10 pcs, Code = PP4441/12. Size = 9x19 - 11x20mm, Length = 4"", Weight = 17.75 gms approx, Pieces = 10 pcs, Code = PP4441/23. Size = 9x21 - 11x21mm, Length = 4"", Weight = 17.20 gms approx, Pieces = 10 pcs, Code = PP4441/34. Size = 9x26 - 12x30mm, Length = 4"", Weight = 24.30 gms approx, Pieces = 10 pcs, Code = PP4441/45. Size = 10x18 - 11x20mm, Length = 4"", Weight = 17.70 gms approx, Pieces = 10 pcs, Code = PP4441/56. Size = 10x24 - 11x27mm, Length = 4"", Weight = 20.30 gms approx, Pieces = 10 pcs, Code = PP4441/67. Size = 11x24 - 12x23mm, Length = 4"", Weight = 21.30 gms approx, Pieces = 10 pcs, Code = PP4441/78. Size = 11x26 - 12x27mm, Length = 4"", Weight = 24.30 gms approx, Pieces = 10 pcs, Code = PP4441/8Gemstone Color: BrownSKU: PP4441YOU CAN GET THEM CERTIFIED AT AN EXTRA COST OF $7.00(Measurements, number of pieces and weight are close to approximation.)I have made every attempt to portray the colors of the beads as accurately as possible. All photographs are taken in natural diffused daylight, without any enhancement of any sort. Colors do vary on different monitors; please keep this in mind when viewing the beads, gemstones or supplies. Also all pictures have been magnified to show details. Questions/ Comments are most welcome.Thanks for stopping by. Hope to see you again.",https://i.etsystatic.com/18231107/r/il/301f21/2410642327/il_794xN.2410642327_qykr.jpg,Craft Supplies & Tools,"[['Select an option', '1. 8x16 -10x20 4"" (₹ 810)', '2. 9x19 -11x20 4"" (₹ 922)', '3. 9x21 - 11x21 4"" (₹ 906)', '4. 9x26 - 12x30 4"" (₹ 1,111)', '5. 10x18 - 11x20 4"" (₹ 922)', '6. 10x24 - 11x27 4"" (₹ 995)', '7. 11x24 - 12x23 4"" (₹ 1,025)', '8. 11x26 - 12x27 4"" (₹ 1,111)'], []]",https://www.etsy.com/in-en/listing/810728000/faceted-malinga-jasper-briolette-brown?click_key=66defa528627dab8a81ab197c836760d4bfda30e%3A810728000&click_sum=4cc6b0a5&ref=shop_home_active_4&pro=1&frs=1
"
    925 Sterling Silver Jewelry, Dainty Studs, 12 Sets Of  Silver And Gemstone Tops, Handmade Studs, Boho Earring, Gift For Her  GNER 96
",2946,"This Listing is For 925 Sterling Silver Jewelry, Dainty Studs, 12 Sets Of  Silver And Gemstone Tops, Handmade Studs, Boho Earring, Gift For Her  GNER 96Gemstone: Garnet/Amethyst/Tiger's Eye/Onyx/Pearl/Lapis/Moonstone/(Coral & Turquoise)CompressedStone Shape: RoundColor: Red/Purple/Brown/Green/Black/Blue/WhiteStone Size: 5 mmStone Cut: CabochonThis Jewelry is pure 925 Sterling Silver and perfect for sensitive Skin.Our products are totally hypoallergenic (perfect for sensitive Skin) and made with high quality gemstones and 925 solid sterling Silver.",https://i.etsystatic.com/18231107/r/il/6feb09/2950344560/il_794xN.2950344560_9vcn.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/969381860/925-sterling-silver-jewelry-dainty-studs?click_key=410f3ded2f52ecd59b3fcf8e4353885b8303521c%3A969381860&click_sum=07b3348e&ref=shop_home_active_5&pro=1&frs=1
"
    12 Sets Of  Silver And Gemstone Tops, 925 Sterling Silver Jewelry, Handmade Studs, Dainty Studs, Boho Earring, Gift For Her  GNER 97
",2946,"This Listing is For 12 Sets Of  Silver And Gemstone Tops, 925 Sterling Silver Jewelry, Handmade Studs, Dainty Studs, Boho Earring, Gift For Her  GNER 97Gemstone: Garnet/Amethyst/Tiger's Eye/Onyx/Pearl/Lapis/Moonstone/(Coral & Turquoise)CompressedStone Shape: RoundColor: Red/Purple/Brown/Green/Black/Blue/WhiteStone Size: 5 mmStone Cut: CabochonThis Jewelry is pure 925 Sterling Silver and perfect for sensitive Skin.Our products are totally hypoallergenic (perfect for sensitive Skin) and made with high quality gemstones and 925 solid sterling Silver.",https://i.etsystatic.com/18231107/r/il/431ed6/2950356238/il_794xN.2950356238_geen.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/969385278/12-sets-of-silver-and-gemstone-tops-925?click_key=5762ffd895618d12e07e9a980ef318829022f0ee%3A969385278&click_sum=2309f1df&ref=shop_home_active_6&pro=1&frs=1
