Produce Name,Price,Description,Image,Category,Options,Product URL
"
    Most Rare Found 25.00 Carat Certified Natural Superb Quality Faceted Oval Cut Eye Clean Burma Red Ruby Loose Gemstone Video Available JI
",5363,Description Gemstone - Natural RubySize - 18mmx12mmx11mm(Approx)Shape - OvalOrigin -BurmaColor - RedTreatment - NoneClarity : TransparentGrade - AAA Quantity : 1,https://i.etsystatic.com/35707937/r/il/92f3a0/4057411097/il_794xN.4057411097_amcp.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1268001493/most-rare-found-2500-carat-certified?click_key=3b032c9f2b55637c83225c6cbc25843e1762257f%3A1268001493&click_sum=443f7235&ref=shop_home_feat_1&pro=1&frs=1
"
    Buy Now !! Certified Natural Untreated/Unheated 850.00 Carat Uncut Shape Gorgeous Red Ruby Rough Loose Gemstone From Africa
",12165,Description Gemstone - Natural Red Ruby Size - 43mmx36mmx28mm (Approx) Shape - Rough Origin - Africa Color - Red Treatment -NoneClarity -Semi-TransparentGrade - AAA Quantity : 1,https://i.etsystatic.com/35707937/r/il/16f3bc/4050100661/il_794xN.4050100661_3mdi.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1252206834/buy-now-certified-natural?click_key=f43cf9018132d30142dad957e9c8c456b7180370%3A1252206834&click_sum=f7573ee0&ref=shop_home_feat_2&pro=1&frs=1
"
    Ring Size Gemstone !! 3.00 Carat Certified 100% Natural Real Lab Grown Loose cvd White Diamond 5mm SI1 DEF Color Extra ring Size
",65796,Description Gemstone - Natural DiamondSize - 6mmx6mmx4mm(Approx)Shape - Diamond Cut (Faceted) as shown in picturesOrigin -AfricaColor - WhiteTreatment - NoneGrade - AAA Quantity : 1,https://i.etsystatic.com/35707937/r/il/2857e0/3982854044/il_794xN.3982854044_64ri.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1265277875/ring-size-gemstone-300-carat-certified?click_key=364f79ba6f88b23b64689f80a289cfb0b7d28189%3A1265277875&click_sum=c3bc5a7c&ref=shop_home_feat_3&pro=1&frs=1
"
    Discounted Offer !!! 55000 Ct/11 Kg Certified Natural Earth Mined Healing Uncut Shape Green Emerald Rock Rough Loose Gemstone From Colombia
",73133,Description Gemstone - Natural Green EmeraldSize -230mmx220mmx200mm(Approx)Shape - Rough Origin -ColombiaColor - GreenTreatment - Color Enhanced Clarity- OpaqueGrade - AAA Quantity : 1,https://i.etsystatic.com/35707937/r/il/db0c99/3957547190/il_794xN.3957547190_2txj.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1241002658/discounted-offer-55000-ct11-kg-certified?click_key=2dc0cfa03941e38ed842a7c7ea12e2f5608ef49d%3A1241002658&click_sum=784049e9&ref=shop_home_feat_4&pro=1&frs=1
"
    Buy Now !! 216.70Carat Certified Natural Earth Mined Healing Sleeping Beauty Sky Blue Uncut Turquoise Tumble Raw Rough Gemstone From Arizona
",1706,Description Gemstone - Natural Turquoise Size -49mmx33mmx20mm(Approx)Shape - RoughOrigin -ArizonaColor - Sky BlueTreatment - NoneClarity- OpaqueGrade - AAA Quantity : 1,https://i.etsystatic.com/35707937/r/il/244983/4093761415/il_794xN.4093761415_6exb.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1277205369/buy-now-21670carat-certified-natural?click_key=13705d868a53d74f4c947e665bc555e4ce752faf%3A1277205369&click_sum=1de30feb&ref=shop_home_active_1&pro=1&frs=1
"
    Wonderful Earth Mined Certified Natural Brilliant Quality 272.90Carat Uncut Shape Arizona Sky Blue Turquoise Tumble Raw Rough Loose Gemstone
",1828,Description Gemstone - Natural Turquoise Size -46mmx38mmx27mm(Approx)Shape - RoughOrigin -ArizonaColor - Sky BlueTreatment - NoneClarity- OpaqueGrade - AAA Quantity : 1,https://i.etsystatic.com/35707937/r/il/c319d7/4093757497/il_794xN.4093757497_ikpp.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1277204423/wonderful-earth-mined-certified-natural?click_key=d544e20f4b165e4f406a71351fe413a154ec02c5%3A1277204423&click_sum=75b52647&ref=shop_home_active_2&pro=1&frs=1
"
    Free Shipping !! Certified Natural 1160.00 Ct Earth Mined Genuine Sky Blue Turquoise Sleeping Beauty Slice Rough Gemstone For Jewelry Making
",6826,Description Gemstone - Natural Turquoise Size -114mmx92mmx12mm(Approx)Shape - RoughOrigin -ArizonaColor - Sky BlueTreatment - NoneClarity- OpaqueGrade - AAA Quantity : 1,https://i.etsystatic.com/35707937/r/il/179d8a/4093753207/il_794xN.4093753207_3ibd.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1263190234/free-shipping-certified-natural-116000?click_key=4ee4d48dbc87eb6741ef53e573aedd486b2d1e84%3A1263190234&click_sum=191ab56d&ref=shop_home_active_3&pro=1&frs=1
"
    Jewelry Making Gemstone !! Certified Natural Earth Mined Healing 300.75 Carat Sleeping Beauty Sky Blue Turquoise Tumble Raw Rough Gemstone
",1950,Description Gemstone - Natural Turquoise Size -42mmx32mmx28mm(Approx)Shape - RoughOrigin -ArizonaColor - Sky BlueTreatment - NoneClarity- OpaqueGrade - AAA Quantity : 1,https://i.etsystatic.com/35707937/r/il/5a672f/4046102642/il_794xN.4046102642_6tx4.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1277202553/jewelry-making-gemstone-certified?click_key=fb004c9ad80ec65e07c9c473db68d2dc12468f43%3A1277202553&click_sum=f1b45488&ref=shop_home_active_4&pro=1&frs=1
"
    Certified Natural Top Grade Quality Earth Mined Healing 281.40 Carat Sleeping Beauty Sky Blue Turquoise Tumble Raw Rough Loose Gemstone
",1950,Description Gemstone - Natural Turquoise Size -40mmx37mmx22mm(Approx)Shape - RoughOrigin -ArizonaColor - Sky BlueTreatment - NoneClarity- OpaqueGrade - AAA Quantity : 1,https://i.etsystatic.com/35707937/r/il/266c8d/4093746999/il_794xN.4093746999_epxc.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1277201801/certified-natural-top-grade-quality?click_key=521ccc90fedb8dd68e78edc0ecadd0b932184c8d%3A1277201801&click_sum=8fb5b82f&ref=shop_home_active_5&pro=1&frs=1
"
    Big Deal Offer !! Certified Natural 1200.00Ct Earth Mined Healing High Class Quality Sky Blue Turquoise Sleeping Beauty Slice Rough Gemstone
",6094,Description Gemstone - Natural Turquoise Size -108mmx107mmx12mm(Approx)Shape - RoughOrigin -ArizonaColor - Sky BlueTreatment - NoneClarity- OpaqueGrade - AAA Quantity : 1,https://i.etsystatic.com/35707937/r/il/46d341/4046094828/il_794xN.4046094828_67hn.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1277200927/big-deal-offer-certified-natural?click_key=13c8da78c1f7809af2bc8b77ed5cf7fc3db30f65%3A1277200927&click_sum=7a3eb4fe&ref=shop_home_active_6&pro=1&frs=1
