Produce Name,Price,Description,Image,Category,Options,Product URL
"
    Multi TOURMALINE Faceted Rondelle--- Watermelon Tourmaline----Natural Gemstone----N547
",567,"Multi TOURMALINE Faceted Rondelle1 Full Strand4.5 mm Beads SizeLength is approximately...   13 inches Guaranteed genuine 100% Natural Gemstone.You will receive exactly items showing in pictures.Color may vary due to different color settings of monitors.------------------------------------------------------------------For any CUSTOM ORDERS please contact with us, We can make almost all the Gemstones according your needs in a very best Prices and provide you in a very short time because we have big manufacturing unit.We usually ship every day from Mon-Sat (except holidays) and will do our best to ship on the same day.",https://i.etsystatic.com/22339442/r/il/69de29/2924272353/il_794xN.2924272353_12rg.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/963987523/multi-tourmaline-faceted-rondelle?click_key=d884e5ea99a6b4282562a08d4d21b84695e11747%3A963987523&click_sum=4e935b61&ref=shop_home_feat_1&pro=1&frs=1
"
    AA+ RUBY Faceted Rondelle  Ruby Micro Cut Beads  Ruby Rondelle Strand  Real Ruby Rondelle  Natural Gemstone  Wholesale Bead - N638
",1056,"AA+ RUBY Faceted Rondelle Micro Cut facets1 Full Strand3.2 mm Beads SizeLength is approximately... 32 centimeter  (12.8 inches) Guaranteed genuine 100% Natural Gemstone.You will receive exact item showing in pictures.Please look closely for details of items.Color may vary due to different color settings of monitors.------------------------------------------------------------------For any CUSTOM ORDERS please contact with us, We can make almost all the Gemstones according your needs in a very best Prices and provide you in a very short time because we have big manufacturing unit.We usually ship every day from Mon-Sat (except holidays) and will do our best to ship on the same day.",https://i.etsystatic.com/22339442/r/il/359a2b/3028942795/il_794xN.3028942795_jvcn.jpg,Craft Supplies & Tools,"[['Select an option', '1 Strand (₹ 1,056)', '3 Strands (₹ 3,120)'], []]",https://www.etsy.com/in-en/listing/991862273/aa-ruby-faceted-rondelle-ruby-micro-cut?click_key=27d6948770239fcdab036854b56fa1187d252060%3A991862273&click_sum=03346437&ref=shop_home_feat_2&pro=1&frs=1
"
    15inches AA+ Multi Precious Sapphire Micro Faceted Rondelle  Multi Sapphire Rondelle  Sapphire Strand  Natural  Wholesale Bead - N615
",1584,"Stones - Multi Sapphire1 Full Strand3 mm Beads SizeLength is approximately... 38 centimeter  (15 inches) Guaranteed genuine 100% Natural Gemstone.You will receive exact item showing in pictures.Please look closely for details of items.Color may vary due to different color settings of monitors.------------------------------------------------------------------For any CUSTOM ORDERS please contact with us, We can make almost all the Gemstones according your needs in a very best Prices and provide you in a very short time because we have big manufacturing unit.We usually ship every day from Mon-Sat (except holidays) and will do our best to ship on the same day.",https://i.etsystatic.com/22339442/r/il/493afb/2976084834/il_794xN.2976084834_aryu.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/976431894/15inches-aa-multi-precious-sapphire?click_key=4e84db480ecac2a94eaec9424679376a78dfa91e%3A976431894&click_sum=a926446f&ref=shop_home_feat_3&pro=1&frs=1
"
    BLUE SAPPHIRE Smooth Plain Rondelle  Sapphire Plain Beads  Sapphire Beads Strand  Natural Gemstone Bead 14 inches Strand 3.5mm to 6mm N1694
",2857,"SAPPHIRE Smooth Plain Rondelle1 Full Strand3.5mm to 6mm bead sizeLength is approximately... 14 inches) Guaranteed genuine 100% Natural Gemstone.You will receive exact item showing in pictures.Please look closely for details of items.Color may vary due to different color settings of monitors.------------------------------------------------------------------For any CUSTOM ORDERS please contact with us, We can make almost all the Gemstones according your needs in a very best Prices and provide you in a very short time because we have big manufacturing unit.We usually ship every day from Mon-Sat (except holidays) and will do our best to ship on the same day.",https://i.etsystatic.com/22339442/r/il/f8f2d0/3906729681/il_794xN.3906729681_rp3a.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1214885050/blue-sapphire-smooth-plain-rondelle?click_key=cddc5af2766135f017627a60a5967342052fc9d1%3A1214885050&click_sum=51e266b1&ref=shop_home_feat_4&pro=1&frs=1
"
    Cats Eye Faceted Rondelle  Cats Eye Rondelle  Cats Eye Bead Strand  Green Catseye Rondelle String Gemstone 10 Inch Strand 6mm to 7mm N1656
",1427,"Cats Eye Faceted Rondelle1 Full Strand6mm to 7mm Beads SizeLength is approximately... 10 inches) Guaranteed genuine 100% Natural Gemstone.You will receive exactly items showing in the pictures.Color may vary due to different color settings of monitors.------------------------------------------------------------------For any CUSTOM ORDERS please contact with us, We can make almost all the Gemstones according your needs in a very best Prices and provide you in a very short time because we have big manufacturing unit.We usually ship every day from Mon-Sat (except holidays) and will do our best to ship on the same day.",https://i.etsystatic.com/22339442/r/il/217d3b/3882926451/il_794xN.3882926451_qv19.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1208144372/cats-eye-faceted-rondelle-cats-eye?click_key=77810070881aa9fb1f3222311e08946ca19c9485%3A1208144372&click_sum=51afa812&ref=shop_home_active_1&pro=1&frs=1
"
    Golden Rutile Faceted Rondelle   Golden Rutile Beads Rondelles   Golden Rutile Strand  Natural Gemstone 10 Inches Strand 5.5mm to 6mm N1299
",1189,"Golden Rutile Faceted Rondelle5.5mm -6mm Size Beads1 Full StrandLength is approximately... 10 inches StrandGuaranteed genuine 100% Natural Gemstone.You will receive exactly items showing in pictures.Color may vary due to different color settings of monitors.------------------------------------------------------------------For any CUSTOM ORDERS please contact with us, We can make almost all the Gemstones according your needs in a very best Prices and provide you in a very short time because we have big manufacturing unit.We usually ship every day from Mon-Sat (except holidays) and will do our best to ship on the same day.",https://i.etsystatic.com/22339442/r/il/45c2cb/3752652390/il_794xN.3752652390_tovy.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1185480072/golden-rutile-faceted-rondelle-golden?click_key=04612a36d95cc4efb42bf3cd0ba380883ba78025%3A1185480072&click_sum=ab3ff932&ref=shop_home_active_2&pro=1&frs=1
"
    AAA+ Copper Rutile Faceted Heart Briolette  Copper Rutile Quartz Heart Beads  Copper Rutile Genuine 7.5 Inches Strand  10mm to 16mm -N1268
",1635,"Copper Rutile faceted Heart Shape Briolettes1 Full Strand10mm to 16mm Beads SizeLength is approximately...  (7.5 inches) Guaranteed genuine 100% Natural Gemstone.You will receive exact item showing in pictures.Please look closely for details of items.Color may vary due to different color settings of monitors.------------------------------------------------------------------For any CUSTOM ORDERS please contact with us, We can make almost all the Gemstones according your needs in a very best Prices and provide you in a very short time because we have big manufacturing unit.We usually ship every day from Mon-Sat (except holidays) and will do our best to ship on the same day.",https://i.etsystatic.com/22339442/r/il/6c8131/3752790866/il_794xN.3752790866_lkb6.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1184362792/aaa-copper-rutile-faceted-heart?click_key=a13d30d553f92c96a7b133eaf3f9fd34d2f43761%3A1184362792&click_sum=36109254&ref=shop_home_active_3&pro=1&frs=1
"
    Blue Chalcedony Faceted Cushion Briolette Beads Chalcedony Cushion Bead Strand Natural Gemstone Beads 8 Inch Strand 7.5mm to 9mm N1922
",1001,"Chalcedony Beads Cushion Briolette1 Full Strand7.5mm to 9mm beads sizeLength is approximately...   (8 inches) Guaranteed genuine 100% Natural Gemstone.You will receive exact item showing in pictures.Please look closely for details of items.Color may vary due to different color settings of monitors.------------------------------------------------------------------For any CUSTOM ORDERS please contact with us, We can make almost all the Gemstones according your needs in a very best Prices and provide you in a very short time because we have big manufacturing unit.We usually ship every day from Mon-Sat (except holidays) and will do our best to ship on the same day.",https://i.etsystatic.com/22339442/r/il/cc421e/3900024460/il_794xN.3900024460_bk2t.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1240074011/blue-chalcedony-faceted-cushion?click_key=f9f3ae31615fa0ee9e40e950e39cd43e4ef6517a%3A1240074011&click_sum=6912e43f&ref=shop_home_active_4&pro=1&frs=1
"
    Grey Moonstone Faceted Heart Briolette Beads  Moonstone Bead Flashy Moonstone Heart Bead 8 Inch Strand 10mm to 12.5mm Natural Gemstone N1909
",3172,"AAA Moonstone faceted Heart Shape Briolettes1 Full Strand10mm to 12.5mm Beads SizeLength is approximately...  (8 inches) Guaranteed genuine 100% Natural Gemstone.You will receive exact item showing in pictures.Please look closely for details of items.Color may vary due to different color settings of monitors.------------------------------------------------------------------For any CUSTOM ORDERS please contact with us, We can make almost all the Gemstones according your needs in a very best Prices and provide you in a very short time because we have big manufacturing unit.We usually ship every day from Mon-Sat (except holidays) and will do our best to ship on the same day.",https://i.etsystatic.com/22339442/r/il/dfbaf1/3897717230/il_794xN.3897717230_o12c.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1225546594/grey-moonstone-faceted-heart-briolette?click_key=708568357833137e3a1f3b56a68ea7696225f933%3A1225546594&click_sum=838a3910&ref=shop_home_active_5&pro=1&frs=1
"
    Multi Moonstone Teardrops Bead  Moonstone Faceted Drop Briolette  Moonstone Gemstone Beads Strand 7 Inches Strand 6x9mm to 7x12mm N1893
",2915,"Moonstone Faceted Teardrop Micro Facets6x9mm to 7x12mm Beads SizeLength is approximately... (7 inches) Guaranteed genuine 100% Natural Gemstone.You will receive exactly items showing in the pictures.Color may vary due to different color settings of monitors.------------------------------------------------------------------For any CUSTOM ORDERS please contact with us, We can make almost all the Gemstones according your needs in a very best Prices and provide you in a very short time because we have big manufacturing unit.We usually ship every day from Mon-Sat (except holidays) and will do our best to ship on the same day.",https://i.etsystatic.com/22339442/r/il/4952f6/3895420398/il_794xN.3895420398_iknh.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1238865085/multi-moonstone-teardrops-bead-moonstone?click_key=8e0052b125340439df3d34cfb8c705202e5d81ca%3A1238865085&click_sum=3bc48772&ref=shop_home_active_6&pro=1&frs=1
"
    AAA Rainbow Moonstone Smooth Cubes Briolettes Moonstone cube Beads Moonstone Plain Beads 8 Inch Strand 5mm to 6mm Natural Gemstone N1873
",1069,"Rainbow Moonstone Smooth Cube1 Full Strand5mm to 6mm beads sizeLength is approximately... 8 inches) Guaranteed genuine 100% Natural Gemstone.You will receive exact item showing in pictures.Please look closely for details of items.Color may vary due to different color settings of monitors.------------------------------------------------------------------For any CUSTOM ORDERS please contact with us, We can make almost all the Gemstones according your needs in a very best Prices and provide you in a very short time because we have big manufacturing unit.We usually ship every day from Mon-Sat (except holidays) and will do our best to ship on the same day.",https://i.etsystatic.com/22339442/r/il/d81e88/3942931035/il_794xN.3942931035_pyvf.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1238868683/aaa-rainbow-moonstone-smooth-cubes?click_key=61a35e7558eaa283de97d1657259345122051402%3A1238868683&click_sum=a025a90e&ref=shop_home_active_7&pro=1&frs=1
"
    AAA Citrine Faceted Rondelle  Citrine Faceted Beads  Citrine Bead Strand Natural Gemstone Wholesale Beads 9 Inch Strand 7mm to 10mm N1758
",3338,"Citrine Faceted RondelleMicro Facets 7mm to 10mm Size Beads1 Full StrandLength is approximately... 9 inches StrandGuaranteed genuine 100% Natural Gemstone.You will receive exactly items showing in pictures.Color may vary due to different color settings of monitors.------------------------------------------------------------------For any CUSTOM ORDERS please contact with us, We can make almost all the Gemstones according your needs in a very best Prices and provide you in a very short time because we have big manufacturing unit.We usually ship every day from Mon-Sat (except holidays) and will do our best to ship on the same day.",https://i.etsystatic.com/22339442/r/il/292bbf/3872234942/il_794xN.3872234942_ly9z.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1218551572/aaa-citrine-faceted-rondelle-citrine?click_key=3557a10de57a914d1659f237a60a3ddcee88da6e%3A1218551572&click_sum=f61d8796&ref=shop_home_active_8&pro=1&frs=1
"
    AAA Rainbow Moon stone Faceted Briolette  Moonstone Pear Bead  Moonstone Bead 8 Inches Strand 6x10mm to 7x12mm Natural Gemstone Bead N1751
",2038,"Rainbow Moonstone faceted Pear Shape Briolettes1 Full Strand6x10mm to 7x11mm Beads SizeLength is approximately...  (8 inches) Guaranteed genuine 100% Natural Gemstone.You will receive exact item showing in pictures.Please look closely for details of items.Color may vary due to different color settings of monitors.------------------------------------------------------------------For any CUSTOM ORDERS please contact with us, We can make almost all the Gemstones according your needs in a very best Prices and provide you in a very short time because we have big manufacturing unit.We usually ship every day from Mon-Sat (except holidays) and will do our best to ship on the same day.",https://i.etsystatic.com/22339442/r/il/0a75a5/3872214812/il_794xN.3872214812_asdo.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1218546042/aaa-rainbow-moon-stone-faceted-briolette?click_key=88f4cf37040119d1f4abab63278d5c6254725b76%3A1218546042&click_sum=ebde4ce2&ref=shop_home_active_9&pro=1&frs=1
"
    Moss Aquamarine Smooth Plain Nugget Beads Moss Aquamarine Nugget Beads  Moss Aquamarine Plain Beads Strand 7 Inches Strand 8mm to 13mm N1716
",1950,"Aquamarine Smooth Nugget1 Full Strand8mm to 13mm Beads sizeLength is approximately... 7 inches) Guaranteed genuine 100% Natural Gemstone.You will receive exact item showing in pictures.Please look closely for details of items.Color may vary due to different color settings of monitors.------------------------------------------------------------------For any CUSTOM ORDERS please contact with us, We can make almost all the Gemstones according your needs in a very best Prices and provide you in a very short time because we have big manufacturing unit.We usually ship every day from Mon-Sat (except holidays) and will do our best to ship on the same day.",https://i.etsystatic.com/22339442/r/il/b261e5/3865172084/il_794xN.3865172084_hfn1.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1216562824/moss-aquamarine-smooth-plain-nugget?click_key=1bf1ee984f793e0f68eac372adad61711e05aa58%3A1216562824&click_sum=f196988c&ref=shop_home_active_10&pro=1&frs=1
"
    AAA+ White Chalcedony Faceted Briolette  Chalcedony Onion Briolette Bead  Onyx Onion Bead 8 Inches Strand 6mm to 8mm Natural Gemstone N1735
",2398,"White Chalcedony faceted Onion Shape Briolettes1 Full Strand6mm to 8mm Beads SizeLength is approximately...  (8 inches) Guaranteed genuine 100% Natural Gemstone.You will receive exact item showing in pictures.Please look closely for details of items.Color may vary due to different color settings of monitors.------------------------------------------------------------------For any CUSTOM ORDERS please contact with us, We can make almost all the Gemstones according your needs in a very best Prices and provide you in a very short time because we have big manufacturing unit.We usually ship every day from Mon-Sat (except holidays) and will do our best to ship on the same day.",https://i.etsystatic.com/22339442/r/il/17c3ff/3912696249/il_794xN.3912696249_4rmq.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1230507433/aaa-white-chalcedony-faceted-briolette?click_key=ea95ef35c3eb2ca1042a7540643cf5739e6ff5c1%3A1230507433&click_sum=eb30437a&ref=shop_home_active_11&pro=1&frs=1
"
    AAA Purple Chalcedony Faceted Pear Briolette Chalcedony Pear Briolette Natural Gemstone Wholesale Bead 9 inch Strand 7x10mm to 7x11mm N1924
",3211,"Chalcedony Faceted Briolette1 Full Strand7x10mm to 7x11mm Beads sizeLength is approximately... 9 inches) Guaranteed genuine 100% Natural Gemstone.You will receive exact item showing in pictures.Please look closely for details of items.Color may vary due to different color settings of monitors.------------------------------------------------------------------For any CUSTOM ORDERS please contact with us, We can make almost all the Gemstones according your needs in a very best Prices and provide you in a very short time because we have big manufacturing unit.We usually ship every day from Mon-Sat (except holidays) and will do our best to ship on the same day.",https://i.etsystatic.com/22339442/r/il/b3bcea/3899804158/il_794xN.3899804158_cino.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1240029321/aaa-purple-chalcedony-faceted-pear?click_key=573bcc11a9a56567a6d9a6ce322f0be23ce83006%3A1240029321&click_sum=9902f186&ref=shop_home_active_12&pro=1&frs=1
"
    AAA Amazonite Faceted Pear Long Briolette  Amazonite Pear Briolette  Amazonite Gemstone Beads 7.5 inches Strand 7x9mm to 11x16mm N2004
",2129,"Amazonite faceted Pear Shape Briolettes1 Full Strand7x9mm to 11x16mm Beads SizeLength is approximately...  (7.5 inches) Guaranteed genuine 100% Natural Gemstone.You will receive exact item showing in pictures.Please look closely for details of items.Color may vary due to different color settings of monitors.------------------------------------------------------------------For any CUSTOM ORDERS please contact with us, We can make almost all the Gemstones according your needs in a very best Prices and provide you in a very short time because we have big manufacturing unit.We usually ship every day from Mon-Sat (except holidays) and will do our best to ship on the same day.",https://i.etsystatic.com/22339442/r/il/302c5a/3982845917/il_794xN.3982845917_b8tn.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1235332980/aaa-amazonite-faceted-pear-long?click_key=574e47c9b80da1e04d14d2b48a98cfed869fcaf9%3A1235332980&click_sum=b01d2374&ref=shop_home_active_13&pro=1&frs=1
"
    Pink Sapphire Faceted Rondelle  Sapphire Micro Cut Beads  Sapphire Rondelle Strand Natural Gemstone 16 Inches Strand 3mm to 4mm N1698
",3250,"Pink Sapphire Faceted Rondelle Micro Cut facets1 Full Strand3mm to 4mm Beads SizeLength is approximately..  (16 inches) Guaranteed genuine 100% Natural Gemstone.You will receive exact item showing in pictures.Please look closely for details of items.Color may vary due to different color settings of monitors.------------------------------------------------------------------For any CUSTOM ORDERS please contact with us, We can make almost all the Gemstones according your needs in a very best Prices and provide you in a very short time because we have big manufacturing unit.We usually ship every day from Mon-Sat (except holidays) and will do our best to ship on the same day.",https://i.etsystatic.com/22339442/r/il/bec808/3906717043/il_794xN.3906717043_oa1y.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1228822847/pink-sapphire-faceted-rondelle-sapphire?click_key=cc6e159afd7f8fddf5543d9e75b8481bc237292d%3A1228822847&click_sum=aa4b55c6&ref=shop_home_active_14&pro=1&frs=1
