Produce Name,Price,Description,Image,Category,Options,Product URL
"
    Natural Color Changing Sapphire, 9.05 Carat Beautiful and Attractive, Flawless Cushion Shape Cut, Loose Gemstone for Ring
",2600,"MaterialGem type: SapphireDimensionsCarat weight: 9.05 CtDescriptionDescriptionOne loose Cushion -cut natural Sri Lanka Color Changing SapphireOrigin: Sri LankaTreatment : NoneCertification : GGICut Grade : ExcellentGemstone : SapphireNatural/Lab-Created: NaturalDimension- 11 X 11 X 6 mmCertification: GGI CertifiedYou Got GGI Certificate alsoShipping PolicyAll Local shipments send through ""Speed Post"" By India Post.All International Shipments send through India Post (2-3Weeks).For Express Shipping please Contact us by Etsy MessagePayment PolicyOnly /PayPal is accepted.",https://i.etsystatic.com/22578664/r/il/66ef2b/4027897844/il_794xN.4027897844_rc0o.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1272586715/natural-color-changing-sapphire-905?click_key=f6fce89ed6be11b49905cdf68f0b38df83dadc0b%3A1272586715&click_sum=9e0a2635&ref=shop_home_active_1&pro=1&frs=1
"
    Natural AAA Blue Tourmaline Cube Shape Cut Faceted Natural Gemstone Amazing Clarity Size 24 X 24 X 24 MM BEST Offer Ever
",4876,Welcome to OUR SHOPItem descriptionNatural Blue Tourmaline CUBE Shape Cut Faceted Loose GemstoneSize~: 24 X 24 X 24 MMType ~ Loose GemstoneStone Color~ Blue✅ Shipping :-We ship Worldwide with free shipping.India Post ( 10 -18 Days)we also use EMS and express shipping by FedEx Express .🔰 Payment :-We accept PAYPAL.Returns :-We accept Return.✅ We also accept custom orders and wholesale orders.Feel Free to contact us for any question or query.✅ *Click the below link for morefine Gemstones....https://www.etsy.com/in-en/shop/GemstreetIndia?ref=seller-platform-mcnavThank you for visiting...…,https://i.etsystatic.com/22578664/r/il/78ff83/3989343556/il_794xN.3989343556_or6y.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1248876112/natural-aaa-blue-tourmaline-cube-shape?click_key=f54529be4dda79d34dace5a7c7a34129f35d60fb%3A1248876112&click_sum=2e084462&ref=shop_home_active_2&pro=1&frs=1
"
    Natural Columbian Emerald 63.35 CT Emerald Cut Certified Loose Emerald Gemstone Natural Emerald From Columbia Good Finish
",3904,"STONE INFORMATION• Variety/Species: Emerald• CARAT WEIGHT: 63.35 Carat(s)• Quantity: 1pc(s)• Origin: Columbia• Shape/Cutting Style: Emerald (Faceted) as shown in pictures.• Dimensions:--Length : 29 mm Approx--Width : 26 mm Approx--Depth :10 Approx• Treatment: None**We do not deal in synthetic emerald or emerald which is treated with any treatment method that is not accepted by the fine jewelry industry.The only kind of treatment our emeralds might be subjected to, where disclosed, is the standard heat treatment.*Please do let us know if you need matching pairs or lots. We will be delighted to conduct the search for you.*Free lab certificate along with the gemstone.*We do accept returns. Experience hassle free quick return/refund.",https://i.etsystatic.com/22578664/r/il/d85a30/3367471941/il_794xN.3367471941_bjk3.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1082310233/natural-columbian-emerald-6335-ct?click_key=7fc0be3636a0e8fe0b2c52a7087c9dad6a00200a%3A1082310233&click_sum=e6770b9d&ref=shop_home_active_3&pro=1&frs=1
"
    79.30 CT Natural Green Sapphire AAA+++ Quality - Engagement Ring - Radiant Cut Sapphire gemstones Ceylon sapphire ring Best Jewelry Making
",3900,"🔰 Gemstone Description :Type of Gemstone - Green SapphireColor -  GreenCarat Weight - 79.30 CTCutting - RadiantOrigin : MadagascarDimensions : 25 X 20 X 13 mmTreatments : - None🔰 A natural, responsibly earth-mined Sapphire with a dominant hue of very strongly greenish Blue, cut into an Radiant shape .✅ Shipping :-We ship Worldwide with free shipping.India Post ( 10 -18 Days)we also use EMS and express shipping by FedEx Express .🔰 Payment :-We accept PAYPAL.Returns :-We accept Return.✅ We also accept custom orders and wholesale orders.Feel Free to contact us for any question or query.✅ *Click the below link for morefine Gemstones....https://www.etsy.com/in-en/shop/GemstreetIndia?ref=seller-platform-mcnav",https://i.etsystatic.com/22578664/r/il/116459/4023953919/il_794xN.4023953919_t1es.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1259691361/7930-ct-natural-green-sapphire-aaa?click_key=2ce24c88c2a39d8853ae388e52b6bb60ee5185f8%3A1259691361&click_sum=575f52e8&ref=shop_home_active_4&pro=1&frs=1
"
    Now or Never Offer Pear Natural Alexandrite Cut Faceted 7.90 Carat Alexandrite Loose Alexandrite Multi Color Changing Best Gift For Mother
",1300,":::::::::::::Gemstreetindia:::::::::::::::*Quick IntroAlexandrite is a rare and highly valuable gem variety. It displays a color change (alexandrite effect) dependent upon the nature of ambient lighting.A natural, responsibly earth-mined alexandrite with a dominant hue of multi color cut into a Emerald shape(as shown in pictures), this stone weighs 10.4 Carat(s).STONE INFORMATION• Variety/Species: Alexandrite• Origin: Brazil• Quantity: 1pc(s)• CARAT WEIGHT: 7.90 Carat(s)• Shape/Cutting Style: Pear Cut (Faceted) As shown in pictures.• Dimensions:--Length :15.46 mm Approx--Width : 10.02 mm Approx--Depth : 8.57 mm Approx• Calibrated: Yes• Treatment: None**We do not deal in synthetic Alexandrite or Alexandrite which is treated with any treatment method that is not accepted by the fine jewelry industry.The only kind of treatment our Alexandrite might be subjected to, where disclosed, is the standard heat treatment.*Please do let us know if you need matching pairs or lots. We will be delighted to conduct the search for you.*Free lab certificate along with the gemstone.*We do accept returns. Experience hassle free quick return/refund.Thank you for shopping at Gem Street India!Less",https://i.etsystatic.com/22578664/r/il/c4a8c8/2748399064/il_794xN.2748399064_t9yt.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/915399884/now-or-never-offer-pear-natural?click_key=a92bb1f1a87df1107250344626226788e68f09c6%3A915399884&click_sum=1b4ae18b&ref=shop_home_active_5&pro=1&frs=1
"
    Cushion Natural Padparadscha Sapphire  Cut Faceted 15.90 CT Certified Padparadscha AAA Sapphire Loose Padparadscha Ring Padparadscha Pendant
",3608,"• Variety/Species: Padparadscha sapphire AAA Quality• Origin: Ceylon(Srilanka)• Quantity: 1pc(s)• Shape/Cutting Style: Cushion Cut Faceted (as shown in pictures)• Dimensions:--Length: 15.06 MM (Approx)--Width: 11.26 MM (Approx)--Depth: 9.20 MM (Approx)• Calibrated: Yes**We do not deal in synthetic sapphire or sapphire which is treated with any treatment method that is not accepted by the fine jewelry industry.The only kind of treatment our sapphires might be subjected to, where disclosed, is the standard heat treatment.*Please do let us know if you need matching pairs or lots. We will be delighted to conduct the search for you.*Free lab certificate along with the gemstone.*We do accept returns. Experience hassle free quick return/refund.",https://i.etsystatic.com/22578664/r/il/3a52b6/3609515151/il_794xN.3609515151_9lfj.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1150750121/cushion-natural-padparadscha-sapphire?click_key=16cc4902535d7aa3ad818ed157f5f85800423c07%3A1150750121&click_sum=76fc850d&ref=shop_home_active_6&pro=1&frs=1
"
    8 to 10 CT Natural Alexandrite Trillion cut faceted, Multicolor Changing Alexandrite Loose stone ,Faceted Alexandrite gemstone Best Offer
",3900,"::::::::::gemstreetIndia:::::::::::::::*Quick IntroAlexandrite is a rare and highly valuable gem variety. It displays a color change (alexandrite effect) dependent upon the nature of ambient lighting.A natural, responsibly earth-mined alexandrite with a dominant hue of multi color cut into a Trillion shape(as shown in pictures), this stone weighs 8 to 10 Carat(s).STONE INFORMATION• Variety/Species: Alexandrite• Origin: Brazil• Quantity: 1pc(s)• CARAT WEIGHT: 8 to 10 Carat(s)• Shape/Cutting Style: Trillion Cut (Faceted) As shown in pictures.• Dimensions:--Length :15 mm Approx--Width : 15 mm Approx--Depth : 9 mm Approx• Calibrated: Yes• Treatment: None**We do not deal in synthetic Alexandrite or Alexandrite which is treated with any treatment method that is not accepted by the fine jewelry industry.The only kind of treatment our Alexandrite might be subjected to, where disclosed, is the standard heat treatment.*Please do let us know if you need matching pairs or lots. We will be delighted to conduct the search for you.*Free lab certificate along with the gemstone.*We do accept returns. Experience hassle free quick return/refund.Thank you for shopping at Gem Street India!",https://i.etsystatic.com/22578664/r/il/f22f8d/3976333812/il_794xN.3976333812_qn3c.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1245693824/8-to-10-ct-natural-alexandrite-trillion?click_key=d58e033f87f637de8f14590fa1f77a234cd656f7%3A1245693824&click_sum=08460732&ref=shop_home_active_7&pro=1&frs=1
"
    4.65 Ct Unique Natural Color Changing Sapphire Round Shape GGI Certified  8 X 8 X 6 MM Best Offer Ever
",2275,"MaterialGem type: SapphireDimensionsCarat weight: 4.65 CtDescriptionDescriptionOne loose Round -cut natural Sri Lanka Color Changing SapphireOrigin: Sri LankaTreatment : NoneCertification : GGICut Grade : ExcellentGemstone : SapphireNatural/Lab-Created: NaturalDimension-8 X 8 X 6 mmTransparency: TransparentCertification: GGI CertifiedYou Got GGI Certificate alsoShipping PolicyAll Local shipments send through ""Speed Post"" By India Post.All International Shipments send through India Post (2-3Weeks).For Express Shipping please Contact us by Etsy MessagePayment PolicyOnly /PayPal is accepted.",https://i.etsystatic.com/22578664/r/il/731349/4073235953/il_794xN.4073235953_n9qh.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1258000122/465-ct-unique-natural-color-changing?click_key=023af3abb52d0b63cba9c73788ce440016befe3e%3A1258000122&click_sum=6767e669&ref=shop_home_active_8&pro=1&frs=1
"
    7.05 Ct Unique Natural Color Changing Sapphire Radiant Shape Certified Loose Gemstone AAA++ Quality Best Offer Ever
",2275,"MaterialGem type: SapphireDimensionsCarat weight: 7.05 CtDescriptionDescriptionOne loose Radiant -cut natural Sri Lanka Color Changing SapphireOrigin: Sri LankaTreatment : NoneCertification : GGICut Grade : ExcellentGemstone : SapphireNatural/Lab-Created: NaturalDimension- 9 X 9 X 6 mmCertification: GGI CertifiedYou Got GGI Certificate alsoShipping PolicyAll Local shipments send through ""Speed Post"" By India Post.All International Shipments send through India Post (2-3Weeks).For Express Shipping please Contact us by Etsy MessagePayment PolicyOnly /PayPal is accepted.",https://i.etsystatic.com/22578664/r/il/68e8fa/4075595607/il_794xN.4075595607_hllu.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1272597533/705-ct-unique-natural-color-changing?click_key=021226a2b79c5d0c3a40ec7284ed91f56f597f88%3A1272597533&click_sum=8c754835&ref=shop_home_active_9&pro=1&frs=1
"
    14.50 CT Natural AAA+ Flawless Color Changing Sapphire Cushion Loose Gemstone Certified Ceylon Gemstone/Ring & Jewelry Making Gemstones
",3250,"MaterialGem type: SapphireDimensionsCarat weight: 14.50 CtDescriptionDescriptionOne loose Cushion -cut natural Sri Lanka Color Changing SapphireOrigin: Sri LankaTreatment : NoneCertification : GGICut Grade : ExcellentGemstone : SapphireNatural/Lab-Created: NaturalDimension- 18 X 11 X 6 mmCertification: GGI CertifiedYou Got GGI Certificate alsoShipping PolicyAll Local shipments send through ""Speed Post"" By India Post.All International Shipments send through India Post (2-3Weeks).For Express Shipping please Contact us by Etsy MessagePayment PolicyOnly /PayPal is accepted.",https://i.etsystatic.com/22578664/r/il/fb3a7b/4027918578/il_794xN.4027918578_9s1l.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1272593269/1450-ct-natural-aaa-flawless-color?click_key=0bdc1435c4ab266554a2e58869ce766430272e9b%3A1272593269&click_sum=8af7393d&ref=shop_home_active_10&pro=1&frs=1
