Produce Name,Price,Description,Image,Category,Options,Product URL
"
    Wholesale Lot Of Indian Vintage Kantha Quilt Handmade Throw Reversible Blanket Bedspread Cotton Fabric BOHEMIAN boho quilt chic
",2112,"Are you tired finding The BRIGHTEST, BEAUTIFUL, AND UNIQUE KANTHA QUILTS. THEN YOU ARE AMAZINGLY ON RIGHT PLACE! AND TRUST ME YOUR ARE AMAZING!Beautiful bedspread in a stunning Premium Cotton Kantha Bedspread Gudari,These Quilts made with just two layers of cotton which has been quilted together with little stitches known as kanthaThese kantha quilt makes a wonderful gift for weddings, Christmas, birthdays etc.Fabric: Vintage recycled sari fabric.Color: Assorted Colors will be sent.Size: Length: 55 Inches, Width: 85 InchesAs these are vintage items they may have some small patches and slight imperfections (Patches from other colorful sarees) however, there won't be any compromise in quality.We Manufacture the Kantha quilt. Share your requirements and colors pattern for more.100% Guarantee or customer Satisfaction.****Fast Shipping ****We accept PayPal as payment gateway, a safest way for you & us both.Customers will be responsible for custom duty if any. We're using Best services like FedEx, Bambino, DHL, Aramex & India Post for best shipping for you.Feel free to write us in case any query for any issue with your Order or to understand the products.Thank you so much for visiting my Shop. Have a great day ahead!",https://i.etsystatic.com/25351529/r/il/a1c8df/3975358695/il_794xN.3975358695_619b.jpg,Home & Living,"[['Select an option', '1 Quilt (₹ 2,112)', '2 Quilt (₹ 3,169)', '3 Quilt (₹ 4,144)', '5 Quilt (₹ 5,931)', '10 Quilt (₹ 11,106)', '15 Quilt (₹ 17,412)', '20 Quilt (₹ 21,426)', '25 Quilt (₹ 24,167)', '30 Quilt (₹ 29,723)', '35 Quilt (₹ 36,671)', '40 Quilt (₹ 42,923)', '50 Quilt (₹ 51,185)', '100 Quilt (₹ 102,371)'], []]",https://www.etsy.com/in-en/listing/1039047317/wholesale-lot-of-indian-vintage-kantha?click_key=80864d4f541d795cc637abe8b32398399fe70499%3A1039047317&click_sum=91973c64&ref=shop_home_feat_1&pro=1&frs=1
"
    Indian Vintage Silk Wrap Skirts Wholesale Lot (Assorted Colors)
",812,"*********FREE & Express Shipping****************100% Customer Satisfaction*****Silk Skirt silk skirt vintage Indian Silk skirts Vintage silk skirt Boho silk skirts Hippie skirts Bohemian skirt Indian Skirts Wrap skirts boho skirt skirts skirts for women skirt vintage long skirt skirt women Maxi skirt Flamenco skirt Beach skirt summer skirt gypsy skirtPRODUCT INFORMATIONThis is wholesale lots listing so please select your choice lot, we will definitely delivered you best serviceThis skirt has the unique combination of designs and final touch of thread work on its corners which makes the product look artistically awesome. Tones of fabric that packs down to nothing, so perfect for travelling!Note - This is my top listing and received orders continually because of i will ship best service or best choice colors and for more please visit my shop reviewsNote- Uploaded photos as only sample pictures so i will ship all different beautiful colorsNote- If you buying only 1 skirt it will not send by Express delivery it will send by post office and it will take 15-25 days deliver to you.Size: Long length (38 inch)Width: Fit-Free size (up to 44 inches)Flexible Wrap Around styleWe accept PayPal as payment gateway, a safest way for you & us both.Customers will be responsible for custom duty if any. We're using Best services like FedEx, Bombino, DHL, Aramax & India Post for best shipping for you.Uploaded photos as sample pictures so different beautiful colors skirts will be ship to youFeel free to write us in case any query for any issue with your Order or to understand the productsThanks for visit my shop and your valuable time.☺",https://i.etsystatic.com/25351529/r/il/d9cf8f/3291402246/il_794xN.3291402246_dbnw.jpg,Clothing,"[['Select an option', '1 [Sold out]', '2 (₹ 2,356)', '3 (₹ 2,884)', '5 (₹ 3,250)', '10 (₹ 6,906)', '20 (₹ 10,968)', '30 (₹ 16,249)', '50 (₹ 25,999)', '100 (₹ 51,185)'], []]",https://www.etsy.com/in-en/listing/1074871733/indian-vintage-silk-wrap-skirts?click_key=ad15b90e8da53cc633a02ad99cc605d91d4acc66%3A1074871733&click_sum=52992e39&ref=shop_home_feat_2&pro=1&frs=1
"
    Recycled Indian Sari Patchwork Blanket,Handmade Kantha Quilt indian quilt
",812,"Description:Size : 90*60 inches or 90*108 inchesNote-: As these are handmade, hand dyed, hand kantha etc it might have a little variation of sizes & colour which adds to the actual charm.Washing care - easy machine wash* Cotton fabric Queen size kantha Stitch Quilt,Blanket / Bedspread.* Red & Multi Color Patchwork Pattern on the front side.* Backing is Red with solid pattern.* Pink, Blue & White colored threads are used to develop the kantha pattern.Pack Of:- same as select lotThis Patchwork design Queen size Kantha quilt is hand made & 100% Silk.Each of these unique & beautiful quilt takes approx 7-10 days to make.This is hand made & hand dyed unique Handmade Kantha Quilt is symbolic of Indian heritage. This piece is Made by Original Indian kantha work Artisan.This piece of art is fully reversible. This has different & random combination of colours & pattern which is making it more unique.Handcrafted in Rajasthan rural village bikaner its located in India & Pakistan border area.Can be used as:1. Quilt2. Bed spread3. blanket4. Bed cover5. You can be creative: Lot of people are using this in curtains, making begs etc.We Manufacture the Kantha quilt. Share your requirements and colors pattern for more.100% Guarantee or customer Satisfaction.****Fast Shipping ****We accept PayPal as payment gateway, a safest way for you & us both. Customers will be responsible for custom duty if any. We're using Best services like FedEx, Bambino, DHL, Aramex & India Post for best shipping for you.Feel free to write us in case any query for any issue with your Order or to understand the products.",https://i.etsystatic.com/25351529/r/il/1950dc/3184684754/il_794xN.3184684754_c591.jpg,Home & Living,"[['Select a size', 'Baby 60*40 inches (₹ 2,194)', 'Twin 90*60 inches (₹ 3,128)', 'Queen 90*108 inches (₹ 4,550)', 'King/Full 108*108 inches (₹ 5,322)', '2 Cushion Cover16*16 inches (₹ 812)'], ['Select a colour', 'Beige', 'Blue', 'Green', 'Pink', 'Orange', 'Red', 'White', 'Black', 'Multi Color']]",https://www.etsy.com/in-en/listing/1046253131/recycled-indian-sari-patchwork?click_key=6644a121224763d0afaec09240e7d0cce3a4bb37%3A1046253131&click_sum=57cef7dd&ref=shop_home_feat_3&pro=1&frs=1
"
    Indian Cotton Printed Handmade Wrap Skirt
",2193,"Indian Cotton Printed Handmade Wrap SkirtFabric: CottonSize: Free Size (Up to 48"" Waist)Length: 39 Inches approx.Color: MulticolorPattern: MandalaWashing instruction: Dry Clean Or Hand wash cold. Do not tumble dry.Give your look a little boho feel with this Indian Mandala wrap skirts. This gorgeous and beautiful flowing skirt style is perfect clothing for you. This gypsy skirt is comfortable and made of 100% cotton material. Cotton absorb your sweating and you always feel relaxed after wrapping this skirt. You can also wear this skirt at beach too.This skirt is made from hand screen mandala fabric. Skirt has belt straps at the end to tie. Due to fabric design limitation, below size options are available for this skirt:",https://i.etsystatic.com/25351529/r/il/6b4143/2985930705/il_794xN.2985930705_fj3g.jpg,Clothing,"[[], []]",https://www.etsy.com/in-en/listing/980123395/indian-cotton-printed-handmade-wrap?click_key=2eb474e8c9d3725b3ea7e8abf716680c6d15af5a%3A980123395&click_sum=7c28c190&ref=shop_home_feat_4&pro=1&frs=1
"
    100 Pc Lot Indian Kantha Stitched Scarf Girl  Neck Wrap Scarves Shawl Vintage Scarf
",33352,"FREE AND EXPRESS SHIPPING~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~100 % Costumer SatisfactionWe offer very unique and rare vintage multicolored reversible kantha scarf/dupatta/stole/shawl as it can be used from both the sides. This Stole/Scraf is made up from two different layers or design of saris which are stitched together in a very fine and detail kantha embroidery. Both the sides of dupattas are decorated with beautiful prints. It’s a very different style stole and looks very trendy.These Vintage dupatta's or stoles are unique in their designs & very rare and hard to find. However with such a length of wonderful and perhaps highly decorated fabric there are many other things that can be done with it if you don’t want to wear it as a stole or dupatta, like you can make lovely clothes, use it for Window Dressings & other Household Accessories.Product Specification:Item- Cotton Mix Kantha Reversible Scarf/Stole/Shawl/Dupatta/ScarvesSize - 18 Width x 72 "" long approx.Fabric - CottonColor - Multi-colorNote: No two scarfs are alike, Photos are representative of the item being offered, but are not necessarily of the exact item you would receive. As is the nature of handcrafted items, there may be variations from one piece to the next. Photos are only for reference but you will get assorted kantha scarves.We have bulk quantity of silk and cotton scarf if you need more then please share your requirements~~ Shipping Policy ~~1. We Ship the Orders Item Within 2-3 Business Days After Receiving Order/ Payment.2. We're using Best services like FedEx Express, DHL, and Express Aramex Express & India Post for best shipping for you.3. Country's Custom Duties, Taxes & Charges are to be paid by buyer if there are any.~~ Payment Policy ~~1. . We Accept Payment Via PayPal Only. A safest way for you & us both.2. International Buyers are responsible for their Country Custom Duties & other charges.~~ Return Policy ~~1. Returns Accepted From Buyers Within 30 Days of Delivery.2. Return Shipping Charges will be made by Buyers.Please give us positive feedback after receiving product. In case of any problem please tell us.. Our aim is providing 100 % customer satisfaction.We are dealing in Wholesale Indian Silk Skirts, Indian Cotton Skirts, Indian Kantha Quilts, scarves, Dresses, Decor Umbrellas , Decor Strings many more under Home Decor Category. We are delivering you high quality check products.Note:1. These are vintage stoles and not new so cannot be expected to be in a perfect condition. Very minor wear and tear and loose threads are expected and they are considered to be adding beauty to these masterpieces.*********Fast and Free Express Shipping****************100% customer satisfaction*****Thanks for your time. Have a nice deal☺☺☺",https://i.etsystatic.com/25351529/r/il/588bc3/3148019993/il_794xN.3148019993_2mbw.jpg,Accessories,"[[], []]",https://www.etsy.com/in-en/listing/1010123686/100-pc-lot-indian-kantha-stitched-scarf?click_key=b2da069abcdb9f2597c27a1312b2346e1ee791df%3A1010123686&click_sum=7b76cee2&ref=shop_home_active_1&pro=1&frs=1
"
    100 Pc Lot Vintage Cotton Indian Kantha Scarf Scarves Stole Bohemian Hippie Handmade Bohemian Scarves Scarf ( Assorted Colors )
",33352,"FREE AND EXPRESS SHIPPING~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~100 % Costumer SatisfactionWe offer very unique and rare vintage multicolored reversible kantha scarf/dupatta/stole/shawl as it can be used from both the sides. This Stole/Scraf is made up from two different layers or design of saris which are stitched together in a very fine and detail kantha embroidery. Both the sides of dupattas are decorated with beautiful prints. It’s a very different style stole and looks very trendy.These Vintage dupatta's or stoles are unique in their designs & very rare and hard to find. However with such a length of wonderful and perhaps highly decorated fabric there are many other things that can be done with it if you don’t want to wear it as a stole or dupatta, like you can make lovely clothes, use it for Window Dressings & other Household Accessories.Product Specification:Item- Cotton Mix Kantha Reversible Scarf/Stole/Shawl/Dupatta/ScarvesSize - 18 Width x 72 "" long approx.Fabric - CottonColor - Multi-colorNote: No two scarfs are alike, Photos are representative of the item being offered, but are not necessarily of the exact item you would receive. As is the nature of handcrafted items, there may be variations from one piece to the next. Photos are only for reference but you will get assorted kantha scarves.We have bulk quantity of silk and cotton scarf if you need more then please share your requirements~~ Shipping Policy ~~1. We Ship the Orders Item Within 2-3 Business Days After Receiving Order/ Payment.2. We're using Best services like FedEx Express, DHL, and Express Aramex Express & India Post for best shipping for you.3. Country's Custom Duties, Taxes & Charges are to be paid by buyer if there are any.~~ Payment Policy ~~1. . We Accept Payment Via PayPal Only. A safest way for you & us both.2. International Buyers are responsible for their Country Custom Duties & other charges.~~ Return Policy ~~1. Returns Accepted From Buyers Within 30 Days of Delivery.2. Return Shipping Charges will be made by Buyers.Please give us positive feedback after receiving product. In case of any problem please tell us.. Our aim is providing 100 % customer satisfaction.We are dealing in Wholesale Indian Silk Skirts, Indian Cotton Skirts, Indian Kantha Quilts, scarves, Dresses, Decor Umbrellas , Decor Strings many more under Home Decor Category. We are delivering you high quality check products.Note:1. These are vintage stoles and not new so cannot be expected to be in a perfect condition. Very minor wear and tear and loose threads are expected and they are considered to be adding beauty to these masterpieces.*********Fast and Free Express Shipping****************100% customer satisfaction*****Thanks for your time. Have a nice deal☺☺☺",https://i.etsystatic.com/25351529/r/il/588bc3/3148019993/il_794xN.3148019993_2mbw.jpg,Accessories,"[[], []]",https://www.etsy.com/in-en/listing/1010121056/100-pc-lot-vintage-cotton-indian-kantha?click_key=ab4fd29c657b5a5ad8488874562ce489837809fb%3A1010121056&click_sum=3b24b4ac&ref=shop_home_active_2&pro=1&frs=1
"
    50 Pc Lot Vintage Kantha Scarf Cotton Sari Stole Indian Handmade Women Dupatta Neck Wrap
",18760,"FREE AND EXPRESS SHIPPING~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~100 % Costumer SatisfactionWe offer very unique and rare vintage multicolored reversible kantha scarf/dupatta/stole/shawl as it can be used from both the sides. This Stole/Scraf is made up from two different layers or design of saris which are stitched together in a very fine and detail kantha embroidery. Both the sides of dupattas are decorated with beautiful prints. It’s a very different style stole and looks very trendy.These Vintage dupatta's or stoles are unique in their designs & very rare and hard to find. However with such a length of wonderful and perhaps highly decorated fabric there are many other things that can be done with it if you don’t want to wear it as a stole or dupatta, like you can make lovely clothes, use it for Window Dressings & other Household Accessories.Product Specification:Item- Cotton Mix Kantha Reversible Scarf/Stole/Shawl/Dupatta/ScarvesSize - 18 Width x 72 "" long approx.Fabric - CottonColor - Multi-colorNote: No two scarfs are alike, Photos are representative of the item being offered, but are not necessarily of the exact item you would receive. As is the nature of handcrafted items, there may be variations from one piece to the next. Photos are only for reference but you will get assorted kantha scarves.We have bulk quantity of silk and cotton scarf if you need more then please share your requirements~~ Shipping Policy ~~1. We Ship the Orders Item Within 2-3 Business Days After Receiving Order/ Payment.2. We're using Best services like FedEx Express, DHL, and Express Aramex Express & India Post for best shipping for you.3. Country's Custom Duties, Taxes & Charges are to be paid by buyer if there are any.~~ Payment Policy ~~1. . We Accept Payment Via PayPal Only. A safest way for you & us both.2. International Buyers are responsible for their Country Custom Duties & other charges.~~ Return Policy ~~1. Returns Accepted From Buyers Within 30 Days of Delivery.2. Return Shipping Charges will be made by Buyers.Please give us positive feedback after receiving product. In case of any problem please tell us.. Our aim is providing 100 % customer satisfaction.We are dealing in Wholesale Indian Silk Skirts, Indian Cotton Skirts, Indian Kantha Quilts, scarves, Dresses, Decor Umbrellas , Decor Strings many more under Home Decor Category. We are delivering you high quality check products.Note:1. These are vintage stoles and not new so cannot be expected to be in a perfect condition. Very minor wear and tear and loose threads are expected and they are considered to be adding beauty to these masterpieces.*********Fast and Free Express Shipping****************100% customer satisfaction*****Thanks for your time. Have a nice deal☺☺☺",https://i.etsystatic.com/25351529/r/il/588bc3/3148019993/il_794xN.3148019993_2mbw.jpg,Accessories,"[[], []]",https://www.etsy.com/in-en/listing/1024094315/50-pc-lot-vintage-kantha-scarf-cotton?click_key=734f8ab7bef91635b204bf764ce9dfd61d0bbbec%3A1024094315&click_sum=ff2fc231&ref=shop_home_active_3&pro=1&frs=1
"
    20 Pc Lot Vintage Kantha Scarf Cotton Dupatta Neck Wrap Women Indian Hand Quilted Scarf
",9797,"FREE AND EXPRESS SHIPPING~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~100 % Costumer SatisfactionWe offer very unique and rare vintage multicolored reversible kantha scarf/dupatta/stole/shawl as it can be used from both the sides. This Stole/Scraf is made up from two different layers or design of saris which are stitched together in a very fine and detail kantha embroidery. Both the sides of dupattas are decorated with beautiful prints. It’s a very different style stole and looks very trendy.These Vintage dupatta's or stoles are unique in their designs & very rare and hard to find. However with such a length of wonderful and perhaps highly decorated fabric there are many other things that can be done with it if you don’t want to wear it as a stole or dupatta, like you can make lovely clothes, use it for Window Dressings & other Household Accessories.Product Specification:Item- Cotton Mix Kantha Reversible Scarf/Stole/Shawl/Dupatta/ScarvesSize - 18 Width x 72 "" long approx.Fabric - CottonColor - Multi-colorNote: No two scarfs are alike, Photos are representative of the item being offered, but are not necessarily of the exact item you would receive. As is the nature of handcrafted items, there may be variations from one piece to the next. Photos are only for reference but you will get assorted kantha scarves.We have bulk quantity of silk and cotton scarf if you need more then please share your requirements~~ Shipping Policy ~~1. We Ship the Orders Item Within 2-3 Business Days After Receiving Order/ Payment.2. We're using Best services like FedEx Express, DHL, and Express Aramex Express & India Post for best shipping for you.3. Country's Custom Duties, Taxes & Charges are to be paid by buyer if there are any.~~ Payment Policy ~~1. . We Accept Payment Via PayPal Only. A safest way for you & us both.2. International Buyers are responsible for their Country Custom Duties & other charges.~~ Return Policy ~~1. Returns Accepted From Buyers Within 30 Days of Delivery.2. Return Shipping Charges will be made by Buyers.Please give us positive feedback after receiving product. In case of any problem please tell us.. Our aim is providing 100 % customer satisfaction.We are dealing in Wholesale Indian Silk Skirts, Indian Cotton Skirts, Indian Kantha Quilts, scarves, Dresses, Decor Umbrellas , Decor Strings many more under Home Decor Category. We are delivering you high quality check products.Note:1. These are vintage stoles and not new so cannot be expected to be in a perfect condition. Very minor wear and tear and loose threads are expected and they are considered to be adding beauty to these masterpieces.*********Fast and Free Express Shipping****************100% customer satisfaction*****Thanks for your time. Have a nice deal☺☺☺",https://i.etsystatic.com/25351529/r/il/6e21b5/3148035409/il_794xN.3148035409_i5ws.jpg,Accessories,"[[], []]",https://www.etsy.com/in-en/listing/1024094095/20-pc-lot-vintage-kantha-scarf-cotton?click_key=f3579ee598c7fc662b114baae30304814b347f2f%3A1024094095&click_sum=d39d081b&ref=shop_home_active_4&pro=1&frs=1
"
    10 Pc Lot Vintage Kantha Scarf Cotton Sari Stole Indian Handmade Women Dupatta Neck Wrap
",8015,"FREE AND EXPRESS SHIPPING~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~100 % Costumer SatisfactionWe offer very unique and rare vintage multicolored reversible kantha scarf/dupatta/stole/shawl as it can be used from both the sides. This Stole/Scraf is made up from two different layers or design of saris which are stitched together in a very fine and detail kantha embroidery. Both the sides of dupattas are decorated with beautiful prints. It’s a very different style stole and looks very trendy.These Vintage dupatta's or stoles are unique in their designs & very rare and hard to find. However with such a length of wonderful and perhaps highly decorated fabric there are many other things that can be done with it if you don’t want to wear it as a stole or dupatta, like you can make lovely clothes, use it for Window Dressings & other Household Accessories.Product Specification:Item- Cotton Mix Kantha Reversible Scarf/Stole/Shawl/Dupatta/ScarvesSize - 18 Width x 72 "" long approx.Fabric - CottonColor - Multi-colorNote: No two scarfs are alike, Photos are representative of the item being offered, but are not necessarily of the exact item you would receive. As is the nature of handcrafted items, there may be variations from one piece to the next. Photos are only for reference but you will get assorted kantha scarves.We have bulk quantity of silk and cotton scarf if you need more then please share your requirements~~ Shipping Policy ~~1. We Ship the Orders Item Within 2-3 Business Days After Receiving Order/ Payment.2. We're using Best services like FedEx Express, DHL, and Express Aramex Express & India Post for best shipping for you.3. Country's Custom Duties, Taxes & Charges are to be paid by buyer if there are any.~~ Payment Policy ~~1. . We Accept Payment Via PayPal Only. A safest way for you & us both.2. International Buyers are responsible for their Country Custom Duties & other charges.~~ Return Policy ~~1. Returns Accepted From Buyers Within 30 Days of Delivery.2. Return Shipping Charges will be made by Buyers.Please give us positive feedback after receiving product. In case of any problem please tell us.. Our aim is providing 100 % customer satisfaction.We are dealing in Wholesale Indian Silk Skirts, Indian Cotton Skirts, Indian Kantha Quilts, scarves, Dresses, Decor Umbrellas , Decor Strings many more under Home Decor Category. We are delivering you high quality check products.Note:1. These are vintage stoles and not new so cannot be expected to be in a perfect condition. Very minor wear and tear and loose threads are expected and they are considered to be adding beauty to these masterpieces.*********Fast and Free Express Shipping****************100% customer satisfaction*****Thanks for your time. Have a nice deal☺☺☺",https://i.etsystatic.com/25351529/r/il/5d3f02/3148035891/il_794xN.3148035891_b8vr.jpg,Accessories,"[[], []]",https://www.etsy.com/in-en/listing/1010120246/10-pc-lot-vintage-kantha-scarf-cotton?click_key=ac7a3c5256f79edc090ea882d0c2480f93aa3d11%3A1010120246&click_sum=bb65687c&ref=shop_home_active_5&pro=1&frs=1
"
    5 Pc Lot Vintage Kantha Scarf Cotton Sari Stole Dupatta Neck Wrap Indian Handmade 18""x72"" #Handmade #Scarf
",3752,"FREE AND EXPRESS SHIPPING~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~100 % Costumer SatisfactionWe offer very unique and rare vintage multicolored reversible kantha scarf/dupatta/stole/shawl as it can be used from both the sides. This Stole/Scraf is made up from two different layers or design of saris which are stitched together in a very fine and detail kantha embroidery. Both the sides of dupattas are decorated with beautiful prints. It’s a very different style stole and looks very trendy.These Vintage dupatta's or stoles are unique in their designs & very rare and hard to find. However with such a length of wonderful and perhaps highly decorated fabric there are many other things that can be done with it if you don’t want to wear it as a stole or dupatta, like you can make lovely clothes, use it for Window Dressings & other Household Accessories.Product Specification:Item- Cotton Mix Kantha Reversible Scarf/Stole/Shawl/Dupatta/ScarvesSize - 18 Width x 72 "" long approx.Fabric - CottonColor - Multi-colorNote: No two scarfs are alike, Photos are representative of the item being offered, but are not necessarily of the exact item you would receive. As is the nature of handcrafted items, there may be variations from one piece to the next. Photos are only for reference but you will get assorted kantha scarves.We have bulk quantity of silk and cotton scarf if you need more then please share your requirements~~ Shipping Policy ~~1. We Ship the Orders Item Within 2-3 Business Days After Receiving Order/ Payment.2. We're using Best services like FedEx Express, DHL, and Express Aramex Express & India Post for best shipping for you.3. Country's Custom Duties, Taxes & Charges are to be paid by buyer if there are any.~~ Payment Policy ~~1. . We Accept Payment Via PayPal Only. A safest way for you & us both.2. International Buyers are responsible for their Country Custom Duties & other charges.~~ Return Policy ~~1. Returns Accepted From Buyers Within 30 Days of Delivery.2. Return Shipping Charges will be made by Buyers.Please give us positive feedback after receiving product. In case of any problem please tell us.. Our aim is providing 100 % customer satisfaction.We are dealing in Wholesale Indian Silk Skirts, Indian Cotton Skirts, Indian Kantha Quilts, scarves, Dresses, Decor Umbrellas , Decor Strings many more under Home Decor Category. We are delivering you high quality check products.Note:1. These are vintage stoles and not new so cannot be expected to be in a perfect condition. Very minor wear and tear and loose threads are expected and they are considered to be adding beauty to these masterpieces.*********Fast and Free Express Shipping****************100% customer satisfaction*****Thanks for your time. Have a nice deal☺☺☺",https://i.etsystatic.com/25351529/r/il/7e1963/3100317424/il_794xN.3100317424_mj0k.jpg,Accessories,"[[], []]",https://www.etsy.com/in-en/listing/1010120122/5-pc-lot-vintage-kantha-scarf-cotton?click_key=01c1d32db8fbc02aac560eb2aacb825c336d103e%3A1010120122&click_sum=66079674&ref=shop_home_active_6&pro=1&frs=1
