Produce Name,Price,Description,Image,Category,Options,Product URL
"
    Indian Ghaver Teej Occasion Special Sweets, Eatable Item, Teez Mithai, Dudh ke Ghaver,  Rajasthani Ghevar
",3900,"Wheat Flour, Milk, Desighee, Sugar, Dry FruitsAlways Fresh!!Top Quality!! Top Taste!!INGREDIENTS:Fresh Cottage Cheese, White Flour(Maida), Milk, Vishudh Pure Desi Ghee, Cardamom, Saffron, Rose, and Kewra Water, Nuts for Garnishing.Shelf Life: 20 DaysPlease select drop down to choose pieces.Note - It will come sugar free. You need ad sugar syrup or sugar water(Chasni) when you want to eat it.HOW TO MAKE SUGAR WATER - YOU JUST NEED TO BOIL WATER AND ADD SUGAR ACCORDING YOUR TASTE AND ADD IT ON GHAVER.",https://i.etsystatic.com/26525922/r/il/a7ffa0/4039180229/il_794xN.4039180229_38gt.jpg,Home & Living,"[['Select an option', '2 Pieces (₹ 3,900)', '4 Pieces (₹ 7,800)', '6 Pieces (₹ 11,700)', '8 Pieces (₹ 14,039)', '10 Pieces (₹ 15,599)'], []]",https://www.etsy.com/in-en/listing/1249419738/indian-ghaver-teej-occasion-special?click_key=8ed9327febe32e4101a72d915d89c12cd33dbc64%3A1249419738&click_sum=036d3cc4&ref=shop_home_feat_1&pro=1&frs=1
"
    FULL LENGTH bird Print Pajama SET, Matching Pyjama Set, Bride Pajamas, Bridal Party Pajamas, Bridesmaid Pajamas, Cotton Pajamas, Indian Pj
",3018,"100% pure cotton hand block printed night suit, perfect for summer while sipping tea on your terrace!Completely handmade in Jaipur from 100% pure cotton fabric.Comes in S/M/L/XL/2XL/3XL/4XL/5XL sizes, but without any complications can be adjusted to individual measurements.Note: The color and brightness of actual product may vary due to digital photography and photo editing. We crossed check each and every product before listing.Neck line - Collared NeckSleeve length - 3/4 SleeveClosure - Front Button OpenNote : More Detail About Measurements - Please See the Chart In PhotoWe accept the payment by pay pal.International buyers are responsible for their countries duties and taxes.Shipping PolicyWe ship The Item Worldwide By DHL Prime services",https://i.etsystatic.com/26525922/r/il/502cc6/3351168487/il_794xN.3351168487_aksi.jpg,Clothing,"[['Select an option', 'S (₹ 3,018)', 'M (₹ 3,018)', 'L (₹ 3,018)', 'XL (₹ 3,018)', '2XL (₹ 3,229)', '3XL (₹ 3,509)', '4XL (₹ 3,790)', '5XL (₹ 3,931)'], []]",https://www.etsy.com/in-en/listing/1064108148/full-length-bird-print-pajama-set?click_key=fc4b15ff78487df11aa02169d651e042b25b100f%3A1064108148&click_sum=2b2aac17&ref=shop_home_feat_2&pro=1&frs=1
"
    Indian Soft Pyjamas/ Monkey Print Pure Cotton P J Set, Pijamas Set ,Indian Cotton,Night Wear, Soft Cotton Night Suit- Gift for her. pj set
",3018,"100% pure cotton hand block printed night suit, perfect for summer while sipping tea on your terrace!Completely handmade in Jaipur from 100% pure cotton fabric.Comes in S/M/L/XL/2XL/3XL/4XL/5XL sizes, but without any complications can be adjusted to individual measurements.Note: The color and brightness of actual product may vary due to digital photography and photo editing. We crossed check each and every product before listing.Neck line - Collared NeckSleeve length - 3/4 SleeveClosure - Front Button OpenNote : More Detail About Measurements - Please See the Chart In PhotoWe accept the payment by pay pal.International buyers are responsible for their countries duties and taxes.Shipping PolicyWe ship The Item Worldwide By DHL Prime services",https://i.etsystatic.com/26525922/r/il/3ca61b/3288892476/il_794xN.3288892476_to3j.jpg,Clothing,"[['Select an option', 'S (₹ 3,018)', 'M (₹ 3,018)', 'L (₹ 3,018)', 'XL (₹ 3,018)', '2XL (₹ 3,229)', '3XL (₹ 3,509)', '4XL (₹ 3,790)', '5XL (₹ 3,931)'], []]",https://www.etsy.com/in-en/listing/1074207387/indian-soft-pyjamas-monkey-print-pure?click_key=0016c357e63bb1babc82c1a44092e5e882201dca%3A1074207387&click_sum=e4b11349&ref=shop_home_feat_3&pro=1&frs=1
"
    Indian 100% pure cotton pyjamas, Womens pure cotton pj's, ultra soft cotton pyjama Set trousers shirts, anokhi printed cotton pyjama set
",3018,"100% Pure Cotton Anoki Floral Pattern Printed Night Suit, Perfect For Summer While Sipping Tea on Your Terrace!Completely Handmade in Jaipur from 100% Pure Cotton Fabric.Comes in S/M/L/XL/2XL/3XL/4XL/5XL sizes, but without any complications can be adjusted to individual measurements.Note: The color and brightness of actual product may vary due to digital photography and photo editing. We crossed check each and every product before listing.Note : More Detail About Measurements - Please See the Chart In PhotoWe accept the payment by Paypal.International buyers are responsible for their countries duties and taxes.Shipping PolicyWe ship The Item Worldwide By DHL Prime services",https://i.etsystatic.com/26525922/r/il/af9f56/3137721528/il_794xN.3137721528_lv1n.jpg,Clothing,"[['Select an option', 'S (₹ 3,018)', 'M (₹ 3,018)', 'L (₹ 3,018)', 'XL (₹ 3,018)', '2XL (₹ 3,299)', '3XL (₹ 3,580)', '4XL (₹ 3,790)', '5XL (₹ 4,001)'], []]",https://www.etsy.com/in-en/listing/979393119/indian-100-pure-cotton-pyjamas-womens?click_key=c568d8eb3b0575b00010deeb40811108c4bea18c%3A979393119&click_sum=c790d727&ref=shop_home_feat_4&pro=1&frs=1
"
    Sale !! Jaipuri Print Long Coat Robe ,Unisex kimono Robe Floral Print Wrap Dress, Japanese Handmade kimono Style Beach Wear kantha robe
",1560,"Item DescriptionItem - Designer Cotton Kimono / TunicFabric - 100% CottonColor - Multi ColorSize - Free SizeMeasurement Of Kimono (Approximate)Length :- 50"" Inches ApproxChest :- Free Size ( Drawstring )Product DescriptionThis Beautiful Tunic or can be called as Kimono is made with super fine quality cotton and designs have been crafted by Hand Prints.* The Base color of Kimono is Multi-Color Floral Pattern have been crafted.* These Kimono are made on best Quality Cotton cloth.* It has Adjustable Drawstring Waist.* Very comfortable to wear in both hot or cold weather.* Wash Care:- Hand Cum Machine Wash In Cold Water.Note-* International buyers are responsible for their countries duties and taxes.* We ship The Item Worldwide By FEDEX, UPS and by BOMBINO services.",https://i.etsystatic.com/26525922/r/il/94073d/4039216138/il_794xN.4039216138_7ywt.jpg,Clothing,"[[], []]",https://www.etsy.com/in-en/listing/1261424178/sale-jaipuri-print-long-coat-robe-unisex?click_key=95e16d389ad9504b1a77a5389f6ec45f9567b2a1%3A1261424178&click_sum=4ea08ffd&ref=shop_home_active_1&pro=1&frs=1
"
    100% Cotton Indian Beach Kimono Robe ,Kimono Robe,Cotton Robe,Shower Robe, Maternity Robe Bath robe Dressing Gown Beachwear long/short
",1560,"Item DescriptionItem - Designer Cotton Kimono / TunicFabric - 100% CottonColor - Multi ColorSize - Free SizeMeasurement Of Kimono (Approximate)Length :- 50"" Inches ApproxChest :- Free Size ( Drawstring )Product DescriptionThis Beautiful Tunic or can be called as Kimono is made with super fine quality cotton and designs have been crafted by Hand Prints.* The Base color of Kimono is Multi-Color Floral Pattern have been crafted.* These Kimono are made on best Quality Cotton cloth.* It has Adjustable Drawstring Waist.* Very comfortable to wear in both hot or cold weather.* Wash Care:- Hand Cum Machine Wash In Cold Water.Note-* International buyers are responsible for their countries duties and taxes.* We ship The Item Worldwide By FEDEX, UPS and by BOMBINO services.",https://i.etsystatic.com/26525922/r/il/a15dd8/4039216306/il_794xN.4039216306_b8na.jpg,Clothing,"[[], []]",https://www.etsy.com/in-en/listing/1275433677/100-cotton-indian-beach-kimono-robe?click_key=67cf3ebc2bc2351d5d673343aeb84126667e1017%3A1275433677&click_sum=00a27f53&ref=shop_home_active_2&pro=1&frs=1
"
    personalized long short unisex kimono robes cotton summer women nightgown jacket floral bridesmaid gifts wedding gifts dungarees lace boho
",1560,"Item DescriptionItem - Designer Cotton Kimono / TunicFabric - 100% CottonColor - Multi ColorSize - Free SizeMeasurement Of Kimono (Approximate)Length :- 50"" Inches ApproxChest :- Free Size ( Drawstring )Product DescriptionThis Beautiful Tunic or can be called as Kimono is made with super fine quality cotton and designs have been crafted by Hand Prints.* The Base color of Kimono is Multi-Color Floral Pattern have been crafted.* These Kimono are made on best Quality Cotton cloth.* It has Adjustable Drawstring Waist.* Very comfortable to wear in both hot or cold weather.* Wash Care:- Hand Cum Machine Wash In Cold Water.Note-* International buyers are responsible for their countries duties and taxes.* We ship The Item Worldwide By FEDEX, UPS and by BOMBINO services.",https://i.etsystatic.com/26525922/r/il/859766/4086851133/il_794xN.4086851133_cytu.jpg,Clothing,"[[], []]",https://www.etsy.com/in-en/listing/1275431969/personalized-long-short-unisex-kimono?click_key=d55a066050c7427db4eae543be55b5dbf1e5b3bd%3A1275431969&click_sum=c04d7957&ref=shop_home_active_3&pro=1&frs=1
"
    Women's Robes Cotton Dressing Gown Kimono Lightweight Robe Bridesmaid Gifts 100% Cotton Kimono Indian Kimono Robes Printed Dressing Gown
",1560,"Item DescriptionItem - Designer Cotton Kimono / TunicFabric - 100% CottonColor - Multi ColorSize - Free SizeMeasurement Of Kimono (Approximate)Length :- 50"" Inches ApproxChest :- Free Size ( Drawstring )Product DescriptionThis Beautiful Tunic or can be called as Kimono is made with super fine quality cotton and designs have been crafted by Hand Prints.* The Base color of Kimono is Multi-Color Floral Pattern have been crafted.* These Kimono are made on best Quality Cotton cloth.* It has Adjustable Drawstring Waist.* Very comfortable to wear in both hot or cold weather.* Wash Care:- Hand Cum Machine Wash In Cold Water.Note-* International buyers are responsible for their countries duties and taxes.* We ship The Item Worldwide By FEDEX, UPS and by BOMBINO services.",https://i.etsystatic.com/26525922/r/il/522b77/4086845429/il_794xN.4086845429_rr94.jpg,Clothing,"[[], []]",https://www.etsy.com/in-en/listing/1261420474/womens-robes-cotton-dressing-gown-kimono?click_key=d1ead39df7eb01dd39229e731b030528a0668436%3A1261420474&click_sum=c6838a18&ref=shop_home_active_4&pro=1&frs=1
"
    100% Cotton Kimono Indian Kimono Robes Printed Dressing Gown Women's Robes Cotton Dressing Gown Kimono Lightweight Robe Bridesmaid Gifts
",1560,"Item DescriptionItem - Designer Cotton Kimono / TunicFabric - 100% CottonColor - Multi ColorSize - Free SizeMeasurement Of Kimono (Approximate)Length :- 50"" Inches ApproxChest :- Free Size ( Drawstring )Product DescriptionThis Beautiful Tunic or can be called as Kimono is made with super fine quality cotton and designs have been crafted by Hand Prints.* The Base color of Kimono is Multi-Color Floral Pattern have been crafted.* These Kimono are made on best Quality Cotton cloth.* It has Adjustable Drawstring Waist.* Very comfortable to wear in both hot or cold weather.* Wash Care:- Hand Cum Machine Wash In Cold Water.Note-* International buyers are responsible for their countries duties and taxes.* We ship The Item Worldwide By FEDEX, UPS and by BOMBINO services.",https://i.etsystatic.com/26525922/r/il/224a5f/4039197486/il_794xN.4039197486_b66b.jpg,Clothing,"[[], []]",https://www.etsy.com/in-en/listing/1261419702/100-cotton-kimono-indian-kimono-robes?click_key=e8c2ac892cd546b2b3a3dabeb47d572f67ef302a%3A1261419702&click_sum=f15b9f0a&ref=shop_home_active_5&pro=1&frs=1
"
    Night gown costume Blue indigo Kimono robe, Indian cotton kimono bath robe cover up, Japan kimono night dress, women's clothing Crossover
",1560,"Item DescriptionItem - Designer Cotton Kimono / TunicFabric - 100% CottonColor - Multi ColorSize - Free SizeMeasurement Of Kimono (Approximate)Length :- 50"" Inches ApproxChest :- Free Size ( Drawstring )Product DescriptionThis Beautiful Tunic or can be called as Kimono is made with super fine quality cotton and designs have been crafted by Hand Prints.* The Base color of Kimono is Multi-Color Floral Pattern have been crafted.* These Kimono are made on best Quality Cotton cloth.* It has Adjustable Drawstring Waist.* Very comfortable to wear in both hot or cold weather.* Wash Care:- Hand Cum Machine Wash In Cold Water.Note-* International buyers are responsible for their countries duties and taxes.* We ship The Item Worldwide By FEDEX, UPS and by BOMBINO services.",https://i.etsystatic.com/26525922/r/il/70945f/4086838979/il_794xN.4086838979_mzcp.jpg,Clothing,"[[], []]",https://www.etsy.com/in-en/listing/1275428951/night-gown-costume-blue-indigo-kimono?click_key=e2cdc5bc3d5ad933c599439a321e1efa61a0c9b5%3A1275428951&click_sum=babc5961&ref=shop_home_active_6&pro=1&frs=1
