Produce Name,Price,Description,Image,Category,Options,Product URL
"
    Natural Opal Pear Cabochon 3x5mm to 7x10mm Loose Gemstone 3x5mm 4x6mm 5x7mm 6x9mm 7x10mm
",2318,Natural  OpalSize:-  3x5mm to 7x10mmShape: Pear Cabochon,https://i.etsystatic.com/19191600/r/il/e8262b/2247140927/il_794xN.2247140927_s2qu.jpg,Craft Supplies & Tools,"[['Select an option', '3x5mm (₹ 2,318 - ₹ 17,668)', '4x6mm (₹ 3,152 - ₹ 25,722)', '5x7mm (₹ 4,857 - ₹ 43,141)', '6x9mm (₹ 9,385 - ₹ 87,291)', '7x10mm (₹ 18,073 - ₹ 173,337)'], ['Select an option', '10Pieces (₹ 2,318 - ₹ 18,073)', '15Pieces (₹ 3,217 - ₹ 26,863)', '25Pieces (₹ 5,103 - ₹ 43,644)', '50Pieces (₹ 9,370 - ₹ 86,738)', '100Pieces (₹ 17,668 - ₹ 173,337)']]",https://www.etsy.com/in-en/listing/780947617/natural-opal-pear-cabochon-3x5mm-to?click_key=c2cc3464555b4420308ab42232e2cfe67569b58f%3A780947617&click_sum=4fc126ca&ref=shop_home_feat_1&pro=1&frs=1
"
    Natural Tibetan Copper Turquoise Octagon Cabochon , 6x8mm to 18x25mm , Loose Gemstone
",119,Natural  TurquoiseSize:- 6x8mm to 18x25mmShape: Octagon Cabochon,https://i.etsystatic.com/19191600/r/il/e7b04f/4021073245/il_794xN.4021073245_ee29.jpg,Craft Supplies & Tools,"[['Select an option', '6x8mm (₹ 119 - ₹ 6,654)', '7x9mm (₹ 136 - ₹ 8,273)', '8x10mm (₹ 157 - ₹ 10,333)', '9x11mm (₹ 223 - ₹ 16,643)', '10x12mm (₹ 283 - ₹ 21,525)', '10x14mm (₹ 340 - ₹ 27,401)', '12x16mm (₹ 397 - ₹ 32,936)', '13x18mm (₹ 481 - ₹ 41,213)', '15x20mm (₹ 588 - ₹ 54,418)', '16x22mm (₹ 682 - ₹ 63,612)', '18x25mm (₹ 837 - ₹ 77,746)'], ['Select an option', '1pieces (₹ 119 - ₹ 837)', '5pieces (₹ 596 - ₹ 4,186)', '10Pieces (₹ 994 - ₹ 8,240)', '15Pieces (₹ 1,458 - ₹ 12,360)', '25Pieces (₹ 2,119 - ₹ 19,749)', '50Pieces (₹ 3,564 - ₹ 39,027)', '100Pieces (₹ 6,654 - ₹ 77,746)']]",https://www.etsy.com/in-en/listing/1258987601/natural-tibetan-copper-turquoise-octagon?click_key=69bf274c534ec74cb141347c9762159bc24e4f11%3A1258987601&click_sum=42511190&ref=shop_home_feat_2&pro=1
"
    Natural Citrine Square Faceted Cut 3mm to 15mm Loose Gemstone, Wedding High Quality Zircons Unique Beads, Top Quality Flash Jewelry
",621,Natural  CitrineColor : YellowSize:- 3mm to 15mmShape: Square Faceted CutTransparency : TransparentCountry  of  Origin : Brazil,https://i.etsystatic.com/19191600/r/il/83e285/3027756370/il_794xN.3027756370_6l4d.jpg,Craft Supplies & Tools,"[['Select an option', '3mm (₹ 621 - ₹ 4,482)', '4mm (₹ 1,236 - ₹ 6,830)', '5mm (₹ 1,443 - ₹ 8,211)', '6mm (₹ 1,995 - ₹ 13,943)', '7mm (₹ 2,548 - ₹ 19,606)', '8mm (₹ 3,722 - ₹ 29,965)', '9mm (₹ 8,349 - ₹ 80,240)', '10mm (₹ 8,487 - ₹ 80,378)', '11mm (₹ 12,838 - ₹ 128,029)', '12mm (₹ 13,045 - ₹ 128,167)', '13mm (₹ 23,197 - ₹ 232,171)', '14mm (₹ 23,404 - ₹ 232,309)', '15mm (₹ 27,824 - ₹ 276,508)'], ['Select an option', '2 Pieces (₹ 621)', '10 Pieces (₹ 1,029 - ₹ 27,824)', '15 Pieces (₹ 1,305 - ₹ 41,705)', '25 Pieces (₹ 1,719 - ₹ 69,329)', '50 Pieces (₹ 2,686 - ₹ 138,388)', '100 Pieces (₹ 4,482 - ₹ 276,508)']]",https://www.etsy.com/in-en/listing/754628296/natural-citrine-square-faceted-cut-3mm?click_key=296a7cb19b4af7bc334879b2791d6bd1e70cd100%3A754628296&click_sum=4fa979aa&ref=shop_home_feat_3&pro=1&frs=1
"
    Natural Opal Round Cabochon 3mm to 10mm Loose Gemstone diamond cut machine genuine Indian Jewelry  bamboo excellent anklets
",448,Natural OpalSize: 3mm To 10mmShape: RoundOrigin: India,https://i.etsystatic.com/19191600/r/il/4f970b/2779114162/il_794xN.2779114162_q8v8.jpg,Craft Supplies & Tools,"[['Select an option', '3mm (₹ 448 - ₹ 5,247)', '4mm (₹ 1,518 - ₹ 9,529)', '5mm (₹ 3,106 - ₹ 25,821)', '6mm (₹ 4,833 - ₹ 41,643)', '7mm (₹ 7,802 - ₹ 72,091)', '8mm (₹ 12,291 - ₹ 117,670)', '9mm (₹ 29,142 - ₹ 290,872)', '10mm (₹ 29,349 - ₹ 290,872)'], ['Select an option', '2 Pieces (₹ 448)', '10 Pieces (₹ 1,104 - ₹ 29,349)', '15 Pieces (₹ 1,380 - ₹ 43,915)', '25 Pieces (₹ 1,865 - ₹ 72,920)', '50 Pieces (₹ 2,968 - ₹ 145,570)', '100 Pieces (₹ 5,247 - ₹ 290,872)']]",https://www.etsy.com/in-en/listing/743505531/natural-opal-round-cabochon-3mm-to-10mm?click_key=0767379f988b7a6b51cc656d8724762851534898%3A743505531&click_sum=17a772d9&ref=shop_home_feat_4&pro=1&frs=1
"
    Natural Tibetan Copper Turquoise Trillion Cabochon , 5mm to 20mm , Loose Gemstone
",97,Natural Tibetan Copper TurquoiseSize: 5mm to 20mmShape: Trillion Cabochon,https://i.etsystatic.com/19191600/r/il/b77b4c/3966947978/il_794xN.3966947978_okck.jpg,Craft Supplies & Tools,"[['Select an option', '5mm (₹ 97 - ₹ 4,512)', '6mm (₹ 106 - ₹ 5,346)', '7mm (₹ 115 - ₹ 6,180)', '8mm (₹ 131 - ₹ 7,652)', '9mm (₹ 257 - ₹ 20,554)', '10mm (₹ 276 - ₹ 20,568)', '11mm (₹ 381 - ₹ 31,975)', '12mm (₹ 414 - ₹ 32,044)', '13mm (₹ 456 - ₹ 40,676)', '14mm (₹ 470 - ₹ 40,745)', '15mm (₹ 528 - ₹ 46,270)', '16mm (₹ 693 - ₹ 62,292)', '17mm (₹ 801 - ₹ 76,725)', '18mm (₹ 804 - ₹ 76,794)', '19mm (₹ 925 - ₹ 87,775)', '20mm (₹ 932 - ₹ 87,844)'], ['Select an option', '1 pcs (₹ 97 - ₹ 932)', '5 pcs (₹ 484 - ₹ 4,643)', '10 pcs (₹ 771 - ₹ 9,501)', '15 pcs (₹ 1,125 - ₹ 13,733)', '25 pcs (₹ 1,570 - ₹ 21,973)', '50 pcs (₹ 2,485 - ₹ 43,922)', '100  pcs (₹ 4,512 - ₹ 87,844)']]",https://www.etsy.com/in-en/listing/1257381659/natural-tibetan-copper-turquoise?click_key=806fa39879d9f94e00cb03d9f3eea0864b07ef66%3A1257381659&click_sum=b7811506&ref=shop_home_feat_5&pro=1
"
    Natural Opal Pear Cabochon 3x5mm to 7x10mm Loose Gemstone 3x5mm 4x6mm 5x7mm 6x9mm 7x10mm
",2318,Natural  OpalSize:-  3x5mm to 7x10mmShape: Pear Cabochon,https://i.etsystatic.com/19191600/r/il/e8262b/2247140927/il_794xN.2247140927_s2qu.jpg,Craft Supplies & Tools,"[['Select an option', '3x5mm (₹ 2,318 - ₹ 17,668)', '4x6mm (₹ 3,152 - ₹ 25,722)', '5x7mm (₹ 4,857 - ₹ 43,141)', '6x9mm (₹ 9,385 - ₹ 87,291)', '7x10mm (₹ 18,073 - ₹ 173,337)'], ['Select an option', '10Pieces (₹ 2,318 - ₹ 18,073)', '15Pieces (₹ 3,217 - ₹ 26,863)', '25Pieces (₹ 5,103 - ₹ 43,644)', '50Pieces (₹ 9,370 - ₹ 86,738)', '100Pieces (₹ 17,668 - ₹ 173,337)']]",https://www.etsy.com/in-en/listing/780947617/natural-opal-pear-cabochon-3x5mm-to?click_key=c2cc3464555b4420308ab42232e2cfe67569b58f%3A780947617&click_sum=4fc126ca&ref=shop_home_feat_1&pro=1&frs=1
"
    Natural Tibetan Copper Turquoise Octagon Cabochon , 6x8mm to 18x25mm , Loose Gemstone
",119,Natural  TurquoiseSize:- 6x8mm to 18x25mmShape: Octagon Cabochon,https://i.etsystatic.com/19191600/r/il/e7b04f/4021073245/il_794xN.4021073245_ee29.jpg,Craft Supplies & Tools,"[['Select an option', '6x8mm (₹ 119 - ₹ 6,654)', '7x9mm (₹ 136 - ₹ 8,273)', '8x10mm (₹ 157 - ₹ 10,333)', '9x11mm (₹ 223 - ₹ 16,643)', '10x12mm (₹ 283 - ₹ 21,525)', '10x14mm (₹ 340 - ₹ 27,401)', '12x16mm (₹ 397 - ₹ 32,936)', '13x18mm (₹ 481 - ₹ 41,213)', '15x20mm (₹ 588 - ₹ 54,418)', '16x22mm (₹ 682 - ₹ 63,612)', '18x25mm (₹ 837 - ₹ 77,746)'], ['Select an option', '1pieces (₹ 119 - ₹ 837)', '5pieces (₹ 596 - ₹ 4,186)', '10Pieces (₹ 994 - ₹ 8,240)', '15Pieces (₹ 1,458 - ₹ 12,360)', '25Pieces (₹ 2,119 - ₹ 19,749)', '50Pieces (₹ 3,564 - ₹ 39,027)', '100Pieces (₹ 6,654 - ₹ 77,746)']]",https://www.etsy.com/in-en/listing/1258987601/natural-tibetan-copper-turquoise-octagon?click_key=de2b75f1b9e1599322683adcfc6e793741b79bf6%3A1258987601&click_sum=9321c86c&ref=shop_home_feat_2&pro=1
"
    Natural Citrine Square Faceted Cut 3mm to 15mm Loose Gemstone, Wedding High Quality Zircons Unique Beads, Top Quality Flash Jewelry
",621,Natural  CitrineColor : YellowSize:- 3mm to 15mmShape: Square Faceted CutTransparency : TransparentCountry  of  Origin : Brazil,https://i.etsystatic.com/19191600/r/il/83e285/3027756370/il_794xN.3027756370_6l4d.jpg,Craft Supplies & Tools,"[['Select an option', '3mm (₹ 621 - ₹ 4,482)', '4mm (₹ 1,236 - ₹ 6,830)', '5mm (₹ 1,443 - ₹ 8,211)', '6mm (₹ 1,995 - ₹ 13,943)', '7mm (₹ 2,548 - ₹ 19,606)', '8mm (₹ 3,722 - ₹ 29,965)', '9mm (₹ 8,349 - ₹ 80,240)', '10mm (₹ 8,487 - ₹ 80,378)', '11mm (₹ 12,838 - ₹ 128,029)', '12mm (₹ 13,045 - ₹ 128,167)', '13mm (₹ 23,197 - ₹ 232,171)', '14mm (₹ 23,404 - ₹ 232,309)', '15mm (₹ 27,824 - ₹ 276,508)'], ['Select an option', '2 Pieces (₹ 621)', '10 Pieces (₹ 1,029 - ₹ 27,824)', '15 Pieces (₹ 1,305 - ₹ 41,705)', '25 Pieces (₹ 1,719 - ₹ 69,329)', '50 Pieces (₹ 2,686 - ₹ 138,388)', '100 Pieces (₹ 4,482 - ₹ 276,508)']]",https://www.etsy.com/in-en/listing/754628296/natural-citrine-square-faceted-cut-3mm?click_key=cf8b902363265490e0b6a7de2d85f48b473771fc%3A754628296&click_sum=f5d1ee4a&ref=shop_home_feat_3&pro=1&frs=1
"
    Natural Opal Round Cabochon 3mm to 10mm Loose Gemstone diamond cut machine genuine Indian Jewelry  bamboo excellent anklets
",448,Natural OpalSize: 3mm To 10mmShape: RoundOrigin: India,https://i.etsystatic.com/19191600/r/il/4f970b/2779114162/il_794xN.2779114162_q8v8.jpg,Craft Supplies & Tools,"[['Select an option', '3mm (₹ 448 - ₹ 5,247)', '4mm (₹ 1,518 - ₹ 9,529)', '5mm (₹ 3,106 - ₹ 25,821)', '6mm (₹ 4,833 - ₹ 41,643)', '7mm (₹ 7,802 - ₹ 72,091)', '8mm (₹ 12,291 - ₹ 117,670)', '9mm (₹ 29,142 - ₹ 290,872)', '10mm (₹ 29,349 - ₹ 290,872)'], ['Select an option', '2 Pieces (₹ 448)', '10 Pieces (₹ 1,104 - ₹ 29,349)', '15 Pieces (₹ 1,380 - ₹ 43,915)', '25 Pieces (₹ 1,865 - ₹ 72,920)', '50 Pieces (₹ 2,968 - ₹ 145,570)', '100 Pieces (₹ 5,247 - ₹ 290,872)']]",https://www.etsy.com/in-en/listing/743505531/natural-opal-round-cabochon-3mm-to-10mm?click_key=731c778b20bf01c0444ec16a231ef79979987107%3A743505531&click_sum=7cf8c9a7&ref=shop_home_feat_4&pro=1&frs=1
"
    Natural Tibetan Copper Turquoise Trillion Cabochon , 5mm to 20mm , Loose Gemstone
",97,Natural Tibetan Copper TurquoiseSize: 5mm to 20mmShape: Trillion Cabochon,https://i.etsystatic.com/19191600/r/il/b77b4c/3966947978/il_794xN.3966947978_okck.jpg,Craft Supplies & Tools,"[['Select an option', '5mm (₹ 97 - ₹ 4,512)', '6mm (₹ 106 - ₹ 5,346)', '7mm (₹ 115 - ₹ 6,180)', '8mm (₹ 131 - ₹ 7,652)', '9mm (₹ 257 - ₹ 20,554)', '10mm (₹ 276 - ₹ 20,568)', '11mm (₹ 381 - ₹ 31,975)', '12mm (₹ 414 - ₹ 32,044)', '13mm (₹ 456 - ₹ 40,676)', '14mm (₹ 470 - ₹ 40,745)', '15mm (₹ 528 - ₹ 46,270)', '16mm (₹ 693 - ₹ 62,292)', '17mm (₹ 801 - ₹ 76,725)', '18mm (₹ 804 - ₹ 76,794)', '19mm (₹ 925 - ₹ 87,775)', '20mm (₹ 932 - ₹ 87,844)'], ['Select an option', '1 pcs (₹ 97 - ₹ 932)', '5 pcs (₹ 484 - ₹ 4,643)', '10 pcs (₹ 771 - ₹ 9,501)', '15 pcs (₹ 1,125 - ₹ 13,733)', '25 pcs (₹ 1,570 - ₹ 21,973)', '50 pcs (₹ 2,485 - ₹ 43,922)', '100  pcs (₹ 4,512 - ₹ 87,844)']]",https://www.etsy.com/in-en/listing/1257381659/natural-tibetan-copper-turquoise?click_key=d1e4ad0031aa522a1a0c59a6149f5c478eb9336f%3A1257381659&click_sum=9ab73f1b&ref=shop_home_feat_5&pro=1
