Produce Name,Price,Description,Image,Category,Options,Product URL
"
    Morganite Quartz Leaf Earrings | 62x16mm 22Kt Gold Plated Handcrafted Designer Earrings | Wedding Earrings | Bridesmaid Gift | Gift For Her
","
                    ₹ 4,300
            ",Morganite Quartz Leaf Earrings | 62x16mm 22Kt Gold Plated Handcrafted Designer Earrings | Wedding Earrings | Bridesmaid Gift | Gift For HerStone: Morganite QuartzEarring Size: 62x16mm ApproxStone Size: 20X11mm ApproxMetal: 22Kt Gold Plated BrassQty: 1 Pairhttps://www.etsy.com/in-en/shop/JewelrybazaarIndia?ref=seller-platform-mcnav&search_query=handmade+earringshttps://www.etsy.com/shop/JewelrybazaarIndia?ref=seller-platform-mcnav&section_id=28130417Weight: 15.74gr,https://i.etsystatic.com/22401935/r/il/aaed22/3966429777/il_794xN.3966429777_wrld.jpg,Weddings,"[[], []]",https://www.etsy.com/in-en/listing/1224829100/morganite-quartz-leaf-earrings-62x16mm?click_key=b88977f4474ad43dd78d6c0ab6d85d0a9dcf3f85%3A1224829100&click_sum=9500d9a6&ref=shop_home_active_1
"
    Freshwater Pearl Flower Earrings | 67x42mm 22Kt Gold Plated Handcrafted Designer Earrings | Wedding Earrings | Bridesmaid Gift | Gift Idea
","
                    ₹ 4,056
            ",Freshwater Pearl Flower Earrings | 67x42mm 22Kt Gold Plated Handcrafted Designer Earrings | Wedding Earrings | Bridesmaid Gift | Gift IdeaStone: Freshwater Pearl Earring Size: 67x42mm ApproxMetal: 22Kt Gold Plated BrassQty: 1 Pairhttps://www.etsy.com/in-en/shop/JewelrybazaarIndia?ref=seller-platform-mcnav&search_query=handmade+earringshttps://www.etsy.com/shop/JewelrybazaarIndia?ref=seller-platform-mcnav&section_id=28130417Weight: 21.80gr,https://i.etsystatic.com/22401935/r/il/8191a6/3966414529/il_794xN.3966414529_9xje.jpg,Weddings,"[[], []]",https://www.etsy.com/in-en/listing/1224824652/freshwater-pearl-flower-earrings-67x42mm?click_key=3571ca056c325bf75d0f786d5cadb5a4274f21b7%3A1224824652&click_sum=b4cc0f11&ref=shop_home_active_2
"
    Shell Pearl Floral Earrings | 53x28mm 22Kt Gold Plated Handcrafted Wedding Earrings | Pearl Dangle Earrings | Bridesmaid Jewelry | Gift Idea
","
                    ₹ 3,731
            ",Shell Pearl Floral Earrings | 53x28mm 22Kt Gold Plated Handcrafted Wedding Earrings | Pearl Dangle Earrings | Bridesmaid Jewelry | Gift IdeaStone: Shell Pearl Earring Size: 53x28mm ApproxMetal: 22Kt Gold Plated BrassQty: 1 Pairhttps://www.etsy.com/in-en/shop/JewelrybazaarIndia?ref=seller-platform-mcnav&search_query=handmade+earringshttps://www.etsy.com/shop/JewelrybazaarIndia?ref=seller-platform-mcnav&section_id=28130417Weight: 14.00gr,https://i.etsystatic.com/22401935/r/il/799f09/3918908054/il_794xN.3918908054_snux.jpg,Weddings,"[[], []]",https://www.etsy.com/in-en/listing/1238769169/shell-pearl-floral-earrings-53x28mm-22kt?click_key=8830757b09851f00288fee19a2c5c438431ae4e2%3A1238769169&click_sum=bca0a017&ref=shop_home_active_3
"
    Shell Pearl Designer Earrings | 46mm 22Kt Gold Plated Handcrafted Wedding Earrings | Pearl Dangle Earrings | Bridesmaid Jewelry | Gift Idea
","
                    ₹ 3,008
            ",Shell Pearl Designer Earrings | 46mm 22Kt Gold Plated Handcrafted Wedding Earrings | Pearl Dangle Earrings | Bridesmaid Jewelry | Gift IdeaStone: Shell Pearl Earring Size: 46x32mm ApproxPearl Size: 8-5mm ApproxMetal: 22Kt Gold Plated BrassQty: 1 Pairhttps://www.etsy.com/in-en/shop/JewelrybazaarIndia?ref=seller-platform-mcnav&search_query=handmade+earringshttps://www.etsy.com/shop/JewelrybazaarIndia?ref=seller-platform-mcnav&section_id=28130417Weight: 11.28gr,https://i.etsystatic.com/22401935/r/il/d3ffd0/3966412369/il_794xN.3966412369_80wm.jpg,Weddings,"[[], []]",https://www.etsy.com/in-en/listing/1224831554/shell-pearl-designer-earrings-46mm-22kt?click_key=43baeebb1a807a53649fdc4239e09a9a20931835%3A1224831554&click_sum=3ff46d93&ref=shop_home_active_4
"
    Peach Moonstone & Shell Pearl Earrings, 30x14mm 22Kt Gold Plated Handmade Wedding Earrings, Designer Earrings, Bridesmaid Jewelry, Gift Idea
","
                    ₹ 1,951
            ","Peach Moonstone & Shell Pearl Earrings, 30x14mm 22Kt Gold Plated Handmade Wedding Earrings, Designer Earrings, Bridesmaid Jewelry, Gift IdeaStone: Natural Peach Moonstone & Shell Pearl Earring Size: 30x14mm ApproxMetal: 22Kt Gold Plated BrassQty: 1 Pairhttps://www.etsy.com/in-en/shop/JewelrybazaarIndia?ref=seller-platform-mcnav&search_query=handmade+earringshttps://www.etsy.com/shop/JewelrybazaarIndia?ref=seller-platform-mcnav&section_id=28130417Weight: 4.08gr",https://i.etsystatic.com/22401935/r/il/d7a443/3918905838/il_794xN.3918905838_xw4x.jpg,Weddings,"[[], []]",https://www.etsy.com/in-en/listing/1224836110/peach-moonstone-shell-pearl-earrings?click_key=d03916e33bc627b07f718133218651b7e3eb848b%3A1224836110&click_sum=48eb5583&ref=shop_home_active_5
"
    Green Jade & Prehnite Chalcedony Earrings, 59x12mm 22Kt Gold Plated Handmade Wedding Earrings, Designer Earrings, Bridesmaid Jewelry, Gift
","
                    ₹ 5,202
            ","Prehnite Chalcedony & Green Jade Earrings, 59x12mm 22Kt Gold Plated Handmade Wedding Earrings, Designer Earrings, Bridesmaid Jewelry, Gift Stone: Natural Green Jade & Prehnite ChalcedonyEarring Size: 59x12mm ApproxStone Size: Green Jade: 25x8mm ApproxPrehnite Chalcedony: 14x9-9mm ApproxMetal: 22Kt Gold Plated BrassQty: 1 Pairhttps://www.etsy.com/in-en/shop/JewelrybazaarIndia?ref=seller-platform-mcnav&search_query=handmade+earringshttps://www.etsy.com/shop/JewelrybazaarIndia?ref=seller-platform-mcnav&section_id=28130417Weight: 12.32gr",https://i.etsystatic.com/22401935/r/il/474cc0/3918904428/il_794xN.3918904428_9k73.jpg,Weddings,"[[], []]",https://www.etsy.com/in-en/listing/1238776211/green-jade-prehnite-chalcedony-earrings?click_key=00a54317b78802b184481538cf35a76239689c87%3A1238776211&click_sum=fa8e1fe8&ref=shop_home_active_6
"
    Rubellite Quartz & Shell Pearl Flower Earrings | 59x31mm 22Kt Gold Plated Handcrafted Wedding Earrings | Bridesmaid Jewelry | Gift For Her
","
                    ₹ 3,731
            ",Rubellite Quartz & Shell Pearl Flower Earrings | 59x31mm 22Kt Gold Plated Handcrafted Wedding Earrings | Bridesmaid Jewelry | Gift For Her Stone: Rubellite Quartz & Shell Pearl Earring Size: 59x31mm ApproxStone Size: Rubellite Quartz: 15x12mm ApproxShell Pearl: 6mm ApproxMetal: 22Kt Gold Plated BrassQty: 1 Pairhttps://www.etsy.com/in-en/shop/JewelrybazaarIndia?ref=seller-platform-mcnav&search_query=handmade+earringshttps://www.etsy.com/shop/JewelrybazaarIndia?ref=seller-platform-mcnav&section_id=28130417Weight: 19.51gr,https://i.etsystatic.com/22401935/r/il/42ed8a/3918903590/il_794xN.3918903590_lu10.jpg,Weddings,"[[], []]",https://www.etsy.com/in-en/listing/1238779851/rubellite-quartz-shell-pearl-flower?click_key=ea1fcb3aa76fc8bad93462787fb032e788a52268%3A1238779851&click_sum=9a7463d8&ref=shop_home_active_7
"
    Neon Blue Apatite Jade Earrings | 56x9mm 22Kt Gold Plated Handcrafted Wedding Earrings | Designer Earrings | Bridesmaid Jewelry | Gift Idea
","
                    ₹ 4,064
            ",Neon Blue Apatite Jade Earrings | 56x9mm 22Kt Gold Plated Handcrafted Wedding Earrings | Designer Earrings | Bridesmaid Jewelry | Gift IdeaStone: Neon Blue Apatite Jade Earring Size: 56x9mm ApproxStone Size: 26x8mm ApproxMetal: 22Kt Gold Plated BrassQty: 1 Pairhttps://www.etsy.com/in-en/shop/JewelrybazaarIndia?ref=seller-platform-mcnav&search_query=handmade+earringshttps://www.etsy.com/shop/JewelrybazaarIndia?ref=seller-platform-mcnav&section_id=28130417Weight: 6.74gr,https://i.etsystatic.com/22401935/r/il/51c3e9/3918902060/il_794xN.3918902060_7k62.jpg,Weddings,"[[], []]",https://www.etsy.com/in-en/listing/1224847132/neon-blue-apatite-jade-earrings-56x9mm?click_key=e1c98b7311865a6c21915030bbfdd1a79467dd92%3A1224847132&click_sum=a2f8238a&ref=shop_home_active_8
"
    Pink Chalcedony & Shell Pearl Star Earrings | 80mm 22Kt Gold Plated Handcrafted Designer Earrings | Wedding Earrings | Bridesmaid Gift Idea
","
                    ₹ 5,202
            ",Pink Chalcedony & Shell Pearl Star Earrings | 80mm 22Kt Gold Plated Handcrafted Designer Earrings | Wedding Earrings | Bridesmaid Gift IdeaStone: Pink Chalcedony & Shell Pearl Earring Size: 80x34mm ApproxStone Size: 31x7-13mm ApproxMetal: 22Kt Gold Plated BrassQty: 1 Pairhttps://www.etsy.com/in-en/shop/JewelrybazaarIndia?ref=seller-platform-mcnav&search_query=handmade+earringshttps://www.etsy.com/shop/JewelrybazaarIndia?ref=seller-platform-mcnav&section_id=28130417Weight: 28.39gr,https://i.etsystatic.com/22401935/r/il/efbf65/3918901322/il_794xN.3918901322_9e84.jpg,Weddings,"[[], []]",https://www.etsy.com/in-en/listing/1238755519/pink-chalcedony-shell-pearl-star?click_key=5f92c0517138e59f1bb7f041a436caf714ca5561%3A1238755519&click_sum=9a0b2d29&ref=shop_home_active_9
"
    5 pairs of blue beads and yellow stones earings
","
                    ₹ 8,129
            ",5 pairs of blue beads and yellow stones earings,https://i.etsystatic.com/22401935/r/il/ed9a52/3897128622/il_794xN.3897128622_2amj.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1239351629/5-pairs-of-blue-beads-and-yellow-stones?click_key=5d5859cd2c6b275b6d0d015cbca0ff529749c90b%3A1239351629&click_sum=fb776ba0&ref=shop_home_active_10
