Produce Name,Price,Description,Image,Category,Options,Product URL
"
    Antique Raw Opal* Ethiopian Opal Rough* Polish Opal Rough* Top Exclusive Flashy ""GREEN+BLUE"" Wello Fair* Size 20x20 MM* Opal Rough Gemstone
",31091,"25.50 Cts 100% Natural Antique Raw Opal* Ethiopian Opal Rough* Polish Opal Rough Gemstone* AAA+++ Top Exclusive Full Flashy "" RED + GREEN + BLUE "" Wello Fair Opal Rough Gemstone* Size 20x20x15 MM* Loose Raw Opal Rough Gemstone Jewelry Best For Silver Ring Pendant Uses And Gold Ring Pendant Uses R----505                                                Clarity :- Translucent (Please see the images)                                       ______ ---(PRODUCT DESCRIPTION)---______Stone Name :- Ethiopian Opal Polish RoughCarat Weight :-  25.50 Carat                                           ---------(PRODUCT DESCRIPTION)---------POLISH-: Hand Polish...?....(As Shown In Photo)STONE SHAPE-:  ROUGH (SHAPE)STONE SIZE -:   20x20x15 MMSTONE QUALITY -:  AAA+++ TOP EXCLUSIVE QUALITYQUANTITY -: 1 PIECE100% Genuine & NaturalWe take order for big quantity as well & we can supply other Stone And Rough , Beads, Cabochon, And Faceted Stone Please Contact And Message....Dear Customer Order-: I Gladly Accept Customer order in Many Types Of Stones Different Shapes & Quality in Lower To Higher And Higher to lower prices.Superb & Finest AAA Quality, Rare Gem stones as Follows. At Most Lowest Prices.Designers Special Item.-__________________________________________________--__________________________________________________-Great Quality Gemstone For making, Cabochon Gemstone, Beads Gemstone or any other kind of special Jewelry,-__________________________________________________--__________________________________________________-Wholesale :-We also welcome wholesale or custom order, hence feel free to contact us for any query. Happy to assist you.Payment :-We accept payment through Paypal only.Dear Customer,Any Question And Bulk Order please contact me feel free.Feedback :-Your Feedback is very Important for us.If you have any problem regarding packaging or product, kindly contact us to resolve the issue before leaving Negative Feedback... We Try to Give Our Customer The Best Quality.Your feedback is highly appreciated and will help us to improve our ability to serve you. So kindly leave positive feedback and if you are not satisfied with our products and services, please contact me to leave before any negative review. We will do our best to resolve your issue.**All items are in stock and ship within 1 business days from received payment (excluding Saturday/Sunday) from the India. International orders please expect a minimum of 2-3 weeks for delivery.Other Statement Items:-https://www.etsy.com/shop/NkGEMSIMPEXVisit My Shop",https://i.etsystatic.com/18709688/r/il/7a6f0c/3871774015/il_794xN.3871774015_5yyo.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1219191551/antique-raw-opal-ethiopian-opal-rough?click_key=f82bad50423b6de6950f36f394431b7ab1fba649%3A1219191551&click_sum=1f49b02b&ref=shop_home_feat_1&pro=1&frs=1
"
    Antique Raw Opal* Ethiopian Opal Rough* Polish Opal Rough* Beautiful Full Flashy ""RED+GREEN"" Wello Fair* Size 23x16.5 MM*Opal Rough Gemstone
",20279,"19.20 Cts 100% Natural Antique Raw Opal* Ethiopian Opal Rough* Polish Opal Rough Gemstone* AAA+++ Top Beautiful Full Flashy "" RED + GREEN "" Wello Fair Opal Rough Gemstone* Size 23x16.5x12 MM* Loose Raw Opal Rough Gemstone Jewelry Best For Silver Ring Pendant Uses And Gold Ring Pendant Uses R----507                                                Clarity :- Translucent (Please see the images)                                       ______ ---(PRODUCT DESCRIPTION)---______Stone Name :- Ethiopian Opal Polish RoughCarat Weight :-  19.20 Carat                                           ---------(PRODUCT DESCRIPTION)---------POLISH-: Hand Polish...?....(As Shown In Photo)STONE SHAPE-:  ROUGH (SHAPE)STONE SIZE -:   23x16.5x12 MMSTONE QUALITY -:  AAA+++ TOP BEAUTIFUL QUALITYQUANTITY -: 1 PIECE100% Genuine & NaturalWe take order for big quantity as well & we can supply other Stone And Rough , Beads, Cabochon, And Faceted Stone Please Contact And Message....Dear Customer Order-: I Gladly Accept Customer order in Many Types Of Stones Different Shapes & Quality in Lower To Higher And Higher to lower prices.Superb & Finest AAA Quality, Rare Gem stones as Follows. At Most Lowest Prices.Designers Special Item.-__________________________________________________--__________________________________________________-Great Quality Gemstone For making, Cabochon Gemstone, Beads Gemstone or any other kind of special Jewelry,-__________________________________________________--__________________________________________________-Wholesale :-We also welcome wholesale or custom order, hence feel free to contact us for any query. Happy to assist you.Payment :-We accept payment through Paypal only.Dear Customer,Any Question And Bulk Order please contact me feel free.Feedback :-Your Feedback is very Important for us.If you have any problem regarding packaging or product, kindly contact us to resolve the issue before leaving Negative Feedback... We Try to Give Our Customer The Best Quality.Your feedback is highly appreciated and will help us to improve our ability to serve you. So kindly leave positive feedback and if you are not satisfied with our products and services, please contact me to leave before any negative review. We will do our best to resolve your issue.**All items are in stock and ship within 1 business days from received payment (excluding Saturday/Sunday) from the India. International orders please expect a minimum of 2-3 weeks for delivery.Other Statement Items:-https://www.etsy.com/shop/NkGEMSIMPEXVisit My Shop",https://i.etsystatic.com/18709688/r/il/b25a7c/3824235146/il_794xN.3824235146_cqxm.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1205238514/antique-raw-opal-ethiopian-opal-rough?click_key=e740a7152f79f58103bd60a1f69a55d80214c0b5%3A1205238514&click_sum=98b3f9d7&ref=shop_home_feat_2&pro=1&frs=1
"
    Antique Raw Opal* Ethiopian Opal Rough* Polish Opal Rough* Wonderful Full Flashy ""GREEN+BLUE"" Wello Fair* Size 28x16 MM*Opal Rough Gemstone
",24342,"21.40 Cts 100% Natural Antique Raw Opal* Ethiopian Opal Rough* Polish Opal Rough Gemstone* AAA+++ Top Wonderful Full Flashy "" RED + GREEN + BLUE "" Wello Fair Opal Rough Gemstone* Size 28x16x12 MM* Loose Raw Opal Rough Gemstone Jewelry Best For Silver Ring Pendant Uses And Gold Ring Pendant Uses R----497                                                Clarity :- Translucent (Please see the images)                                       ______ ---(PRODUCT DESCRIPTION)---______Stone Name :- Ethiopian Opal Polish RoughCarat Weight :-  21.40 Carat                                           ---------(PRODUCT DESCRIPTION)---------POLISH-: Hand Polish...?....(As Shown In Photo)STONE SHAPE-:  ROUGH (SHAPE)STONE SIZE -:   28x16x12 MMSTONE QUALITY -:  AAA+++ TOP WONDERFUL QUALITYQUANTITY -: 1 PIECE100% Genuine & NaturalWe take order for big quantity as well & we can supply other Stone And Rough , Beads, Cabochon, And Faceted Stone Please Contact And Message....Dear Customer Order-: I Gladly Accept Customer order in Many Types Of Stones Different Shapes & Quality in Lower To Higher And Higher to lower prices.Superb & Finest AAA Quality, Rare Gem stones as Follows. At Most Lowest Prices.Designers Special Item.-__________________________________________________--__________________________________________________-Great Quality Gemstone For making, Cabochon Gemstone, Beads Gemstone or any other kind of special Jewelry,-__________________________________________________--__________________________________________________-Wholesale :-We also welcome wholesale or custom order, hence feel free to contact us for any query. Happy to assist you.Payment :-We accept payment through Paypal only.Dear Customer,Any Question And Bulk Order please contact me feel free.Feedback :-Your Feedback is very Important for us.If you have any problem regarding packaging or product, kindly contact us to resolve the issue before leaving Negative Feedback... We Try to Give Our Customer The Best Quality.Your feedback is highly appreciated and will help us to improve our ability to serve you. So kindly leave positive feedback and if you are not satisfied with our products and services, please contact me to leave before any negative review. We will do our best to resolve your issue.**All items are in stock and ship within 1 business days from received payment (excluding Saturday/Sunday) from the India. International orders please expect a minimum of 2-3 weeks for delivery.Other Statement Items:-https://www.etsy.com/shop/NkGEMSIMPEXVisit My Shop",https://i.etsystatic.com/18709688/r/il/b67bb3/3824256306/il_794xN.3824256306_qumr.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1219190175/antique-raw-opal-ethiopian-opal-rough?click_key=66b68876e75e5fa3193a329bdfceac601683d928%3A1219190175&click_sum=3ce5e075&ref=shop_home_feat_3&pro=1&frs=1
"
    Antique Raw Opal* Ethiopian Opal Rough* Polish Opal Rough* Beautiful Full Flashy ""GREEN+BLUE"" Wello Fair* Size 28x16 MM*Opal Rough Gemstone
",25241,"22.20 Cts 100% Natural Antique Raw Opal* Ethiopian Opal Rough* Polish Opal Rough Gemstone* AAA+++ Top Beautiful Full Flashy "" RED + GREEN + BLUE "" Wello Fair Opal Rough Gemstone* Size 28x16x11 MM* Loose Raw Opal Rough Gemstone Jewelry Best For Silver Ring Pendant Uses And Gold Ring Pendant Uses R----502                                                Clarity :- Translucent (Please see the images)                                       ______ ---(PRODUCT DESCRIPTION)---______Stone Name :- Ethiopian Opal Polish RoughCarat Weight :-  22.20 Carat                                           ---------(PRODUCT DESCRIPTION)---------POLISH-: Hand Polish...?....(As Shown In Photo)STONE SHAPE-:  ROUGH (SHAPE)STONE SIZE -:   28x16x11 MMSTONE QUALITY -:  AAA+++ TOP BEAUTIFUL QUALITYQUANTITY -: 1 PIECE100% Genuine & NaturalWe take order for big quantity as well & we can supply other Stone And Rough , Beads, Cabochon, And Faceted Stone Please Contact And Message....Dear Customer Order-: I Gladly Accept Customer order in Many Types Of Stones Different Shapes & Quality in Lower To Higher And Higher to lower prices.Superb & Finest AAA Quality, Rare Gem stones as Follows. At Most Lowest Prices.Designers Special Item.-__________________________________________________--__________________________________________________-Great Quality Gemstone For making, Cabochon Gemstone, Beads Gemstone or any other kind of special Jewelry,-__________________________________________________--__________________________________________________-Wholesale :-We also welcome wholesale or custom order, hence feel free to contact us for any query. Happy to assist you.Payment :-We accept payment through Paypal only.Dear Customer,Any Question And Bulk Order please contact me feel free.Feedback :-Your Feedback is very Important for us.If you have any problem regarding packaging or product, kindly contact us to resolve the issue before leaving Negative Feedback... We Try to Give Our Customer The Best Quality.Your feedback is highly appreciated and will help us to improve our ability to serve you. So kindly leave positive feedback and if you are not satisfied with our products and services, please contact me to leave before any negative review. We will do our best to resolve your issue.**All items are in stock and ship within 1 business days from received payment (excluding Saturday/Sunday) from the India. International orders please expect a minimum of 2-3 weeks for delivery.Other Statement Items:-https://www.etsy.com/shop/NkGEMSIMPEXVisit My Shop",https://i.etsystatic.com/18709688/r/il/7792e4/3824247934/il_794xN.3824247934_9hwi.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1205241646/antique-raw-opal-ethiopian-opal-rough?click_key=b6d8de2027705996f50eb1e5b21cbf7c22b58355%3A1205241646&click_sum=29b57d2c&ref=shop_home_feat_4&pro=1&frs=1
"
    Raw Ethiopian Opal Ethiopian Opal Rough Gemstone Top Beautiful Full Flashy ""Red + Green""Multi Fair Opal Rough Size 32x11 MM Ring Pendant Use
","
                    ₹ 19,109
            ","16.80 Carat 100% Natural Ethiopian Opal Ethiopian Opal Rough Opal Rough Gemstone Top Beautiful Full Flashy ""RED + GREEN + BLUE"" Multi Fair Opal Rough Gemstone Size 32x11x4.5 MM Best For Silver Ring Pendant Uses And Gold Ring Pendant Uses R---- 610                                               Clarity :- Translucent (Please see the images)                                                ______ ---(PRODUCT DESCRIPTION)---______     Stone Name :- 100% Natural Ethiopian Opal RoughCarat Weight :-  16.80 Carat !!!                                         ---------(PRODUCT DESCRIPTION)---------STONE SHAPE-: OPAL ROUGH (SHAPE) !!!STONE SIZE -:   32x11x4.5 MM !!!STONE QUALITY -: AAA+++ TOP BEAUTIFUL QUALITY !!!STONE COLOUR -:  ""RED + GREEN + BLUE"" FULL FLASHY MULTI FAIR OPAL !!!QUANTITY -: 1 PIECE !!!100% Genuine & NaturalWe take order for big quantity as well & we can supply other Stone And Rough , Beads, Cabochon, And Faceted Stone Please Contact And Message....Dear Customer Order-: I Gladly Accept Customer order in Many Types Of Stones Different Shapes & Quality in Lower To Higher And Higher to lower prices.Superb & Finest AAA Quality, Rare Gem stones as Follows. At Most Lowest Prices.Designers Special Item.-__________________________________________________--__________________________________________________-Great Quality Gemstone For making, Cabochon Gemstone, Beads Gemstone or any other kind of special Jewelry,-__________________________________________________--__________________________________________________-Wholesale :-We also welcome wholesale or custom order, hence feel free to contact us for any query. Happy to assist you.Payment :-We accept payment through Paypal only.Dear Customer,Any Question And Bulk Order please contact me feel free.Feedback :-Your Feedback is very Important for us.If you have any problem regarding packaging or product, kindly contact us to resolve the issue before leaving Negative Feedback... We Try to Give Our Customer The Best Quality.Your feedback is highly appreciated and will help us to improve our ability to serve you. So kindly leave positive feedback and if you are not satisfied with our products and services, please contact me to leave before any negative review. We will do our best to resolve your issue.**All items are in stock and ship within 1 business days from received payment (excluding Saturday/Sunday) from the India. International orders please expect a minimum of 2-3 weeks for delivery.Other Statement Items:-https://www.etsy.com/shop/NkGEMSIMPEXVisit My Shop",https://i.etsystatic.com/18709688/r/il/a1e2f1/4046042876/il_794xN.4046042876_jk7v.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1263177778/raw-ethiopian-opal-ethiopian-opal-rough?click_key=7fba20c1b128901eeaa469df29c350583f445e6f%3A1263177778&click_sum=07ed462b&ref=shop_home_active_1&frs=1
"
    Raw Ethiopian Opal Ethiopian Opal Rough Gemstone Top Wonderful Full Flashy ""Red + Green""Multi Fair Opal Rough Size 35x14 MM Ring Pendant Use
",7350,"15.00 Carat 100% Natural Ethiopian Opal Ethiopian Opal Rough Opal Rough Gemstone Top Wonderful Full Flashy ""RED + GREEN"" Multi Fair Opal Rough Gemstone Size 35x14x6 MM Best For Silver Ring Pendant Uses And Gold Ring Pendant Uses R---- 597                                               Clarity :- Translucent (Please see the images)                                               ______ ---(PRODUCT DESCRIPTION)---______     Stone Name :- 100% Natural Ethiopian Opal RoughCarat Weight :-  15.00 Carat !!!                                            ---------(PRODUCT DESCRIPTION)---------STONE SHAPE-: OPAL ROUGH (SHAPE) !!!STONE SIZE -:  35x14x6 MM !!!STONE QUALITY -: AAA+++ TOP WONDERFUL QUALITY !!!STONE COLOUR -:  ""RED + GREEN"" FULL FLASHY MULTI FAIR OPAL !!!QUANTITY -: 1 PIECE !!!100% Genuine & NaturalWe take order for big quantity as well & we can supply other Stone And Rough , Beads, Cabochon, And Faceted Stone Please Contact And Message....Dear Customer Order-: I Gladly Accept Customer order in Many Types Of Stones Different Shapes & Quality in Lower To Higher And Higher to lower prices.Superb & Finest AAA Quality, Rare Gem stones as Follows. At Most Lowest Prices.Designers Special Item.-__________________________________________________--__________________________________________________-Great Quality Gemstone For making, Cabochon Gemstone, Beads Gemstone or any other kind of special Jewelry,-__________________________________________________--__________________________________________________-Wholesale :-We also welcome wholesale or custom order, hence feel free to contact us for any query. Happy to assist you.Payment :-We accept payment through Paypal only.Dear Customer,Any Question And Bulk Order please contact me feel free.Feedback :-Your Feedback is very Important for us.If you have any problem regarding packaging or product, kindly contact us to resolve the issue before leaving Negative Feedback... We Try to Give Our Customer The Best Quality.Your feedback is highly appreciated and will help us to improve our ability to serve you. So kindly leave positive feedback and if you are not satisfied with our products and services, please contact me to leave before any negative review. We will do our best to resolve your issue.**All items are in stock and ship within 1 business days from received payment (excluding Saturday/Sunday) from the India. International orders please expect a minimum of 2-3 weeks for delivery.Other Statement Items:-https://www.etsy.com/shop/NkGEMSIMPEXVisit My Shop",https://i.etsystatic.com/18709688/r/il/4c4239/4093687359/il_794xN.4093687359_sojs.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1263176664/raw-ethiopian-opal-ethiopian-opal-rough?click_key=212cab9a41ca8228d67c6e5304c314abd855c0e4%3A1263176664&click_sum=0df16fdd&ref=shop_home_active_2&pro=1&frs=1
"
    Raw Ethiopian Opal Ethiopian Opal Rough Gemstone Top Unique Full Flashy ""Red + Green"" Multi Fair Opal Rough Size 27x15 MM Ring Pendant Uses
",10001,"24.60 Carat 100% Natural Ethiopian Opal Ethiopian Opal Rough Opal Rough Gemstone Top Unique Full Flashy ""RED + GREEN + BROWN"" Multi Fair Opal Rough Gemstone Size 27x15x15 MM Best For Silver Ring Pendant Uses And Gold Ring Pendant Uses R---- 603                                               Clarity :- Translucent (Please see the images)                                                   ______ ---(PRODUCT DESCRIPTION)---______     Stone Name :- 100% Natural Ethiopian Opal RoughCarat Weight :-  24.60 Carat !!!                                            ---------(PRODUCT DESCRIPTION)---------STONE SHAPE-: OPAL ROUGH (SHAPE) !!!STONE SIZE -:   27x15x15 MM  !!!STONE QUALITY -: AAA+++ TOP UNIQUE QUALITY !!!STONE COLOUR -:  ""RED + GREEN + BROWN"" FULL FLASHY MULTI FAIR OPAL !!!QUANTITY -: 1 PIECE !!!100% Genuine & NaturalWe take order for big quantity as well & we can supply other Stone And Rough , Beads, Cabochon, And Faceted Stone Please Contact And Message....Dear Customer Order-: I Gladly Accept Customer order in Many Types Of Stones Different Shapes & Quality in Lower To Higher And Higher to lower prices.Superb & Finest AAA Quality, Rare Gem stones as Follows. At Most Lowest Prices.Designers Special Item.-__________________________________________________--__________________________________________________-Great Quality Gemstone For making, Cabochon Gemstone, Beads Gemstone or any other kind of special Jewelry,-__________________________________________________--__________________________________________________-Wholesale :-We also welcome wholesale or custom order, hence feel free to contact us for any query. Happy to assist you.Payment :-We accept payment through Paypal only.Dear Customer,Any Question And Bulk Order please contact me feel free.Feedback :-Your Feedback is very Important for us.If you have any problem regarding packaging or product, kindly contact us to resolve the issue before leaving Negative Feedback... We Try to Give Our Customer The Best Quality.Your feedback is highly appreciated and will help us to improve our ability to serve you. So kindly leave positive feedback and if you are not satisfied with our products and services, please contact me to leave before any negative review. We will do our best to resolve your issue.**All items are in stock and ship within 1 business days from received payment (excluding Saturday/Sunday) from the India. International orders please expect a minimum of 2-3 weeks for delivery.Other Statement Items:-https://www.etsy.com/shop/NkGEMSIMPEXVisit My Shop",https://i.etsystatic.com/18709688/r/il/1cd96a/4045794030/il_794xN.4045794030_569j.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1263128648/raw-ethiopian-opal-ethiopian-opal-rough?click_key=0666a4a4f9907481db09cda838292effac0d72fe%3A1263128648&click_sum=f80d8563&ref=shop_home_active_3&pro=1&frs=1
"
    Raw Ethiopian Opal Ethiopian Opal Rough Gemstone Top Amazing Full Flashy ""Red + Green"" Multi Fair Opal Rough Size 27x19 MM Ring Pendant Uses
",9339,"20.90 Carat 100% Natural Ethiopian Opal Ethiopian Opal Rough Opal Rough Gemstone Top Amazing Full Flashy ""RED + GREEN + BLUE"" Multi Fair Opal Rough Gemstone Size 27x19x7 MM Best For Silver Ring Pendant Uses And Gold Ring Pendant Uses R---- 609                                               Clarity :- Translucent (Please see the images)                                               ______ ---(PRODUCT DESCRIPTION)---______     Stone Name :- 100% Natural Ethiopian Opal RoughCarat Weight :-  20.90 Carat !!!                                            ---------(PRODUCT DESCRIPTION)---------STONE SHAPE-: OPAL ROUGH (SHAPE) !!!STONE SIZE -:  27x19x7 MM !!!STONE QUALITY -: AAA+++ TOP AMAZING QUALITY !!!STONE COLOUR -:  ""RED + GREEN + BLUE"" FULL FLASHY MULTI FAIR OPAL !!!QUANTITY -: 1 PIECE !!!100% Genuine & NaturalWe take order for big quantity as well & we can supply other Stone And Rough , Beads, Cabochon, And Faceted Stone Please Contact And Message....Dear Customer Order-: I Gladly Accept Customer order in Many Types Of Stones Different Shapes & Quality in Lower To Higher And Higher to lower prices.Superb & Finest AAA Quality, Rare Gem stones as Follows. At Most Lowest Prices.Designers Special Item.-__________________________________________________--__________________________________________________-Great Quality Gemstone For making, Cabochon Gemstone, Beads Gemstone or any other kind of special Jewelry,-__________________________________________________--__________________________________________________-Wholesale :-We also welcome wholesale or custom order, hence feel free to contact us for any query. Happy to assist you.Payment :-We accept payment through Paypal only.Dear Customer,Any Question And Bulk Order please contact me feel free.Feedback :-Your Feedback is very Important for us.If you have any problem regarding packaging or product, kindly contact us to resolve the issue before leaving Negative Feedback... We Try to Give Our Customer The Best Quality.Your feedback is highly appreciated and will help us to improve our ability to serve you. So kindly leave positive feedback and if you are not satisfied with our products and services, please contact me to leave before any negative review. We will do our best to resolve your issue.**All items are in stock and ship within 1 business days from received payment (excluding Saturday/Sunday) from the India. International orders please expect a minimum of 2-3 weeks for delivery.Other Statement Items:-https://www.etsy.com/shop/NkGEMSIMPEXVisit My Shop",https://i.etsystatic.com/18709688/r/il/3624be/4045755084/il_794xN.4045755084_j2pe.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1263119406/raw-ethiopian-opal-ethiopian-opal-rough?click_key=2b7ce4c5c8ea7c63262a1caed502e72b3efe5b95%3A1263119406&click_sum=d68d3efe&ref=shop_home_active_4&pro=1&frs=1
"
    Raw Ethiopian Opal Ethiopian Opal Rough Gemstone Top Great Full Flashy ""Red + Green"" Rainbow Fair Opal Rough Size 32x18 MM Ring Pendant Uses
",7991,"24.60 Carat 100% Natural Ethiopian Opal Ethiopian Opal Rough Opal Rough Gemstone Top Great Full Flashy ""RED + GREEN + BLUE"" Rainbow Multi Fair Opal Rough Gemstone Size 32x18x12 MM Best For Silver Ring Pendant Uses And Gold Ring Pendant Uses R---- 611                                               Clarity :- Translucent (Please see the images)                                               ______ ---(PRODUCT DESCRIPTION)---______     Stone Name :- 100% Natural Ethiopian Opal RoughCarat Weight :-  24.60 Carat !!!                                            ---------(PRODUCT DESCRIPTION)---------STONE SHAPE-: OPAL ROUGH (SHAPE) !!!STONE SIZE -:  32x18x12 MM !!!STONE QUALITY -: AAA+++ TOP GREAT QUALITY !!!STONE COLOUR -:  ""RED + GREEN + BLUE"" RAINBOW FULL FLASHY MULTI FAIR OPAL !!!QUANTITY -: 1 PIECE !!!100% Genuine & NaturalWe take order for big quantity as well & we can supply other Stone And Rough , Beads, Cabochon, And Faceted Stone Please Contact And Message....Dear Customer Order-: I Gladly Accept Customer order in Many Types Of Stones Different Shapes & Quality in Lower To Higher And Higher to lower prices.Superb & Finest AAA Quality, Rare Gem stones as Follows. At Most Lowest Prices.Designers Special Item.-__________________________________________________--__________________________________________________-Great Quality Gemstone For making, Cabochon Gemstone, Beads Gemstone or any other kind of special Jewelry,-__________________________________________________--__________________________________________________-Wholesale :-We also welcome wholesale or custom order, hence feel free to contact us for any query. Happy to assist you.Payment :-We accept payment through Paypal only.Dear Customer,Any Question And Bulk Order please contact me feel free.Feedback :-Your Feedback is very Important for us.If you have any problem regarding packaging or product, kindly contact us to resolve the issue before leaving Negative Feedback... We Try to Give Our Customer The Best Quality.Your feedback is highly appreciated and will help us to improve our ability to serve you. So kindly leave positive feedback and if you are not satisfied with our products and services, please contact me to leave before any negative review. We will do our best to resolve your issue.**All items are in stock and ship within 1 business days from received payment (excluding Saturday/Sunday) from the India. International orders please expect a minimum of 2-3 weeks for delivery.Other Statement Items:-https://www.etsy.com/shop/NkGEMSIMPEXVisit My Shop",https://i.etsystatic.com/18709688/r/il/92ccee/4045803236/il_794xN.4045803236_fywl.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1263130132/raw-ethiopian-opal-ethiopian-opal-rough?click_key=d5ba5756b09acec7f209b99cb447c47143c68bf0%3A1263130132&click_sum=bc00bbd5&ref=shop_home_active_5&pro=1&frs=1
"
    Raw Ethiopian Opal Ethiopian Opal Rough Gemstone Top Amazing Full Flashy Rainbow Fair Opal Rough Gemstone Size 28x21 MM For Ring Pendant Use
",10814,"26.60 Carat 100% Natural Ethiopian Opal Ethiopian Opal Rough Opal Rough Gemstone Top Amazing Full Flashy ""RED + GREEN + BLUE"" Rainbow Fair Opal Rough Gemstone Size 28x21x12 MM Best For Silver Ring Pendant Uses And Gold Ring Pendant Uses R---- 614                                               Clarity :- Translucent (Please see the images)                            _                     _____ ---(PRODUCT DESCRIPTION)---______     Stone Name :- 100% Natural Ethiopian Opal RoughCarat Weight :-  26.60 Carat !!!                                     ---------(PRODUCT DESCRIPTION)---------STONE SHAPE-: OPAL ROUGH (SHAPE) !!!STONE SIZE -:  28x21x12 MM !!!STONE QUALITY -: AAA+++ TOP AMAZING QUALITY !!!STONE COLOUR -:  ""RED + GREEN + BLUE"" FULL FLASHY RAINBOW FAIR OPAL !!!QUANTITY -: 1 PIECE !!!100% Genuine & NaturalWe take order for big quantity as well & we can supply other Stone And Rough , Beads, Cabochon, And Faceted Stone Please Contact And Message....Dear Customer Order-: I Gladly Accept Customer order in Many Types Of Stones Different Shapes & Quality in Lower To Higher And Higher to lower prices.Superb & Finest AAA Quality, Rare Gem stones as Follows. At Most Lowest Prices.Designers Special Item.-__________________________________________________--__________________________________________________-Great Quality Gemstone For making, Cabochon Gemstone, Beads Gemstone or any other kind of special Jewelry,-__________________________________________________--__________________________________________________-Wholesale :-We also welcome wholesale or custom order, hence feel free to contact us for any query. Happy to assist you.Payment :-We accept payment through Paypal only.Dear Customer,Any Question And Bulk Order please contact me feel free.Feedback :-Your Feedback is very Important for us.If you have any problem regarding packaging or product, kindly contact us to resolve the issue before leaving Negative Feedback... We Try to Give Our Customer The Best Quality.Your feedback is highly appreciated and will help us to improve our ability to serve you. So kindly leave positive feedback and if you are not satisfied with our products and services, please contact me to leave before any negative review. We will do our best to resolve your issue.**All items are in stock and ship within 1 business days from received payment (excluding Saturday/Sunday) from the India. International orders please expect a minimum of 2-3 weeks for delivery.Other Statement Items:-https://www.etsy.com/shop/NkGEMSIMPEXVisit My Shop",https://i.etsystatic.com/18709688/r/il/366cf9/4046050496/il_794xN.4046050496_h2r8.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1263179494/raw-ethiopian-opal-ethiopian-opal-rough?click_key=9947bd5ea4a80a3aa5be44e2e7c903755814042f%3A1263179494&click_sum=d52464e3&ref=shop_home_active_6&pro=1&frs=1
