Produce Name,Price,Description,Image,Category,Options,Product URL
"
    3""inch 14k gold 925 sterling silver pave setting natural diamond beautiful yellow gold cross shape pendant diamond cross large cross pendant
",3656,welcome to rockyjewelsindia Product Detail Item Number  MJR(P)-053Silver Weight 5.00gm Diamond Weight  0.87ct Gross Weight   5.00gm Size  70mm,https://i.etsystatic.com/22432958/r/il/82d04a/2437259458/il_794xN.2437259458_qtk6.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/854328234/3inch-14k-gold-925-sterling-silver-pave?click_key=ce6e04ac9b759fbd2eeaccdefa5f12226ca1305f%3A854328234&click_sum=e5d9df8a&ref=shop_home_active_1&pro=1&frs=1
"
    Sexy Yellow Color Tissue Bracelet  925 sterling silver pave natural Genuine Diamond designer Tissue Bracelets Thread bracelet fine Jewelry
",15842,welcome to rockyjewelsindia Product Detail Item Number  MJR(F)-135Silver Weight 20.00gm Diamond Weight  7.00ct Gross Weight    20.00GMSize  7.5 Inch,https://i.etsystatic.com/22432958/r/il/262a23/3529317909/il_794xN.3529317909_n6gw.jpg,Weddings,"[['Select an option', 'Red', 'Pink', 'Black', 'White', 'Gray', 'Yellow', 'Silver'], []]",https://www.etsy.com/in-en/listing/1110116462/sexy-yellow-color-tissue-bracelet-925?click_key=6d5c815a271b8db0403d8570bb4f01b309df89e7%3A1110116462&click_sum=6200de21&ref=shop_home_active_2&pro=1&frs=1
"
    34x14mm 94.5 sterling pave genuine natural real diamond clasp lock oavl shape carabiner silver clasp lock diamond fine jewelry accessories
",6093,welcome to rockyjewelsindia Product Detail Item Number  MJR(C)-064Silver Weight  6.00gm Diamond Weight  1.00ct Gross Weight    6.00gm Size   34x14mm,https://i.etsystatic.com/22432958/r/il/ba9948/2614022557/il_794xN.2614022557_1c82.jpg,Craft Supplies & Tools,"[['Select an option', 'Black', 'Yellow Gold', 'Rose Gold', 'Light Silver'], []]",https://www.etsy.com/in-en/listing/880839289/34x14mm-945-sterling-pave-genuine?click_key=e53da72b2527dd01a950c85d9fe87f762ec30ea9%3A880839289&click_sum=54c3a922&ref=shop_home_active_3&pro=1&frs=1
"
    45x45 MM large 925 sterling silver pave natural diamond beautiful real full diamond square pendant fine jewelry 5.00ct real diamond pendant
",8774,welcome to rockyjewelsindia Product Detail Item Number  MJR(P)-138Silver Weight 12.00gm Diamond Weight 5.00ct Gross Weight   12.00gmSize  45x45mm,https://i.etsystatic.com/22432958/r/il/68fa22/2540260395/il_794xN.2540260395_sai3.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/861649893/45x45-mm-large-925-sterling-silver-pave?click_key=0c6be158643a428044ab3f8fbffa4b040df36165%3A861649893&click_sum=b258027a&ref=shop_home_active_4&pro=1&frs=1
"
    Enamel Pendant 925 Sterling Silver pave Diamond Pendant Sky Blue Diamond Star Shape Pendant Diamond Star Pendant Fine Jewelry Pave Charms
",3412,"welcome to rockyjewelsindia Product Detail Item Number  MJR(P)-019Silver Weight 5.00.gm Diamond Weight  0.97ct Gross Weight    5.00gm Size   45mmDescriptionStone Name: Natural Genuine DiamondMetal: 925 Sterling SilverBeautifully handcrafted as u can see in pics..........100% handmade more quantity available on demand.............We accept Custom Order...........If you have any questions about this piece or if we can help you with any of our other products please feel free to contact us through EtsyI am more than happy to make customs orders or price for wholesale ordersplease message me and i will post a custom listing for you . keeping is mind that everything is handmadeThanks for checking out our shop!Made In : Jaipur RajasthanPayment Policy------------------------------we accept payment through PayPal only, Payment should be made within 3 days of purchaseDelivery Time------------------Item will be Shipped Within 24 hours after payment is clearedyour parcel will shipped in processing time and it will reached in your hand in 12-15 working daysRETURNS: If you are not 100% satisfied with your purchase I will gladly issue full refund after deducting shipping.----Feedback-----If you are not satisfied with your purchased items then contact with us first before leaving negative or neutral feedback or opening disputes. We believe in solving the issues. A positive feedback represents our service, product quality and dedication towards customer's satisfaction. Our future business depends on your satisfaction or positive feedback with ""5-star rating",https://i.etsystatic.com/22432958/r/il/083139/3181278994/il_794xN.3181278994_ba9z.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/783154583/enamel-pendant-925-sterling-silver-pave?click_key=6c0a752cf07b627689f4bd222e60806a3d28e55f%3A783154583&click_sum=586a885e&ref=shop_home_active_5&pro=1&frs=1
"
    New Arrival 925 sterling silver pave diamond beautiful Yellow dancing bear yellow enamel dancing bear pendant pave enamel pendant jewelry
",3290,welcome to rockyjewelsindia Product Detail Item Number  MJR(P)-049Silver Weight 8.00gm Diamond Weight  1.05ct Gross Weight    8.00gm Size   50mm,https://i.etsystatic.com/22432958/r/il/6dd889/2208370194/il_794xN.2208370194_nddn.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/809924678/new-arrival-925-sterling-silver-pave?click_key=0780ce1e02f8d037b50287038dda14474cbbb1c6%3A809924678&click_sum=fc3d9ba3&ref=shop_home_active_6&pro=1&frs=1
"
    Gorgeous Pendant 925 Sterling silver pave setting natural diamond Amazing Stylish Cross Pendant Men Cross Women Cross Pendant Large pendant
",3656,welcome to rockyjewelsindia Product Detail Item Number MJR(P)-159Silver Weight 6.00gm Diamond Weight  0.67ct Gross Weight   6.00gm Size  58x30mm,https://i.etsystatic.com/22432958/r/il/c9c413/2469770168/il_794xN.2469770168_2w4x.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/841381056/gorgeous-pendant-925-sterling-silver?click_key=046b9e838da090d522ede7f14a19d189b8502190%3A841381056&click_sum=f3b22902&ref=shop_home_active_7&pro=1&frs=1
"
    Chain necklace 36""inch 925 sterling silver oxidized clasp lock beautiful necklace chain black gold chain fine unisex silver fine jewelry
",10967,"Welcome to rockyjewelsindia Product Detail Item Number  MJR(F)-135Silver Weight 20.00 gm Diamond Weight  1.00ct Gross Weight   20.00GMSize   36 inchDescriptionMetal: 925 Sterling SilverBeautifully handcrafted as u can see in pics..........100% handmade more quantity available on demand.............We accept Custom Order...........If you have any questions about this piece or if we can help you with any of our other products please feel free to contact us through EtsyI am more than happy to make customs orders or price for wholesale ordersplease message me and i will post a custom listing for you . keeping is mind that everything is handmadeThanks for checking out our shop!Made In : Jaipur RajasthanPayment Policy------------------------------we accept payment through PayPal only, Payment should be made within 3 days of purchaseDelivery Time------------------Item will be Shipped Within 24 hours after payment is clearedyour parcel will shipped in processing time and it will reached in your hand in 12-15 working daysRETURNS: If you are not 100% satisfied with your purchase I will gladly issue full refund after deducting shipping.----Feedback-----If you are not satisfied with your purchased items then contact with us first before leaving negative or neutral feedback or opening disputes. We believe in solving the issues. A positive feedback represents our service, product quality and dedication towards customer's satisfaction. Our future business depends on your satisfaction or positive feedback with ""5-star rating",https://i.etsystatic.com/22432958/r/il/fc1b23/3781600330/il_794xN.3781600330_5pmf.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1023787762/chain-necklace-36inch-925-sterling?click_key=541b722e054b076c3309d8c61997c2b75c44f8c5%3A1023787762&click_sum=be91c8c6&ref=shop_home_active_8&pro=1&frs=1
"
    14k yellow gold 925 sterling silver pave setting natural diamond pave diamond yellow gold 12mm ball pave findings fine jewelry gold beads
",3900,welcome to rockyjewelsindia Product Detail Item Number  MJR(F)-135Silver Weight 7.00gm Diamond Weight  1.00ct Gross Weight    6.500gm Size   12mm,https://i.etsystatic.com/22432958/r/il/4eb00b/2466201636/il_794xN.2466201636_gqii.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/854293469/14k-yellow-gold-925-sterling-silver-pave?click_key=09792dec02b43040d9dcccf5ff9195367c93009b%3A854293469&click_sum=cc8c78db&ref=shop_home_active_9&pro=1&frs=1
"
    14k yellow gold 925 sterling silver pave setting natural genuine diamond pear shape pendant diamond earring fine women diamond jewelry
",9749,welcome to rockyjewelsindia Product Detail Item Number MJR(ER)-048Silver Weight 10.00gm Diamond Weight  3.00ct Gross Weight  10.00gm Size  50mm,https://i.etsystatic.com/22432958/r/il/d45646/2533209930/il_794xN.2533209930_d688.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/872292765/14k-yellow-gold-925-sterling-silver-pave?click_key=036ccf3c97b8cf3d315fad1785e17395ce31a322%3A872292765&click_sum=8f60f4de&ref=shop_home_active_10&pro=1&frs=1
"
    20x14 925 sterling silver pave setting natural tsavorite gemstone stylish design beads findings tsavorite gemstone beads jewelry accessories
",3290,welcome to rockyjewelsindia Product Detail Item Number  MJR(F)-135Silver Weight 7.00gm Diamond Weight  1.05ct Gross Weight    6.500gm Size   20x14mm,https://i.etsystatic.com/22432958/r/il/0abace/2515087103/il_794xN.2515087103_sjam.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/840722690/20x14-925-sterling-silver-pave-setting?click_key=ac7bfb40b79003f2a35a28c82a97a15ee86259dc%3A840722690&click_sum=22916d20&ref=shop_home_active_11&pro=1&frs=1
"
    Unique Design Both Side Lobster Diamond Clasp 925 sterling silver pave diamond clasp real natural sterling silver diamond clasp jewelry
",3412,"welcome to rockyjewelsindia Product Detail Item Number  MJR(C)-123Silver Weight  5.00gm Diamond Weight 1.00ct Gross Weight    5.00gm Size   32mmDescriptionStone Name: Natural Genuine DiamondMetal: 925 Sterling SilverBeautifully handcrafted as u can see in pics..........100% handmade more quantity available on demand.............We accept Custom Order...........If you have any questions about this piece or if we can help you with any of our other products please feel free to contact us through EtsyI am more than happy to make customs orders or price for wholesale ordersplease message me and i will post a custom listing for you . keeping is mind that everything is handmadeThanks for checking out our shop!Made In : Jaipur RajasthanPayment Policy------------------------------we accept payment through PayPal only, Payment should be made within 3 days of purchaseDelivery Time------------------Item will be Shipped Within 24 hours after payment is clearedyour parcel will shipped in processing time and it will reached in your hand in 12-15 working daysRETURNS: If you are not 100% satisfied with your purchase I will gladly issue full refund after deducting shipping.----Feedback-----If you are not satisfied with your purchased items then contact with us first before leaving negative or neutral feedback or opening disputes. We believe in solving the issues. A positive feedback represents our service, product quality and dedication towards customer's satisfaction. Our future business depends on your satisfaction or positive feedback with ""5-star rating",https://i.etsystatic.com/22432958/r/il/50450f/3181370658/il_794xN.3181370658_edsr.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/768479368/unique-design-both-side-lobster-diamond?click_key=e295b3a8f38f25000db9d218b4a57e8b5ffe0106%3A768479368&click_sum=0cd9a93e&ref=shop_home_active_12&pro=1&frs=1
