Produce Name,Price,Description,Image,Category,Options,Product URL
"
    Natural Designed""6""or ""9"" Dendrite Opal Gemstone. Dendrite Opal Cabochone. 132Carat 44x44x8mm
",2681,"More Details About Stone Is here.....Materials:-Stone name  =   Natural Dendrite Opal StoneWeight  =              132Carat Dimension =         44x44x8mmShape  =                RoundProduct Id =         188Polished =            Both side    We Are Trying Our Best To Display Actual Image Of The Gemstone Which is To Be Delivered To Our Customers. There May Be Little Variation In Color Between Image And Actual gemstones But our product Image are original product are same.Your Satisfaction is our aim, we are here and standing behind of our every sellIf you have any doubt or question regarding our product then please feel free to contact we will be happy to help you.                                                   ********* FEEDBACK ********Don't forget to leave a positive feedback along with a 5 star rating on your purchase. A satisfied customer is our top priority and your feedback forms the back bone of our success. If you are happy with your transaction, then Please leave us A POSITIVE FEEDBACK WITH A FULL 5 STAR RATING.                                           ********** RETURN POLICY *********RETURN SHOULD BE MADE WITHIN 30 DAYS OF THE DATE OF ITEM RECEIPT, ALL THE RETURN CHARGES AND OTHER DUTIES WILL BE PAID BY BUYER ONLY IN BUYER’S COUNTRY.WE ACCEPT PAYMENT THROUGH PAYPAL ONLY! THANK YOU!Rate this description",https://i.etsystatic.com/29228422/r/il/9c01f0/3959810581/il_794xN.3959810581_e6ai.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1243252533/natural-designed6or-9-dendrite-opal?click_key=3821b350c143b61dd56e1c20e592375e3b6d691b%3A1243252533&click_sum=887ba5f0&ref=shop_home_feat_1&pro=1&frs=1
"
    Rare!!! 100% Natural Banded Agate Stone , Black Banded Agate Cabochon Loose Gemstone. 185Carat 60x60x5mm
",1097,"More Details About Stone Is here................Materials:-Stone name  =   Netural Banded AgateWeight  =              185Carat Dimension =         60x60x5mmShape  =                CircleProduct Id =         260Polished =           Both side In Stock  =            5kgCut     =                 Smooth                                                             Our Policy   We Are Trying Our Best To Display Actual Image Of The Gemstone Which is To Be Delivered To Our Customers. There May Be Little Variation In Color Between Image And Actual gemstones But our product Image are original product are same.Your Satisfaction is our aim, we are here and standing behind of our every sellIf you have any doubt or question regarding our product then please feel free to contact we will be happy to help you.                                                   ********* FEEDBACK ********Don't forget to leave a positive feedback along with a 5 star rating on your purchase. A satisfied customer is our top priority and your feedback forms the back bone of our success. If you are happy with your transaction, then Please leave us A POSITIVE FEEDBACK WITH A FULL 5 STAR RATING.                                           ********** RETURN POLICY *********RETURN SHOULD BE MADE WITHIN 30 DAYS OF THE DATE OF ITEM RECEIPT, ALL THE RETURN CHARGES AND OTHER DUTIES WILL BE PAID BY BUYER ONLY IN BUYER’S COUNTRY.WE ACCEPT PAYMENT THROUGH PAYPAL ONLY! THANK YOU!Rate this description",https://i.etsystatic.com/29228422/r/il/3303af/3288836055/il_794xN.3288836055_s4f6.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1219567352/rare-100-natural-banded-agate-stone?click_key=b063d9a7b10296ccd47385dbdfc82fc371151f8b%3A1219567352&click_sum=4c157f26&ref=shop_home_feat_2&pro=1&frs=1
"
    Transparent Lot of 10Pcs Natural Amethyst Stone Top Quality Amazing Amethyst Loose Gemstone. 205Carat
",2437,"More Details About Stone Is here.....Materials:-Stone name  =   Natural Amethyst StoneTotal Weight  =     205Carat Dimension =         mixShape  =                MixPolished =          Both side Cut     =                 Smooth                                         >>>>>>>>>>>>>>>>Our Policy>>>>>>>>>>>>>>    We Are Trying Our Best To Display Actual Image Of The Gemstone Which is To Be Delivered To Our Customers. There May Be Little Variation In Color Between Image And Actual gemstones But our product Image are original product are same.Your Satisfaction is our aim, we are here and standing behind of our every sellIf you have any doubt or question regarding our product then please feel free to contact we will be happy to help you.                                                   ********* FEEDBACK ********Don't forget to leave a positive feedback along with a 5 star rating on your purchase. A satisfied customer is our top priority and your feedback forms the back bone of our success. If you are happy with your transaction, then Please leave us A POSITIVE FEEDBACK WITH A FULL 5 STAR RATING. ! THANK YOU!                                                             Sara... Rate this description",https://i.etsystatic.com/29228422/r/il/b74d73/3925358292/il_794xN.3925358292_hygz.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1232220268/transparent-lot-of-10pcs-natural?click_key=02fc970016b0f626451e91a2d12b463d96515658%3A1232220268&click_sum=2c08409d&ref=shop_home_feat_3&pro=1&frs=1
"
    2Pcs Pair Picture Jasper Cabochon Loose Gemstone Jasper Stone. 113Carat 34x34x5mm
",975,"More Details About Stone Is here.....Stone name  =   Pair Natural Picture Jasper StoneDimension =         Same as upperShape  =                RoundPolished =            Both side                                                     -: Facts Of Picture Jasper :- Picture Jasper is a physically stabilizing stone thought to boost the immune system and help counter the effects of aging. It is considered highly restorative for tissue deterioration of the internal organs, and useful in treating cystitis, high blood sugar, and disorders of the kidneys and bladder.Your Satisfaction is our aim, we are here and standing behind of our every sellIf you have any doubt or question regarding our product then please feel free to contact we will be happy to help you.                                                   ********* FEEDBACK ********Don't forget to leave a positive feedback along with a 5 star rating on your purchase. A satisfied customer is our top priority and your feedback forms the back bone of our success. If you are happy with your transaction, then Please leave us A POSITIVE FEEDBACK WITH A FULL 5 STAR RATING.                                           ********** RETURN POLICY *********RETURN SHOULD BE MADE WITHIN 30 DAYS OF THE DATE OF ITEM RECEIPT, ALL THE RETURN CHARGES AND OTHER DUTIES WILL BE PAID BY BUYER ONLY IN BUYER’S COUNTRY.WE ACCEPT PAYMENT THROUGH PAYPAL ONLY! THANK YOU!Rate this description",https://i.etsystatic.com/29228422/r/il/e26222/3970588701/il_794xN.3970588701_89qr.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1246152731/2pcs-pair-picture-jasper-cabochon-loose?click_key=a1b3a9b85e826b4f8d814a271673be484fce2b43%3A1246152731&click_sum=a7f6b41d&ref=shop_home_feat_4&pro=1&frs=1
"
    Natural Multi Tiger Eye Gemstone For Jewelry Making Stone. 54Carat 41x26x6mm
",487,"More Details About Stone Is here...Materials:-Stone name  =   Natural Tiger eye StoneDimension =         Same asShape  =                OvalPolished =           Both side Cut     =                 Smooth   We Are Trying Our Best To Display Actual Image Of The Gemstone Which is To Be Delivered To Our Customers. There May Be Little Variation In Color Between Image And Actual gemstones But our product Image are original product are same.Your Satisfaction is our aim, we are here and standing behind of our every sellIf you have any doubt or question regarding our product then please feel free to contact we will be happy to help you.                                                   ********* FEEDBACK ********Don't forget to leave a positive feedback along with a 5 star rating on your purchase. A satisfied customer is our top priority and your feedback forms the back bone of our success. If you are happy with your transaction, then Please leave us A POSITIVE FEEDBACK WITH A FULL 5 STAR RATING.                                           ********** RETURN POLICY *********RETURN SHOULD BE MADE WITHIN 30 DAYS OF THE DATE OF ITEM RECEIPT, ALL THE RETURN CHARGES AND OTHER DUTIES WILL BE PAID BY BUYER ONLY IN BUYER’S COUNTRY.WE ACCEPT PAYMENT THROUGH PAYPAL ONLY! THANK YOU!Rate this description",https://i.etsystatic.com/29228422/r/il/0e6a5d/3925279060/il_794xN.3925279060_c8ip.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1246714119/natural-multi-tiger-eye-gemstone-for?click_key=3c569a2af8ad8c62de62be098c6896e82a4f16b6%3A1246714119&click_sum=b05d5714&ref=shop_home_feat_5&pro=1&frs=1
"
    Natural Designed""6""or ""9"" Dendrite Opal Gemstone. Dendrite Opal Cabochone. 132Carat 44x44x8mm
",2681,"More Details About Stone Is here.....Materials:-Stone name  =   Natural Dendrite Opal StoneWeight  =              132Carat Dimension =         44x44x8mmShape  =                RoundProduct Id =         188Polished =            Both side    We Are Trying Our Best To Display Actual Image Of The Gemstone Which is To Be Delivered To Our Customers. There May Be Little Variation In Color Between Image And Actual gemstones But our product Image are original product are same.Your Satisfaction is our aim, we are here and standing behind of our every sellIf you have any doubt or question regarding our product then please feel free to contact we will be happy to help you.                                                   ********* FEEDBACK ********Don't forget to leave a positive feedback along with a 5 star rating on your purchase. A satisfied customer is our top priority and your feedback forms the back bone of our success. If you are happy with your transaction, then Please leave us A POSITIVE FEEDBACK WITH A FULL 5 STAR RATING.                                           ********** RETURN POLICY *********RETURN SHOULD BE MADE WITHIN 30 DAYS OF THE DATE OF ITEM RECEIPT, ALL THE RETURN CHARGES AND OTHER DUTIES WILL BE PAID BY BUYER ONLY IN BUYER’S COUNTRY.WE ACCEPT PAYMENT THROUGH PAYPAL ONLY! THANK YOU!Rate this description",https://i.etsystatic.com/29228422/r/il/9c01f0/3959810581/il_794xN.3959810581_e6ai.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1243252533/natural-designed6or-9-dendrite-opal?click_key=3821b350c143b61dd56e1c20e592375e3b6d691b%3A1243252533&click_sum=887ba5f0&ref=shop_home_feat_1&pro=1&frs=1
"
    Rare!!! 100% Natural Banded Agate Stone , Black Banded Agate Cabochon Loose Gemstone. 185Carat 60x60x5mm
",1097,"More Details About Stone Is here................Materials:-Stone name  =   Netural Banded AgateWeight  =              185Carat Dimension =         60x60x5mmShape  =                CircleProduct Id =         260Polished =           Both side In Stock  =            5kgCut     =                 Smooth                                                             Our Policy   We Are Trying Our Best To Display Actual Image Of The Gemstone Which is To Be Delivered To Our Customers. There May Be Little Variation In Color Between Image And Actual gemstones But our product Image are original product are same.Your Satisfaction is our aim, we are here and standing behind of our every sellIf you have any doubt or question regarding our product then please feel free to contact we will be happy to help you.                                                   ********* FEEDBACK ********Don't forget to leave a positive feedback along with a 5 star rating on your purchase. A satisfied customer is our top priority and your feedback forms the back bone of our success. If you are happy with your transaction, then Please leave us A POSITIVE FEEDBACK WITH A FULL 5 STAR RATING.                                           ********** RETURN POLICY *********RETURN SHOULD BE MADE WITHIN 30 DAYS OF THE DATE OF ITEM RECEIPT, ALL THE RETURN CHARGES AND OTHER DUTIES WILL BE PAID BY BUYER ONLY IN BUYER’S COUNTRY.WE ACCEPT PAYMENT THROUGH PAYPAL ONLY! THANK YOU!Rate this description",https://i.etsystatic.com/29228422/r/il/3303af/3288836055/il_794xN.3288836055_s4f6.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1219567352/rare-100-natural-banded-agate-stone?click_key=05ccadb95a7ad890293ebd0a6ebf825f7e416c82%3A1219567352&click_sum=7b566713&ref=shop_home_feat_2&pro=1&frs=1
"
    Transparent Lot of 10Pcs Natural Amethyst Stone Top Quality Amazing Amethyst Loose Gemstone. 205Carat
",2437,"More Details About Stone Is here.....Materials:-Stone name  =   Natural Amethyst StoneTotal Weight  =     205Carat Dimension =         mixShape  =                MixPolished =          Both side Cut     =                 Smooth                                         >>>>>>>>>>>>>>>>Our Policy>>>>>>>>>>>>>>    We Are Trying Our Best To Display Actual Image Of The Gemstone Which is To Be Delivered To Our Customers. There May Be Little Variation In Color Between Image And Actual gemstones But our product Image are original product are same.Your Satisfaction is our aim, we are here and standing behind of our every sellIf you have any doubt or question regarding our product then please feel free to contact we will be happy to help you.                                                   ********* FEEDBACK ********Don't forget to leave a positive feedback along with a 5 star rating on your purchase. A satisfied customer is our top priority and your feedback forms the back bone of our success. If you are happy with your transaction, then Please leave us A POSITIVE FEEDBACK WITH A FULL 5 STAR RATING. ! THANK YOU!                                                             Sara... Rate this description",https://i.etsystatic.com/29228422/r/il/b74d73/3925358292/il_794xN.3925358292_hygz.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1232220268/transparent-lot-of-10pcs-natural?click_key=578de38ed48457056f02b223b386b1b287aae3f1%3A1232220268&click_sum=90f77fff&ref=shop_home_feat_3&pro=1&frs=1
"
    2Pcs Pair Picture Jasper Cabochon Loose Gemstone Jasper Stone. 113Carat 34x34x5mm
",975,"More Details About Stone Is here.....Stone name  =   Pair Natural Picture Jasper StoneDimension =         Same as upperShape  =                RoundPolished =            Both side                                                     -: Facts Of Picture Jasper :- Picture Jasper is a physically stabilizing stone thought to boost the immune system and help counter the effects of aging. It is considered highly restorative for tissue deterioration of the internal organs, and useful in treating cystitis, high blood sugar, and disorders of the kidneys and bladder.Your Satisfaction is our aim, we are here and standing behind of our every sellIf you have any doubt or question regarding our product then please feel free to contact we will be happy to help you.                                                   ********* FEEDBACK ********Don't forget to leave a positive feedback along with a 5 star rating on your purchase. A satisfied customer is our top priority and your feedback forms the back bone of our success. If you are happy with your transaction, then Please leave us A POSITIVE FEEDBACK WITH A FULL 5 STAR RATING.                                           ********** RETURN POLICY *********RETURN SHOULD BE MADE WITHIN 30 DAYS OF THE DATE OF ITEM RECEIPT, ALL THE RETURN CHARGES AND OTHER DUTIES WILL BE PAID BY BUYER ONLY IN BUYER’S COUNTRY.WE ACCEPT PAYMENT THROUGH PAYPAL ONLY! THANK YOU!Rate this description",https://i.etsystatic.com/29228422/r/il/e26222/3970588701/il_794xN.3970588701_89qr.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1246152731/2pcs-pair-picture-jasper-cabochon-loose?click_key=68a29469826fb7487a8f54b84a5a9382cc2ca58a%3A1246152731&click_sum=58a1b472&ref=shop_home_feat_4&pro=1&frs=1
"
    Natural Multi Tiger Eye Gemstone For Jewelry Making Stone. 54Carat 41x26x6mm
",487,"More Details About Stone Is here...Materials:-Stone name  =   Natural Tiger eye StoneDimension =         Same asShape  =                OvalPolished =           Both side Cut     =                 Smooth   We Are Trying Our Best To Display Actual Image Of The Gemstone Which is To Be Delivered To Our Customers. There May Be Little Variation In Color Between Image And Actual gemstones But our product Image are original product are same.Your Satisfaction is our aim, we are here and standing behind of our every sellIf you have any doubt or question regarding our product then please feel free to contact we will be happy to help you.                                                   ********* FEEDBACK ********Don't forget to leave a positive feedback along with a 5 star rating on your purchase. A satisfied customer is our top priority and your feedback forms the back bone of our success. If you are happy with your transaction, then Please leave us A POSITIVE FEEDBACK WITH A FULL 5 STAR RATING.                                           ********** RETURN POLICY *********RETURN SHOULD BE MADE WITHIN 30 DAYS OF THE DATE OF ITEM RECEIPT, ALL THE RETURN CHARGES AND OTHER DUTIES WILL BE PAID BY BUYER ONLY IN BUYER’S COUNTRY.WE ACCEPT PAYMENT THROUGH PAYPAL ONLY! THANK YOU!Rate this description",https://i.etsystatic.com/29228422/r/il/0e6a5d/3925279060/il_794xN.3925279060_c8ip.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1246714119/natural-multi-tiger-eye-gemstone-for?click_key=c70d2134c291c69ad75ea3241e7ceeec2759c6b1%3A1246714119&click_sum=8cd5ed3e&ref=shop_home_feat_5&pro=1&frs=1
