Produce Name,Price,Description,Image,Category,Options,Product URL
"
    Express Shipping 3-5 days
","
                    ₹ 2,031
            ",Express Shipping,https://i.etsystatic.com/17835808/r/il/5a7f35/2914914495/il_794xN.2914914495_51sb.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/961675749/express-shipping-3-5-days?click_key=c7c54bbf043c2619d2f29383afd907d43028f659%3A961675749&click_sum=20242f91&ref=shop_home_feat_1&frs=1
"
    4 Pieces 12mm Bali Bead Oxidized silver Plated Gold Plated Oxidized Copper jewelry Making beads 365
",182,"Handmade beads and findingsGenuine copper Lead nickel Cadmium free.Thank you for visiting my shop. If you have any other questions please ask! To see more of the beads available at Silverjewels1India , please visit: Silverjewels1India.etsy.com",https://i.etsystatic.com/17835808/r/il/b6dc2b/3441004641/il_794xN.3441004641_h8z1.jpg,Craft Supplies & Tools,"[['Select an option', 'Oxidized Silver', 'Oxidized Copper', 'Gold Plated [Sold out]', 'Oxidized Brass'], []]",https://www.etsy.com/in-en/listing/630124019/4-pieces-12mm-bali-bead-oxidized-silver?click_key=1a246e9ecda3fc479afb335bf7b9c469b349db3f%3A630124019&click_sum=571a3944&ref=shop_home_feat_2&pro=1&frs=1
"
    1 Piece   24X19X10MM   Ruby Emerald Gem Stone Box Clasp Sterling Silver Plated 18k Gold Plated B617
",243,"Handmade beads and findingsGenuine copper Lead nickel Cadmium free.Thank you for visiting my shop. If you have any other questions please ask! To see more of the beads available at Silverjewels1India , please visit: Silverjewels1India.etsy.com",https://i.etsystatic.com/17835808/r/il/f31e23/1653758483/il_794xN.1653758483_2ce1.jpg,Craft Supplies & Tools,"[['Select an option', 'Gold Plated', 'Antique Silver'], ['Select an option', 'Ruby 1 Strand', 'Ruby 2 Strand', 'Ruby 3 Strand [Sold out]', 'Emerald 1 Strand [Sold out]', 'Emerald 2 Strand', 'Emerald 3 Strand [Sold out]']]",https://www.etsy.com/in-en/listing/626797846/1-piece-24x19x10mm-ruby-emerald-gem?click_key=fccea5a542a7c6804044861632caa0653f2a7924%3A626797846&click_sum=a54f110f&ref=shop_home_feat_3&pro=1&frs=1
"
    6mm 8mm 10mm 12mm 14mm 16mm 18mm 20mm 24mm  silver Plated 18k Gold Plated Black Gold Copper Brushed Potato Chip Wavy Disc Heishi disc disk
",324,"Handmade beads and findingsGenuine copper Lead nickel Cadmium free.Thank you for visiting my shop. If you have any other questions please ask! To see more of the beads available at Silverjewels1India , please visit: Silverjewels1India.etsy.com",https://i.etsystatic.com/17835808/r/il/74b205/3400330651/il_794xN.3400330651_25ro.jpg,Craft Supplies & Tools,"[['Select an option', '100 PCS 6MM', '80 PCS 8MM', '50 PCS 10MM', '34 PCS 12MM', '24 PCS 14MM', '20 PCS 16MM', '15 PCS 18MM', '12 PCS 20MM', '8 PCS 24MM'], ['Select an option', 'Silver plated', 'Gold plated', 'Black gold plated', 'Copper']]",https://www.etsy.com/in-en/listing/620759111/6mm-8mm-10mm-12mm-14mm-16mm-18mm-20mm?click_key=bc595e441f9a0667ebc0ee60326223ed7c417501%3A620759111&click_sum=87b05968&ref=shop_home_feat_4&pro=1&frs=1
"
    6mm 8mm 10mm 12mm 14mm 20mm 25mm Brushed Ball Round Bead Sterling Silver Plated 18k Gold Plated Black Gold Plated Copper Plated Matt Bead
",324,"Handmade beads and findingsGenuine copper Lead nickel Cadmium free.Thank you for visiting my shop. If you have any other questions please ask! To see more of the beads available at Silverjewels1India , please visit: Silverjewels1India.etsy.com",https://i.etsystatic.com/17835808/r/il/8aaf29/3276555494/il_794xN.3276555494_bl5d.jpg,Craft Supplies & Tools,"[['Select an option', '80 PCS 6MM (₹ 324)', '30 PCS 7MM (₹ 324)', '28 PCS 8MM (₹ 324)', '20 PCS 9MM (₹ 324)', '14 PCS 10MM (₹ 324)', '10 PCS 12MM (₹ 324)', '6 PCS 14MM (₹ 324)', '4 Pcs 16MM (₹ 324)', '4 PCS 18MM (₹ 324)', '3 PCS 20MM (₹ 324)', '3 PCS 22MM (₹ 324)', '2 PCS 25MM (₹ 649)', '2 PCS 28MM (₹ 649)', '1 PCS  28MM (₹ 324)'], ['Select an option', 'Silver plated', 'Gold plated', 'Black gold plated', 'Copper Plated']]",https://www.etsy.com/in-en/listing/604742328/6mm-8mm-10mm-12mm-14mm-20mm-25mm-brushed?click_key=4272617c19c9794deb150f1ed34156da2da68bb0%3A604742328&click_sum=e34ec5fe&ref=shop_home_active_1&pro=1&frs=1
"
    6mm 8mm 10mm 12mm 14mm 16mm 18mm 20mm 24mm  silver Plated 18k Gold Plated Black Gold Copper Brushed Potato Chip Wavy Disc Heishi disc disk
",324,"Handmade beads and findingsGenuine copper Lead nickel Cadmium free.Thank you for visiting my shop. If you have any other questions please ask! To see more of the beads available at Silverjewels1India , please visit: Silverjewels1India.etsy.com",https://i.etsystatic.com/17835808/r/il/74b205/3400330651/il_794xN.3400330651_25ro.jpg,Craft Supplies & Tools,"[['Select an option', '100 PCS 6MM', '80 PCS 8MM', '50 PCS 10MM', '34 PCS 12MM', '24 PCS 14MM', '20 PCS 16MM', '15 PCS 18MM', '12 PCS 20MM', '8 PCS 24MM'], ['Select an option', 'Silver plated', 'Gold plated', 'Black gold plated', 'Copper']]",https://www.etsy.com/in-en/listing/620759111/6mm-8mm-10mm-12mm-14mm-16mm-18mm-20mm?click_key=7e7689484ac217901509903a8ea67d5140481140%3A620759111&click_sum=2e84efd8&ref=shop_home_active_2&pro=1&frs=1
"
    Handmade Bali Bead Genuine Copper Lead Nickel Free Oxidized Silver Copper Gold Plated Bead B 3
",324,"Handmade beads and findingsGenuine copper Lead nickel Cadmium free.Thank you for visiting my shop. If you have any other questions please ask! To see more of the beads available at Silverjewels1India , please visit: Silverjewels1India.etsy.com",https://i.etsystatic.com/17835808/r/il/1f2c35/1576446481/il_794xN.1576446481_brfq.jpg,Craft Supplies & Tools,"[['Select an option', 'Oxidized Silver [Sold out]', 'Gold Plated [Sold out]', 'Oxidized Copper'], ['Select an option', '4 PCS 15X17MM [Sold out]', '3 PCS 16X19MM']]",https://www.etsy.com/in-en/listing/620772169/handmade-bali-bead-genuine-copper-lead?click_key=115a8ef4fec8cfc0a05f41b2507814a70e861889%3A620772169&click_sum=3be157a8&ref=shop_home_active_3&pro=1&frs=1
"
    Solid Copper Bali Bead Oxidized Real Silver plated Real Gold Plated Antique Copper Jewelry Making Bead 8MM 10MM 12MM 15MM B 4
",324,"Handmade beads and findingsGenuine copper Lead nickel Cadmium free.Thank you for visiting my shop. If you have any other questions please ask! To see more of the beads available at Silverjewels1India , please visit: Silverjewels1India.etsy.com",https://i.etsystatic.com/17835808/r/il/5f167f/3463837105/il_794xN.3463837105_2het.jpg,Craft Supplies & Tools,"[['Select an option', 'Oxidized Silver', 'Gold Plated', 'Oxidized Copper', 'Oxidized Gold Plated', 'Oxidised Brass', 'Silver Plated'], ['Select an option', '18 PCS 8MM [Sold out]', '9 PCS 10MM', '6 PCS 12MM', '4 PCS 15MM']]",https://www.etsy.com/in-en/listing/620776833/solid-copper-bali-bead-oxidized-real?click_key=cd0f87cc732129000777fee3cdcc2f7dbfae016f%3A620776833&click_sum=cfef2cb1&ref=shop_home_active_4&pro=1&frs=1
"
    8MM To 16MM Handmade Bali Bead Oxidized Silver Plated Gold Plated Bead Genuine Copper Lead Nickel Free B 14
",324,"Handmade beads and findingsGenuine copper Lead nickel Cadmium free.Thank you for visiting my shop. If you have any other questions please ask! To see more of the beads available at Silverjewels1India , please visit: Silverjewels1India.etsy.com",https://i.etsystatic.com/17835808/r/il/33006f/1578210875/il_794xN.1578210875_30ns.jpg,Craft Supplies & Tools,"[['Select an option', 'Oxidized Silver', 'Gold Plated', 'Oxidized Copper', 'White'], ['Select an option', '16 PCS 8MM', '10 PCS 10MM', '7 PCS 12MM', '4 PCS 16MM']]",https://www.etsy.com/in-en/listing/620986829/8mm-to-16mm-handmade-bali-bead-oxidized?click_key=4762496b396f5c98dc8c57658c36b4c73972dc64%3A620986829&click_sum=1d7b3c74&ref=shop_home_active_5&pro=1&frs=1
"
    5 Pieces 10mm Bali Bead Antique Silver Plated Antique Copper Antique Brass Sterling Silver Plated 18k Gold Plated  B 8
",182,"Handmade beads and findingsGenuine copper Lead nickel Cadmium free.Thank you for visiting my shop. If you have any other questions please ask! To see more of the beads available at Silverjewels1India , please visit: Silverjewels1India.etsy.com",https://i.etsystatic.com/17835808/r/il/b70427/1577321057/il_794xN.1577321057_rmmf.jpg,Craft Supplies & Tools,"[['Select an option', 'Gold Plated', 'Silver Plated', 'Antique Silver', 'Antique Copper', 'Antique Brass'], []]",https://www.etsy.com/in-en/listing/620987837/5-pieces-10mm-bali-bead-antique-silver?click_key=74c203cf38c9db7331fadb5a25c1e9f83bc8d981%3A620987837&click_sum=e4e4dc01&ref=shop_home_active_6&pro=1&frs=1
