Produce Name,Price,Description,Image,Category,Options,Product URL
"
    Victorian Black Polki Faux Diamond Necklace set/Designer Victorian Necklace Set/Polki Diamond set/Jadau set/Sabyasachi Inspired Jewelry set
",6499,"This necklace set is a Victorian inspired polki and cubic zirconia piece worked in rhodium plated silver alloy. The luxurious details of the necklace suffuse the piece with ethereal beauty. Designed with a keen eye for small details like the iridescent stone drop in between the larger polkis, this Victorian piece is created for all the lovers of bling.Necklace Closure - Adjustable DoriEarrings Closure - Push Back",https://i.etsystatic.com/25473404/r/il/386892/3996512242/il_794xN.3996512242_80z1.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1264645393/victorian-black-polki-faux-diamond?click_key=f2124e325fc7299f601fb3bed98657c73bcf3a5e%3A1264645393&click_sum=a9d186ab&ref=shop_home_feat_1&pro=1&frs=1
"
    Indian Kundan Choker/ Indian Jewelry/ Indian Necklace/ Indian Choker/ Indian Wedding Necklace Set/ ad jewellery / cz jewellery / diwali sale
",2924,"Pretty fine Kundan choker necklace with matching earrings in and stonesHighest quality and craftsmanship.Please let me know if you have any questionsPLEASE IT'S REQUEST FOR YOUWhen you order please shere your contact number because courier company want to help parcal reach thank youFeedback:Please leave us active ""5-star"" feedback if you are satisfied with the items you receive. We really appreciate your supporting.For any dispute reason, please don't hesitate to contact us before leaving any negative or neutral feedback, please give us a chance to solve the issue for you. Thank you!Shipping Policy:All the items will be shipped in 1-3 business days after your payment been finished.All the items will be shipped via the ePackage or Post Air Mail depending on the destination by default for free, which will take around 2-3 weeks to arrive.All the items can also be shipped via the EMS, UPS or some other available methods by custom with some extra postage, which will take around 1 week to arrive.Please contact us in advance if you have any special delivery requiement beyond terms above.Return Policy:All the items in my shop are 100% high quality. Please contact us in advance if you need replacement or returning for refund. 30 Days Exchange And 15 Days Return                                                                    Payment Policy=> We Accept PayPal     ****************Thank You For Choosing My Shop***************************                       THANK YOU BEST REGARDS",https://i.etsystatic.com/25473404/r/il/677941/3747622179/il_794xN.3747622179_2nyi.jpg,Jewellery,"[['Select a colour', 'Mint green', 'Golden', 'Green', 'Maroon', 'Black', 'Pink'], []]",https://www.etsy.com/in-en/listing/1173133176/indian-kundan-choker-indian-jewelry?click_key=e4599cad49136067209e227f1759b425911fdf58%3A1173133176&click_sum=60f25367&ref=shop_home_feat_2&pro=1&frs=1
"
    Kundan Bracelet/ Polki Haath phool /hath panja/ Adjustable Bracelet/ finger bracelet /Indian Bridal Jewellery/ hand harness /Dulhan barclet
",1624,"Feedback:Please leave us active ""5-star"" feedback if you are satisfied with the items you receive. We really appreciate your supporting.For any dispute reason, please don't hesitate to contact us before leaving any negative or neutral feedback, please give us a chance to solve the issue for you. Thank you!Shipping Policy:If you need to Fast delivery then you can choice express delivery maximum to maximum you received your parcal within 5 days fast delivery charges -21$All the items will be shipped in 1-2 business days after your payment been finished.All the items will be shipped via the ePackage or Post Air Mail depending on the destination by default for free, which will take around 2-3 weeks to arrive.All the items can also be shipped via the EMS, UPS or some other available methods by custom with some extra postage, which will take around 1 week to arrive.Please contact us in advance if you have any special delivery requiement beyond terms above.Return Policy:All the items in my shop are 100% high quality. Please contact us in advance if you need replacement or returning for refund. 30 Days Exchange And 15 Days Return                                                                    Payment Policy=> We Accept PayPal     ****************Thank You For Choosing My Shop***************************                       THANK YOU BEST REGARDS",https://i.etsystatic.com/25473404/r/il/bba795/3649948070/il_794xN.3649948070_1e0e.jpg,Jewellery,"[['Select an option', 'Single piece (₹ 1,624)', 'Two pieces (₹ 2,599)'], []]",https://www.etsy.com/in-en/listing/1160146582/kundan-bracelet-polki-haath-phool-hath?click_key=e77c375ab871e4b98835a20830179c9776ab19f8%3A1160146582&click_sum=578a5094&ref=shop_home_feat_3&pro=1&frs=1
"
    Heavy Meenakari Jadau Kundan Handmade Kundan Bridal Choker set, Tanjore Semiprecious Stone Kundan Necklace, customizable Indian Jewelry Set
",2599,"Kundan Choker Necklace, Indian Choker Necklace Set For Women, Beads Necklaces For Women,Bridesmaids Necklace Set, Kundan Wedding JewelleryKundan Choker Necklace, Indian Choker Necklace Set For Women, Beads Necklaces For Women,Bridesmaids Necklace Set, Kundan Wedding Jewellery-- High quality amdavadi kundan necklace set with earrings in gold tone elegantly beaded with pastel orange colour beads. It will surely uplift the indian-ness in you.--This beautiful choker necklace fits on the neck so comfortably with the help of the adjustable thread.The adjustable thread makes it suitable for all neck sizes.--* NICKEL FREE, LEAD FREE - So, it's hypoallergenic like all my products-- Will arrive nicely wrapped and safely packaged in a Plastic box.-- Total length of Necklace - 14 inches till the beads (after that comes the adjustable thread which helps it to fit the all the neck sizes)-- Total Length of Earrings - 1 inch-- Closure -->Necklace - Adjustable ThreadEarrings - Push Back♥ Pretty sea blue & pink beads add charisma to the jewelry.♥ Ideal for wedding party.♥ FREE SHIPPING ♥I T E M . S P E C I F I C A T I O N S ♥The pendant is filled with kundn StonesThe Choker is adjustable for any sizeFeedback:Please leave us active ""5-star"" feedback if you are satisfied with the items you receive. We really appreciate your supporting.For any dispute reason, please don't hesitate to contact us before leaving any negative or neutral feedback, please give us a chance to solve the issue for you. Thank you!Shipping Policy:If you need to Fast delivery then you can choice express delivery maximum to maximum you received your parcal within 5 days fast delivery charges -21$All the items will be shipped in 1-2 business days after your payment been finished.All the items will be shipped via the ePackage or Post Air Mail depending on the destination by default for free, which will take around 2-3 weeks to arrive.All the items can also be shipped via the EMS, UPS or some other available methods by custom with some extra postage, which will take around 1 week to arrive.Please contact us in advance if you have any special delivery requiement beyond terms above.Return Policy:All the items in my shop are 100% high quality. Please contact us in advance if you need replacement or returning for refund. 30 Days Exchange And 15 Days Return                                                                    Payment Policy=> We Accept PayPal     ****************Thank You For Choosing My Shop***************************                       THANK YOU BEST REGARDS",https://i.etsystatic.com/25473404/r/il/a9fe4d/3336849757/il_794xN.3336849757_f0db.jpg,Weddings,"[['Select a pattern', '001', '002', '003', '004', '005', '006'], []]",https://www.etsy.com/in-en/listing/1060322610/heavy-meenakari-jadau-kundan-handmade?click_key=fe8212647bb3c07888c4af8811c805f44d5b568d%3A1060322610&click_sum=5449bac7&ref=shop_home_feat_4&pro=1&frs=1
"
    Indian Kundan Choker, Indian Jewelry, Bollywood Jewelry, Pakistani Jewelry, Indian Wedding Necklace, Bridal Choker, Kundan Necklace, Choker
","
                    ₹ 3,249
            ","♥ Adorable choker set with bold kundan & semi-precious stones studded in an aesthetic design.♥ Ideal for wedding party.♥ FREE SHIPPING ♥I T E M . S P E C I F I C A T I O N S ♥Choker length - 7 Inch. Width - 2.75 Inch. Has an adjustable rope at the back.Earrings - 2.75 Inch x 0.75 Inch. Closure - Push back.S H I P P I N G ♥- Domestic (India) - 3 to 5 Business Days- International (USA, UK) - 10 to 20 Business Days.Feedback:Please leave us active ""5-star"" feedback if you are satisfied with the items you receive. We really appreciate your supporting.For any dispute reason, please don't hesitate to contact us before leaving any negative or neutral feedback, please give us a chance to solve the issue for you. Thank you!Shipping Policy:All the items will be shipped in 1-3 business days after your payment been finished.All the items will be shipped via the ePackage or Post Air Mail depending on the destination by default for free, which will take around 2-3 weeks to arrive.All the items can also be shipped via the EMS, UPS or some other available methods by custom with some extra postage, which will take around 1 week to arrive.Please contact us in advance if you have any special delivery requiement beyond terms above.Return Policy:All the items in my shop are 100% high quality. Please contact us in advance if you need replacement or returning for refund. 30 Days Exchange And 15 Days Return                                                                    Payment Policy=> We Accept PayPal     ****************Thank You For Choosing My Shop***************************                       THANK YOU BEST REGARDS",https://i.etsystatic.com/25473404/r/il/1cfc8c/4100170825/il_794xN.4100170825_92c8.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1264802966/indian-kundan-choker-indian-jewelry?click_key=516ab0d87aad8e02491dd5f5232934598c442bfe%3A1264802966&click_sum=595676ea&ref=shop_home_active_1&frs=1
"
    Heavy Meenakari Jadau Kundan Handmade Kundan Bridal Choker set, Tanjore Semiprecious Stone Kundan Necklace, customizable Indian Jewelry Set
","
                    ₹ 4,874
            ","Jadau Kundan Handmade Hand Painted Meenakari Kundan Choker Emerald Semiprecious Stone Kundan Choker Necklace Jaipur Kundan, Indian JewelryFine Ahmdabadi Kundan Handmade Hand Painted Meenakari Kundan Choker Emerald Semiprecious Stone/ Kundan/ Pearl/ Choker/ NecklaceEasy to wear, Light in weight & gives you a classy Look. It can be wear in festival occasion with matching salwar or saree. The fish hook is also attached at the top of earring for smooth wear and removal of earrings.All colors Available in this bridal necklace set like Green, Mahroon, and White. U can castmaised it alsoGIFT FOR HER , A perfect Valentine Gifts for Girlfriend / Wife or indulge yourself with these beauties.Material: Gold PlatedNecklace Set For : Women and GirlsWe sell HIGHEST QUALITY KUNDAN JEWELRY unmatched by 99% of Online Sellers and stores in IndiaWomen love jewellery; specially artificial jewellery adore a women, They wear it on different occasion, They have special importance on ring ceremony, wedding and festive time, They can also wear it on regular basis , Make your moment memorable with this range, This jewellery features a unique one of a kind traditional embellish with antique finishFrom the house of Fashion Empire, this bridal necklace add a hint of raw ethnic beauty to any look, Representing a classic fusion of exquisite craftsmanship and feminine elegance, this set will definitely be a treasured inclusion in every woman's jewellery collection, The gold finish further ensures a long-lasting shine, !!I would love to see how you style your jewelry. Please tagFeedback:Please leave us active ""5-star"" feedback if you are satisfied with the items you receive. We really appreciate your supporting.For any dispute reason, please don't hesitate to contact us before leaving any negative or neutral feedback, please give us a chance to solve the issue for you. Thank you!Shipping Policy:All the items will be shipped in 1-3 business days after your payment been finished.All the items will be shipped via the ePackage or Post Air Mail depending on the destination by default for free, which will take around 2-3 weeks to arrive.All the items can also be shipped via the EMS, UPS or some other available methods by custom with some extra postage, which will take around 1 week to arrive.Please contact us in advance if you have any special delivery requiement beyond terms above.Return Policy:All the items in my shop are 100% high quality. Please contact us in advance if you need replacement or returning for refund. 30 Days Exchange And 15 Days Return                                                                    Payment Policy=> We Accept PayPal     ****************Thank You For Choosing My Shop***************************                       THANK YOU BEST REGARDS",https://i.etsystatic.com/25473404/r/il/695452/4052519170/il_794xN.4052519170_85cy.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1278818957/heavy-meenakari-jadau-kundan-handmade?click_key=ebda90eb07a2f73406acbcb2c598262b02547bc1%3A1278818957&click_sum=3f15a73e&ref=shop_home_active_2&frs=1
"
    Sabyasachi Inspired Victorian Finish Dual Tone Foil Kundan Statement Earrings
","
                    ₹ 1,624
            ",Sabyasachi Inspired Victorian Finish Dual Tone Foil Kundan Statement Earrings,https://i.etsystatic.com/25473404/r/il/4cefd0/4052517558/il_794xN.4052517558_4e37.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1264802316/sabyasachi-inspired-victorian-finish?click_key=ae63734f18315290e98414b6aa756054f56ea87b%3A1264802316&click_sum=c64ee129&ref=shop_home_active_3&frs=1
"
    Sabyasachi Inspired Victorian Finish Dual Tone Foil Kundan Statement Earrings
","
                    ₹ 1,624
            ",Sabyasachi Inspired Victorian Finish Dual Tone Foil Kundan Statement Earrings,https://i.etsystatic.com/25473404/r/il/fe5132/4052516106/il_794xN.4052516106_f7s5.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1264802096/sabyasachi-inspired-victorian-finish?click_key=84f62288b98efa8bcc28f9074954f18909f18d63%3A1264802096&click_sum=29cdb800&ref=shop_home_active_4&frs=1
"
    Beautiful Oxidized Silver Choker with Earring and Ring for Women, Indian traditional women jewelry set, Indian festival Navratri jewelry set
","
                    ₹ 812
            ","Beautiful Oxidized Silver Choker with Earring and Ring for Women, Indian traditional women jewelry set, Indian festival Navratri jewelry setThis product contains a choker necklace, 1 pair of earrings, and 1 ringColor: SilverMaterial: Oxidised SilverCountry of Origin: IndiaFeedback:Please leave us active ""5-star"" feedback if you are satisfied with the items you receive. We really appreciate your supporting.For any dispute reason, please don't hesitate to contact us before leaving any negative or neutral feedback, please give us a chance to solve the issue for you. Thank you!Shipping Policy:All the items will be shipped in 1-3 business days after your payment been finished.All the items will be shipped via the ePackage or Post Air Mail depending on the destination by default for free, which will take around 2-3 weeks to arrive.All the items can also be shipped via the EMS, UPS or some other available methods by custom with some extra postage, which will take around 1 week to arrive.Please contact us in advance if you have any special delivery requiement beyond terms above.Return Policy:All the items in my shop are 100% high quality. Please contact us in advance if you need replacement or returning for refund. 30 Days Exchange And 15 Days Return                                                                    Payment Policy=> We Accept PayPal     ****************Thank You For Choosing My Shop***************************                       THANK YOU BEST REGARDS",https://i.etsystatic.com/25473404/r/il/7ddf04/4100164889/il_794xN.4100164889_gmih.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1264801700/beautiful-oxidized-silver-choker-with?click_key=4b28281266b28f5bc03328b7638770014ed96fd2%3A1264801700&click_sum=fa6e1929&ref=shop_home_active_5&frs=1
"
    Indian Maangtikka /Kundan Maangtikka /pearls mang tikka/Gold-Plated Maang Tikka /Bridal Maangtikka/Matha Patti/ Nethi Chutti/wedding jewelry
","
                    ₹ 1,055
            ","Elegant Maang Tikka, maangtika, Pearl Maang tika, Crystal Mang tikka, Simple mang tikka, tikka maang, tikka headpiece, forehead jewelry",https://i.etsystatic.com/25473404/r/il/249514/4100160015/il_794xN.4100160015_gkpk.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1278817049/indian-maangtikka-kundan-maangtikka?click_key=587b82b2156aa1964cf38393c1d66c99b8687ee5%3A1278817049&click_sum=bbacac91&ref=shop_home_active_6&frs=1
