Produce Name,Price,Description,Image,Category,Options,Product URL
"
    Express Shipping
",1830,Express Shipping,https://i.etsystatic.com/19668525/r/il/dded31/2425752679/il_794xN.2425752679_akam.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/815219648/express-shipping?click_key=82b206e8e084d067de744e4163d2d1f550376fb1%3A815219648&click_sum=7088fc0c&ref=shop_home_feat_1&pro=1&frs=1
"
    10 Pieces Rainbow Moonstone gemstone beads Clover shape rainbow moonstone beads drilled moonstone stone Beads faceted moonstone beads
",1895,"Gemstone :-   Rainbow MoonstoneShape :- CloverHole Size:- 0.5mm*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*Important Note''If you need more Sizes and Shapes and stones which are not listed please let us know, we will make special listing for you. If you have any questions, please contact us through Etsy Message service or e-mail.Being a factory we can do Gemstone Beads in all kind of Precious and Semi precious gemstone and all needed way and style.*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*""WE ARE MANUFACTURERS AND WHOLESALER''All items were manufactured at our factory by our skilled workers that let us to keep our prices down So We can sell gemstones Beads and jewelry in REASONABLE PRICES .*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*Shipping Details:Processing timeThe time I need to prepare an order for shipping varies, however after getting confirm payments we usually ship our goods within 1 - 3 business days, if the shop super-busy, your order may take up to 3 -4 business days to be shipped, we always tries our best to ship your goods as quickly as we can so that your beauties can reach you as fast as possible.*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*Shipping F.A.Q*With Express shipping products will be delivered within 4-6 working days from the time your package leaves our center, but sometimes delivery may be little long.For door- to-door delivery, we require a physical (street) address. Please send us your telephone number along with your shipping address through the Etsy Convo. We will require mentioning them on the order parcel.",https://i.etsystatic.com/19668525/r/il/a25826/2579795750/il_794xN.2579795750_qnqv.jpg,Craft Supplies & Tools,"[['Select an option', '8 MM (₹ 1,895)', '10 MM (₹ 2,250)', '12 MM (₹ 2,604)', '14 MM (₹ 3,489)', '15 MM (₹ 3,667)', '16 MM (₹ 4,549)', '18 MM (₹ 6,323)', '20 MM (₹ 7,385)', '22 MM (₹ 8,422)', '25 MM (₹ 10,547)', '30 MM (₹ 12,318)', '35 MM (₹ 16,922)'], []]",https://www.etsy.com/in-en/listing/870379710/10-pieces-rainbow-moonstone-gemstone?click_key=e9d764a34377b61b49532d2164123d4efc978107%3A870379710&click_sum=0bf5e5fb&ref=shop_home_feat_2&pro=1&frs=1
"
    17-inch strand NATURAL Turquoise Gemstone faceted beads rondelle Shape size 4-7 MM Turquoise bracelet beads Necklace jewelry making beads
",5703,"Gemstone :-Natural Turquoise beadsSize:- 4-7  mm Carat Weight :-115 CaratShape ;- rondelle Quantity: 17 inch 1 strand Hole Size:- 0.5mm*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*Important Note''If you need more Sizes and Shapes and stones which are not listed please let us know, we will make special listing for you. If you have any questions, please contact us through Etsy Message service or e-mail.Being a factory we can do Gemstone Beads in all kind of Precious and Semi precious gemstone and all needed way and style.*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*""WE ARE MANUFACTURERS AND WHOLESALER''All items were manufactured at our factory by our skilled workers that let us to keep our prices down So We can sell gemstones Beads and jewelry in REASONABLE PRICES .*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*Shipping Details:Processing timeThe time I need to prepare an order for shipping varies, however after getting confirm payments we usually ship our goods within 1 - 3 business days, if the shop super-busy, your order may take up to 3 -4 business days to be shipped, we always tries our best to ship your goods as quickly as we can so that your beauties can reach you as fast as possible.*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*Shipping F.A.Q*With Express shipping products will be delivered within 4-6 working days from the time your package leaves our center, but sometimes delivery may be little long.For door- to-door delivery, we require a physical (street) address. Please send us your telephone number along with your shipping address through the Etsy Convo. We will require mentioning them on the order parcel.",https://i.etsystatic.com/19668525/r/il/57e74a/3199983766/il_794xN.3199983766_i048.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1050208063/17-inch-strand-natural-turquoise?click_key=e61c6778cb499200b82c131057d46fe3c2e1be65%3A1050208063&click_sum=8d281262&ref=shop_home_feat_3&pro=1&frs=1
"
    8 inch-strand-Peridot-Gemstone-faceted beads-rough Shape-beads size-7X13-9X17 MM-Peridot green beads-wholesale-jewelry-making necklace beads
",1671,"Gemstone :-Peridot beadsSize:-7X13-9X17 mmCarat Weight;-240 aratShape ;-rough Quantity: 8-inch 1 strand Hole Size:- 0.5mm*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*Important Note''If you need more Sizes and Shapes and stones which are not listed please let us know, we will make special listing for you. If you have any questions, please contact us through Etsy Message service or e-mail.Being a factory we can do Gemstone Beads in all kind of Precious and Semi precious gemstone and all needed way and style.*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*""WE ARE MANUFACTURERS AND WHOLESALER''All items were manufactured at our factory by our skilled workers that let us to keep our prices down So We can sell gemstones Beads and jewelry in REASONABLE PRICES .*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*Shipping Details:Processing timeThe time I need to prepare an order for shipping varies, however after getting confirm payments we usually ship our goods within 1 - 3 business days, if the shop super-busy, your order may take up to 3 -4 business days to be shipped, we always tries our best to ship your goods as quickly as we can so that your beauties can reach you as fast as possible.*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*Shipping F.A.Q*With Express shipping products will be delivered within 4-6 working days from the time your package leaves our center, but sometimes delivery may be little long.For door- to-door delivery, we require a physical (street) address. Please send us your telephone number along with your shipping address through the Etsy Convo. We will require mentioning them on the order parcel.",https://i.etsystatic.com/19668525/r/il/eea3b1/3982536535/il_794xN.3982536535_ec7k.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1249195481/8-inch-strand-peridot-gemstone-faceted?click_key=4cccbe3610d5159b6a35fde535173d31e53df3ee%3A1249195481&click_sum=9f0cff2e&ref=shop_home_feat_4&pro=1&frs=1
"
    60-pics-strand Natural emerald gemstone beads-faceted-teardrop shape-drilled beads-Size 5X7-5X11 MM emerald necklace jewelry makking beads
",2135,"Gemstone :-Emerald beadsSize:- 5X7-5X11 MM ApproxShape :- teardrop Quantity:-10-inch strand Hole Size:- 0.5mmCarat weight;- 110*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*Important Note''If you need more Sizes and Shapes and stones which are not listed please let us know, we will make special listing for you. If you have any questions, please contact us through Etsy Message service or e-mail.Being a factory we can do Gemstone Beads in all kind of Precious and Semi precious gemstone and all needed way and style.*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*""WE ARE MANUFACTURERS AND WHOLESALER''All items were manufactured at our factory by our skilled workers that let us to keep our prices down So We can sell gemstones Beads and jewelry in REASONABLE PRICES .*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*Shipping Details:Processing timeThe time I need to prepare an order for shipping varies, however after getting confirm payments we usually ship our goods within 1 - 3 business days, if the shop super-busy, your order may take up to 3 -4 business days to be shipped, we always tries our best to ship your goods as quickly as we can so that your beauties can reach you as fast as possible.*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*Shipping F.A.Q*With Express shipping products will be delivered within 4-6 working days from the time your package leaves our center, but sometimes delivery may be little long.For door- to-door delivery, we require a physical (street) address. Please send us your telephone number along with your shipping address through the Etsy ConvO. We will require mentioning them on the order parcel.",https://i.etsystatic.com/19668525/r/il/ea2965/4088970933/il_794xN.4088970933_dvsn.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1275974185/60-pics-strand-natural-emerald-gemstone?click_key=b839b8ec7ca136163ca5d7af5ee8090cf40212a6%3A1275974185&click_sum=c180b1ac&ref=shop_home_active_1&pro=1&frs=1
"
    10-inch-strand dendrite opal gemstone beads-faceted-round shape-drilled beads-Size 6 MM dendrite opal necklace jewelry makking beads
",1647,"Gemstone :-dendrite opal beads Size:- 6 MM ApproxShape :- round Quantity:-10-inch strand Hole Size:- 0.5mmCarat weight;- 70 *-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*Important Note''If you need more Sizes and Shapes and stones which are not listed please let us know, we will make special listing for you. If you have any questions, please contact us through Etsy Message service or e-mail.Being a factory we can do Gemstone Beads in all kind of Precious and Semi precious gemstone and all needed way and style.*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*""WE ARE MANUFACTURERS AND WHOLESALER''All items were manufactured at our factory by our skilled workers that let us to keep our prices down So We can sell gemstones Beads and jewelry in REASONABLE PRICES .*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*Shipping Details:Processing timeThe time I need to prepare an order for shipping varies, however after getting confirm payments we usually ship our goods within 1 - 3 business days, if the shop super-busy, your order may take up to 3 -4 business days to be shipped, we always tries our best to ship your goods as quickly as we can so that your beauties can reach you as fast as possible.*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*Shipping F.A.Q*With Express shipping products will be delivered within 4-6 working days from the time your package leaves our center, but sometimes delivery may be little long.For door- to-door delivery, we require a physical (street) address. Please send us your telephone number along with your shipping address through the Etsy ConvO. We will require mentioning them on the order parcel.",https://i.etsystatic.com/19668525/r/il/88cb28/4088942701/il_794xN.4088942701_l8j0.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1275971257/10-inch-strand-dendrite-opal-gemstone?click_key=8c1db79d95880204ad62a830de49322af7d4345f%3A1275971257&click_sum=1d84f23e&ref=shop_home_active_2&pro=1&frs=1
"
    40-pics-strand multi moonstone gemstone-faceted-pear shape-drilled-8 inch strand Size 8X12-8X15 MM moonstone necklace jewelry makking beads
",2159,"Gemstone :-multi moonstone beads Size:- 8X12-8X15 MM ApproxShape :- pear  Quantity:-40-piecesHole Size:- 0.5mmCarat weight;- 160 *-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*Important Note''If you need more Sizes and Shapes and stones which are not listed please let us know, we will make special listing for you. If you have any questions, please contact us through Etsy Message service or e-mail.Being a factory we can do Gemstone Beads in all kind of Precious and Semi precious gemstone and all needed way and style.*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*""WE ARE MANUFACTURERS AND WHOLESALER''All items were manufactured at our factory by our skilled workers that let us to keep our prices down So We can sell gemstones Beads and jewelry in REASONABLE PRICES .*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*Shipping Details:Processing timeThe time I need to prepare an order for shipping varies, however after getting confirm payments we usually ship our goods within 1 - 3 business days, if the shop super-busy, your order may take up to 3 -4 business days to be shipped, we always tries our best to ship your goods as quickly as we can so that your beauties can reach you as fast as possible.*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*Shipping F.A.Q*With Express shipping products will be delivered within 4-6 working days from the time your package leaves our center, but sometimes delivery may be little long.For door- to-door delivery, we require a physical (street) address. Please send us your telephone number along with your shipping address through the Etsy ConvO. We will require mentioning them on the order parcel.",https://i.etsystatic.com/19668525/r/il/df62d1/4038905908/il_794xN.4038905908_jvxp.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1261359592/40-pics-strand-multi-moonstone-gemstone?click_key=07220439fec1f44f079f1404ded88bdc0bca133d%3A1261359592&click_sum=0a0536ed&ref=shop_home_active_3&pro=1&frs=1
"
    25-pics-strand chocolate moonstone gemstone-faceted-pear shape-drilled-13 inch Size 8X14-9X28 MM moonstone necklace jewelry makking beads
",2373,"Gemstone :- chocolate moonstone beads Size:-  8X14-9X28 MM ApproxShape :- pear  Quantity:-25-piecesHole Size:- 0.5mmCarat weight;- 185 *-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*Important Note''If you need more Sizes and Shapes and stones which are not listed please let us know, we will make special listing for you. If you have any questions, please contact us through Etsy Message service or e-mail.Being a factory we can do Gemstone Beads in all kind of Precious and Semi precious gemstone and all needed way and style.*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*""WE ARE MANUFACTURERS AND WHOLESALER''All items were manufactured at our factory by our skilled workers that let us to keep our prices down So We can sell gemstones Beads and jewelry in REASONABLE PRICES .*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*Shipping Details:Processing timeThe time I need to prepare an order for shipping varies, however after getting confirm payments we usually ship our goods within 1 - 3 business days, if the shop super-busy, your order may take up to 3 -4 business days to be shipped, we always tries our best to ship your goods as quickly as we can so that your beauties can reach you as fast as possible.*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*Shipping F.A.Q*With Express shipping products will be delivered within 4-6 working days from the time your package leaves our center, but sometimes delivery may be little long.For door- to-door delivery, we require a physical (street) address. Please send us your telephone number along with your shipping address through the Etsy ConvO. We will require mentioning them on the order parcel.",https://i.etsystatic.com/19668525/r/il/1a6e13/4038876320/il_794xN.4038876320_a9jz.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1275366255/25-pics-strand-chocolate-moonstone?click_key=f8e2eb9ca4c2b7f073fdc6cc418987b292d8a003%3A1275366255&click_sum=5c0e0556&ref=shop_home_active_4&pro=1&frs=1
"
    18-pics-strand ametrine gemstone-smooth-tumble shape-drilled-13 inch strand Size 13X16-13X19 MM ametrine necklace jewelry makking beads
",3526,"Gemstone :- ametrine beads Size:-  13X16-13X19 MM ApproxShape :- tumble Quantity:-18-piecesHole Size:- 0.5mmCarat weight;- 320*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*Important Note''If you need more Sizes and Shapes and stones which are not listed please let us know, we will make special listing for you. If you have any questions, please contact us through Etsy Message service or e-mail.Being a factory we can do Gemstone Beads in all kind of Precious and Semi precious gemstone and all needed way and style.*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*""WE ARE MANUFACTURERS AND WHOLESALER''All items were manufactured at our factory by our skilled workers that let us to keep our prices down So We can sell gemstones Beads and jewelry in REASONABLE PRICES .*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*Shipping Details:Processing timeThe time I need to prepare an order for shipping varies, however after getting confirm payments we usually ship our goods within 1 - 3 business days, if the shop super-busy, your order may take up to 3 -4 business days to be shipped, we always tries our best to ship your goods as quickly as we can so that your beauties can reach you as fast as possible.*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*Shipping F.A.Q*With Express shipping products will be delivered within 4-6 working days from the time your package leaves our center, but sometimes delivery may be little long.For door- to-door delivery, we require a physical (street) address. Please send us your telephone number along with your shipping address through the Etsy ConvO. We will require mentioning them on the order parcel.",https://i.etsystatic.com/19668525/r/il/6708b4/4030149724/il_794xN.4030149724_o86e.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1273162777/18-pics-strand-ametrine-gemstone-smooth?click_key=dcfcfa57e1d483820067db50d7e0ebac19d6aaa3%3A1273162777&click_sum=38a1e58a&ref=shop_home_active_5&pro=1&frs=1
"
    16-pics-strand chocolate moonstone gemstone-faceted-marquise shape beads-drilled-8-inch strand Size 8X16-8X19 MM moonstone necklace beads
",1769,"Gemstone :- chocolate moonstone beads Size:-8X16-8X19  MM ApproxShape :- marquise Quantity:-16-piecesHole Size:- 0.5mmCarat weight;- 100 *-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*Important Note''If you need more Sizes and Shapes and stones which are not listed please let us know, we will make special listing for you. If you have any questions, please contact us through Etsy Message service or e-mail.Being a factory we can do Gemstone Beads in all kind of Precious and Semi precious gemstone and all needed way and style.*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*""WE ARE MANUFACTURERS AND WHOLESALER''All items were manufactured at our factory by our skilled workers that let us to keep our prices down So We can sell gemstones Beads and jewelry in REASONABLE PRICES .*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*Shipping Details:Processing timeThe time I need to prepare an order for shipping varies, however after getting confirm payments we usually ship our goods within 1 - 3 business days, if the shop super-busy, your order may take up to 3 -4 business days to be shipped, we always tries our best to ship your goods as quickly as we can so that your beauties can reach you as fast as possible.*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*Shipping F.A.Q*With Express shipping products will be delivered within 4-6 working days from the time your package leaves our center, but sometimes delivery may be little long.For door- to-door delivery, we require a physical (street) address. Please send us your telephone number along with your shipping address through the Etsy ConvO. We will require mentioning them on the order parcel.",https://i.etsystatic.com/19668525/r/il/8febf8/4077787249/il_794xN.4077787249_7bba.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1259151280/16-pics-strand-chocolate-moonstone?click_key=b3705aad8e9fb140fc8420f5f97ff51b012b26f4%3A1259151280&click_sum=765ee7cb&ref=shop_home_active_6&pro=1&frs=1
