Produce Name,Price,Description,Image,Category,Options,Product URL
"
    Set of 10 Old Vintage Thick Paper/ Pasted on Fabric ( 250 GSM ) Best For Drawing, Sketching, Water Color Use, 14.5 X 19 Inch Thick Paper
",3871,"THIS LISTING IS FOR OLD BLANK THICK PAPERS WHICH IS APPROX 250 GSM.THESE PAPERS ARE BLANK OLD PAPERS WITH THICKNESS OF 250 GSM WHICH MAKES IT MORE DURABLE AND COMPATIBLE FOR WATER COLOR USES AND DRAWINGS AND SKETCHING.WE HAVE 2 VARIANT OF THE SAME PAPER.1.  THICK PAPER :-    VINTAGE OLD PAPER PASTED ON A HARD PAPER TO MAKE IT MORE THICKER.                                    ITS BEST TO USE WITH WATER COLOR, AND SKETCHING.2.  PASTED ON FABRIC :-  VINTAGE OLD PAPER PASTED ON FABRIC.  IT WILL INCREASE ITS LIFE AND TYPE                                                OF USE OF THE PAPER.  FABRIC WILL PREVENT PAPER FROM GETTING WRINKLES                                                DURING FOLDING THE PAPER.                                               IT CAN ALSO STRETCH ON FRAME. SO YOU CAN MAKE DRAWINGS AND SKETCH.   PAPER DETAILS  :-                     THICKNESS                     :-                   250 GSM ( APPROX)                      YEAR                                :-                    1920s                      LENGTH                           :-                    19 Inches                     WIDTH                              :-                    14.5 Inches                     SKU                                   :-                    OP311THICKOTHER INFORMATION  :-1 SET CONTAINS 10 PAPERS.THESE PAPERS ARE FROM A AWESOME COLLECTION OF OLD VINTAGE ARTISTIC PAPERS.THIS IS THE SAME PAPER WHICH IS OUR BEST SELLER WITH SAME SIZE AND COLOR.WE MADE THIS PAPER THICKER BY ADDING A THICK PAPER ON ITS BACKSIDE.PAPER IS PASTED WITH HANDS WITH A BRILLIANT PERFECTION SO ITS LOOKED LIKE ITS A SINGLE PAPER.YOU WILL LOVE ITS QUALITY AS IT IS VERY THICKER.JUST FOR THE IDEA WE CAN SAY YOU THAT ITS 1.5 TIMES THICKER THEN A PHOTO PRINTING PAPER.IT IS COMPATIBLE FOR WATER COLOR USE AND ANY LIQUID COLORS.NOTICE :-  AS ITS VINTAGE PAPER IT MAY HAVE STAINS AND PATCHES DUE TO ITS ORIGINALITY.                   WE KEPT THEM SECURELY SO THEY ARE IN BRILLIANT CONDITION.                   PAPER IS OLD BUT WE HAVE PASTED THEM RECENTLY TO MADE THEM THICKER.THANKS FOR VISITING OUR SHOP.HAPPY BUYING....",https://i.etsystatic.com/19207423/r/il/662017/2080894368/il_794xN.2080894368_7uk3.jpg,Craft Supplies & Tools,"[['Select an option', 'THICK PAPER (₹ 3,871)', 'PASTED ON FABRIC (₹ 4,216)'], []]",https://www.etsy.com/in-en/listing/752106821/set-of-10-old-vintage-thick-paper-pasted?click_key=69ef6c2963df347ade722fedcd9b9b30ad3411ed%3A752106821&click_sum=8fadd016&ref=shop_home_feat_1&pro=1&frs=1
"
    Vintage Statue of Tirupati Balaji Made of Solid Silver and Real Amethyst Gemstone / Handmade Balaji Diety Figure / Indian Handmade Art
",179751,"This is a Listing of Lord Tirupati Balaji Statue made of Solid Silver and Natural Amethyst , Hand made Deity Statue where each gemstone is set in a beautiful Pattern.its a Great combination of two natural Resources and makes it more special.Silver Bring Calmness and Emotional Clarity and Amethyst is a Symbol of Purification and Protectiveness.Combining Both Energies Makes this Statue a Great Piece to keep in Home.Tirupati Balaji is Avatar of Lord Vishnu , he is also knows as protector and care taker for the Unierse.:::::::::::::::::::::::::::       Product Details   :::::::::::::::::::::::::::::        HEIGHT            :-         05 INCHES        WIDTH              :-         04 INCHES        WEIGHT           :-          190 GRAMS        MATERIAL        :-         SILVER AND NATURAL AMETHSYT        YEAR                :-          1980s        SKU                  :-           TALU002:::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::IMPORTANT POINTS :-1.  PLEASE CHECK ALL IMAGES CAREFULLY BEFORE PLACING YOUR ORDER TO GET IDEA OF THE ACTUAL CONDITION OF THE ITEM.2. AS THIS IS VINTAGE ITEM IT MAY HAVE SOME BROKEN EDGES AND WEAR AND TEARS.Happy Shopping.",https://i.etsystatic.com/19207423/r/il/0c2601/3533949248/il_794xN.3533949248_r6lr.jpg,Art & Collectibles,"[[], []]",https://www.etsy.com/in-en/listing/1126473004/vintage-statue-of-tirupati-balaji-made?click_key=351dbceb192b847d4c4d50f0cd130ef861cc73b7%3A1126473004&click_sum=fbb2422a&ref=shop_home_feat_2&pro=1&frs=1
"
    Sealing Wax Made Decorative Mirrors / Hand and Pocket Mirrors / face Mirror / Decorative Small Mirrors / Handmade Mirror Arts
",1866,"THIS LISTING IS FOR HAND DECORATED MIRROR USING SEAL WAX AND MIRROR PIECES. THESE AMAZING ART PIECES ARE FROM RAJASTHAN , FAMOUS AS POCKET MIRRORS OR HAND  MIRRORS .  SMALL SIZE AND DECORATIVE BACK MAKES IT A COMPLIMENT IN STYLE.IT WAS VERY FAMOUS TO KEEP IN PURSE DURING REGULAR OUT DAYS.BEAUTIFUL PATTERN MADE ON IT.IT WAS KEPT VERY SAFELY AND SECURELY SO THEY ARE STILL IN FANTASTIC CONDITION.:::::::::::::::::::::::::::::::     PRODUCT DETAILS   ::::::::::::::::::::::::::::::::::::                             DIAMETER              :-          2.5 INCH                              MATERIAL              :-          SEALING WAX AND MIRRORS                              ORIGIN                   :-           RAJASTHAN , INDIA                             YEAR                       :-           BEFORE 2000s                              SKU                        :-           VM001::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::IMPORTANT POINTS :-1.  PLEASE CAREFULLY CHECKED ALL IMAGES BEFORE PLACING YOUR ORDER. 2. AS THIS IS A VINTAGE ITEM IT MAY HAVE SOME WEAR AND TEARS , CRACKS OR COLOR WIPEOUTS.3. IT WILL BE SHIPPED WITH REGULAR SERVICE , WHICH MAY TAKE 2 - 5 WEEKS TO DELIVER , YOU CAN UPGRADE YOUR DELIVERY FOR FASTER DELIVERY.FAVORITE OUR SHOP TO SEE MORE INTERESTING ITEMS REGULARLY :)",https://i.etsystatic.com/19207423/r/il/6c7ca7/3740438925/il_794xN.3740438925_rcaf.jpg,Bath & Beauty,"[[], []]",https://www.etsy.com/in-en/listing/1185160267/sealing-wax-made-decorative-mirrors-hand?click_key=588b88ebb1b85ee4e5725d44a986d8f70e73b300%3A1185160267&click_sum=af6cbe16&ref=shop_home_feat_3&pro=1&frs=1
"
    Set Of 5 Vintage Scary crawling Insect Toys for Kids / Bug in a Box Toy / Crawling Fake Insect in Wooden Box / Vintage Toy
",1451,"THIS LISTING IS FOR SET OF 5 ASSORTED WOODEN INSECT BOX WHICH ARE MADE OF WOODEN AND A FAKE INSECT IS SET IN THE BOX WHICH CRAWLS WHEN LID IS OPEN.ITS A FUN GAME BOX MADE IN INDIA FOR KIDS ITS FUN LOVING.ITS HARMLESS IN ALL MANNERS AND JUST FOR FUN.IN EACH SET ASSORTED BOXES WILL BE SENT TO INSECT COLOR CAN BE CHANGE THEN SHOWN IN THE PICTURE , PLEASE DONT EXPECT  EACH SET TO BE SAME.:::::::::::::::::::::::::::::::::::::::::    PRODUCT DETAILS   ::::::::::::::::::::::::::::::::::::::::::::::::                       MATERIAL          :-     WOOD                       YEAR                   :-      2000s                       LENGTH              :-       2 INCHES                        SKU                     :-       VWI101                       ORIGIN              :-          INDIA :::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::IMPORTANT POINTS :-1. PLEASE CHECK ALL IMAGES CAREFULLY WHILE PLACING YOUR ORDER TO GET IDEA OF THE ITEMS.2. ASSORTED PIECES WILL BE SENT TO YOU , SO PLEASE DONT EXPECT INSECT TO BE SAME SHOWN AS IN THE IMAGES.3. AS THIS IS VINTAGE ITEM IT MAY HAVE SOME WEAR AND TEARS AND BROKEN EDGES.HAPPY SHOPPING :)",https://i.etsystatic.com/19207423/r/il/10c3d8/3548136656/il_794xN.3548136656_3sgs.jpg,Toys & Games,"[[], []]",https://www.etsy.com/in-en/listing/1131622204/set-of-5-vintage-scary-crawling-insect?click_key=e8bc4a4f23d8ee858b43c264b04bb324cc2301fc%3A1131622204&click_sum=bc164361&ref=shop_home_feat_4&pro=1&frs=1
"
    Hand Painted Textile Design Using Water Color On Paper from 1960s, Textile Design Making Prototype On Paper
",1314,This Listing is for Hand Painted Textile Design Made By Using Water Color on Paper From 1960s.Paper is used is also Old paper.Colors are Vibrant and Very beautiful design Made On Paper.In That Time it were being used as a sample for fabric printing.first they made designs on paper which they want to print on fabric.after getting perfect impression they finalize design on Fabric by Printing.It is still charming and beautiful as it was that time.:::::::::::::::::::::::::::::::::    Design Details   :::::::::::::::::::::::::::::::::::::::::::::                 Height                   :-         7 INCH                     Width                     :-         7 INCH                      Material                 :-        WATER COLOR ON PAPER                 Year                        :-        1960s                 SKU                         :-       LLP291::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::Notice :- As these are Vintage Item It may Have Wear and Tear.           please check images Carefully.Please Favourite Our Shop For More Interesting Items.Happy Shopping.,https://i.etsystatic.com/19207423/r/il/9de2d3/2221609810/il_794xN.2221609810_471g.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/785871049/hand-painted-textile-design-using-water?click_key=64786bb8808483905c5f4d7b0675c87b1754b5f3%3A785871049&click_sum=e7a2c4b9&ref=shop_home_feat_5&pro=1
"
    Set of 10 Old Vintage Thick Paper/ Pasted on Fabric ( 250 GSM ) Best For Drawing, Sketching, Water Color Use, 14.5 X 19 Inch Thick Paper
",3871,"THIS LISTING IS FOR OLD BLANK THICK PAPERS WHICH IS APPROX 250 GSM.THESE PAPERS ARE BLANK OLD PAPERS WITH THICKNESS OF 250 GSM WHICH MAKES IT MORE DURABLE AND COMPATIBLE FOR WATER COLOR USES AND DRAWINGS AND SKETCHING.WE HAVE 2 VARIANT OF THE SAME PAPER.1.  THICK PAPER :-    VINTAGE OLD PAPER PASTED ON A HARD PAPER TO MAKE IT MORE THICKER.                                    ITS BEST TO USE WITH WATER COLOR, AND SKETCHING.2.  PASTED ON FABRIC :-  VINTAGE OLD PAPER PASTED ON FABRIC.  IT WILL INCREASE ITS LIFE AND TYPE                                                OF USE OF THE PAPER.  FABRIC WILL PREVENT PAPER FROM GETTING WRINKLES                                                DURING FOLDING THE PAPER.                                               IT CAN ALSO STRETCH ON FRAME. SO YOU CAN MAKE DRAWINGS AND SKETCH.   PAPER DETAILS  :-                     THICKNESS                     :-                   250 GSM ( APPROX)                      YEAR                                :-                    1920s                      LENGTH                           :-                    19 Inches                     WIDTH                              :-                    14.5 Inches                     SKU                                   :-                    OP311THICKOTHER INFORMATION  :-1 SET CONTAINS 10 PAPERS.THESE PAPERS ARE FROM A AWESOME COLLECTION OF OLD VINTAGE ARTISTIC PAPERS.THIS IS THE SAME PAPER WHICH IS OUR BEST SELLER WITH SAME SIZE AND COLOR.WE MADE THIS PAPER THICKER BY ADDING A THICK PAPER ON ITS BACKSIDE.PAPER IS PASTED WITH HANDS WITH A BRILLIANT PERFECTION SO ITS LOOKED LIKE ITS A SINGLE PAPER.YOU WILL LOVE ITS QUALITY AS IT IS VERY THICKER.JUST FOR THE IDEA WE CAN SAY YOU THAT ITS 1.5 TIMES THICKER THEN A PHOTO PRINTING PAPER.IT IS COMPATIBLE FOR WATER COLOR USE AND ANY LIQUID COLORS.NOTICE :-  AS ITS VINTAGE PAPER IT MAY HAVE STAINS AND PATCHES DUE TO ITS ORIGINALITY.                   WE KEPT THEM SECURELY SO THEY ARE IN BRILLIANT CONDITION.                   PAPER IS OLD BUT WE HAVE PASTED THEM RECENTLY TO MADE THEM THICKER.THANKS FOR VISITING OUR SHOP.HAPPY BUYING....",https://i.etsystatic.com/19207423/r/il/662017/2080894368/il_794xN.2080894368_7uk3.jpg,Craft Supplies & Tools,"[['Select an option', 'THICK PAPER (₹ 3,871)', 'PASTED ON FABRIC (₹ 4,216)'], []]",https://www.etsy.com/in-en/listing/752106821/set-of-10-old-vintage-thick-paper-pasted?click_key=69ef6c2963df347ade722fedcd9b9b30ad3411ed%3A752106821&click_sum=8fadd016&ref=shop_home_feat_1&pro=1&frs=1
"
    Vintage Statue of Tirupati Balaji Made of Solid Silver and Real Amethyst Gemstone / Handmade Balaji Diety Figure / Indian Handmade Art
",179751,"This is a Listing of Lord Tirupati Balaji Statue made of Solid Silver and Natural Amethyst , Hand made Deity Statue where each gemstone is set in a beautiful Pattern.its a Great combination of two natural Resources and makes it more special.Silver Bring Calmness and Emotional Clarity and Amethyst is a Symbol of Purification and Protectiveness.Combining Both Energies Makes this Statue a Great Piece to keep in Home.Tirupati Balaji is Avatar of Lord Vishnu , he is also knows as protector and care taker for the Unierse.:::::::::::::::::::::::::::       Product Details   :::::::::::::::::::::::::::::        HEIGHT            :-         05 INCHES        WIDTH              :-         04 INCHES        WEIGHT           :-          190 GRAMS        MATERIAL        :-         SILVER AND NATURAL AMETHSYT        YEAR                :-          1980s        SKU                  :-           TALU002:::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::IMPORTANT POINTS :-1.  PLEASE CHECK ALL IMAGES CAREFULLY BEFORE PLACING YOUR ORDER TO GET IDEA OF THE ACTUAL CONDITION OF THE ITEM.2. AS THIS IS VINTAGE ITEM IT MAY HAVE SOME BROKEN EDGES AND WEAR AND TEARS.Happy Shopping.",https://i.etsystatic.com/19207423/r/il/0c2601/3533949248/il_794xN.3533949248_r6lr.jpg,Art & Collectibles,"[[], []]",https://www.etsy.com/in-en/listing/1126473004/vintage-statue-of-tirupati-balaji-made?click_key=003e93a78672a77f0c81292493d4cfb7265091a1%3A1126473004&click_sum=b89e4fd8&ref=shop_home_feat_2&pro=1&frs=1
"
    Sealing Wax Made Decorative Mirrors / Hand and Pocket Mirrors / face Mirror / Decorative Small Mirrors / Handmade Mirror Arts
",1866,"THIS LISTING IS FOR HAND DECORATED MIRROR USING SEAL WAX AND MIRROR PIECES. THESE AMAZING ART PIECES ARE FROM RAJASTHAN , FAMOUS AS POCKET MIRRORS OR HAND  MIRRORS .  SMALL SIZE AND DECORATIVE BACK MAKES IT A COMPLIMENT IN STYLE.IT WAS VERY FAMOUS TO KEEP IN PURSE DURING REGULAR OUT DAYS.BEAUTIFUL PATTERN MADE ON IT.IT WAS KEPT VERY SAFELY AND SECURELY SO THEY ARE STILL IN FANTASTIC CONDITION.:::::::::::::::::::::::::::::::     PRODUCT DETAILS   ::::::::::::::::::::::::::::::::::::                             DIAMETER              :-          2.5 INCH                              MATERIAL              :-          SEALING WAX AND MIRRORS                              ORIGIN                   :-           RAJASTHAN , INDIA                             YEAR                       :-           BEFORE 2000s                              SKU                        :-           VM001::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::IMPORTANT POINTS :-1.  PLEASE CAREFULLY CHECKED ALL IMAGES BEFORE PLACING YOUR ORDER. 2. AS THIS IS A VINTAGE ITEM IT MAY HAVE SOME WEAR AND TEARS , CRACKS OR COLOR WIPEOUTS.3. IT WILL BE SHIPPED WITH REGULAR SERVICE , WHICH MAY TAKE 2 - 5 WEEKS TO DELIVER , YOU CAN UPGRADE YOUR DELIVERY FOR FASTER DELIVERY.FAVORITE OUR SHOP TO SEE MORE INTERESTING ITEMS REGULARLY :)",https://i.etsystatic.com/19207423/r/il/6c7ca7/3740438925/il_794xN.3740438925_rcaf.jpg,Bath & Beauty,"[[], []]",https://www.etsy.com/in-en/listing/1185160267/sealing-wax-made-decorative-mirrors-hand?click_key=1fcb94743089018e59e07bd24babe6ce2922f982%3A1185160267&click_sum=fc21bd57&ref=shop_home_feat_3&pro=1&frs=1
"
    Set Of 5 Vintage Scary crawling Insect Toys for Kids / Bug in a Box Toy / Crawling Fake Insect in Wooden Box / Vintage Toy
",1451,"THIS LISTING IS FOR SET OF 5 ASSORTED WOODEN INSECT BOX WHICH ARE MADE OF WOODEN AND A FAKE INSECT IS SET IN THE BOX WHICH CRAWLS WHEN LID IS OPEN.ITS A FUN GAME BOX MADE IN INDIA FOR KIDS ITS FUN LOVING.ITS HARMLESS IN ALL MANNERS AND JUST FOR FUN.IN EACH SET ASSORTED BOXES WILL BE SENT TO INSECT COLOR CAN BE CHANGE THEN SHOWN IN THE PICTURE , PLEASE DONT EXPECT  EACH SET TO BE SAME.:::::::::::::::::::::::::::::::::::::::::    PRODUCT DETAILS   ::::::::::::::::::::::::::::::::::::::::::::::::                       MATERIAL          :-     WOOD                       YEAR                   :-      2000s                       LENGTH              :-       2 INCHES                        SKU                     :-       VWI101                       ORIGIN              :-          INDIA :::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::IMPORTANT POINTS :-1. PLEASE CHECK ALL IMAGES CAREFULLY WHILE PLACING YOUR ORDER TO GET IDEA OF THE ITEMS.2. ASSORTED PIECES WILL BE SENT TO YOU , SO PLEASE DONT EXPECT INSECT TO BE SAME SHOWN AS IN THE IMAGES.3. AS THIS IS VINTAGE ITEM IT MAY HAVE SOME WEAR AND TEARS AND BROKEN EDGES.HAPPY SHOPPING :)",https://i.etsystatic.com/19207423/r/il/10c3d8/3548136656/il_794xN.3548136656_3sgs.jpg,Toys & Games,"[[], []]",https://www.etsy.com/in-en/listing/1131622204/set-of-5-vintage-scary-crawling-insect?click_key=b87bca029d8a76e22099719c022e2bbb447d2c95%3A1131622204&click_sum=aeefd766&ref=shop_home_feat_4&pro=1&frs=1
"
    Hand Painted Textile Design Using Water Color On Paper from 1960s, Textile Design Making Prototype On Paper
",1314,This Listing is for Hand Painted Textile Design Made By Using Water Color on Paper From 1960s.Paper is used is also Old paper.Colors are Vibrant and Very beautiful design Made On Paper.In That Time it were being used as a sample for fabric printing.first they made designs on paper which they want to print on fabric.after getting perfect impression they finalize design on Fabric by Printing.It is still charming and beautiful as it was that time.:::::::::::::::::::::::::::::::::    Design Details   :::::::::::::::::::::::::::::::::::::::::::::                 Height                   :-         7 INCH                     Width                     :-         7 INCH                      Material                 :-        WATER COLOR ON PAPER                 Year                        :-        1960s                 SKU                         :-       LLP291::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::Notice :- As these are Vintage Item It may Have Wear and Tear.           please check images Carefully.Please Favourite Our Shop For More Interesting Items.Happy Shopping.,https://i.etsystatic.com/19207423/r/il/9de2d3/2221609810/il_794xN.2221609810_471g.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/785871049/hand-painted-textile-design-using-water?click_key=34ce78465b1166ea573b5d8091e5776cb32e3b8d%3A785871049&click_sum=95834b88&ref=shop_home_feat_5&pro=1
