Produce Name,Price,Description,Image,Category,Options,Product URL
"
    AAA+ Labradorite Pear Briolettes Blue Flashy Labradorite Gemstones 12 Beads Super Finest Blue Flash Labradorite Faceted
",2538,"Description *AAA+ Labradorite Pear Briolettes Blue Flashy Labradorite Gemstones Undrilled 12 Beads Super Finest Blue Flash Labradorite FacetedAlso note that in the case of Natural gemstone, images are just an example of a stone set. Slight difference may occur in the finished product you will receive because of the nature of natural stones.They cannot be the same altogether. We try our best to give the final product as close as possible to the picture shown. Super Finest Blue Flash Labradorite Faceted Product Information *Gemstone >  Blue Labradorite GemstoneStone Type > FacetedShape >          Pear Shape ******************************************************Important Notes *.If you want to drill, please contact me..The product is more beautiful thane the picture..please see more the photographs for more information about the stone..All or stone are 100% natural..available different size and shapes and please contact us for any equerry..For wholesale discounts {on orders above US$ 250} So please contact Us..Delivery will take 12 - 16 days..Fast Speed 3 - 5 Days.Contact for fast shipping ****************************************************************************************Check my shop frequently for more products as well as exciting offers.don't forget to review our products as you feedback is auspicious for us.Worldgemsindia.etsy.comThanks For Visiting My Shop- Less",https://i.etsystatic.com/18070872/r/il/300c14/1794544952/il_794xN.1794544952_5lsa.jpg,Craft Supplies & Tools,"[['Select an option', '14x10 mm 12 Pieces (₹ 2,538)', '16x12 mm 12 Pieces (₹ 2,668)', '18x13 mm 12 Pieces (₹ 2,733)', '20x15 mm 12 Pieces (₹ 3,123)', '25x16 mm 12 pieces (₹ 3,579)', '30x20 mm 12 Pieces (₹ 4,490)'], []]",https://www.etsy.com/in-en/listing/686541117/aaa-labradorite-pear-briolettes-blue?click_key=0023cd8513ee80a1623b1d5ce2be8fd33c67a70b%3A686541117&click_sum=0c2d49c0&ref=shop_home_feat_1&pro=1&frs=1
"
    Labradorite Cabochon 38X38 MM Available In Many Stones Large Get 2 Pieces Labradorite Gemstone Blue Shine Labradorite Make Jewelry Hand Made
",1627,"Description *Labradorite Cabochon 38X38 MM Available In Many Stones Large Get 2 Pieces Labradorite Gemstone Blue Shine Labradorite Make Jewelry Hand MadeAlso note that in the case of Natural gemstone, images are just an example of a stone set. Slight difference may occur in the finished product you will receive because of the nature of natural stones. They cannot be the same altogether. We try our best to give the final product as close as possible to the picture shown.Product Info :Gemstone : Labradorite Cut : CabochonSize : 38X38 MMThickness : 8 MMShape : RoundQuantity : 2 piecesWeight : 180 CTSDrilling Service Is Available at Free Cost.***********************************************************************************************************************************************************************You can also contact us for bulk we have also huge quantity in all types gemstone even i accepted tiny bulk order, i listed only few beautiful labradorite and moonstone we have such a hub quantity in my stock actually mostly my business in offline.but when i listed my items in Etsy i goted 100% Results so please don't miss to visit my shop ( Worldgemsindia ) every single day because i listed gorgeous items once a day.***************************************************************************************************************************************************************SHIPPING POLICY.After Receipt Of Payment, Ship Within 1-2 Business Days..Delivery Will Take 14-21 Days.Speed Post Take 4-6 Days..Contact For Fast Shipping.Feedback:-Your Feedback is very Important for us.If you have any problem regarding packaging or product, kindly contact us to resolve the issue before leaving Negative Feedback... We Try to Give Our Customer The Best Quality..*******************************************************************************************************************************************We also Take Costume And Wholesale Orders .Please Convoy First To Get The Best price.Thank you So Much For Visiting Us :)https://www.etsy.com/in-en/shop/WorldgemsIndia?ref=seller-p",https://i.etsystatic.com/18070872/r/il/5c772d/1878002880/il_794xN.1878002880_eloe.jpg,Craft Supplies & Tools,"[['Select an option', 'Labradorite (₹ 1,627)', 'Amethyst (₹ 2,147)', 'Malachite (₹ 2,212)', 'Moonstone (₹ 3,579)', 'Onyx (₹ 1,920)', 'Lapis lazuli (₹ 2,115)', ""Tiger's eye (₹ 1,887)"", 'Rose quartz (₹ 2,440)'], []]",https://www.etsy.com/in-en/listing/661786272/labradorite-cabochon-38x38-mm-available?click_key=16a3482bca725936acef3fdc30017284b45a2aec%3A661786272&click_sum=8e4f17bd&ref=shop_home_feat_4&pro=1&frs=1
"
    AAA+ Labradorite Pear Briolettes Blue Flashy Labradorite Gemstones 12 Beads Super Finest Blue Flash Labradorite Faceted
",2538,"Description *AAA+ Labradorite Pear Briolettes Blue Flashy Labradorite Gemstones Undrilled 12 Beads Super Finest Blue Flash Labradorite FacetedAlso note that in the case of Natural gemstone, images are just an example of a stone set. Slight difference may occur in the finished product you will receive because of the nature of natural stones.They cannot be the same altogether. We try our best to give the final product as close as possible to the picture shown. Super Finest Blue Flash Labradorite Faceted Product Information *Gemstone >  Blue Labradorite GemstoneStone Type > FacetedShape >          Pear Shape ******************************************************Important Notes *.If you want to drill, please contact me..The product is more beautiful thane the picture..please see more the photographs for more information about the stone..All or stone are 100% natural..available different size and shapes and please contact us for any equerry..For wholesale discounts {on orders above US$ 250} So please contact Us..Delivery will take 12 - 16 days..Fast Speed 3 - 5 Days.Contact for fast shipping ****************************************************************************************Check my shop frequently for more products as well as exciting offers.don't forget to review our products as you feedback is auspicious for us.Worldgemsindia.etsy.comThanks For Visiting My Shop- Less",https://i.etsystatic.com/18070872/r/il/300c14/1794544952/il_794xN.1794544952_5lsa.jpg,Craft Supplies & Tools,"[['Select an option', '14x10 mm 12 Pieces (₹ 2,538)', '16x12 mm 12 Pieces (₹ 2,668)', '18x13 mm 12 Pieces (₹ 2,733)', '20x15 mm 12 Pieces (₹ 3,123)', '25x16 mm 12 pieces (₹ 3,579)', '30x20 mm 12 Pieces (₹ 4,490)'], []]",https://www.etsy.com/in-en/listing/686541117/aaa-labradorite-pear-briolettes-blue?click_key=0023cd8513ee80a1623b1d5ce2be8fd33c67a70b%3A686541117&click_sum=0c2d49c0&ref=shop_home_feat_1&pro=1&frs=1
"
    Labradorite Cabochon 38X38 MM Available In Many Stones Large Get 2 Pieces Labradorite Gemstone Blue Shine Labradorite Make Jewelry Hand Made
",1627,"Description *Labradorite Cabochon 38X38 MM Available In Many Stones Large Get 2 Pieces Labradorite Gemstone Blue Shine Labradorite Make Jewelry Hand MadeAlso note that in the case of Natural gemstone, images are just an example of a stone set. Slight difference may occur in the finished product you will receive because of the nature of natural stones. They cannot be the same altogether. We try our best to give the final product as close as possible to the picture shown.Product Info :Gemstone : Labradorite Cut : CabochonSize : 38X38 MMThickness : 8 MMShape : RoundQuantity : 2 piecesWeight : 180 CTSDrilling Service Is Available at Free Cost.***********************************************************************************************************************************************************************You can also contact us for bulk we have also huge quantity in all types gemstone even i accepted tiny bulk order, i listed only few beautiful labradorite and moonstone we have such a hub quantity in my stock actually mostly my business in offline.but when i listed my items in Etsy i goted 100% Results so please don't miss to visit my shop ( Worldgemsindia ) every single day because i listed gorgeous items once a day.***************************************************************************************************************************************************************SHIPPING POLICY.After Receipt Of Payment, Ship Within 1-2 Business Days..Delivery Will Take 14-21 Days.Speed Post Take 4-6 Days..Contact For Fast Shipping.Feedback:-Your Feedback is very Important for us.If you have any problem regarding packaging or product, kindly contact us to resolve the issue before leaving Negative Feedback... We Try to Give Our Customer The Best Quality..*******************************************************************************************************************************************We also Take Costume And Wholesale Orders .Please Convoy First To Get The Best price.Thank you So Much For Visiting Us :)https://www.etsy.com/in-en/shop/WorldgemsIndia?ref=seller-p",https://i.etsystatic.com/18070872/r/il/5c772d/1878002880/il_794xN.1878002880_eloe.jpg,Craft Supplies & Tools,"[['Select an option', 'Labradorite (₹ 1,627)', 'Amethyst (₹ 2,147)', 'Malachite (₹ 2,212)', 'Moonstone (₹ 3,579)', 'Onyx (₹ 1,920)', 'Lapis lazuli (₹ 2,115)', ""Tiger's eye (₹ 1,887)"", 'Rose quartz (₹ 2,440)'], []]",https://www.etsy.com/in-en/listing/661786272/labradorite-cabochon-38x38-mm-available?click_key=e8c0fc486f54ce252d872240cc2c760356f5afa7%3A661786272&click_sum=fb364e31&ref=shop_home_feat_4&pro=1&frs=1
"
    Unique  Full Blue Flashy labradorite cabochon Smooth Gemstone Large Labradorite Size - 31x20x6 MM Oval Shape Rare Gemstone Use For Jewelry
",1822,"Description*Unique  Full Blue Flashy labradorite cabochon Smooth Gemstone Large Labradorite Size - 31x20x6 MM Oval Shape Rare Gemstone Use For JewelryGemstone : Labradorite Cut : CabochonSize : 31x20x6 MM Carat : 36 Carat Quantity : 1 PieceBulk Order Details!You can also contact us for bulk we have also huge quantity in all types gemstone even i accepted tiny bulk order, i listed only few beautiful Labradorite and Moonstone we have such a hub quantity in my stock actually mostly my business in offline.but when i listed my items in Etsy i goted 100% Results so please don't miss to visit my shop ( Worldgemsindia ) every single day because i listed gorgeous items once a day.**********************************************************************************************************************************************SHIPPING POLICY.After Receipt Of Payment, Ship Within 1-2 Business Days..Delivery Will Take 14-21 Days.Speed Post Take 4-6 Days..Contact For Fast Shipping.Feedback:-Your Feedback is very Important for us.If you have any problem regarding packaging or product, kindly contact us to resolve the issue before leaving Negative Feedback... We Try to Give Our Customer The Best Quality..***********************************************************************************************************************************************************************************************************************************************************************We also Take Costume  And Wholesale Orders .Please Convoy First To Get The Best price. Thank you So Much For Visiting Us :)",https://i.etsystatic.com/18070872/r/il/72e1e0/4100455661/il_794xN.4100455661_2qt2.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1264865084/unique-full-blue-flashy-labradorite?click_key=5a7ee7fdc3361d5f1d9f1c548dac85161fb92dab%3A1264865084&click_sum=f173ded5&ref=shop_home_active_1&pro=1&frs=1
"
    Spectrolite Labradorite Cabochon Beautiful Gemstone Size - 8x55x8 MM Heart Shape Unique Labradorite Smooth Gemstone Use For Jewelry Making
",12721,"Description*Spectrolite Labradorite Cabochon Beautiful Gemstone Size - 8x55x8 MM Heart Shape Unique Labradorite Smooth Gemstone Use For Jewelry MakingGemstone : Labradorite Cut : CabochonSize : 58x55x8 MM Carat : 204 Carat Quantity : 1 PieceBulk Order Details!You can also contact us for bulk we have also huge quantity in all types gemstone even i accepted tiny bulk order, i listed only few beautiful Labradorite and Moonstone we have such a hub quantity in my stock actually mostly my business in offline.but when i listed my items in Etsy i goted 100% Results so please don't miss to visit my shop ( Worldgemsindia ) every single day because i listed gorgeous items once a day.**********************************************************************************************************************************************SHIPPING POLICY.After Receipt Of Payment, Ship Within 1-2 Business Days..Delivery Will Take 14-21 Days.Speed Post Take 4-6 Days..Contact For Fast Shipping.Feedback:-Your Feedback is very Important for us.If you have any problem regarding packaging or product, kindly contact us to resolve the issue before leaving Negative Feedback... We Try to Give Our Customer The Best Quality..***********************************************************************************************************************************************************************************************************************************************************************We also Take Costume  And Wholesale Orders .Please Convoy First To Get The Best price. Thank you So Much For Visiting Us :)",https://i.etsystatic.com/18070872/r/il/411fb8/4052743592/il_794xN.4052743592_rnm3.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1278868461/spectrolite-labradorite-cabochon?click_key=fb75a8bcc6d8a9eaa836125db455c635327ca31e%3A1278868461&click_sum=e790a29c&ref=shop_home_active_2&pro=1&frs=1
"
    Spectrolite Flashy Labradorite Cabochon Loose Gemstone Size - 63x48x6 MM Fancy Shape Labradorite Smooth Gemstone Use For Jewelry Making
",1497,"Description*Spectrolite Flashy Labradorite Cabochon Loose Gemstone Size - 63x48x6 MM Fancy Shape Labradorite Smooth Gemstone Use For Jewelry MakingGemstone : Labradorite Cut : CabochonSize : 63x48x6 MM Carat : 146 Carat Quantity : 1 PieceBulk Order Details!You can also contact us for bulk we have also huge quantity in all types gemstone even i accepted tiny bulk order, i listed only few beautiful Labradorite and Moonstone we have such a hub quantity in my stock actually mostly my business in offline.but when i listed my items in Etsy i goted 100% Results so please don't miss to visit my shop ( Worldgemsindia ) every single day because i listed gorgeous items once a day.**********************************************************************************************************************************************SHIPPING POLICY.After Receipt Of Payment, Ship Within 1-2 Business Days..Delivery Will Take 14-21 Days.Speed Post Take 4-6 Days..Contact For Fast Shipping.Feedback:-Your Feedback is very Important for us.If you have any problem regarding packaging or product, kindly contact us to resolve the issue before leaving Negative Feedback... We Try to Give Our Customer The Best Quality..***********************************************************************************************************************************************************************************************************************************************************************We also Take Costume  And Wholesale Orders .Please Convoy First To Get The Best price. Thank you So Much For Visiting Us :)",https://i.etsystatic.com/18070872/r/il/5f8df5/4100381817/il_794xN.4100381817_3koh.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1264848544/spectrolite-flashy-labradorite-cabochon?click_key=c769d1c28c42cd14fb3a6ef959d4fa469de1f22d%3A1264848544&click_sum=63aba96a&ref=shop_home_active_3&pro=1&frs=1
"
    Spectrolite Purple Labradorite Cabochon Awesome Gemstone Size - 61x22x8 MM Fancy Shape Labradorite Smooth Gemstone Use For Jewelry Making
",1139,"Description*Spectrolite Purple Labradorite Cabochon Awesome Gemstone Size - 61x22x8 MM Fancy Shape Labradorite Smooth Gemstone Use For Jewelry MakingGemstone : Labradorite Cut : CabochonSize : 61x22x8 MM Carat : 110 Carat Quantity : 1 PieceBulk Order Details!You can also contact us for bulk we have also huge quantity in all types gemstone even i accepted tiny bulk order, i listed only few beautiful Labradorite and Moonstone we have such a hub quantity in my stock actually mostly my business in offline.but when i listed my items in Etsy i goted 100% Results so please don't miss to visit my shop ( Worldgemsindia ) every single day because i listed gorgeous items once a day.**********************************************************************************************************************************************SHIPPING POLICY.After Receipt Of Payment, Ship Within 1-2 Business Days..Delivery Will Take 14-21 Days.Speed Post Take 4-6 Days..Contact For Fast Shipping.Feedback:-Your Feedback is very Important for us.If you have any problem regarding packaging or product, kindly contact us to resolve the issue before leaving Negative Feedback... We Try to Give Our Customer The Best Quality..***********************************************************************************************************************************************************************************************************************************************************************We also Take Costume  And Wholesale Orders .Please Convoy First To Get The Best price. Thank you So Much For Visiting Us :)",https://i.etsystatic.com/18070872/r/il/c71c08/4052703386/il_794xN.4052703386_1ew6.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1278861685/spectrolite-purple-labradorite-cabochon?click_key=23943b25cbf64b0a546748a6e98d4655e950fcea%3A1278861685&click_sum=55f06c07&ref=shop_home_active_4&pro=1&frs=1
"
    Spectrolite Purple Labradorite Cabochon Unique Gemstone Size - 54x31x6 MM Fancy Shape Labradorite Smooth Gemstone Use For Jewelry Making
",2310,"Description*Spectrolite Purple Labradorite Cabochon Unique Gemstone Size - 54x31x6 MM Fancy Shape Labradorite Smooth Gemstone Use For Jewelry MakingGemstone : Labradorite Cut : CabochonSize : 54x31x6 MM Carat : 98 Carat Quantity : 1 PieceBulk Order Details!You can also contact us for bulk we have also huge quantity in all types gemstone even i accepted tiny bulk order, i listed only few beautiful Labradorite and Moonstone we have such a hub quantity in my stock actually mostly my business in offline.but when i listed my items in Etsy i goted 100% Results so please don't miss to visit my shop ( Worldgemsindia ) every single day because i listed gorgeous items once a day.**********************************************************************************************************************************************SHIPPING POLICY.After Receipt Of Payment, Ship Within 1-2 Business Days..Delivery Will Take 14-21 Days.Speed Post Take 4-6 Days..Contact For Fast Shipping.Feedback:-Your Feedback is very Important for us.If you have any problem regarding packaging or product, kindly contact us to resolve the issue before leaving Negative Feedback... We Try to Give Our Customer The Best Quality..***********************************************************************************************************************************************************************************************************************************************************************We also Take Costume  And Wholesale Orders .Please Convoy First To Get The Best price. Thank you So Much For Visiting Us :)",https://i.etsystatic.com/18070872/r/il/b0bb5e/4100339817/il_794xN.4100339817_5bw1.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1278855571/spectrolite-purple-labradorite-cabochon?click_key=121053ea7b1861e85b9f00979eaed0fbf39385c8%3A1278855571&click_sum=6b048bdc&ref=shop_home_active_5&pro=1&frs=1
"
    Amazing Multi Flashy Labradorite Cabochon Loose Gemstone Huge Labradorite Size - 46x15x7 MM Fancy Shape Rare Gemstone Use For Jewelry Making
",716,"Description*Amazing Multi Flashy Labradorite Cabochon Loose Gemstone Huge Labradorite Size - 46x15x7 MM Fancy Shape Rare Gemstone Use For Jewelry MakingGemstone : Labradorite Cut : CabochonSize : 46x15x7cMM Carat : 25 Carat Quantity : 1 PieceBulk Order Details!You can also contact us for bulk we have also huge quantity in all types gemstone even i accepted tiny bulk order, i listed only few beautiful Labradorite and Moonstone we have such a hub quantity in my stock actually mostly my business in offline.but when i listed my items in Etsy i goted 100% Results so please don't miss to visit my shop ( Worldgemsindia ) every single day because i listed gorgeous items once a day.**********************************************************************************************************************************************SHIPPING POLICY.After Receipt Of Payment, Ship Within 1-2 Business Days..Delivery Will Take 14-21 Days.Speed Post Take 4-6 Days..Contact For Fast Shipping.Feedback:-Your Feedback is very Important for us.If you have any problem regarding packaging or product, kindly contact us to resolve the issue before leaving Negative Feedback... We Try to Give Our Customer The Best Quality..***********************************************************************************************************************************************************************************************************************************************************************We also Take Costume  And Wholesale Orders .Please Convoy First To Get The Best price. Thank you So Much For Visiting Us :)",https://i.etsystatic.com/18070872/r/il/ca4dec/4052675256/il_794xN.4052675256_snky.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1278853127/amazing-multi-flashy-labradorite?click_key=332b559e97b6f350c923fdcb232b326e64755f77%3A1278853127&click_sum=1a31fd50&ref=shop_home_active_6&pro=1&frs=1
