Produce Name,Price,Description,Image,Category,Options,Product URL
"
    Enhancer Charm Lock,Enhancer Charm Lock, Gold Charm Holder, Charm Holder Necklace, Sterling Silver Round Pendant Lock
",1088,"Enhancer Charm Lock,Enhancer Charm Lock, Gold Charm Holder, Charm Holder Necklace, Sterling Silver Round Pendant LockItem Details.....925 Solid Sterling SilverItem Size- 13mm.★ GENERAL DESCRIPTION ★⭐︎ If you'd like to see more beautiful jewelry, click here to visit our shop:https://www.etsy.com/in-en/shop/angiracrafts★ PACKAGING ★Your ANGIRACRAFTS order will be nicely packed in our official branded box.ANGIRACRAFTS is an environmentally friendly shop that tries to reduce packing to one box. If you need your jewelry in separate boxes please write us and we will do so.★ SHIPPING & HANDLING ★All ANGIRACRAFTS  orders will be shipped to the address supplied through Etsy. Please check this address is correct before finishing your check out. ANGIRACRAFTS is not responsible for packages shipped to wrong addresses. It is the buyer’s responsibility to ensure that all shipping information is correct prior to finish the purchase.To upgrade shipping to PRIORITY select the UPDATE at check out.★ IMPORTANT INFORMATION ★Before placing an order we suggest you take a minute and read ANGIRACRAFTS Shop’s PolicyYou’ll find all info on returns and exchanges, lost or damaged packages, returned mail, estimated shipping times, customs and duties fees.★ ★ ★ ★ ★ ★ ★ THANKS FOR STOPPING BY ★ ★ ★ ★ ★ ★ ★In love with this item and want to buy it later? Just click on the ♥ icon on your right to add it to your favorites.If you have any question or special requests we will be glad to help you.",https://i.etsystatic.com/19664680/r/il/6bb4bb/3174127413/il_794xN.3174127413_e23t.jpg,Craft Supplies & Tools,"[['Select an option', 'Sterling Silver', 'Yellow Gold', 'Rose Gold', 'Black Oxidised'], []]",https://www.etsy.com/in-en/listing/921743489/enhancer-charm-lockenhancer-charm-lock?click_key=6234f9588f665770de8a745d510fd74acc581f4e%3A921743489&click_sum=59aa366a&ref=shop_home_feat_4&pro=1&frs=1
"
    925 Sterling Silver Tanzanite Ring Jewelry, Diamond Finger Ring, Round Tanzanite silver Ring, Tanzanite Women's Ring
",29357,"925 Sterling Silver Tanzanite Ring Jewelry, Diamond Finger Ring, Round Tanzanite silver Ring, Tanzanite Women's Ring, Multisapphire RingItem Details.....925 Sterling SilverGemstone- Diamond, TanzaniteItem Size- Choose Size.★ GENERAL DESCRIPTION ★⭐︎ If you'd like to see more beautiful jewelry, click here to visit our shop:https://www.etsy.com/in-en/shop/angiracrafts★ PACKAGING ★Your ANGIRACRAFTS order will be nicely packed in our official branded box.ANGIRACRAFTS is an environmentally friendly shop that tries to reduce packing to one box. If you need your jewelry in separate boxes please write us and we will do so.★ SHIPPING & HANDLING ★All ANGIRACRAFTS  orders will be shipped to the address supplied through Etsy. Please check this address is correct before finishing your check out. ANGIRACRAFTS is not responsible for packages shipped to wrong addresses. It is the buyer’s responsibility to ensure that all shipping information is correct prior to finish the purchase.To upgrade shipping to PRIORITY select the UPDATE at check out.★ IMPORTANT INFORMATION ★Before placing an order we suggest you take a minute and read ANGIRACRAFTS Shop’s PolicyYou’ll find all info on returns and exchanges, lost or damaged packages, returned mail, estimated shipping times, customs and duties fees.★ ★ ★ ★ ★ ★ ★ THANKS FOR STOPPING BY ★ ★ ★ ★ ★ ★ ★In love with this item and want to buy it later? Just click on the ♥ icon on your right to add it to your favorites.If you have any question or special requests we will be glad to help you.",https://i.etsystatic.com/19664680/r/il/ea8bf2/4052585708/il_794xN.4052585708_omev.jpg,Jewellery,"[['Select an option', '2 US', '2 1/4 US', '2 1/2 US', '2 3/4 US', '3 US', '3 1/4 US', '3 1/2 US', '3 3/4 US', '4 US', '4 1/4 US', '4 1/2 US', '4 3/4 US', '5 US', '5 1/4 US', '5 1/2 US', '5 3/4 US', '6 US', '6 1/4 US', '6 1/2 US', '6 3/4 US', '7 US', '7 1/4 US', '7 1/2 US', '7 3/4 US', '8 US', '8 1/4 US', '8 1/2 US', '8 3/4 US', '9 US', '9 1/4 US', '9 1/2 US', '9 3/4 US', '10 US', '10 1/4 US', '10 1/2 US', '10 3/4 US', '11 US', '11 1/4 US', '11 1/2 US', '11 3/4 US', '12 US', '12 1/4 US', '12 1/2 US', '12 3/4 US', '13 US', '13 1/4 US', '13 1/2 US', '13 3/4 US', '14 US', '14 1/4 US', '14 1/2 US', '14 3/4 US', '15 US', '15 1/4 US', '15 1/2 US', '15 3/4 US', '16 US'], []]",https://www.etsy.com/in-en/listing/923240393/925-sterling-silver-tanzanite-ring?click_key=a10c39c8e981b769bf09c1c5a025d67076327425%3A923240393&click_sum=ff84bb66&ref=shop_home_feat_5&pro=1&frs=1
"
    Enhancer Charm Lock,Enhancer Charm Lock, Gold Charm Holder, Charm Holder Necklace, Sterling Silver Round Pendant Lock
",1088,"Enhancer Charm Lock,Enhancer Charm Lock, Gold Charm Holder, Charm Holder Necklace, Sterling Silver Round Pendant LockItem Details.....925 Solid Sterling SilverItem Size- 13mm.★ GENERAL DESCRIPTION ★⭐︎ If you'd like to see more beautiful jewelry, click here to visit our shop:https://www.etsy.com/in-en/shop/angiracrafts★ PACKAGING ★Your ANGIRACRAFTS order will be nicely packed in our official branded box.ANGIRACRAFTS is an environmentally friendly shop that tries to reduce packing to one box. If you need your jewelry in separate boxes please write us and we will do so.★ SHIPPING & HANDLING ★All ANGIRACRAFTS  orders will be shipped to the address supplied through Etsy. Please check this address is correct before finishing your check out. ANGIRACRAFTS is not responsible for packages shipped to wrong addresses. It is the buyer’s responsibility to ensure that all shipping information is correct prior to finish the purchase.To upgrade shipping to PRIORITY select the UPDATE at check out.★ IMPORTANT INFORMATION ★Before placing an order we suggest you take a minute and read ANGIRACRAFTS Shop’s PolicyYou’ll find all info on returns and exchanges, lost or damaged packages, returned mail, estimated shipping times, customs and duties fees.★ ★ ★ ★ ★ ★ ★ THANKS FOR STOPPING BY ★ ★ ★ ★ ★ ★ ★In love with this item and want to buy it later? Just click on the ♥ icon on your right to add it to your favorites.If you have any question or special requests we will be glad to help you.",https://i.etsystatic.com/19664680/r/il/6bb4bb/3174127413/il_794xN.3174127413_e23t.jpg,Craft Supplies & Tools,"[['Select an option', 'Sterling Silver', 'Yellow Gold', 'Rose Gold', 'Black Oxidised'], []]",https://www.etsy.com/in-en/listing/921743489/enhancer-charm-lockenhancer-charm-lock?click_key=cbe69edd366c1344f7c4c1932900eab663a1c823%3A921743489&click_sum=77c0ba47&ref=shop_home_feat_4&pro=1&frs=1
"
    925 Sterling Silver Tanzanite Ring Jewelry, Diamond Finger Ring, Round Tanzanite silver Ring, Tanzanite Women's Ring
",29357,"925 Sterling Silver Tanzanite Ring Jewelry, Diamond Finger Ring, Round Tanzanite silver Ring, Tanzanite Women's Ring, Multisapphire RingItem Details.....925 Sterling SilverGemstone- Diamond, TanzaniteItem Size- Choose Size.★ GENERAL DESCRIPTION ★⭐︎ If you'd like to see more beautiful jewelry, click here to visit our shop:https://www.etsy.com/in-en/shop/angiracrafts★ PACKAGING ★Your ANGIRACRAFTS order will be nicely packed in our official branded box.ANGIRACRAFTS is an environmentally friendly shop that tries to reduce packing to one box. If you need your jewelry in separate boxes please write us and we will do so.★ SHIPPING & HANDLING ★All ANGIRACRAFTS  orders will be shipped to the address supplied through Etsy. Please check this address is correct before finishing your check out. ANGIRACRAFTS is not responsible for packages shipped to wrong addresses. It is the buyer’s responsibility to ensure that all shipping information is correct prior to finish the purchase.To upgrade shipping to PRIORITY select the UPDATE at check out.★ IMPORTANT INFORMATION ★Before placing an order we suggest you take a minute and read ANGIRACRAFTS Shop’s PolicyYou’ll find all info on returns and exchanges, lost or damaged packages, returned mail, estimated shipping times, customs and duties fees.★ ★ ★ ★ ★ ★ ★ THANKS FOR STOPPING BY ★ ★ ★ ★ ★ ★ ★In love with this item and want to buy it later? Just click on the ♥ icon on your right to add it to your favorites.If you have any question or special requests we will be glad to help you.",https://i.etsystatic.com/19664680/r/il/ea8bf2/4052585708/il_794xN.4052585708_omev.jpg,Jewellery,"[['Select an option', '2 US', '2 1/4 US', '2 1/2 US', '2 3/4 US', '3 US', '3 1/4 US', '3 1/2 US', '3 3/4 US', '4 US', '4 1/4 US', '4 1/2 US', '4 3/4 US', '5 US', '5 1/4 US', '5 1/2 US', '5 3/4 US', '6 US', '6 1/4 US', '6 1/2 US', '6 3/4 US', '7 US', '7 1/4 US', '7 1/2 US', '7 3/4 US', '8 US', '8 1/4 US', '8 1/2 US', '8 3/4 US', '9 US', '9 1/4 US', '9 1/2 US', '9 3/4 US', '10 US', '10 1/4 US', '10 1/2 US', '10 3/4 US', '11 US', '11 1/4 US', '11 1/2 US', '11 3/4 US', '12 US', '12 1/4 US', '12 1/2 US', '12 3/4 US', '13 US', '13 1/4 US', '13 1/2 US', '13 3/4 US', '14 US', '14 1/4 US', '14 1/2 US', '14 3/4 US', '15 US', '15 1/4 US', '15 1/2 US', '15 3/4 US', '16 US'], []]",https://www.etsy.com/in-en/listing/923240393/925-sterling-silver-tanzanite-ring?click_key=42a772e6c5302b8a25ab2d2fb9ebdae91c863862%3A923240393&click_sum=6112bc3f&ref=shop_home_feat_5&pro=1&frs=1
"
    14k Yellow Gold Mini Lightning Bolt Charms, Gold Mini Lightning Bolt Charms, 14k Gold Charms, Handmade 14k Gold Mini Lightning Bolt Jewelry
",3656,"14k Yellow Gold Mini Lightning Bolt Charms, Gold Mini Lightning Bolt Charms, 14k Gold Charms, Handmade 14k Gold Mini Lightning Bolt Jewelry14k GoldSize- 35mm★ GENERAL DESCRIPTION ★⭐︎ If you'd like to see more beautiful jewelry, click here to visit our shop:https://www.etsy.com/in-en/shop/angiracrafts★ PACKAGING ★Your ANGIRACRAFTS order will be nicely packed in our official branded box.ANGIRACRAFTS is an environmentally friendly shop that tries to reduce packing to one box. If you need your jewelry in separate boxes please write us and we will do so.★ SHIPPING & HANDLING ★All ANGIRACRAFTS  orders will be shipped to the address supplied through Etsy. Please check this address is correct before finishing your check out. ANGIRACRAFTS is not responsible for packages shipped to wrong addresses. It is the buyer’s responsibility to ensure that all shipping information is correct prior to finish the purchase.To upgrade shipping to PRIORITY select the UPDATE at check out.★ IMPORTANT INFORMATION ★Before placing an order we suggest you take a minute and read ANGIRACRAFTS Shop’s PolicyYou’ll find all info on returns and exchanges, lost or damaged packages, returned mail, estimated shipping times, customs and duties fees.★ ★ ★ ★ ★ ★ ★ THANKS FOR STOPPING BY ★ ★ ★ ★ ★ ★ ★In love with this item and want to buy it later? Just click on the ♥ icon on your right to add it to your favorites.If you have any question or special requests we will be glad to help you.",https://i.etsystatic.com/19664680/r/il/bed880/4073464847/il_794xN.4073464847_44sn.jpg,Jewellery,"[['Select a colour', '14k Yellow Gold (₹ 19,907)', '14k Rose Gold (₹ 19,907)', '14k White Gold (₹ 19,907)', 'Natural Silver (₹ 3,656)', 'Yellow Gold Plating (₹ 3,656)', 'Rose Gold Plating (₹ 3,656)', 'Black Rhodium (₹ 3,656)', '9k Yellow Gold (₹ 12,594)', '9k Rose GOld (₹ 12,594)', '9k White Gold (₹ 12,594)'], []]",https://www.etsy.com/in-en/listing/1272058149/14k-yellow-gold-mini-lightning-bolt?click_key=1a543e5e0a02e1b8e6ea6cd51f8839e8fb9a4a0c%3A1272058149&click_sum=5f98e0fc&ref=shop_home_active_1&pro=1&frs=1
"
    925 Sterling Silver Natural Pave Diamond Safety Pin Shape Clasp, Tiny Safety Pin Charm Holder, Silver Diamond Safety Pin Clasp Lock
",4654,"925 Sterling Silver Natural Pave Diamond Safety Pin Shape Clasp, Tiny Safety Pin Charm Holder, Silver Diamond Safety Pin Clasp Lock925 Sterling SilverNatural pave DiamondSize-25mm.★ GENERAL DESCRIPTION ★⭐︎ If you'd like to see more beautiful jewelry, click here to visit our shop:https://www.etsy.com/in-en/shop/angiracrafts★ PACKAGING ★Your ANGIRACRAFTS order will be nicely packed in our official branded box.ANGIRACRAFTS is an environmentally friendly shop that tries to reduce packing to one box. If you need your jewelry in separate boxes please write us and we will do so.★ SHIPPING & HANDLING ★All ANGIRACRAFTS  orders will be shipped to the address supplied through Etsy. Please check this address is correct before finishing your check out. ANGIRACRAFTS is not responsible for packages shipped to wrong addresses. It is the buyer’s responsibility to ensure that all shipping information is correct prior to finish the purchase.To upgrade shipping to PRIORITY select the UPDATE at check out.★ IMPORTANT INFORMATION ★Before placing an order we suggest you take a minute and read ANGIRACRAFTS Shop’s PolicyYou’ll find all info on returns and exchanges, lost or damaged packages, returned mail, estimated shipping times, customs and duties fees.★ ★ ★ ★ ★ ★ ★ THANKS FOR STOPPING BY ★ ★ ★ ★ ★ ★ ★In love with this item and want to buy it later? Just click on the ♥ icon on your right to add it to your favorites.If you have any question or special requests we will be glad to help you.",https://i.etsystatic.com/19664680/r/il/d08c13/3960690526/il_794xN.3960690526_ctw2.jpg,Craft Supplies & Tools,"[['Select an option', 'Natural Silver', 'Yellow Gold Plating', 'Rose Gold Plating', 'Black Rhodium'], []]",https://www.etsy.com/in-en/listing/1241750752/925-sterling-silver-natural-pave-diamond?click_key=d3a15c59d3b230fb479a8b10f9bd3a214369134c%3A1241750752&click_sum=850996de&ref=shop_home_active_2&pro=1&frs=1
"
    Natural Diamond Pave Mens Diamond Islamic Arabic Allah Akbar Pendant,Diamond Allah Akbar Pendant, Silver Allah Jewelry, Allah Charms Pendant
",8770,"Natural Diamond Pave Mens Diamond Islamic Arabic Allah Akbar Pendant,Diamond Allah Akbar Pendant, Silver Allah Jewelry, Allah Charms Pendant925 Sterling SilverGemstone:- Choose GemstoneItem:- Only Pendant★ GENERAL DESCRIPTION ★⭐︎ If you'd like to see more beautiful jewelry, click here to visit our shop:https://www.etsy.com/in-en/shop/angiracrafts★ PACKAGING ★Your ANGIRACRAFTS order will be nicely packed in our official branded box.ANGIRACRAFTS is an environmentally friendly shop that tries to reduce packing to one box. If you need your jewelry in separate boxes please write us and we will do so.★ SHIPPING & HANDLING ★All ANGIRACRAFTS  orders will be shipped to the address supplied through Etsy. Please check this address is correct before finishing your check out. ANGIRACRAFTS is not responsible for packages shipped to wrong addresses. It is the buyer’s responsibility to ensure that all shipping information is correct prior to finish the purchase.To upgrade shipping to PRIORITY select the UPDATE at check out.★ IMPORTANT INFORMATION ★Before placing an order we suggest you take a minute and read ANGIRACRAFTS Shop’s PolicyYou’ll find all info on returns and exchanges, lost or damaged packages, returned mail, estimated shipping times, customs and duties fees.★ ★ ★ ★ ★ ★ ★ THANKS FOR STOPPING BY ★ ★ ★ ★ ★ ★ ★In love with this item and want to buy it later? Just click on the ♥ icon on your right to add it to your favorites.If you have any question or special requests we will be glad to help you.",https://i.etsystatic.com/19664680/r/il/19d96d/4008296283/il_794xN.4008296283_i1l8.jpg,Jewellery,"[['Select a colour', 'Yellow Gold', 'Rose gold', 'Silver', 'Black Oxidized'], ['Select an option', 'Diamond', 'Blue Sapphire', 'Pink Sapphire', 'Yellow Sapphire', 'Black Onyx', 'Turquoise', 'Ruby', 'Tsavorite', 'Moissanite']]",https://www.etsy.com/in-en/listing/1241737094/natural-diamond-pave-mens-diamond?click_key=f9ff79922d1862ce884918b08a733f9aadd32f1d%3A1241737094&click_sum=bd4f270a&ref=shop_home_active_3&pro=1&frs=1
"
    925 Sterling Silver Victorian Style Charm Hook, Handmade Twisted Safety Pendant for Charms, Silver Charm Holder Enhancer Lock Jewelry
",1056,"925 Sterling Silver Victorian Style Charm Hook, Handmade Twisted Safety Pendant for Charms, Silver Charm Holder Enhancer Lock Jewelry Item Details.....Metal- 925 Sterling SilverItem Size- 25mm.★ GENERAL DESCRIPTION ★⭐︎ If you'd like to see more beautiful jewelry, click here to visit our shop:https://www.etsy.com/in-en/shop/angiracrafts★ PACKAGING ★Your ANGIRACRAFTS order will be nicely packed in our official branded box.ANGIRACRAFTS is an environmentally friendly shop that tries to reduce packing to one box. If you need your jewelry in separate boxes please write us and we will do so.★ SHIPPING & HANDLING ★All ANGIRACRAFTS  orders will be shipped to the address supplied through Etsy. Please check this address is correct before finishing your check out. ANGIRACRAFTS is not responsible for packages shipped to wrong addresses. It is the buyer’s responsibility to ensure that all shipping information is correct prior to finish the purchase.To upgrade shipping to PRIORITY select the UPDATE at check out.★ IMPORTANT INFORMATION ★Before placing an order we suggest you take a minute and read ANGIRACRAFTS Shop’s PolicyYou’ll find all info on returns and exchanges, lost or damaged packages, returned mail, estimated shipping times, customs and duties fees.★ ★ ★ ★ ★ ★ ★ THANKS FOR STOPPING BY ★ ★ ★ ★ ★ ★ ★In love with this item and want to buy it later? Just click on the ♥ icon on your right to add it to your favorites.If you have any question or special requests we will be glad to help you.",https://i.etsystatic.com/19664680/r/il/9dc16d/3769312261/il_794xN.3769312261_jdvz.jpg,Craft Supplies & Tools,"[['Select a colour', 'Natural Silver', 'Yellow Gold Plating', 'Rose Gold Plating', 'Black Rhodium'], []]",https://www.etsy.com/in-en/listing/1241726928/925-sterling-silver-victorian-style?click_key=6834a01ccfd8ff27002be3449490d87f8967aeb3%3A1241726928&click_sum=83a905ec&ref=shop_home_active_4&pro=1&frs=1
"
    Sterling Silver Pave Diamond Handmade Lion Face Pendant, Diamond Lion Charm Pendant Jewelry, Silver Lion Charm, Handmade Lion Charm Jewelry
",28006,"Sterling Silver Pave Diamond Handmade Lion Face Pendant, Diamond Lion Charm Pendant Jewelry, Silver Lion Charm, Handmade Lion Charm JewelryMetal- SilverGemstone- Diamond, EmeraldSize- 25mm★ GENERAL DESCRIPTION ★⭐︎ If you'd like to see more beautiful jewelry, click here to visit our shop:https://www.etsy.com/in-en/shop/angiracrafts★ PACKAGING ★Your ANGIRACRAFTS order will be nicely packed in our official branded box.ANGIRACRAFTS is an environmentally friendly shop that tries to reduce packing to one box. If you need your jewelry in separate boxes please write us and we will do so.★ SHIPPING & HANDLING ★All ANGIRACRAFTS  orders will be shipped to the address supplied through Etsy. Please check this address is correct before finishing your check out. ANGIRACRAFTS is not responsible for packages shipped to wrong addresses. It is the buyer’s responsibility to ensure that all shipping information is correct prior to finish the purchase.To upgrade shipping to PRIORITY select the UPDATE at check out.★ IMPORTANT INFORMATION ★Before placing an order we suggest you take a minute and read ANGIRACRAFTS Shop’s PolicyYou’ll find all info on returns and exchanges, lost or damaged packages, returned mail, estimated shipping times, customs and duties fees.★ ★ ★ ★ ★ ★ ★ THANKS FOR STOPPING BY ★ ★ ★ ★ ★ ★ ★In love with this item and want to buy it later? Just click on the ♥ icon on your right to add it to your favorites.If you have any question or special requests we will be glad to help you.",https://i.etsystatic.com/19664680/r/il/de5ebf/3958277252/il_794xN.3958277252_pct4.jpg,Jewellery,"[['Select an option', 'Natural Silver', 'Yellow gold Plating', 'Rose Gold Plating', 'Black Rhodium'], []]",https://www.etsy.com/in-en/listing/1241149980/sterling-silver-pave-diamond-handmade?click_key=3307ee25718084e6433f121bf9fedcf3ca5210f0%3A1241149980&click_sum=eb01abec&ref=shop_home_active_5&pro=1&frs=1
"
    Sterling Silver Pave Diamond Handmade I Letter Pendant,Diamond initial I Alphabet Charm Pendant Jewelry,Silver I Charm,Handmade Jewelry
",28006,"Sterling Silver Pave Diamond Handmade I Letter Pendant,Diamond initial I Alphabet Charm Pendant Jewelry,Silver I Charm,Handmade JewelryMetal- SilverGemstone- DiamondSize- 25mm★ GENERAL DESCRIPTION ★⭐︎ If you'd like to see more beautiful jewelry, click here to visit our shop:https://www.etsy.com/in-en/shop/angiracrafts★ PACKAGING ★Your ANGIRACRAFTS order will be nicely packed in our official branded box.ANGIRACRAFTS is an environmentally friendly shop that tries to reduce packing to one box. If you need your jewelry in separate boxes please write us and we will do so.★ SHIPPING & HANDLING ★All ANGIRACRAFTS  orders will be shipped to the address supplied through Etsy. Please check this address is correct before finishing your check out. ANGIRACRAFTS is not responsible for packages shipped to wrong addresses. It is the buyer’s responsibility to ensure that all shipping information is correct prior to finish the purchase.To upgrade shipping to PRIORITY select the UPDATE at check out.★ IMPORTANT INFORMATION ★Before placing an order we suggest you take a minute and read ANGIRACRAFTS Shop’s PolicyYou’ll find all info on returns and exchanges, lost or damaged packages, returned mail, estimated shipping times, customs and duties fees.★ ★ ★ ★ ★ ★ ★ THANKS FOR STOPPING BY ★ ★ ★ ★ ★ ★ ★In love with this item and want to buy it later? Just click on the ♥ icon on your right to add it to your favorites.If you have any question or special requests we will be glad to help you.",https://i.etsystatic.com/19664680/r/il/2d428e/3958271874/il_794xN.3958271874_i69y.jpg,Jewellery,"[['Select an option', 'Natural Silver', 'Yellow gold Plating', 'Rose Gold Plating', 'Black Rhodium'], []]",https://www.etsy.com/in-en/listing/1241149240/sterling-silver-pave-diamond-handmade-i?click_key=8c4c193a9bbdaa7f6210792cfbf071e971d339c2%3A1241149240&click_sum=5f1225f8&ref=shop_home_active_6&pro=1&frs=1
