Produce Name,Price,Description,Image,Category,Options,Product URL
"
    Ethiopian Opal Stone Ring, 925 Sterling Silver Ring, Spinner Ring, Statement Ring, Fidget Ring, Dainty Gemstone Handmade Ring, Gift For Her
",1172,"Ethiopian Opal Stone Ring, 925 Sterling Silver Ring, Spinner Ring, Statement Ring, Fidget Ring, Dainty Gemstone Handmade Ring, Gift For HerSKU : VDR-4Handmade Spinner RingGemstone : Ethiopian Opal Stone Shape : RoundMetal Purity : 925 Sterling SilverRing Size : You can be Choose your ring sizeEthiopian opal is believed to be an emotional intensifier, enhancing the true nature of those who wear it. Some say it strengthens the will to live and shields the wearer against negativity, burning off karma.",https://i.etsystatic.com/18163555/r/il/b65501/3989649075/il_794xN.3989649075_bd3j.jpg,Jewellery,"[['Select an option', '5 1/2 US', '7 US', '8 1/4 US'], []]",https://www.etsy.com/in-en/listing/1250976495/ethiopian-opal-stone-ring-925-sterling?click_key=d6d360e4bdbfe1b9c66d2719914ad00405eac5f0%3A1250976495&click_sum=2d849e59&ref=shop_home_feat_1&pro=1&frs=1
"
    Honey Bee Spinner Ring, 925 Sterling Silver Ring, Meditation Ring, Silver Jewelry, Worry Ring, Anxiety Ring, Honey Bee Rings, Beautiful Ring
",1196,"Honey Bee Spinner Ring, 925 Sterling Silver Ring, Meditation Ring, Silver Jewelry, Worry Ring, Anxiety Ring, Gift For Mother, Beautiful RingSKU : VDR-2Handmade Spinner RingMetal Purity : 925 Sterling SilverRing Size : You can be Choose your ring size",https://i.etsystatic.com/18163555/r/il/1eebea/3989612591/il_794xN.3989612591_l3oz.jpg,Jewellery,"[['Select an option', '6 1/2 US', '6 3/4 US', '7 US', '7 1/4 US', '7 3/4 US', '8 US', '8 1/4 US', '8 1/2 US', '9 US', '9 3/4 US', '10 3/4 US', '12 1/2 US'], []]",https://www.etsy.com/in-en/listing/1237037066/honey-bee-spinner-ring-925-sterling?click_key=3814a0c89300c9585849c497022b158350678e39%3A1237037066&click_sum=f0e60bdb&ref=shop_home_feat_2&pro=1&frs=1
"
    Spinner Ring, Meditation Ring, Flower Spinner Ring, Silver Spinner Ring, Anxiety Ring, Thumb Band, Gift For Mother, 925 Sterling Silver Ring
",1123,"Spinner Ring, Meditation Ring, Flower Spinner Ring, Silver Spinner Ring, Anxiety Ring, Thumb Band, Gift For Mother, 925 Sterling Silver RingSKU : VDR-5Handmade Spinner RingMetal Purity : 925 Sterling SilverRing Size : You can be Choose your ring size",https://i.etsystatic.com/18163555/r/il/06e3ea/3942223834/il_794xN.3942223834_p1l0.jpg,Jewellery,"[['Select an option', '3 1/2 US', '4 US', '4 1/4 US', '4 1/2 US', '5 US', '5 1/4 US', '6 1/4 US', '7 US', '7 1/4 US', '7 1/2 US', '7 3/4 US', '8 US', '9 US', '10 US', '10 1/4 US', '11 1/2 US', '12 US', '12 1/4 US', '13 1/4 US', '13 1/2 US', '13 3/4 US', '14 US', '14 1/2 US', '15 US', '16 US'], []]",https://www.etsy.com/in-en/listing/1237050526/spinner-ring-meditation-ring-flower?click_key=a412653b242df39cd4bf391f11b517df3a1b2e4f%3A1237050526&click_sum=e024bcc0&ref=shop_home_feat_3&pro=1&frs=1
"
    Spinner Ring, Meditation Ring, Flower Spinner Ring, Handmade Ring, 925 Sterling Silver Ring, Silver Spinner Ring, Anxiety Ring, Thumb Rings
",1148,"Spinner Ring, Meditation Ring, Flower Spinner Ring, Handmade Ring, 925 Sterling Silver Ring, Silver Spinner Ring, Anxiety Ring, Thumb RingsSKU : VDR-1Handmade Spinner RingMetal Purity : 925 Sterling SilverRing Size : You can be Choose your ring size",https://i.etsystatic.com/18163555/r/il/9fafda/3942128026/il_794xN.3942128026_2dn8.jpg,Jewellery,"[['Select an option', '3 US', '4 US', '4 1/4 US', '5 US', '5 1/4 US', '6 US', '6 1/4 US', '6 1/2 US', '7 1/4 US', '8 US', '8 1/4 US', '9 US', '9 1/4 US', '10 1/4 US', '11 US', '11 1/4 US', '11 1/2 US', '11 3/4 US', '12 US'], []]",https://www.etsy.com/in-en/listing/1250964661/spinner-ring-meditation-ring-flower?click_key=b79dc69aca40e694bee637574b6e4aa8c4baed99%3A1250964661&click_sum=eced7a0f&ref=shop_home_feat_4&pro=1&frs=1
"
    Exquisite Tibetan Turquoise Pendant, Gemstone Pendant, Blue Pendant, 925 Sterling Silver Jewelry, Birthday Gift, Pendant For Her
",1294,"Looking for something that complements your Elegant style? Check out this trendy 925 Sterling Silver Tibetan Turquoise studded Pendant that will elevate your fashion quotient.Handmade PendantSKU : DP-2708Gemstone : Tibetan TurquoiseStone Shape : OctagonMetal Purity : 925 Sterling SilverLength : 85 mmWidth : 33 mm*Benefits Of Wearing SilverAs a metal, silver has significant health benefits that have been used across cultures for centuries. Silver has a proven track record as a powerful antimicrobial agent fighting infections and aiding in cold and flu prevention, wound healing, and more. Silver also helps with internal heat regulation and circulation.********************************************************************************************************************Tibetan Turquoise Necklace***https://www.etsy.com/in-en/shop/925india?ref=seller-platform-mcnav&search_query=Turquoise+necklace***Tibetan Turquoise Earrings***https://www.etsy.com/in-en/shop/925india?ref=seller-platform-mcnav&search_query=Turquoise+earrings***Tibetan Turquoise Rings***https://www.etsy.com/shop/925india?ref=seller-platform-mcnav&search_query=Turquoise+rings******************************************************************************************************************",https://i.etsystatic.com/18163555/r/il/02198f/4100029439/il_794xN.4100029439_ppus.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1264776446/exquisite-tibetan-turquoise-pendant?click_key=16effc6b8591d9fca8780feb90c392b1c33273c6%3A1264776446&click_sum=31219423&ref=shop_home_active_1&pro=1&frs=1
"
    100% Natural Shattuckite Pendant, Gemstone Pendant, Blue Pendant, 925 Sterling Silver Jewelry, Wedding Gift, Pendant For Best Friend
",1172,"Jewelry add an essence of appeal and grace to your looks; featuring a hand crafted Pendant with shiny Shattuckite; adding a whim of beauty. Team this adornment with casual dress or with party attire!Handmade PendantSKU : DP-2645Gemstone : ShattuckiteStone Shape : OvalMetal Purity : 925 Sterling SilverLength : 52 mmWidth : 29 mm*Benefits Of Wearing SilverAs a metal, silver has significant health benefits that have been used across cultures for centuries. Silver has a proven track record as a powerful antimicrobial agent fighting infections and aiding in cold and flu prevention, wound healing, and more. Silver also helps with internal heat regulation and circulation.********************************************************************************************************************Shattuckite Necklace***https://www.etsy.com/in-en/shop/925india?ref=seller-platform-mcnav&search_query=Shattuckite+necklace***Shattuckite Earrings***https://www.etsy.com/in-en/shop/925india?ref=seller-platform-mcnav&search_query=Shattuckite+earrings***Shattuckite Rings***https://www.etsy.com/shop/925india?ref=seller-platform-mcnav&search_query=Shattuckite+rings******************************************************************************************************************",https://i.etsystatic.com/18163555/r/il/f6aa96/4052367974/il_794xN.4052367974_31tq.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1264774262/100-natural-shattuckite-pendant-gemstone?click_key=0dea71a67ffb3f1bef2f24ceef00199aafbe0398%3A1264774262&click_sum=e8a2af1f&ref=shop_home_active_2&pro=1&frs=1
"
    Exquisite Blue Tiger Eye Pendant, Gemstone Pendant, Blue Pendant, 925 Sterling Silver Jewelry, Anniversary Gift, Pendant For Her
",1343,"Add a heritage touch in your everyday look with this auspicious 925 Sterling Silver Pendant with Blue Tiger Eye. Makes a perfect indulgence so grab it today.Handmade PendantSKU : DP-2589Gemstone : Blue Tiger EyeStone Shape : OvalMetal Purity : 925 Sterling SilverLength : 55 mmWidth : 32 mm*Benefits Of Wearing SilverAs a metal, silver has significant health benefits that have been used across cultures for centuries. Silver has a proven track record as a powerful antimicrobial agent fighting infections and aiding in cold and flu prevention, wound healing, and more. Silver also helps with internal heat regulation and circulation.********************************************************************************************************************Blue Tiger Eye Necklace***https://www.etsy.com/in-en/shop/925india?ref=seller-platform-mcnav&search_query=Tiger's+eye+necklace***Blue Tiger Eye Earrings***https://www.etsy.com/in-en/shop/925india?ref=seller-platform-mcnav&search_query=Tiger's+eye+earrings***Blue Tiger Eye Rings***https://www.etsy.com/shop/925india?ref=seller-platform-mcnav&search_query=Tiger's+eye+rings******************************************************************************************************************",https://i.etsystatic.com/18163555/r/il/9e5497/4100005771/il_794xN.4100005771_r4og.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1264772110/exquisite-blue-tiger-eye-pendant?click_key=bc0f57c77f685932c5b0fe16c25da4d0cd02410b%3A1264772110&click_sum=77c862e1&ref=shop_home_active_3&pro=1&frs=1
"
    Sparkling Rainbow Calsilica Pendant, Gemstone Pendant, Blue Pendant, 925 Sterling Silver Jewelry, Anniversary Gift, Pendant For Brides Maid
",1343,"This wonderfully hand crafted Pendant studded with Rainbow Calsilica is attractive and admirable, both by the eyes, as well as the heart of any beholder! Get this Sterling Silver classic theme Pendant and always rejoice the feeling of possessing a work of art.Handmade PendantSKU : DP-2536Gemstone : Rainbow CalsilicaStone Shape : MarquiseMetal Purity : 925 Sterling SilverLength : 71 mmWidth : 20 mm*Benefits Of Wearing SilverAs a metal, silver has significant health benefits that have been used across cultures for centuries. Silver has a proven track record as a powerful antimicrobial agent fighting infections and aiding in cold and flu prevention, wound healing, and more. Silver also helps with internal heat regulation and circulation.********************************************************************************************************************Rainbow Calsilica Necklace***https://www.etsy.com/in-en/shop/925india?ref=seller-platform-mcnav&search_query=Rainbow+Calsilica+necklace***Rainbow Calsilica Earrings***https://www.etsy.com/in-en/shop/925india?ref=seller-platform-mcnav&search_query=Rainbow+Calsilica+earrings***Rainbow Calsilica Rings***https://www.etsy.com/shop/925india?ref=seller-platform-mcnav&search_query=Rainbow+Calsilica+rings******************************************************************************************************************",https://i.etsystatic.com/18163555/r/il/9451bd/4099994269/il_794xN.4099994269_svp0.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1278786265/sparkling-rainbow-calsilica-pendant?click_key=16782d8dcfe31824dd3ad1cf8c7a06f588cd1115%3A1278786265&click_sum=8dd0353b&ref=shop_home_active_4&pro=1&frs=1
"
    Remarkable Picture Jasper Pendant, Gemstone Pendant, Yellow Pendant, 925 Sterling Silver Jewelry, Wedding Gift, Pendant For Mother
",1221,"Be fashionable and trendy with this exclusive Pendant studded with Picture Jasper in 925 Sterling Silver. Pair it with any of your casual attire and create a new fashion trend.Handmade PendantSKU : DP-2481Gemstone : Picture JasperStone Shape : OvalMetal Purity : 925 Sterling SilverLength : 85 mmWidth : 42 mm*Benefits Of Wearing SilverAs a metal, silver has significant health benefits that have been used across cultures for centuries. Silver has a proven track record as a powerful antimicrobial agent fighting infections and aiding in cold and flu prevention, wound healing, and more. Silver also helps with internal heat regulation and circulation.********************************************************************************************************************Picture Jasper Necklace***https://www.etsy.com/in-en/shop/925india?ref=seller-platform-mcnav&search_query=Jasper+necklace***Picture Jasper Earrings***https://www.etsy.com/in-en/shop/925india?ref=seller-platform-mcnav&search_query=Jasper+earrings***Picture Jasper Rings***https://www.etsy.com/shop/925india?ref=seller-platform-mcnav&search_query=Jasper+rings******************************************************************************************************************",https://i.etsystatic.com/18163555/r/il/e2d3cf/4052333540/il_794xN.4052333540_7lfh.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1278783863/remarkable-picture-jasper-pendant?click_key=70df45fd70e278e18ea266238b6c896d78bbbb00%3A1278783863&click_sum=608cac7c&ref=shop_home_active_5&pro=1&frs=1
"
    Sparkling Rose Quartz Pendant, Gemstone Pendant, Pink Pendant, 925 Sterling Silver Jewelry, Birthday Gift, Pendant For Best Friend
",1318,"This is a charming and cute Pendant with Rose Quartz textured with handmade work. Match this Pendant with any of your dresses to get a graceful look.Handmade PendantSKU : DP-2428Gemstone : Rose QuartzStone Shape : PearMetal Purity : 925 Sterling SilverLength : 67 mmWidth : 32 mm*Benefits Of Wearing SilverAs a metal, silver has significant health benefits that have been used across cultures for centuries. Silver has a proven track record as a powerful antimicrobial agent fighting infections and aiding in cold and flu prevention, wound healing, and more. Silver also helps with internal heat regulation and circulation.********************************************************************************************************************Rose Quartz Necklace***https://www.etsy.com/in-en/shop/925india?ref=seller-platform-mcnav&search_query=Rose+quartz+necklace***Rose Quartz Earrings***https://www.etsy.com/in-en/shop/925india?ref=seller-platform-mcnav&search_query=Rose+quartz+earrings***Rose Quartz Rings***https://www.etsy.com/shop/925india?ref=seller-platform-mcnav&search_query=Rose+quartz+rings******************************************************************************************************************",https://i.etsystatic.com/18163555/r/il/91a274/4099972145/il_794xN.4099972145_kz11.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1264765276/sparkling-rose-quartz-pendant-gemstone?click_key=370222f843702791d7ef4c7790363a465d66d8c5%3A1264765276&click_sum=f58d0a6f&ref=shop_home_active_6&pro=1&frs=1
