Produce Name,Price,Description,Image,Category,Options,Product URL
"
    Gemstone Authentication Report By GTL JAIPUR
",1628,"These reports identify the gemstone under examination, along with presence or absence of treatments and their methods. The stone may be loose or set in a piece of jewellery or in a bead string.  These reports mainly contain information on:» weight (in carats, up to two decimal points)   (in grams, when stone is set in jewellery or if it weighs more than 999.99 carats)» colour  » shape and style of cut» dimensions (length x breadth x height); in centimeters for samples above 99 mm» identification of the stone: by mineral name (group/species/variety where applicable), prefixed by whether it is natural or synthetic, man-made product or a glass.  However, in case of synthetics, species and group names are not mentioned.» comments: include any additional information on presence or absence of treatments, damages, special optical effects such as colour change, and any information which may help to interpret the results on the report. In case of emerald identification reports, along with the nature of treatment and type of filler, its quantity is also mentioned in broad categories as significant, moderate or minor.For security, every report is laminated, carries a colour photograph of the specimen/s being tested, a unique QR-code for report verification and a 3D hologram, which reads the logo of the Gems & Jewellery Export Promotion Council (GJEPC) at one angle and GTL at another. Also look for the embossed logo of GJEPC at top left corner of the report ..Loved the collection !! Here is the link to some similar products we have ;)*****Shipping Policy*****FREE STANDARD SHIPPING on all orders above $ 35 and FREE EXPRESS SHIPPING on orders above $ 250. If you want Express Shipping for orders below $ 250, you can purchase it along with your order, here is the link:https://www.etsy.com/in-en/listing/925746432/ **Estimated Delivery Time**Standard Shipping: 15-25 DaysExpress Shipping: 3-9 Days<<It usually takes us 1-4 days to process your order and ship it from our end.>>*****Returns & exchanges*****We gladly accept returns and exchangesContact us within: 14 days after deliverySend back the items within: 30 days of deliveryWe don't accept cancellationsBut please contact us if you have any issues with your order, we would do our best to solve them.",https://i.etsystatic.com/20343546/r/il/42102b/2783417038/il_794xN.2783417038_6ei4.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/925730044/gemstone-authentication-report-by-gtl?click_key=45bf138c0f99d1c937bef473d29cfa65b5a5740f%3A925730044&click_sum=155aa704&ref=shop_home_feat_1&pro=1&frs=1
"
    Express Shipping | Safest & fastest | Highly recommended :)
",407,250 US$ を超えるご注文で - 無料の送料を無料で配送200 - 250 US$ の間の注文で - エクスプレスのための5 US$を支払う150 - 200 US$ の間の注文で - エクスプレスのための10 US$を支払います100 - 150 US$ の間の注文で - エクスプレスのための16$を支払う50 - 100 US$ の間の注文で - エクスプレスのための支払い 23$1 - 50 US$ - エクスプレスの支払い30$# エクスプレス配送には約 5 ~ 9 日 (平均 7 日間) 時間がかかります届ける#私たちは、派遣後2 -4日後に急行追跡番号を取得します。#私たちはあなたの注文が上記の場合、デフォルトでエクスプレスでパッケージを出荷します250 US$だから、無料エクスプレスについて私たちに思い出させる必要はありません。#私はそれがであるように、すべての顧客に急送をお勧めしますSAFEST配送オプションとパッケージを失う可能性はゼロに近い。.,https://i.etsystatic.com/20343546/r/il/e85077/3011590518/il_794xN.3011590518_fg4r.jpg,Craft Supplies & Tools,"[['Select an option', '200 - 250 USD (₹ 407)', '150 - 200 USD (₹ 814)', '100 - 150 USD (₹ 1,302)', '50 - 100 USD (₹ 1,871)', '1 - 50 USD (₹ 2,442)'], []]",https://www.etsy.com/in-en/listing/925746432/express-shipping-safest-fastest-highly?click_key=d4d43bdda3edc3254c505b3591671a98df9204a3%3A925746432&click_sum=a87a164b&ref=shop_home_feat_2&pro=1&frs=1
"
    10 Pieces Swiss Blue Topaz Faceted Cloud Beads Natural Gemstone Briolette Face Drill Beads Line | Blue Topaz Beads | 11x13x5 to 10x11x5 mm
",19646,"10 Pieces Swiss Blue Topaz Faceted Cloud Beads Natural Gemstone Briolette Face Drill Beads Line Strand | Blue Topaz Beads | 11x13x5 to 10x11x5 mmStones: Swiss Blue TopazBeads Dimension (MM):  11x13x5 to 10x11x5Drill Size : 0.80mmDrill Hole: FaceInclusions::https://www.etsy.com/in-en/shop/gemmore/?search_query=cloud.Loved the collection !! Here is the link to some similar products we have ;)*****Shipping Policy*****FREE STANDARD SHIPPING on all orders above $ 35 and FREE EXPRESS SHIPPING on orders above $ 250. If you want Express Shipping for orders below $ 250, you can purchase it along with your order, here is the link:https://www.etsy.com/in-en/listing/925746432/ **Estimated Delivery Time**Standard Shipping: 15-25 DaysExpress Shipping: 3-9 Days<<It usually takes us 1-4 days to process your order and ship it from our end.>>*****Returns & exchanges*****We gladly accept returns and exchangesContact us within: 14 days after deliverySend back the items within: 30 days of deliveryWe don't accept cancellationsBut please contact us if you have any issues with your order, we would do our best to solve them.",https://i.etsystatic.com/20343546/r/il/f258f7/3889952857/il_794xN.3889952857_iof2.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1210047988/10-pieces-swiss-blue-topaz-faceted-cloud?click_key=2ee6d9198b02e98e0d5bf0a0b0a1350383d9dd3e%3A1210047988&click_sum=b48bc3e9&ref=shop_home_feat_3&pro=1&frs=1
"
    10 Pieces London Blue Topaz Faceted Cloud Beads Natural Gemstone Briolette Face Drill Beads Line | London Blue Topaz Beads | 11x6 to 9x10 mm
",14734,"10 Pieces London Blue Topaz Faceted Cloud Beads Natural Gemstone Briolette Face Drill Beads Line | London Blue Topaz Beads | 11x6 to 9x10 mmStones: London Blue TopazBeads Dimension (MM):  11x6 to 9x10x4Drill Size : 0.80mmDrill Hole: FaceInclusions::https://www.etsy.com/in-en/shop/gemmore/?search_query=cloud.Loved the collection !! Here is the link to some similar products we have ;)*****Shipping Policy*****FREE STANDARD SHIPPING on all orders above $ 35 and FREE EXPRESS SHIPPING on orders above $ 250. If you want Express Shipping for orders below $ 250, you can purchase it along with your order, here is the link:https://www.etsy.com/in-en/listing/925746432/ **Estimated Delivery Time**Standard Shipping: 15-25 DaysExpress Shipping: 3-9 Days<<It usually takes us 1-4 days to process your order and ship it from our end.>>*****Returns & exchanges*****We gladly accept returns and exchangesContact us within: 14 days after deliverySend back the items within: 30 days of deliveryWe don't accept cancellationsBut please contact us if you have any issues with your order, we would do our best to solve them.",https://i.etsystatic.com/20343546/r/il/a2d2fe/3893068116/il_794xN.3893068116_1f5b.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1224321634/10-pieces-london-blue-topaz-faceted?click_key=8b41da022701fb778f122ee9dd771717a166dfd1%3A1224321634&click_sum=02d750ef&ref=shop_home_feat_4&pro=1&frs=1
"
    10 Pieces Aquamarine Grade-B Pear Rose Cut Faceted Cab Beads Natural Gemstone Face Drill Beads Line Strand | Aquamarine Beads | 18x14x3.5 mm
",5118,"10 Pieces Aquamarine Grade-B Pear Rose Cut Faceted Cab Beads Natural Gemstone Face Drill Beads Line Strand | Aquamarine Beads | 18x14x3.5 mmStones : AquamarineBeads Dimension (MM) :  18x14x3.5Weight (carat) :: 64Drill Size : 0.80mmDrill Hole : FaceLoved the collection !! Here is the link to some similar products we have ;)https://www.etsy.com/in-en/shop/gemmore/?search_query=faceted+cab*****Shipping Policy*****FREE STANDARD SHIPPING on all orders above $ 35 and FREE EXPRESS SHIPPING on orders above $ 250. If you want Express Shipping for orders below $ 250, you can purchase it along with your order, here is the link:https://www.etsy.com/in-en/listing/925746432/ **Estimated Delivery Time**Standard Shipping: 15-25 DaysExpress Shipping: 3-9 Days<<It usually takes us 1-4 days to process your order and ship it from our end.>>*****Returns & exchanges*****We gladly accept returns and exchangesContact us within: 14 days after deliverySend back the items within: 30 days of deliveryWe don't accept cancellationsBut please contact us if you have any issues with your order, we would do our best to solve them.",https://i.etsystatic.com/20343546/r/il/f6de6d/3981070278/il_794xN.3981070278_jons.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1260887279/10-pieces-aquamarine-grade-b-pear-rose?click_key=baafcff80462fec7e18b87426bb99abe5100ca48%3A1260887279&click_sum=e481a6cb&ref=shop_home_active_1&pro=1&frs=1
"
    4 Pieces Emerald Faceted Geometrical Crown Cut Beads Natural Gemstone Side Drill Beads Line Strand | Emerald Beads | 36x20x4 to 28x14x3 mm
",3458,"4 Pieces Emerald Faceted Geometrical Crown Cut Beads Natural Gemstone Side Drill Beads Line Strand | Emerald Beads | 36x20x4 to 28x14x3 mmStones :  EmeraldBeads Dimension (MM) :  36x20x4 to 28x14x3Drill Size : 0.45 mmLoved the collection !! Here is the link to some similar products we have ;)https://www.etsy.com/in-en/shop/Gemmore?ref=seller-platform-mcnav&search_query=geometrical+crown+cut*****Shipping Policy*****FREE STANDARD SHIPPING on all orders above $ 35 and FREE EXPRESS SHIPPING on orders above $ 250. If you want Express Shipping for orders below $ 250, you can purchase it along with your order, here is the link:https://www.etsy.com/in-en/listing/925746432/ **Estimated Delivery Time**Standard Shipping: 15-25 DaysExpress Shipping: 3-9 Days<<It usually takes us 1-4 days to process your order and ship it from our end.>>*****Returns & exchanges*****We gladly accept returns and exchangesContact us within: 14 days after deliverySend back the items within: 30 days of deliveryWe don't accept cancellationsBut please contact us if you have any issues with your order, we would do our best to solve them.",https://i.etsystatic.com/20343546/r/il/040374/4028637993/il_794xN.4028637993_sqoe.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1260869861/4-pieces-emerald-faceted-geometrical?click_key=2775325691709155a84f446cf164a08ae34cc392%3A1260869861&click_sum=3ec51af8&ref=shop_home_active_2&pro=1&frs=1
"
    10 Pieces Emerald Faceted Geometrical Step Cut Beads Natural Gemstone Double Drill Beads Line Strand | Brazilian Emerald | 9x14 to 9x8 mm
",3181,"10 Pieces Emerald Faceted Geometrical Step Cut Beads Natural Gemstone Double Drill Beads Line Strand | Brazilian Emerald | 9x14 to 9x8 mmStones :  EmeraldBeads Dimension (MM) :  9x14x5 to 9x8x4Drill Size :  0.80mmLoved the collection !! Here is the link to some similar products we have ;)https://www.etsy.com/in-en/shop/gemmore/?search_query=geometrical+step+cut*****Shipping Policy*****FREE STANDARD SHIPPING on all orders above $ 35 and FREE EXPRESS SHIPPING on orders above $ 250. If you want Express Shipping for orders below $ 250, you can purchase it along with your order, here is the link:https://www.etsy.com/in-en/listing/925746432/ **Estimated Delivery Time**Standard Shipping: 15-25 DaysExpress Shipping: 3-9 Days<<It usually takes us 1-4 days to process your order and ship it from our end.>>*****Returns & exchanges*****We gladly accept returns and exchangesContact us within: 14 days after deliverySend back the items within: 30 days of deliveryWe don't accept cancellationsBut please contact us if you have any issues with your order, we would do our best to solve them.",https://i.etsystatic.com/20343546/r/il/69855a/3980951794/il_794xN.3980951794_kvlg.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1260864569/10-pieces-emerald-faceted-geometrical?click_key=a56798d312c6daf0892674631a214064ddb68bfd%3A1260864569&click_sum=090429f9&ref=shop_home_active_3&pro=1&frs=1
"
    10 Pieces Marcasite Fancy Crown Cut Beads Natural Gemstone Face Drill Beads Line Strand | 26x14x2 to 17x13x2 mm | Genuine Marcasite Beads
",4081,"10 Pieces Marcasite Fancy Crown Cut Beads Natural Gemstone Face Drill Beads Line Strand | 26x14x2 to 17x13x2 mm | Genuine Marcasite BeadsStones :  MarcasiteBeads Dimension (MM) :  26x14x2 to 17x13x2Drill Size : 0.80mmLoved the collection !! Here is the link to some similar products we have ;)https://www.etsy.com/in-en/shop/Gemmore?ref=seller-platform-mcnav&search_query=geometrical+crown+cut*****Shipping Policy*****FREE STANDARD SHIPPING on all orders above $ 35 and FREE EXPRESS SHIPPING on orders above $ 250. If you want Express Shipping for orders below $ 250, you can purchase it along with your order, here is the link:https://www.etsy.com/in-en/listing/925746432/ **Estimated Delivery Time**Standard Shipping: 15-25 DaysExpress Shipping: 3-9 Days<<It usually takes us 1-4 days to process your order and ship it from our end.>>*****Returns & exchanges*****We gladly accept returns and exchangesContact us within: 14 days after deliverySend back the items within: 30 days of deliveryWe don't accept cancellationsBut please contact us if you have any issues with your order, we would do our best to solve them.",https://i.etsystatic.com/20343546/r/il/d6f0e2/3980866736/il_794xN.3980866736_mg5m.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1260849681/10-pieces-marcasite-fancy-crown-cut?click_key=3dd58d769758e5e97ad31f5a2e901c3b4f8f0873%3A1260849681&click_sum=5952b994&ref=shop_home_active_4&pro=1&frs=1
"
    10 Pieces African Citrine Faceted Spindle Cut Stone Beads Natural Gemstone Side Drill Beads Line Strand | Citrine Beads | 25x14 to 20x10 mm
",9338,"10 Pieces African Citrine Faceted Spindle Cut Stone Beads Natural Gemstone Side Drill Beads Line Strand | Citrine Beads | 25x14 to 20x10 mmStones: African CitrineBeads Dimension (MM) ::  25x14x9 to 20x10x7Drill Size: 0.45 mmDrill Hole: SideInclusions::Loved the collection !! Here is the link to some similar products we have ;)https://www.etsy.com/in-en/shop/gemmore/?search_query=spindle*****Shipping Policy*****FREE STANDARD SHIPPING on all orders above $ 35 and FREE EXPRESS SHIPPING on orders above $ 250. If you want Express Shipping for orders below $ 250, you can purchase it along with your order, here is the link:https://www.etsy.com/in-en/listing/925746432/ **Estimated Delivery Time**Standard Shipping: 15-25 DaysExpress Shipping: 3-9 Days<<It usually takes us 1-4 days to process your order and ship it from our end.>>*****Returns & exchanges*****We gladly accept returns and exchangesContact us within: 14 days after deliverySend back the items within: 30 days of deliveryWe don't accept cancellationsBut please contact us if you have any issues with your order, we would do our best to solve them.",https://i.etsystatic.com/20343546/r/il/8dc4ed/3994446629/il_794xN.3994446629_pj9s.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1238230164/10-pieces-african-citrine-faceted?click_key=ce0d75890189cded792ddd3321ddf9e2cadde744%3A1238230164&click_sum=95974718&ref=shop_home_active_5&pro=1&frs=1
"
    4 Inches Smoky Quartz Faceted Tumble Drops Beads Natural Gemstone Side Drill Beads Line Strand | Genuine Smoky Beads | 12x6 to 8x5 mm
",3596,4 Inches Smoky Quartz Faceted Tumble Drops Beads Natural Gemstone Side Drill Beads Line Strand | Genuine Smoky Beads | 12x6 to 8x5 mmStones: SMOKY QUARTZBeads Dimension (MM) ::   12x6 to 8x5Drill Size : 0.45mmDrill Hole: Side,https://i.etsystatic.com/20343546/r/il/7d3c61/3931776129/il_794xN.3931776129_15ra.jpg,Craft Supplies & Tools,"[[], []]",https://www.etsy.com/in-en/listing/1221888836/4-inches-smoky-quartz-faceted-tumble?click_key=335e6c1fe87daadb3a70f610fc2d9da9d720e319%3A1221888836&click_sum=8e3da01a&ref=shop_home_active_6&pro=1&frs=1
