Produce Name,Price,Description,Image,Category,Options,Product URL
"
    Bollywood Ghungharu (bells) anklets pairs, traditional Payal, oxidised anklets.
","
                    ₹ 2,035
            ",Anklets pairs.Traditional Payal pairs.Metal- brass.Small gungroo Payal.Bollywood Ghungharu (bells) oxidized Anklets.Size 10 inches. (26 cm),https://i.etsystatic.com/16614597/r/il/bc6415/3193797999/il_794xN.3193797999_493f.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/766825748/bollywood-ghungharu-bells-anklets-pairs?click_key=b1da424af3c19bb1f18f23b6547840a6b878ca6a%3A766825748&click_sum=45dbdd62&ref=shop_home_feat_1&pro=1&frs=1
"
    Jhumka/Bohemian Copper Golden Small Jhumkas Earrings/Oxidized Jhumka/Traditional Regular wear Earrings/Earrings for women/Earrings Gift/
","
                    ₹ 1,221
            ","Copper Golden Handmade Oxidized Jhumkas Earrings,Light Weight Earrings, Golden - Copper Jhumkas Earrings, Antique Golden JhumkasMaterial - Brass.Anniversary Gift.Gift for her.Indian Earrings.",https://i.etsystatic.com/16614597/r/il/afb565/4046478732/il_794xN.4046478732_ife2.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1263279670/jhumkabohemian-copper-golden-small?click_key=d0dc787ec00c23648c457721f2a9d6c2d8462875%3A1263279670&click_sum=c918f7c0&ref=shop_home_active_1&pro=1&frs=1
"
    Jhumka/Bohemian Copper Golden Small Jhumkas Earrings/Oxidized Jhumka/Traditional Regular wear Earrings/Earrings for women/Earrings Gift/
","
                    ₹ 1,221
            ","Copper Golden Handmade Oxidized Jhumkas Earrings,Light Weight Earrings, Golden - Copper Jhumkas Earrings, Antique Golden JhumkasMaterial - Brass.Anniversary Gift.Gift for her.Indian Earrings.",https://i.etsystatic.com/16614597/r/il/0ca49c/4046476658/il_794xN.4046476658_hof5.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1277292911/jhumkabohemian-copper-golden-small?click_key=7adb92cc952b47433064efe830c977b0b83541cf%3A1277292911&click_sum=516d3618&ref=shop_home_active_2&pro=1&frs=1
"
    Jhumka/Bohemian Copper Golden Small Jhumkas Earrings/Oxidized Jhumka/Traditional Regular wear Earrings/Earrings for women/Earrings Gift/
","
                    ₹ 1,221
            ","Copper Golden Handmade Oxidized Jhumkas Earrings,Light Weight Earrings, Golden - Copper Jhumkas Earrings, Antique Golden JhumkasMaterial - Brass.Anniversary Gift.Gift for her.Indian Earrings.",https://i.etsystatic.com/16614597/r/il/f2cec3/4046476014/il_794xN.4046476014_rn9r.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1277292705/jhumkabohemian-copper-golden-small?click_key=84e72c77639e1b21b623a08822dd6142b5570c57%3A1277292705&click_sum=0549712d&ref=shop_home_active_3&pro=1&frs=1
"
    Jhumka/Bohemian Copper Golden Small Jhumkas Earrings/Oxidized Jhumka/Traditional Regular wear Earrings/Earrings for women/Earrings Gift/
","
                    ₹ 1,221
            ","Copper Golden Handmade Oxidized Jhumkas Earrings,Light Weight Earrings, Golden - Copper Jhumkas Earrings, Antique Golden JhumkasMaterial - Brass.Anniversary Gift.Gift for her.Indian Earrings.",https://i.etsystatic.com/16614597/r/il/c085c6/4094125221/il_794xN.4094125221_bs7i.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1277292423/jhumkabohemian-copper-golden-small?click_key=ce5a7732eb56648c9a4e3757e00d53fb2b3d23d2%3A1277292423&click_sum=38779d1f&ref=shop_home_active_4&pro=1&frs=1
"
    Jhumka/Bohemian Copper Golden Small Jhumkas Earrings/Oxidized Jhumka/Traditional Regular wear Earrings/Earrings for women/Earrings Gift/
","
                    ₹ 1,221
            ","Copper Golden Handmade Oxidized Jhumkas Earrings,Light Weight Earrings, Golden - Copper Jhumkas Earrings, Antique Golden JhumkasMaterial - Brass.Anniversary Gift.Gift for her.Indian Earrings.",https://i.etsystatic.com/16614597/r/il/136466/4046470408/il_794xN.4046470408_3a6j.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1263277566/jhumkabohemian-copper-golden-small?click_key=3f06a9bedf8132c0c66b8b041432bf15a606a477%3A1263277566&click_sum=82af584b&ref=shop_home_active_5&pro=1&frs=1
"
    Trendy Small Indian Handmade Jhumkas Earrings/Oxidized Earrings/Jaipuri Jhumkas Earrings/ Jhumkas Earrings/Earrings for women/Earrings Gift
","
                    ₹ 1,139
            ",Beautiful Handmade Oxidized Jhumkas Earrings.Light Weight EarringsSmall Jhumkas.Material - Brass.Indian Jhumkas.Traditional Jhumkas.,https://i.etsystatic.com/16614597/r/il/815fe1/4094082437/il_794xN.4094082437_3tr4.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1263267884/trendy-small-indian-handmade-jhumkas?click_key=1a70aa328c4753aff4bbcbf66429d9741774d272%3A1263267884&click_sum=311253d0&ref=shop_home_active_6&pro=1&frs=1
"
    Brass Jhumka/Small Handmade Traditional Jhumka Earrings/Oxidized Jhumka/Ethnic Regular wear Earrings/Gift for her/Earrings for women/Jhumki
","
                    ₹ 895
            ",Silver Plated Handmade Oxidized Jhumka Earrings.Light Weight Earrings.Ethnic Jhumka Earrings.Regular Wear Jhumka.Material - BrassIndian Fashion Earrings.,https://i.etsystatic.com/16614597/r/il/9bf305/4094080375/il_794xN.4094080375_g1nc.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1263267532/brass-jhumkasmall-handmade-traditional?click_key=48c23b446a0c55416de721e6cea59c2eb44b3a63%3A1263267532&click_sum=a2ad50d6&ref=shop_home_active_7&pro=1&frs=1
"
    Jhumka/Bohemian Copper Golden Small Jhumkas Earrings/Oxidized Jhumka/Traditional Regular wear Earrings/Earrings for women/Earrings Gift/
","
                    ₹ 1,221
            ","Copper Golden Handmade Oxidized Jhumkas Earrings,Light Weight Earrings, Golden - Copper Jhumkas Earrings, Antique Golden Colour Beads JhumkasMaterial - Brass.Anniversary Gift.Gift for her.Indian Earrings.",https://i.etsystatic.com/16614597/r/il/b77ac5/4094057711/il_794xN.4094057711_a8hb.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1263261620/jhumkabohemian-copper-golden-small?click_key=8a1bfcc5fbeab371c7a2053ca8a25dbdabf50f11%3A1263261620&click_sum=4e6b569e&ref=shop_home_active_8&pro=1&frs=1
"
    Trendy Indian Golden Copper Jhumkas Earrings/Antique Golden Look Oxidized Earrings/Handmade Oxidized Earrings/Temple Jhumka/Earrings Gift
","
                    ₹ 1,139
            ","Bollywood Small Golden Copper Earrings,Handmade Oxidized Earrings.Antique Golden look Earrings.Light Weight Earrings.Material - Brass.Traditional Indian Earrings.TEMPLE JEWELLERY.",https://i.etsystatic.com/16614597/r/il/bf806c/4094046165/il_794xN.4094046165_iooc.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1277272425/trendy-indian-golden-copper-jhumkas?click_key=f424f180f0488816187bd1ed2deee8fc8e51b509%3A1277272425&click_sum=4b63fc7c&ref=shop_home_active_9&pro=1&frs=1
"
    Ethnic Triangle Earrings/Indian Earrings/Earrings for women/Earrings Gift/Jhumka/Latest Earrings/Handmade Earrings/Golden Copper Jhumka
","
                    ₹ 1,302
            ","Copper Golden Handmade Oxidized Jhumkas Earrings,Light Weight Earrings, Golden - Copper Jhumkas Earrings.Metal - Brass.",https://i.etsystatic.com/16614597/r/il/2c105e/4046384524/il_794xN.4046384524_iyvq.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1263256050/ethnic-triangle-earringsindian?click_key=d273469f1d2435a3fbe4c6c26458ec589ba043f1%3A1263256050&click_sum=98eb611b&ref=shop_home_active_10&pro=1&frs=1
"
    Golden Oxidized jhumka/Antique Golden Oxidized Chandbali Earrings/Ethnic Earrings/Traditional Earrings/Earrings for women/Earrings Gift.
","
                    ₹ 1,465
            ",Beautiful Handmade Oxidized Earrings.Traditional look Earrings.Antique Golden-Copper Earrings.Jhumka Earrings.Material- BrassLight Weight Earrings.,https://i.etsystatic.com/16614597/r/il/31aa8e/4046133154/il_794xN.4046133154_c68t.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1277208967/golden-oxidized-jhumkaantique-golden?click_key=4653b1a71ad1f01481e69ba2a608c5889c8025de%3A1277208967&click_sum=6da5ce23&ref=shop_home_active_11&pro=1&frs=1
"
    Pink Oxidized jhumka/Antique Golden Oxidized Chandbali Earrings/Ethnic Earrings/Traditional Earrings/Earrings for women/Earrings Gift.
","
                    ₹ 1,465
            ",Beautiful Handmade Oxidized Earrings.Traditional look Earrings.Antique Golden-Copper Earrings.Jhumka Earrings.Material- BrassLight Weight Earrings.,https://i.etsystatic.com/16614597/r/il/601369/4093778923/il_794xN.4093778923_ehmq.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1277208151/pink-oxidized-jhumkaantique-golden?click_key=6b2167511e43116ed2833af0710d6f0206645fe7%3A1277208151&click_sum=6dfc8d5a&ref=shop_home_active_12&pro=1&frs=1
"
    Pink Oxidized jhumka/Antique Golden Oxidized Chandbali Earrings/Ethnic Earrings/Traditional Earrings/Earrings for women/Earrings Gift.
","
                    ₹ 1,465
            ",Beautiful Handmade Oxidized Earrings.Traditional look Earrings.Antique Golden-Copper Earrings.Jhumka Earrings.Material- BrassLight Weight Earrings.,https://i.etsystatic.com/16614597/r/il/75dd1c/4093774513/il_794xN.4093774513_6p35.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1277206743/pink-oxidized-jhumkaantique-golden?click_key=98638915b9f1684988f1166d18a842442811c31b%3A1277206743&click_sum=c6ccad96&ref=shop_home_active_13&pro=1&frs=1
"
    Jhumka Oxidized jhumka/Antique Golden Oxidized Chandbali Earrings/Ethnic Earrings/Traditional Earrings/Earrings for women/Earrings Gift.
","
                    ₹ 1,465
            ",Beautiful Handmade Oxidized Earrings.Traditional look Earrings.Antique Golden-Copper Earrings.Jhumka Earrings.Material- BrassLight Weight Earrings.,https://i.etsystatic.com/16614597/r/il/cc960c/4046119600/il_794xN.4046119600_mr84.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1277206117/jhumka-oxidized-jhumkaantique-golden?click_key=6ff50b0fbe46ab736b05c39ebac0e9057186f1e9%3A1277206117&click_sum=51443880&ref=shop_home_active_14&pro=1&frs=1
"
    Green Oxidized jhumka/Antique Golden Oxidized Chandbali Earrings/Ethnic Earrings/Traditional Earrings/Earrings for women/Earrings Gift.
","
                    ₹ 1,465
            ",Beautiful Handmade Oxidized Earrings.Traditional look Earrings.Antique Golden-Copper Earrings.Jhumka Earrings.Material- BrassLight Weight Earrings.,https://i.etsystatic.com/16614597/r/il/d16e15/4046116514/il_794xN.4046116514_27qo.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1263192316/green-oxidized-jhumkaantique-golden?click_key=efee4555e5cc98ec83a5441d06c7f529d3a73238%3A1263192316&click_sum=7dccd0fe&ref=shop_home_active_15&pro=1&frs=1
"
    Golden Oxidized jhumka/Antique Golden Oxidized Chandbali Earrings/Ethnic Earrings/Traditional Earrings/Earrings for women/Earrings Gift.
","
                    ₹ 1,465
            ",Beautiful Handmade Oxidized Earrings.Traditional look Earrings.Antique Golden-Copper Earrings.Jhumka Earrings.Material- BrassLight Weight Earrings.,https://i.etsystatic.com/16614597/r/il/dabfb0/4046114698/il_794xN.4046114698_6425.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1263190794/golden-oxidized-jhumkaantique-golden?click_key=7da3929486b53fdd7e581dd5fa1df8e8e876eebb%3A1263190794&click_sum=a28cda41&ref=shop_home_active_16&pro=1&frs=1
"
    Yellow Oxidized jhumka/Antique Golden Oxidized Chandbali Earrings/Ethnic Earrings/Traditional Earrings/Earrings for women/Earrings Gift.
","
                    ₹ 1,465
            ",Beautiful Handmade Oxidized Earrings.Traditional look Earrings.Antique Golden-Copper Earrings.Jhumka Earrings.Material- BrassLight Weight Earrings.,https://i.etsystatic.com/16614597/r/il/15d42f/4046108466/il_794xN.4046108466_nckd.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1263190422/yellow-oxidized-jhumkaantique-golden?click_key=1b3e54334fa5e3efcac7508e3768f2aa5f117bb1%3A1263190422&click_sum=54821072&ref=shop_home_active_17&pro=1&frs=1
"
    Peach Oxidized jhumka/Antique Golden Oxidized Chandbali Earrings/Ethnic Earrings/Traditional Earrings/Earrings for women/Earrings Gift.
","
                    ₹ 1,465
            ",Beautiful Handmade Oxidized Earrings.Traditional look Earrings.Antique Golden-Copper Earrings.Jhumka Earrings.Material- BrassLight Weight Earrings.,https://i.etsystatic.com/16614597/r/il/12ff09/4046105674/il_794xN.4046105674_qhai.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/1263189208/peach-oxidized-jhumkaantique-golden?click_key=9f52bedab36db99a14ed03b1f1467e92454b977d%3A1263189208&click_sum=9b392fdc&ref=shop_home_active_18&pro=1&frs=1
