Produce Name,Price,Description,Image,Category,Options,Product URL
"
    Pave diamond ball bead / spacers design Pave diamond 925 sterling silver handmade jewelry diamond jewelry fine jewelry 6mm/8mm/10mm/12mm
","
                    ₹ 366+
            ","3mm/4mm/6mm/8mm/10mm/12mm Pave diamond ball bead / spacers design Pave diamond 925 sterling silver handmade jewelry diamond jewelry fine jewelryproduct Dimension: Size 6mm/8mm/10mm/12mm approxSetting paveDiamond : Natural Conflict free diamonds from Surat, India Listing is For One (1) PieceThese items are handmade,All are designed and handmade by me and my team with Perfect craftsmanship and strong interest!We are continuously adding new products in our store. So keep coming back to see more great deals on jewelry in our martFor Wholesale orders or costume made order requirements, please message us !We understand that getting your items quickly is important to you, so we make every effort to process your orders quickly. SHIPPING: Most orders are processed and shipped out within 4-5 business days, excluding weekend & holidays. Get your package faster by upgrading your shipping options! Do a search within Our Shop, ""Shipping Upgrades"" for more details. All priority/express orders are processed the first day and then regular first class mails.	(<>) Time sensitive packages: Please purchase EXPEDITED SHIPPING.	(<>)  Priority Shipping: 3-5 business days for USA / 5-10 business days for international. If you need a package delivered by a specific date, please contact us in advance for arrangements. *---------------------------------------------------------------------------------------------------------------------------------------* INSURANCE: Please purchase insurance to protect your order as we're NOT responsible for lost items in transit / missed delivered/ nondeliverable / stolen / etc. *--------------------------------------------------------------------------------------------------------------------------------------* TRACKING:	(<>) Domestic orders are updated with their tracking information.	(<>) International orders, unless otherwise registered or express mail upgrades are not traceable.* -------------------------------------------------------------------------------------------------------------------------------------* RETURNS & REFUNDS:	 (<>) Once your return is received and inspected (usually within 48 hours of receipt), your refund will be processed and a credit will be automatically applied within 3 days. 	 (<>) Refunds minus shipping gladly given... Please return within 7 days from the day you have receive your item.	 (<>) Chains and wires are not refundable. 	 (<>) No returns are accepted on custom orders.	 (<>) A 20% Restocking fee would be applied to all the Gemstones bead. *--------------------------------------------------------------------------------------------------------------------------------------* OUT OF STOCK / BACK ORDER ITEMS:	(<>) While we try very hard to maintain adequate stock levels, we do run out of certain products at times. items not immediately available for shipment are immediately re-ordered and we work hard to make sure it shipped as soon as possible without incurring any additional shipping charges. *--------------------------------------------------------------------------------------------------------------------------------------* CUSTOM ORDER REQUEST:	(<>) Please contact us if you have any questions or ideas for any custom order.  *--------------------------------------------------------------------------------------------------------------------------------------* CONVOSERTION: 	(<>) We respond to all messages via Etsy within 24hours max unless otherwise there is any exception",https://i.etsystatic.com/18270469/r/il/9ef296/2204499462/il_794xN.2204499462_c6xq.jpg,Craft Supplies & Tools,"[['Select an option', '3mm (₹ 366)', '4mm (₹ 569)', '6mm (₹ 1,057)', '8mm (₹ 1,790)', '10mm (₹ 2,441)', '12mm (₹ 4,069)', '16mm (₹ 8,953)'], ['Select a colour', 'Vermail Gold', 'Oxidized', 'White (silver shiny)', 'Rose gold']]",https://www.etsy.com/in-en/listing/668433596/pave-diamond-ball-bead-spacers-design?click_key=ad7270877ad3f19bcefac033c387a0d3044e4dd8%3A668433596&click_sum=30aa7345&ref=shop_home_feat_1
"
    14k gold finish Pave diamond polki bangle sterling silver bangle pave diamond silver bangle 925 sterling diamond bangles flat diamond design
","
                    ₹ 18,719
            ","14k gold finish Pave diamond Polki bangle sterling silver bangle pave diamond silver bangle 925 sterling diamond bangles flat diamond designproduct  Dimension: Diamond: Natural Conflict free diamonds from Surat, India Listing is For One (1) PieceThese items are handmade,All are designed and handmade by me and my team with precision, Perfect craftsmanship and strong interest!We are continuously adding new products in our store. So keep coming back to see more great deals on gems in our martFor Wholesale orders or costume made order requirements, please message me !We understand that getting your items quickly is important to you, so we make every effort to process your orders quickly. SHIPPING: Most orders are processed and shipped out within 4-5 business days, excluding weekend & holidays. Get your package faster by upgrading your shipping options! Do a search within Our Shop, ""Shipping Upgrades"" for more details. All priority/express orders are processed the first day and then regular first class mails.	(<>) Time sensitive packages: Please purchase EXPEDITED SHIPPING.	(<>)  Priority Shipping: 3-5 business days for USA / 5-10 business days for international. If you need a package delivered by a specific date, please contact us in advance for arrangements. *---------------------------------------------------------------------------------------------------------------------------------------* INSURANCE: Please purchase insurance to protect your order as we're NOT responsible for lost items in transit / missed delivered/ nondeliverable / stolen / etc. *--------------------------------------------------------------------------------------------------------------------------------------* TRACKING:	(<>) Domestic orders are updated with their tracking information.	(<>) International orders, unless otherwise registered or express mail upgrades are not traceable.* -------------------------------------------------------------------------------------------------------------------------------------* RETURNS & REFUNDS:	 (<>) Once your return is received and inspected (usually within 48 hours of receipt), your refund will be processed and a credit will be automatically applied within 3 days. 	 (<>) Refunds minus shipping gladly given... Please return within 7 days from the day you have receive your item.	 (<>) Chains and wires are not refundable. 	 (<>) No returns are accepted on custom orders.	 (<>) A 20% Restocking fee would be applied to all the Gemstones Beads. *--------------------------------------------------------------------------------------------------------------------------------------* OUT OF STOCK / BACK ORDER ITEMS:	(<>) While we try very hard to maintain adequate stock levels, we do run out of certain products at times. items not immediately available for shipment are immediately re-ordered and we work hard to make sure it shipped as soon as possible without incurring any additional shipping charges. *--------------------------------------------------------------------------------------------------------------------------------------* CUSTOM ORDER REQUEST:	(<>) Please contact us if you have any questions or ideas for any custom order.  *--------------------------------------------------------------------------------------------------------------------------------------* CONVOSERTION: 	(<>) We respond to all messages via Etsy within 24hours max unless otherwise there is any exception",https://i.etsystatic.com/18270469/r/il/13ea2f/3312532521/il_794xN.3312532521_s0bt.jpg,Jewellery,"[['Select an option', '55mm', '59mm'], []]",https://www.etsy.com/in-en/listing/678791957/14k-gold-finish-pave-diamond-polki?click_key=cda64aea7fb13b933a965f59b8e13fb49a8c3173%3A678791957&click_sum=81f0c5c5&ref=shop_home_feat_2
"
    1 pcs Pave diamond 925 sterling silver handmade rose cut  pave diamond lobster clasp, pave diamond clasp 15mm size
","
                    ₹ 977+
            ","Pave rosecut diamond 925 sterling silver handmade pave diamond lobster clasp About iteam:-Double Sided PAVE DIAMONDS clasp.Gross weight 1.6g aproxDiamond Weight 	0.45ct aproxSize 15mmX10mm aproxSetting paveDiamond : Natural Conflict free diamonds from Surat, India  Listing is For One (1) product and (1) quantityThese items are handmade,All are designed and handmade me and team with precision, Perfect craftsmanship and strong interest!We are continuously adding new products in our store. So keep coming back to see more great deals on gems in our martFor Wholesale orders or costume made order requirements, please message me !We understand that getting your items quickly is important to you, so we make every effort to process your orders quickly. SHIPPING: Most orders are processed and shipped out within 4-5 business days, excluding weekend & holidays. Get your package faster by upgrading your shipping options! Do a search within Our Shop, ""Shipping Upgrades"" for more details. All priority/express orders are processed the first day and then regular first class mails.	(<>) Time sensitive packages: Please purchase EXPEDITED SHIPPING.	(<>)  Priority Shipping: 3-5 business days for USA / 5-10 business days for international. If you need a package delivered by a specific date, please contact us in advance for arrangements. *---------------------------------------------------------------------------------------------------------------------------------------* INSURANCE: Please purchase insurance to protect your order as we're NOT responsible for lost items in transit / missed delivered/ nondeliverable / stolen / etc. *--------------------------------------------------------------------------------------------------------------------------------------* TRACKING:	(<>) Domestic orders are updated with their tracking information.	(<>) International orders, unless otherwise registered or express mail upgrades are not traceable.* -------------------------------------------------------------------------------------------------------------------------------------* RETURNS & REFUNDS:	 (<>) Once your return is received and inspected (usually within 48 hours of receipt), your refund will be processed and a credit will be automatically applied within 3 days. 	 (<>) Refunds minus shipping gladly given... Please return within 7 days from the day you have receive your item.	 (<>) Chains and wires are not refundable. 	 (<>) No returns are accepted on custom orders.	 (<>) A 20% Restocking fee would be applied to all the Gemstones Beads. *--------------------------------------------------------------------------------------------------------------------------------------* OUT OF STOCK / BACK ORDER ITEMS:	(<>) While we try very hard to maintain adequate stock levels, we do run out of certain products at times. items not immediately available for shipment are immediately re-ordered and we work hard to make sure it shipped as soon as possible without incurring any additional shipping charges. *--------------------------------------------------------------------------------------------------------------------------------------* CUSTOM ORDER REQUEST:	(<>) Please contact us if you have any questions or ideas for any custom order.  *--------------------------------------------------------------------------------------------------------------------------------------* CONVOSERTION: 	(<>) We respond to all messages via Etsy within 24hours max unless otherwise there is any exception",https://i.etsystatic.com/18270469/r/il/b7bfd0/2353473966/il_794xN.2353473966_e9go.jpg,Craft Supplies & Tools,"[['Select an option', 'For 1 pc (₹ 977)', 'For 5 pcs (₹ 4,883)'], ['Select a colour', 'Oxidized', 'Vermail Gold']]",https://www.etsy.com/in-en/listing/652937884/1-pcs-pave-diamond-925-sterling-silver?click_key=2a70741a5bd5927db73e168452052d87603b58d9%3A652937884&click_sum=6af5b4b1&ref=shop_home_feat_3&frs=1
"
    6mm/8mm/10mm/12mm Rondelles Pave diamond  bead / spacers design Pave diamond 925 sterling silver handmade jewelry diamond fine jewelry
","
                    ₹ 406+
            ","6mm/8mm/10mm/12mm roundels Pave diamond  bead / spacers design Pave diamond 925 sterling silver handmade jewelry diamond fine jewelryProduct  Dimension: Size 6mm/8mm/10mm/12mmSetting paveDiamond : Natural Conflict free diamonds from Surat, India Listing is For One (1) PieceThese items are handmade,All are designed and handmade me and team with precision, Perfect craftsmanship and strong interest!We are continuously adding new products in our store. So keep coming back to see more great deals on gems in our martFor Wholesale orders or costume made order requirements, please message me !We understand that getting your items quickly is important to you, so we make every effort to process your orders quickly. SHIPPING: Most orders are processed and shipped out within 4-5 business days, excluding weekend & holidays. Get your package faster by upgrading your shipping options! Do a search within Our Shop, ""Shipping Upgrades"" for more details. All priority/express orders are processed the first day and then regular first class mails.	(<>) Time sensitive packages: Please purchase EXPEDITED SHIPPING.	(<>)  Priority Shipping: 3-5 business days for USA / 5-10 business days for international. If you need a package delivered by a specific date, please contact us in advance for arrangements. *---------------------------------------------------------------------------------------------------------------------------------------* INSURANCE: Please purchase insurance to protect your order as we're NOT responsible for lost items in transit / missed delivered/ nondeliverable / stolen / etc. *--------------------------------------------------------------------------------------------------------------------------------------* TRACKING:	(<>) Domestic orders are updated with their tracking information.	(<>) International orders, unless otherwise registered or express mail upgrades are not traceable.* -------------------------------------------------------------------------------------------------------------------------------------* RETURNS & REFUNDS:	 (<>) Once your return is received and inspected (usually within 48 hours of receipt), your refund will be processed and a credit will be automatically applied within 3 days. 	 (<>) Refunds minus shipping gladly given... Please return within 7 days from the day you have receive your item.	 (<>) Chains and wires are not refundable. 	 (<>) No returns are accepted on custom orders.	 (<>) A 20% Restocking fee would be applied to all the Gemstones bead. *--------------------------------------------------------------------------------------------------------------------------------------* OUT OF STOCK / BACK ORDER ITEMS:	(<>) While we try very hard to maintain adequate stock levels, we do run out of certain products at times. items not immediately available for shipment are immediately re-ordered and we work hard to make sure it shipped as soon as possible without incurring any additional shipping charges. *--------------------------------------------------------------------------------------------------------------------------------------* CUSTOM ORDER REQUEST:	(<>) Please contact us if you have any questions or ideas for any custom order.  *--------------------------------------------------------------------------------------------------------------------------------------* CONVOSERTION: 	(<>) We respond to all messages via Etsy within 24hours max unless otherwise there is any exception",https://i.etsystatic.com/18270469/r/il/2cad1b/2255840607/il_794xN.2255840607_ad50.jpg,Craft Supplies & Tools,"[['Select an option', '6mm (₹ 406)', '8mm (₹ 650)', '10mm (₹ 894)', '12mm (₹ 1,139)'], ['Select a colour', 'Oxidized', 'Vermail Gold', 'Black Gold', 'Shiny silver(white)']]",https://www.etsy.com/in-en/listing/682835215/6mm8mm10mm12mm-rondelles-pave-diamond?click_key=26738174a85ae9f966f021addec74db432f6eb94%3A682835215&click_sum=3f5adcfa&ref=shop_home_feat_4&frs=1
"
    Pave diamond rosecut pendant 925 sterling silver pendant handmade diamond pendant  Love design pave diamond setting pendant
","
                    ₹ 1,464
            ","Gross weight 1.4Diamond Weight  .25Size 19mmX27mm Setting pave Listing is For One (1) PieceThese items are handmade,All are designed and handmade by me and my team with Perfect craftsmanship and strong interest!We are continuously adding new products in our store. So keep coming back to see more great deals on jewelry in our martFor Wholesale orders or costume made order requirements, please message us !We understand that getting your items quickly is important to you, so we make every effort to process your orders quickly. SHIPPING: Most orders are processed and shipped out within 4-5 business days, excluding weekend & holidays. Get your package faster by upgrading your shipping options! Do a search within Our Shop, ""Shipping Upgrades"" for more details. All priority/express orders are processed the first day and then regular first class mails.	(<>) Time sensitive packages: Please purchase EXPEDITED SHIPPING.	(<>)  Priority Shipping: 3-5 business days for USA / 5-10 business days for international. If you need a package delivered by a specific date, please contact us in advance for arrangements. *---------------------------------------------------------------------------------------------------------------------------------------* INSURANCE: Please purchase insurance to protect your order as we're NOT responsible for lost items in transit / missed delivered/ nondeliverable / stolen / etc. *--------------------------------------------------------------------------------------------------------------------------------------* TRACKING:	(<>) Domestic orders are updated with their tracking information.	(<>) International orders, unless otherwise registered or express mail upgrades are not traceable.* -------------------------------------------------------------------------------------------------------------------------------------* RETURNS & REFUNDS:	 (<>) Once your return is received and inspected (usually within 48 hours of receipt), your refund will be processed and a credit will be automatically applied within 3 days. 	 (<>) Refunds minus shipping gladly given... Please return within 7 days from the day you have receive your item.	 (<>) Chains and wires are not refundable. 	 (<>) No returns are accepted on custom orders.	 (<>) A 20% Restocking fee would be applied to all the Gemstones Beads. *--------------------------------------------------------------------------------------------------------------------------------------* OUT OF STOCK / BACK ORDER ITEMS:	(<>) While we try very hard to maintain adequate stock levels, we do run out of certain products at times. items not immediately available for shipment are immediately re-ordered and we work hard to make sure it shipped as soon as possible without incurring any additional shipping charges. *--------------------------------------------------------------------------------------------------------------------------------------* CUSTOM ORDER REQUEST:	(<>) Please contact us if you have any questions or ideas for any custom order.  *--------------------------------------------------------------------------------------------------------------------------------------* CONVOSERTION: 	(<>) We respond to all messages via Etsy within 24hours max unless otherwise there is any exception",https://i.etsystatic.com/18270469/r/il/2c9717/2224875057/il_794xN.2224875057_39hh.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/649195934/pave-diamond-rosecut-pendant-925?click_key=ff6fea0f6fc8a0d5d82c2d42682b7334639704cc%3A649195934&click_sum=ea2ef508&ref=shop_home_feat_5&frs=1
"
    Pave diamond ball bead / spacers design Pave diamond 925 sterling silver handmade jewelry diamond jewelry fine jewelry 6mm/8mm/10mm/12mm
","
                    ₹ 366+
            ","3mm/4mm/6mm/8mm/10mm/12mm Pave diamond ball bead / spacers design Pave diamond 925 sterling silver handmade jewelry diamond jewelry fine jewelryproduct Dimension: Size 6mm/8mm/10mm/12mm approxSetting paveDiamond : Natural Conflict free diamonds from Surat, India Listing is For One (1) PieceThese items are handmade,All are designed and handmade by me and my team with Perfect craftsmanship and strong interest!We are continuously adding new products in our store. So keep coming back to see more great deals on jewelry in our martFor Wholesale orders or costume made order requirements, please message us !We understand that getting your items quickly is important to you, so we make every effort to process your orders quickly. SHIPPING: Most orders are processed and shipped out within 4-5 business days, excluding weekend & holidays. Get your package faster by upgrading your shipping options! Do a search within Our Shop, ""Shipping Upgrades"" for more details. All priority/express orders are processed the first day and then regular first class mails.	(<>) Time sensitive packages: Please purchase EXPEDITED SHIPPING.	(<>)  Priority Shipping: 3-5 business days for USA / 5-10 business days for international. If you need a package delivered by a specific date, please contact us in advance for arrangements. *---------------------------------------------------------------------------------------------------------------------------------------* INSURANCE: Please purchase insurance to protect your order as we're NOT responsible for lost items in transit / missed delivered/ nondeliverable / stolen / etc. *--------------------------------------------------------------------------------------------------------------------------------------* TRACKING:	(<>) Domestic orders are updated with their tracking information.	(<>) International orders, unless otherwise registered or express mail upgrades are not traceable.* -------------------------------------------------------------------------------------------------------------------------------------* RETURNS & REFUNDS:	 (<>) Once your return is received and inspected (usually within 48 hours of receipt), your refund will be processed and a credit will be automatically applied within 3 days. 	 (<>) Refunds minus shipping gladly given... Please return within 7 days from the day you have receive your item.	 (<>) Chains and wires are not refundable. 	 (<>) No returns are accepted on custom orders.	 (<>) A 20% Restocking fee would be applied to all the Gemstones bead. *--------------------------------------------------------------------------------------------------------------------------------------* OUT OF STOCK / BACK ORDER ITEMS:	(<>) While we try very hard to maintain adequate stock levels, we do run out of certain products at times. items not immediately available for shipment are immediately re-ordered and we work hard to make sure it shipped as soon as possible without incurring any additional shipping charges. *--------------------------------------------------------------------------------------------------------------------------------------* CUSTOM ORDER REQUEST:	(<>) Please contact us if you have any questions or ideas for any custom order.  *--------------------------------------------------------------------------------------------------------------------------------------* CONVOSERTION: 	(<>) We respond to all messages via Etsy within 24hours max unless otherwise there is any exception",https://i.etsystatic.com/18270469/r/il/9ef296/2204499462/il_794xN.2204499462_c6xq.jpg,Craft Supplies & Tools,"[['Select an option', '3mm (₹ 366)', '4mm (₹ 569)', '6mm (₹ 1,057)', '8mm (₹ 1,790)', '10mm (₹ 2,441)', '12mm (₹ 4,069)', '16mm (₹ 8,953)'], ['Select a colour', 'Vermail Gold', 'Oxidized', 'White (silver shiny)', 'Rose gold']]",https://www.etsy.com/in-en/listing/668433596/pave-diamond-ball-bead-spacers-design?click_key=ad7270877ad3f19bcefac033c387a0d3044e4dd8%3A668433596&click_sum=30aa7345&ref=shop_home_feat_1
"
    14k gold finish Pave diamond polki bangle sterling silver bangle pave diamond silver bangle 925 sterling diamond bangles flat diamond design
","
                    ₹ 18,719
            ","14k gold finish Pave diamond Polki bangle sterling silver bangle pave diamond silver bangle 925 sterling diamond bangles flat diamond designproduct  Dimension: Diamond: Natural Conflict free diamonds from Surat, India Listing is For One (1) PieceThese items are handmade,All are designed and handmade by me and my team with precision, Perfect craftsmanship and strong interest!We are continuously adding new products in our store. So keep coming back to see more great deals on gems in our martFor Wholesale orders or costume made order requirements, please message me !We understand that getting your items quickly is important to you, so we make every effort to process your orders quickly. SHIPPING: Most orders are processed and shipped out within 4-5 business days, excluding weekend & holidays. Get your package faster by upgrading your shipping options! Do a search within Our Shop, ""Shipping Upgrades"" for more details. All priority/express orders are processed the first day and then regular first class mails.	(<>) Time sensitive packages: Please purchase EXPEDITED SHIPPING.	(<>)  Priority Shipping: 3-5 business days for USA / 5-10 business days for international. If you need a package delivered by a specific date, please contact us in advance for arrangements. *---------------------------------------------------------------------------------------------------------------------------------------* INSURANCE: Please purchase insurance to protect your order as we're NOT responsible for lost items in transit / missed delivered/ nondeliverable / stolen / etc. *--------------------------------------------------------------------------------------------------------------------------------------* TRACKING:	(<>) Domestic orders are updated with their tracking information.	(<>) International orders, unless otherwise registered or express mail upgrades are not traceable.* -------------------------------------------------------------------------------------------------------------------------------------* RETURNS & REFUNDS:	 (<>) Once your return is received and inspected (usually within 48 hours of receipt), your refund will be processed and a credit will be automatically applied within 3 days. 	 (<>) Refunds minus shipping gladly given... Please return within 7 days from the day you have receive your item.	 (<>) Chains and wires are not refundable. 	 (<>) No returns are accepted on custom orders.	 (<>) A 20% Restocking fee would be applied to all the Gemstones Beads. *--------------------------------------------------------------------------------------------------------------------------------------* OUT OF STOCK / BACK ORDER ITEMS:	(<>) While we try very hard to maintain adequate stock levels, we do run out of certain products at times. items not immediately available for shipment are immediately re-ordered and we work hard to make sure it shipped as soon as possible without incurring any additional shipping charges. *--------------------------------------------------------------------------------------------------------------------------------------* CUSTOM ORDER REQUEST:	(<>) Please contact us if you have any questions or ideas for any custom order.  *--------------------------------------------------------------------------------------------------------------------------------------* CONVOSERTION: 	(<>) We respond to all messages via Etsy within 24hours max unless otherwise there is any exception",https://i.etsystatic.com/18270469/r/il/13ea2f/3312532521/il_794xN.3312532521_s0bt.jpg,Jewellery,"[['Select an option', '55mm', '59mm'], []]",https://www.etsy.com/in-en/listing/678791957/14k-gold-finish-pave-diamond-polki?click_key=fa9b714b1bf319fa99db7600f0216a47f30e38aa%3A678791957&click_sum=bd6da7a5&ref=shop_home_feat_2
"
    1 pcs Pave diamond 925 sterling silver handmade rose cut  pave diamond lobster clasp, pave diamond clasp 15mm size
","
                    ₹ 977+
            ","Pave rosecut diamond 925 sterling silver handmade pave diamond lobster clasp About iteam:-Double Sided PAVE DIAMONDS clasp.Gross weight 1.6g aproxDiamond Weight 	0.45ct aproxSize 15mmX10mm aproxSetting paveDiamond : Natural Conflict free diamonds from Surat, India  Listing is For One (1) product and (1) quantityThese items are handmade,All are designed and handmade me and team with precision, Perfect craftsmanship and strong interest!We are continuously adding new products in our store. So keep coming back to see more great deals on gems in our martFor Wholesale orders or costume made order requirements, please message me !We understand that getting your items quickly is important to you, so we make every effort to process your orders quickly. SHIPPING: Most orders are processed and shipped out within 4-5 business days, excluding weekend & holidays. Get your package faster by upgrading your shipping options! Do a search within Our Shop, ""Shipping Upgrades"" for more details. All priority/express orders are processed the first day and then regular first class mails.	(<>) Time sensitive packages: Please purchase EXPEDITED SHIPPING.	(<>)  Priority Shipping: 3-5 business days for USA / 5-10 business days for international. If you need a package delivered by a specific date, please contact us in advance for arrangements. *---------------------------------------------------------------------------------------------------------------------------------------* INSURANCE: Please purchase insurance to protect your order as we're NOT responsible for lost items in transit / missed delivered/ nondeliverable / stolen / etc. *--------------------------------------------------------------------------------------------------------------------------------------* TRACKING:	(<>) Domestic orders are updated with their tracking information.	(<>) International orders, unless otherwise registered or express mail upgrades are not traceable.* -------------------------------------------------------------------------------------------------------------------------------------* RETURNS & REFUNDS:	 (<>) Once your return is received and inspected (usually within 48 hours of receipt), your refund will be processed and a credit will be automatically applied within 3 days. 	 (<>) Refunds minus shipping gladly given... Please return within 7 days from the day you have receive your item.	 (<>) Chains and wires are not refundable. 	 (<>) No returns are accepted on custom orders.	 (<>) A 20% Restocking fee would be applied to all the Gemstones Beads. *--------------------------------------------------------------------------------------------------------------------------------------* OUT OF STOCK / BACK ORDER ITEMS:	(<>) While we try very hard to maintain adequate stock levels, we do run out of certain products at times. items not immediately available for shipment are immediately re-ordered and we work hard to make sure it shipped as soon as possible without incurring any additional shipping charges. *--------------------------------------------------------------------------------------------------------------------------------------* CUSTOM ORDER REQUEST:	(<>) Please contact us if you have any questions or ideas for any custom order.  *--------------------------------------------------------------------------------------------------------------------------------------* CONVOSERTION: 	(<>) We respond to all messages via Etsy within 24hours max unless otherwise there is any exception",https://i.etsystatic.com/18270469/r/il/b7bfd0/2353473966/il_794xN.2353473966_e9go.jpg,Craft Supplies & Tools,"[['Select an option', 'For 1 pc (₹ 977)', 'For 5 pcs (₹ 4,883)'], ['Select a colour', 'Oxidized', 'Vermail Gold']]",https://www.etsy.com/in-en/listing/652937884/1-pcs-pave-diamond-925-sterling-silver?click_key=356cd533518100f0b581eaa7617b9db5c8cf5e88%3A652937884&click_sum=a70ced71&ref=shop_home_feat_3&frs=1
"
    6mm/8mm/10mm/12mm Rondelles Pave diamond  bead / spacers design Pave diamond 925 sterling silver handmade jewelry diamond fine jewelry
","
                    ₹ 406+
            ","6mm/8mm/10mm/12mm roundels Pave diamond  bead / spacers design Pave diamond 925 sterling silver handmade jewelry diamond fine jewelryProduct  Dimension: Size 6mm/8mm/10mm/12mmSetting paveDiamond : Natural Conflict free diamonds from Surat, India Listing is For One (1) PieceThese items are handmade,All are designed and handmade me and team with precision, Perfect craftsmanship and strong interest!We are continuously adding new products in our store. So keep coming back to see more great deals on gems in our martFor Wholesale orders or costume made order requirements, please message me !We understand that getting your items quickly is important to you, so we make every effort to process your orders quickly. SHIPPING: Most orders are processed and shipped out within 4-5 business days, excluding weekend & holidays. Get your package faster by upgrading your shipping options! Do a search within Our Shop, ""Shipping Upgrades"" for more details. All priority/express orders are processed the first day and then regular first class mails.	(<>) Time sensitive packages: Please purchase EXPEDITED SHIPPING.	(<>)  Priority Shipping: 3-5 business days for USA / 5-10 business days for international. If you need a package delivered by a specific date, please contact us in advance for arrangements. *---------------------------------------------------------------------------------------------------------------------------------------* INSURANCE: Please purchase insurance to protect your order as we're NOT responsible for lost items in transit / missed delivered/ nondeliverable / stolen / etc. *--------------------------------------------------------------------------------------------------------------------------------------* TRACKING:	(<>) Domestic orders are updated with their tracking information.	(<>) International orders, unless otherwise registered or express mail upgrades are not traceable.* -------------------------------------------------------------------------------------------------------------------------------------* RETURNS & REFUNDS:	 (<>) Once your return is received and inspected (usually within 48 hours of receipt), your refund will be processed and a credit will be automatically applied within 3 days. 	 (<>) Refunds minus shipping gladly given... Please return within 7 days from the day you have receive your item.	 (<>) Chains and wires are not refundable. 	 (<>) No returns are accepted on custom orders.	 (<>) A 20% Restocking fee would be applied to all the Gemstones bead. *--------------------------------------------------------------------------------------------------------------------------------------* OUT OF STOCK / BACK ORDER ITEMS:	(<>) While we try very hard to maintain adequate stock levels, we do run out of certain products at times. items not immediately available for shipment are immediately re-ordered and we work hard to make sure it shipped as soon as possible without incurring any additional shipping charges. *--------------------------------------------------------------------------------------------------------------------------------------* CUSTOM ORDER REQUEST:	(<>) Please contact us if you have any questions or ideas for any custom order.  *--------------------------------------------------------------------------------------------------------------------------------------* CONVOSERTION: 	(<>) We respond to all messages via Etsy within 24hours max unless otherwise there is any exception",https://i.etsystatic.com/18270469/r/il/2cad1b/2255840607/il_794xN.2255840607_ad50.jpg,Craft Supplies & Tools,"[['Select an option', '6mm (₹ 406)', '8mm (₹ 650)', '10mm (₹ 894)', '12mm (₹ 1,139)'], ['Select a colour', 'Oxidized', 'Vermail Gold', 'Black Gold', 'Shiny silver(white)']]",https://www.etsy.com/in-en/listing/682835215/6mm8mm10mm12mm-rondelles-pave-diamond?click_key=b7d99eb57c6b4e39d1b31027b315d21041e5ad86%3A682835215&click_sum=b338318a&ref=shop_home_feat_4&frs=1
"
    Pave diamond rosecut pendant 925 sterling silver pendant handmade diamond pendant  Love design pave diamond setting pendant
","
                    ₹ 1,464
            ","Gross weight 1.4Diamond Weight  .25Size 19mmX27mm Setting pave Listing is For One (1) PieceThese items are handmade,All are designed and handmade by me and my team with Perfect craftsmanship and strong interest!We are continuously adding new products in our store. So keep coming back to see more great deals on jewelry in our martFor Wholesale orders or costume made order requirements, please message us !We understand that getting your items quickly is important to you, so we make every effort to process your orders quickly. SHIPPING: Most orders are processed and shipped out within 4-5 business days, excluding weekend & holidays. Get your package faster by upgrading your shipping options! Do a search within Our Shop, ""Shipping Upgrades"" for more details. All priority/express orders are processed the first day and then regular first class mails.	(<>) Time sensitive packages: Please purchase EXPEDITED SHIPPING.	(<>)  Priority Shipping: 3-5 business days for USA / 5-10 business days for international. If you need a package delivered by a specific date, please contact us in advance for arrangements. *---------------------------------------------------------------------------------------------------------------------------------------* INSURANCE: Please purchase insurance to protect your order as we're NOT responsible for lost items in transit / missed delivered/ nondeliverable / stolen / etc. *--------------------------------------------------------------------------------------------------------------------------------------* TRACKING:	(<>) Domestic orders are updated with their tracking information.	(<>) International orders, unless otherwise registered or express mail upgrades are not traceable.* -------------------------------------------------------------------------------------------------------------------------------------* RETURNS & REFUNDS:	 (<>) Once your return is received and inspected (usually within 48 hours of receipt), your refund will be processed and a credit will be automatically applied within 3 days. 	 (<>) Refunds minus shipping gladly given... Please return within 7 days from the day you have receive your item.	 (<>) Chains and wires are not refundable. 	 (<>) No returns are accepted on custom orders.	 (<>) A 20% Restocking fee would be applied to all the Gemstones Beads. *--------------------------------------------------------------------------------------------------------------------------------------* OUT OF STOCK / BACK ORDER ITEMS:	(<>) While we try very hard to maintain adequate stock levels, we do run out of certain products at times. items not immediately available for shipment are immediately re-ordered and we work hard to make sure it shipped as soon as possible without incurring any additional shipping charges. *--------------------------------------------------------------------------------------------------------------------------------------* CUSTOM ORDER REQUEST:	(<>) Please contact us if you have any questions or ideas for any custom order.  *--------------------------------------------------------------------------------------------------------------------------------------* CONVOSERTION: 	(<>) We respond to all messages via Etsy within 24hours max unless otherwise there is any exception",https://i.etsystatic.com/18270469/r/il/2c9717/2224875057/il_794xN.2224875057_39hh.jpg,Jewellery,"[[], []]",https://www.etsy.com/in-en/listing/649195934/pave-diamond-rosecut-pendant-925?click_key=054a1c00eb856b38ec1ef2f6ec9835d2666bc066%3A649195934&click_sum=6de6d271&ref=shop_home_feat_5&frs=1
