Produce Name,Price,Description,Image,Category,Options,Product URL
"
    Pure Silk Midi Kaftan Gray Tunic Robe Dress Bridal Party Holiday Dressing Beach Lounge Wear Gifts For Girls Short Caftans Silk KFNM1006
","
                    ₹ 2,439
            ","MIDI KAFTANS LENGTH - 35 INCHES ( appx knee length ) WIDTH -    42-44 INCHES ( end to end ) MATERIAL : Pure Saree Silk FabricA Kaftan is a loose tunic which has its origins in the Middle-East. It was originally an item of men's clothing worn in desert-like terrains but has now evolved to become fashionable women's clothing. Nowadays a Kaftan is the favourite of every fashionista and is a very versatile piece of clothing - almost a must have in your wardrobe. It can be worn at the beach , to sleep in , to lounge around the house , or even while doing your favorite hobbies like baking or gardening !! My Kaftans are made from recycled vintage sarees (which i sell in my first Etsy shop) . I carefully select sarees with soft flowy texture and attractive prints to make these kaftans. All the photography is done by my assistant in my studio. I try to get as many angles and close ups as possible. I also try and capture the exact colors of the fabric. However , at times dues to lighting effects and also monitor settings , the colors may come off darker or lighter than the actual product. Please keep this in mind and feel free to double check with me . Any Minor alterations will be done FREE OF CHARGE. Any major changes may attract an additional charge. Please message me for the same. I can also make a CUSTOM Kaftan for you in any size and style. You can select the fabric/saree from my other shop and send me your design/sizes and i will get it made specially for you . ****SHIPPING POLICY:****1) ALL ORDERS BELOW 99 USD WILL BE SHIPPED THROUGH INDIA POST OFFICE,  WHICH TAKES 20-35 DAYS FOR DELIVERY.2) ALL ORDERS OF  99 USD AND ABOVE WILL BE SHIPPED THROUGH EXPRESS SHIPPING SERVICE,  WHICH WILL DELIVER YOUR PACKAGE IN 3-5 WORKING DAYS.*****REFUNDS & EXCHANGES*****1) In case of returns you must contact us within 48 hours of receiving the item, so that we can process your return for refund or exchange. The Product must be returned within 14 days of receipt & it should not be altered, tempered & should be in original packaging.2) Return postage will be paid by the buyer on all returns. For items that are different from what was described in the listing, return postage for the same will be borne by the seller.3) In the event that you are not satisfied with your purchase for any reason, I will make every attempt to resolve the issue. KINDLY CONTACT ME VIA EBAY MESSAGES OR EMAIL FOR THE SAME. *****Additional Policies and FAQs*****1)  I AM NOT LIABLE FOR ANY CUSTOM TAXES/DUTIES THAT MAY BE LEVIED IN YOUR COUNTRY. ANY SUCH CHARGES HAVE TO BE PAID BY THE BUYER. 2) PLEASE LEAVE YOUR CONTACT NUMBER WITH ADDRESS AS REQUIRED BY THE COURIER COMPANY, IT WILL HELP IN DELIVERY OF YOUR PACKAGE SAFELY.3) If you would like more information of a particular item, please email us. We also provide digitized images of the above product upon request. This service is separately chargeable.4) I ALSO ENTERTAIN WHOLESALE & BULK ORDERS . PLEASE CONTACT ME VIA ETSY CONVERSATIONS IN CASE OF ANY QUERY.",https://i.etsystatic.com/9250306/r/il/4d0077/4075643657/il_794xN.4075643657_nt32.jpg,Clothing,"[[], []]",https://www.etsy.com/in-en/listing/1258597488/pure-silk-midi-kaftan-gray-tunic-robe?click_key=614b7c79f80ca618b96d026ec01a94a35d53bdc9%3A1258597488&click_sum=068fa282&ref=shop_home_feat_1&frs=1
"
    Pure Cotton Kaftan Orange Pink White Caftan Dress Woman Clothing Maxi Tunic Beach Lounge Wear Maternity Gown Holiday Gifts CFN1004
","
                    ₹ 2,846
            ","PURE COTTON KAFTANS !!!MATERIAL : Pure Cotton Saree FabricLength : 55 inchesWe have also included a model photo wearing a different  Kaftan just to show the fall and look of it :)))A Kaftan is a loose tunic which has its origins in the Middle-East. It was originally an item of men's clothing worn in desert-like terrains but has now evolved to become fashionable women's clothing. Nowadays a Kaftan is the favourite of every fashionista and is a very versatile piece of clothing - almost a must have in your wardrobe. It can be worn at the beach , to sleep in , to lounge around the house , or even while doing your favorite hobbies like baking or gardening !! My Kaftans are made from recycled vintage sarees . I carefully select sarees with soft flowy texture and attractive prints to make these kaftans. All the photography is done by my assistant in my studio. I try to get as many angles and close ups as possible. I also try and capture the exact colors of the fabric. However , at times dues to lighting effects and also monitor settings , the colors may come off darker or lighter than the actual product. Please keep this in mind and feel free to double check with me . Any Minor alterations will be done FREE OF CHARGE. Any major changes may attract an additional charge. Please message me for the same. I can also make a CUSTOM Kaftan for you in any size and style. You can select the fabric/saree from my other shop and send me your design/sizes and i will get it made specially for you . ****SHIPPING POLICY:****1) ALL ORDERS BELOW 99 USD WILL BE SHIPPED THROUGH INDIA POST OFFICE,  WHICH TAKES 20-35 DAYS FOR DELIVERY.2) ALL ORDERS OF  99 USD AND ABOVE WILL BE SHIPPED THROUGH EXPRESS SHIPPING SERVICE,  WHICH WILL DELIVER YOUR PACKAGE IN 3-5 WORKING DAYS.*****REFUNDS & EXCHANGES*****1) In case of returns you must contact us within 48 hours of receiving the item, so that we can process your return for refund or exchange. The Product must be returned within 14 days of receipt & it should not be altered, tempered & should be in original packaging.2) Return postage will be paid by the buyer on all returns. For items that are different from what was described in the listing, return postage for the same will be borne by the seller.3) In the event that you are not satisfied with your purchase for any reason, I will make every attempt to resolve the issue. KINDLY CONTACT ME VIA EBAY MESSAGES OR EMAIL FOR THE SAME. *****Additional Policies and FAQs*****1)  I AM NOT LIABLE FOR ANY CUSTOM TAXES/DUTIES THAT MAY BE LEVIED IN YOUR COUNTRY. ANY SUCH CHARGES HAVE TO BE PAID BY THE BUYER. 2) PLEASE LEAVE YOUR CONTACT NUMBER WITH ADDRESS AS REQUIRED BY THE COURIER COMPANY, IT WILL HELP IN DELIVERY OF YOUR PACKAGE SAFELY.3) If you would like more information of a particular item, please email us. We also provide digitized images of the above product upon request. This service is separately chargeable.4) I ALSO ENTERTAIN WHOLESALE & BULK ORDERS . PLEASE CONTACT ME VIA ETSY CONVERSATIONS IN CASE OF ANY QUERY.",https://i.etsystatic.com/9250306/r/il/d577c5/4034365540/il_794xN.4034365540_hu5l.jpg,Clothing,"[[], []]",https://www.etsy.com/in-en/listing/1274209077/pure-cotton-kaftan-orange-pink-white?click_key=307bb25b32b63bc47d5288ced9bff33fa4c36ec1%3A1274209077&click_sum=a03e4666&ref=shop_home_feat_2&frs=1
"
    Pure Cotton Kaftan Orange Black White Caftan Dress Woman Clothing Maxi Tunic Beach Lounge Wear Maternity Gown Holiday Gifts CFN1012
","
                    ₹ 2,846
            ","PURE COTTON KAFTANS !!!MATERIAL : Pure Cotton Saree FabricLength : 54 inchesWe have also included a model photo wearing a different  Kaftan just to show the fall and look of it :)))A Kaftan is a loose tunic which has its origins in the Middle-East. It was originally an item of men's clothing worn in desert-like terrains but has now evolved to become fashionable women's clothing. Nowadays a Kaftan is the favourite of every fashionista and is a very versatile piece of clothing - almost a must have in your wardrobe. It can be worn at the beach , to sleep in , to lounge around the house , or even while doing your favorite hobbies like baking or gardening !! My Kaftans are made from recycled vintage sarees . I carefully select sarees with soft flowy texture and attractive prints to make these kaftans. All the photography is done by my assistant in my studio. I try to get as many angles and close ups as possible. I also try and capture the exact colors of the fabric. However , at times dues to lighting effects and also monitor settings , the colors may come off darker or lighter than the actual product. Please keep this in mind and feel free to double check with me . Any Minor alterations will be done FREE OF CHARGE. Any major changes may attract an additional charge. Please message me for the same. I can also make a CUSTOM Kaftan for you in any size and style. You can select the fabric/saree from my other shop and send me your design/sizes and i will get it made specially for you . ****SHIPPING POLICY:****1) ALL ORDERS BELOW 99 USD WILL BE SHIPPED THROUGH INDIA POST OFFICE,  WHICH TAKES 20-35 DAYS FOR DELIVERY.2) ALL ORDERS OF  99 USD AND ABOVE WILL BE SHIPPED THROUGH EXPRESS SHIPPING SERVICE,  WHICH WILL DELIVER YOUR PACKAGE IN 3-5 WORKING DAYS.*****REFUNDS & EXCHANGES*****1) In case of returns you must contact us within 48 hours of receiving the item, so that we can process your return for refund or exchange. The Product must be returned within 14 days of receipt & it should not be altered, tempered & should be in original packaging.2) Return postage will be paid by the buyer on all returns. For items that are different from what was described in the listing, return postage for the same will be borne by the seller.3) In the event that you are not satisfied with your purchase for any reason, I will make every attempt to resolve the issue. KINDLY CONTACT ME VIA EBAY MESSAGES OR EMAIL FOR THE SAME. *****Additional Policies and FAQs*****1)  I AM NOT LIABLE FOR ANY CUSTOM TAXES/DUTIES THAT MAY BE LEVIED IN YOUR COUNTRY. ANY SUCH CHARGES HAVE TO BE PAID BY THE BUYER. 2) PLEASE LEAVE YOUR CONTACT NUMBER WITH ADDRESS AS REQUIRED BY THE COURIER COMPANY, IT WILL HELP IN DELIVERY OF YOUR PACKAGE SAFELY.3) If you would like more information of a particular item, please email us. We also provide digitized images of the above product upon request. This service is separately chargeable.4) I ALSO ENTERTAIN WHOLESALE & BULK ORDERS . PLEASE CONTACT ME VIA ETSY CONVERSATIONS IN CASE OF ANY QUERY.",https://i.etsystatic.com/9250306/r/il/fb132f/4034043236/il_794xN.4034043236_578b.jpg,Clothing,"[[], []]",https://www.etsy.com/in-en/listing/1260133676/pure-cotton-kaftan-orange-black-white?click_key=f9cf47575367533ea957da569853c1a7afd7af18%3A1260133676&click_sum=8f888226&ref=shop_home_feat_3&frs=1
"
    Silk Kimono Short Kimonos Duster Jacket Pure Silk Cardigan Cape Cover Up Girls Clothing Coat Front Open Robe Purple Green Kimono KMS1363
","
                    ₹ 2,436
            ","100 % Pure Silk Short Duster Jacket KimonoWe have also included a model photo wearing a different short kimono just to show the fall and look of it :)))These short kimono jackets have been made from very fine quality upcycled vintage pure silk sarees . Each saree is unique which makes each of these jackets unique and one-of-a-kind . What's more - since these are made from recycled sarees , they are very eco-friendly .Made out of vintage PURE SILK sarees, these are front open flowy jackets, each in a different unique print. Just throw it over a plain top and pair it with jeans and boots & you're good to go !!!This versatile kimono can also be worn as a beach cover-up or with a dress or camisole. Suitable for day wear or evening/lounge wear. SPECIFICATIONS:Color : Purple Green with Floral print ( As per the picture )Size : Free Size/ Plus SizeMEASUREMENTS :Sleeves - 16 inches longLength (from shoulder to bottom hem) -  32 inchesWidth (across the back) - 56 inchesFABRIC : 100% PURE SILK FABRICGentle hand wash recommended !! Please take into consideration that the color in the pictures may vary slightly depending on the settings on your monitor.PLS NOTE : Choose any saree from my shop & provide me your desired style and size and i will get a customised kimono robe stitched for you !!!Thank You :))",https://i.etsystatic.com/9250306/r/il/b8ef91/4100396503/il_794xN.4100396503_fu25.jpg,Clothing,"[[], []]",https://www.etsy.com/in-en/listing/1278866091/silk-kimono-short-kimonos-duster-jacket?click_key=5652c49e69e595fa15c354bc690319b76351a2ba%3A1278866091&click_sum=bb8a9465&ref=shop_home_active_1&frs=1
"
    Silk Kimono Short Kimonos Duster Jacket Pure Silk Cardigan Cape Cover Up Girls Clothing Coat Front Open Robe Blue Purple Kimono KMS1364
","
                    ₹ 2,436
            ","100 % Pure Silk Short Duster Jacket KimonoWe have also included a model photo wearing a different short kimono just to show the fall and look of it :)))These short kimono jackets have been made from very fine quality upcycled vintage pure silk sarees . Each saree is unique which makes each of these jackets unique and one-of-a-kind . What's more - since these are made from recycled sarees , they are very eco-friendly .Made out of vintage PURE SILK sarees, these are front open flowy jackets, each in a different unique print. Just throw it over a plain top and pair it with jeans and boots & you're good to go !!!This versatile kimono can also be worn as a beach cover-up or with a dress or camisole. Suitable for day wear or evening/lounge wear. SPECIFICATIONS:Color :  Blue Purple with Floral print ( As per the picture )Size : Free Size/ Plus SizeMEASUREMENTS :Sleeves - 16 inches longLength (from shoulder to bottom hem) -  32 inchesWidth (across the back) - 56 inchesFABRIC : 100% PURE SILK FABRICGentle hand wash recommended !! Please take into consideration that the color in the pictures may vary slightly depending on the settings on your monitor.PLS NOTE : Choose any saree from my shop & provide me your desired style and size and i will get a customised kimono robe stitched for you !!!Thank You :))",https://i.etsystatic.com/9250306/r/il/4f7d02/4052741694/il_794xN.4052741694_7hp3.jpg,Clothing,"[[], []]",https://www.etsy.com/in-en/listing/1278864749/silk-kimono-short-kimonos-duster-jacket?click_key=6430518c70218d196f6cbf67b9ab2ec939283e75%3A1278864749&click_sum=d959df15&ref=shop_home_active_2&frs=1
"
    Silk Kimono Short Kimonos Duster Jacket Pure Silk Cardigan Cape Cover Up Girls Clothing Coat Front Open Robe Brown Shade Kimono KMS1370
","
                    ₹ 2,436
            ","100 % Pure Silk Short Duster Jacket KimonoWe have also included a model photo wearing a different short kimono just to show the fall and look of it :)))These short kimono jackets have been made from very fine quality upcycled vintage pure silk sarees . Each saree is unique which makes each of these jackets unique and one-of-a-kind . What's more - since these are made from recycled sarees , they are very eco-friendly .Made out of vintage PURE SILK sarees, these are front open flowy jackets, each in a different unique print. Just throw it over a plain top and pair it with jeans and boots & you're good to go !!!This versatile kimono can also be worn as a beach cover-up or with a dress or camisole. Suitable for day wear or evening/lounge wear. SPECIFICATIONS:Color :  Brown Shade Maroon with Floral print ( As per the picture )Size : Free Size/ Plus SizeMEASUREMENTS :Sleeves - 16 inches longLength (from shoulder to bottom hem) -  32 inchesWidth (across the back) - 56 inchesFABRIC : 100% PURE SILK FABRICGentle hand wash recommended !! Please take into consideration that the color in the pictures may vary slightly depending on the settings on your monitor.PLS NOTE : Choose any saree from my shop & provide me your desired style and size and i will get a customised kimono robe stitched for you !!!Thank You :))",https://i.etsystatic.com/9250306/r/il/9e6141/4052736524/il_794xN.4052736524_4dqp.jpg,Clothing,"[[], []]",https://www.etsy.com/in-en/listing/1278863425/silk-kimono-short-kimonos-duster-jacket?click_key=c994f1fb4fa4d14d4530652e6a81163a59891974%3A1278863425&click_sum=67db53bf&ref=shop_home_active_3&frs=1
"
    Silk Kimono Short Kimonos Duster Jacket Pure Silk Cardigan Cape Cover Up Girls Clothing Coat Front Open Robe Brown Kimono KMS1368
","
                    ₹ 2,436
            ","100 % Pure Silk Short Duster Jacket KimonoWe have also included a model photo wearing a different short kimono just to show the fall and look of it :)))These short kimono jackets have been made from very fine quality upcycled vintage pure silk sarees . Each saree is unique which makes each of these jackets unique and one-of-a-kind . What's more - since these are made from recycled sarees , they are very eco-friendly .Made out of vintage PURE SILK sarees, these are front open flowy jackets, each in a different unique print. Just throw it over a plain top and pair it with jeans and boots & you're good to go !!!This versatile kimono can also be worn as a beach cover-up or with a dress or camisole. Suitable for day wear or evening/lounge wear. SPECIFICATIONS:Color :  Brown with Floral print ( As per the picture )Size : Free Size/ Plus SizeMEASUREMENTS :Sleeves - 16 inches longLength (from shoulder to bottom hem) -  32 inchesWidth (across the back) - 56 inchesFABRIC : 100% PURE SILK FABRICGentle hand wash recommended !! Please take into consideration that the color in the pictures may vary slightly depending on the settings on your monitor.PLS NOTE : Choose any saree from my shop & provide me your desired style and size and i will get a customised kimono robe stitched for you !!!Thank You :))",https://i.etsystatic.com/9250306/r/il/8e9e54/4052730598/il_794xN.4052730598_5lpn.jpg,Clothing,"[[], []]",https://www.etsy.com/in-en/listing/1278861997/silk-kimono-short-kimonos-duster-jacket?click_key=016a7c956971d733f96dc1a6326af3073985b10d%3A1278861997&click_sum=d332f690&ref=shop_home_active_4&frs=1
"
    Silk Kimono Short Kimonos Duster Jacket Pure Silk Cardigan Cape Cover Up Girls Clothing Coat Front Open Robe Maroon Brown Kimono KMS1372
","
                    ₹ 2,436
            ","100 % Pure Silk Short Duster Jacket KimonoWe have also included a model photo wearing a different short kimono just to show the fall and look of it :)))These short kimono jackets have been made from very fine quality upcycled vintage pure silk sarees . Each saree is unique which makes each of these jackets unique and one-of-a-kind . What's more - since these are made from recycled sarees , they are very eco-friendly .Made out of vintage PURE SILK sarees, these are front open flowy jackets, each in a different unique print. Just throw it over a plain top and pair it with jeans and boots & you're good to go !!!This versatile kimono can also be worn as a beach cover-up or with a dress or camisole. Suitable for day wear or evening/lounge wear. SPECIFICATIONS:Color : Maroon Brown with Floral print ( As per the picture )Size : Free Size/ Plus SizeMEASUREMENTS :Sleeves - 16 inches longLength (from shoulder to bottom hem) -  32 inchesWidth (across the back) - 56 inchesFABRIC : 100% PURE SILK FABRICGentle hand wash recommended !! Please take into consideration that the color in the pictures may vary slightly depending on the settings on your monitor.PLS NOTE : Choose any saree from my shop & provide me your desired style and size and i will get a customised kimono robe stitched for you !!!Thank You :))",https://i.etsystatic.com/9250306/r/il/78ccce/4052725288/il_794xN.4052725288_tqhp.jpg,Clothing,"[[], []]",https://www.etsy.com/in-en/listing/1264845762/silk-kimono-short-kimonos-duster-jacket?click_key=396df26d7e2edfa2369363661e366452304257a1%3A1264845762&click_sum=fa5f8778&ref=shop_home_active_5&frs=1
"
    Silk Kimono Short Kimonos Duster Jacket Pure Silk Cardigan Cape Cover Up Girls Clothing Coat Front Open Robe Yellow Shade Kimono KMS1373
","
                    ₹ 2,436
            ","100 % Pure Silk Short Duster Jacket KimonoWe have also included a model photo wearing a different short kimono just to show the fall and look of it :)))These short kimono jackets have been made from very fine quality upcycled vintage pure silk sarees . Each saree is unique which makes each of these jackets unique and one-of-a-kind . What's more - since these are made from recycled sarees , they are very eco-friendly .Made out of vintage PURE SILK sarees, these are front open flowy jackets, each in a different unique print. Just throw it over a plain top and pair it with jeans and boots & you're good to go !!!This versatile kimono can also be worn as a beach cover-up or with a dress or camisole. Suitable for day wear or evening/lounge wear. SPECIFICATIONS:Color : Yellow with Floral print ( As per the picture )Size : Free Size/ Plus SizeMEASUREMENTS :Sleeves - 16 inches longLength (from shoulder to bottom hem) -  32 inchesWidth (across the back) - 56 inchesFABRIC : 100% PURE SILK FABRICGentle hand wash recommended !! Please take into consideration that the color in the pictures may vary slightly depending on the settings on your monitor.PLS NOTE : Choose any saree from my shop & provide me your desired style and size and i will get a customised kimono robe stitched for you !!!Thank You :))",https://i.etsystatic.com/9250306/r/il/6a01fc/4100371701/il_794xN.4100371701_4oxv.jpg,Clothing,"[[], []]",https://www.etsy.com/in-en/listing/1278860441/silk-kimono-short-kimonos-duster-jacket?click_key=c6c90c67fbef29f9120d6b6a4d856c49b27b5b08%3A1278860441&click_sum=e5ef7934&ref=shop_home_active_6&frs=1
"
    Silk Kimono Short Kimonos Duster Jacket Pure Silk Cardigan Cape Cover Up Girls Clothing Coat Front Open Robe Yellow Shade Kimono KMS1367
","
                    ₹ 2,436
            ","100 % Pure Silk Short Duster Jacket KimonoWe have also included a model photo wearing a different short kimono just to show the fall and look of it :)))These short kimono jackets have been made from very fine quality upcycled vintage pure silk sarees . Each saree is unique which makes each of these jackets unique and one-of-a-kind . What's more - since these are made from recycled sarees , they are very eco-friendly .Made out of vintage PURE SILK sarees, these are front open flowy jackets, each in a different unique print. Just throw it over a plain top and pair it with jeans and boots & you're good to go !!!This versatile kimono can also be worn as a beach cover-up or with a dress or camisole. Suitable for day wear or evening/lounge wear. SPECIFICATIONS:Color : Yellow with Abstract print ( As per the picture )Size : Free Size/ Plus SizeMEASUREMENTS :Sleeves - 16 inches longLength (from shoulder to bottom hem) -  32 inchesWidth (across the back) - 56 inchesFABRIC : 100% PURE SILK FABRICGentle hand wash recommended !! Please take into consideration that the color in the pictures may vary slightly depending on the settings on your monitor.PLS NOTE : Choose any saree from my shop & provide me your desired style and size and i will get a customised kimono robe stitched for you !!!Thank You :))",https://i.etsystatic.com/9250306/r/il/e3bec5/4052711720/il_794xN.4052711720_lxyr.jpg,Clothing,"[[], []]",https://www.etsy.com/in-en/listing/1278858051/silk-kimono-short-kimonos-duster-jacket?click_key=eaabf25c2978f956580071f2cfca8411b1c7fe0b%3A1278858051&click_sum=029ea6c0&ref=shop_home_active_7&frs=1
