Shop Name,Owner,location,Description,Review,Sales,Item Types,Reviews
1720design,Jade McDonald,"Deal, United Kingdom","Handmade cards, keepsakes and favours. Made to order.
                                ",4.9803,5240,"['cards', 'Cake Toppers', 'Stickers', 'Swing Tags', 'Baubles', 'Keyrings', 'Flutes/ Glasses', 'Prints', 'Wedding', 'Invites & Stationary']","[['ellie', '5', 'excellent quality picture came out perfect'], ['Tiffany', '5', 'Super! Will order again. Very pretty and cute addition to favours'], ['Abbie', '5', ""Amazing toppers, only thing would've preferred the sticks weren't already attached as I used some at bottom of cake.\n\nWould recommend!""], ['Paula', '5', 'Exactly what I ordered and arrived quickly. Thanks'], ['rawkgal1', '5', 'Thank you quality is nice'], ['hannahrcommins', '5', 'Lovely card, great seller. thank you'], ['natalie wood', '5', 'Great service and delivered quickly as needed for a certain date. My daughter loved her friends accessories on the cake. Totally made the cake. Definitely recommend.'], ['Helen', '5', 'Really lovely keyrings, daughters delighted! Thank you!'], ['Helen', '5', 'Very lovely keyrings daughters delighted! Thank you!'], ['hannahlouise269', '5', 'Good quality and super quick delivery!']]"
360pixels,SHUBHAM SINGH,"New York, United States","Digital
                                ",0,0,[],[]
3dPrintablesIndia,Ayush Tyagi,N/A,"3D Printable Models
                                ",0,0,[],[]
3rdEyeArtsEmporium,Third Eye Arts,"London, United Kingdom","The Magic & Mystery of South India......
                                ",0,0,[],[]
6degreesindia,divesh tejwani,"Nashik, Maharashtra","We have  made coffee easy to use and easy to drink
                                ",0,0,[],[]
7StarIndia,Manoj Jaiswal,"Pune, Maharashtra","Fonts, Mockups, Design Services
                                ",4.75,19,"['Fonts', 'eBook', 'Fonts Bundles', 'Graphics Design']","[['Q', '5', 'fast delivery and content relevant'], ['Shannon', '4', ""This is a fantastic deal for what is provided. I'm new to using this type of mockup so it wasn't easy at first. It would be nice if a link to more instructions or a video would really help.  Otherwise, well done!  A great deal!""], ['Leo', '5', 'I am happy with purchase'], ['Jessi', '5', 'This bundle is great! So many different fonts that look very elegant']]"
925india,Neha Agarwal,"Jaipur, Rajasthan","925 Silver Jewelry
                                ",4.6175,1038,"['On sale', 'Silver Pendant', 'Copper Wire Jewelry', 'Macrame Jewelry', 'Adjustable Ring', 'Silver Ring', 'Vintage Ring', 'Vintage Pendant', 'Spinner Ring', 'Poison Ring', 'Necklace', 'Bracelet']","[['Tina', '5', 'Absolutely beautiful piece. Love my purchase ❤️ 💕.'], ['Sandra Ann Pope', '5', 'Very nice took a while to arrive but looks nice quality thankyou'], ['Sign in with Apple user', '5', 'Great deal!'], ['francisco', '5', 'Same as description allí silver'], ['christinex1001', '5', 'Very pretty ring! The details on the setting and the stone are even nicer in person. :-)'], ['Frances', '5', 'Very pretty and looking forward to wearing it.'], ['Ahmed', '5', 'Happy to have these item'], ['Curtis', '4', ""Very beautiful and nice quality! The wire wrapping was very beautifully done. I'm really pleased and happy with this pendant! Thank you so much!""], ['Sheryl', '5', 'Fast shipping, great quality item.'], ['nina viviana', '5', 'Beautiful piece just like in the photo!!!']]"
99Herbs,ainku,"Tallinn, Estonia","Incense without the smell of incense. Pure, non-toxic.
                                ",4.9512,1129,[],"[['Roswitha', '5', 'exactly my taste. Thank you very much'], ['Chris', '5', 'LOVE these. 100% will be buying from again.'], ['Daniela', '5', 'The rieDie chen unbelievably good! I am very satisfied.'], ['Stephen', '5', 'Amazing packaging, great communication from the seller and good smells!'], ['Daynelys', '5', 'Lovely! Bought some for my partner and he loves them.'], ['Daniel', '5', 'Loved the quality on these incenses'], ['Edwin', '5', 'Amazing quality and scent, i really love this incense. Turned around and ordered a bunch of other scents all have been really worth the money.'], ['Alessandro', '5', 'Very good'], ['izthewiz62', '5', 'Excellent incense, with a delicious and lasting scent.'], ['izthewiz62', '5', 'Excellent incense, which smells deliciously good, and whose scent lasts long enough.']]"
A1FashionIndia,Suraj,"Jaipur, Rajasthan","Cushions-Bolsters-Pouf Covers- CUSTOM MADE Products
                                ",0,0,[],[]
A2iMart,Mamta,N/A,"UNIQUE HOME DECOR AND SENSY GIFTS
                                ",0,0,[],[]
AadhyaSilver,Priyadarshan Pallavi,"Varanasi, Uttar Pradesh","Customizable handmade sterling silver jewelry.
                                ",0,0,[],[]
aakritihandmadeMYS,Ashwini girimaji,"Mysore, Karnataka","Handmade and customised creations
                                ",0,0,[],[]
AALAAindia,Jaskirat,India,"Car mirror hanging accessories
                                ",4.3333,31,"['Sculpture', 'Car mirror ornaments']","[['Doctor', '5', ""Beautiful work by Jaskirat for my special order Buddha sculpture. Took a little bit longer than expected, but there was constant communication throughout the process and he took great care to make sure everything was delivered perfectly. Could not be happier with the finished product. Thanks man! If you're considering one of his works, just go for it. Super unique and special.""], ['Sherry', '5', 'I shipped directly to my gift recipient,  and it was recieved promptly and happily. Thank you!'], ['Nate', '5', 'Absolutely beautiful Buddha serves as a tranquil reminder. Very unique style which lets the mind absorb the abstract feeling of a piece vs. pointing and naming. \nJaskirat is a gem of a human and was very helpful in all parts of the ordering process.\nLooking forward to seeing what else they make after the current covid climate and hope all is well.'], ['Prasena', '5', 'Many thanks for your kind and efficient service. Great quality and so beautiful😍'], ['colleen', '5', 'The seller was extremely helpful, and my package arrived perfectly. Thank you so much!!'], ['T', '5', 'bought this for my mom.  she just texted saying it arrived in perfect condition, ""it\'s gorgeous and very unique!""\n\n(bows)\n\nthank you!'], ['Daniel', '4', 'Great piece, but arrived broken and I had to repair it- looks OK, but not 100%.'], ['Akwasi', '5', 'N/A'], ['stac9861', '5', 'N/A'], ['Akwasi', '5', 'N/A']]"
Aamnagemsart,Mhommad,"Jaipur, Rajasthan","Special Big Sale 70% Off Discount On All Items
                                ",5,538,"['On sale', 'Ethiopian Opal', 'Ethiopian Opal Raw', 'Labradorite / Sapphire', 'Dendritic Opal', 'Charoite', 'Howlite', 'Rainbow Jasper', 'Aquamarine', 'Rutile / Rose quartz', 'Moss Agate', 'Onyx / Sunstone', 'Abalone Shell', 'Unakite']","[['Angela', '5', 'Amazing cabochon thank you so much! 🤗🙏🌟'], ['Angela', '5', 'Amazing cabochon thank you so much!! 🤗🙏🌟'], ['Angela', '5', 'Amazing cabochon thank you so much!! 🤗🌟🙏'], ['Angela', '5', 'Amazing cabochon thank you so much!! 🤗🙏🌟'], ['Angela', '5', 'Very beautiful and very high quality!! I love it thank you so much!! 🤗💗🌟'], ['Quinn', '5', 'beautiful stones, speedy delivery , very happy customer.'], ['Dana', '5', 'a Fabulous amount of rough opals tons of lovely colours, very happy'], ['Dana', '5', 'lovely variation in colours of natural gemstones from pink to red'], ['Francisco', '5', 'N/A'], ['Julie', '5', 'N/A']]"
AamoriIndia,Paghna,"Mumbai, Maharashtra","art, decor, fabric & more handmade, for you & your home
                                ",0,0,[],[]
AanganofIndia,Hiral Sumit Patel,"Maryland, United States","Curated collection of Indian wear, home decor & gifts!!
                                ",4.7289,3087,"['On sale', 'Rakshabandhan Rakhi', 'Beaded curtains', 'Door decor (Toran)', 'Window & wall decor', 'Designer Candle(Rangoli)', 'Wedding & Party-Garlands', 'Summer Leggings & Pants', 'Indian kurtis', 'Maxi dresses', 'Indian Ethnic dresses', 'Midi dresses', 'Wedding & party favors', 'Labh shubh stickers', 'Cotton jackets', 'Designer Scarf', 'Vintage bags', 'Pillow covers', 'Craft making material', 'Other']","[['Nirali', '4', 'Rakhi is good..it comes with kumkum and chaval..and one small cute card..packed in little bag'], ['Yashna', '5', 'Excellent product and fast delivery'], ['Neha', '5', 'The product quality is excellent. And it was delivered as described and within 2 days of the order being placed. Thanks for the great service.'], ['Josephine', '5', 'Arrived on time and was perfect for what I needed. Thank you!'], ['Vidya', '5', 'They are simply beautiful perfect for my Pooja place'], ['Vidya', '5', 'They are simply beautiful thank you'], ['Vidya', '5', 'They are simply beautiful I love it perfect for my Diwali thank you'], ['Vidya', '5', 'They are simply beautiful I love it perfect for my Diwali thank you'], ['Nitika', '5', 'Beautiful Rakhi..Arrived on time.'], ['Sahana', '5', 'Absolutely Beautiful. Just loved it']]"
AasmaanIndia,Priyanka Achhpeliya,"Vizag, Andhra Pradesh","Handcrafted artisanal sustainable casual wear for women
                                ",0,0,[],[]
AbeoIndia,Abeo India,"Kolkata, West Bengal","I Bring Joy
                                ",0,0,[],[]
AbmgemsIndia,Farhan,"Jaipur, Rajasthan","abm gems india
                                ",0,0,[],[]
AbsoluteFashionIndia,Dheeraj,"New Delhi, Delhi","One stop Latest Fashionable Style & Quality Above All !
                                ",0,0,[],[]
