Shop Name,Shop Description,Item Count,product url
1720design,"Handmade cards, keepsakes and favours. Made to order.",95 items,https://www.etsy.com/in-en/shop/1720design
360pixels,Digital,4 items,https://www.etsy.com/in-en/shop/360pixels
3dPrintablesIndia,3D Printable Models,0 items,https://www.etsy.com/in-en/shop/3dPrintablesIndia
3rdEyeArtsEmporium,The Magic & Mystery of South India......,2 items,https://www.etsy.com/in-en/shop/3rdEyeArtsEmporium
6degreesindia,We have  made coffee easy to use and easy to drink,0 items,https://www.etsy.com/in-en/shop/6degreesindia
7StarIndia,"Fonts, Mockups, Design Services",4 items,https://www.etsy.com/in-en/shop/7StarIndia
925india,925 Silver Jewelry,2876 items,https://www.etsy.com/in-en/shop/925india
99Herbs,"Incense without the smell of incense. Pure, non-toxic.",11 items,https://www.etsy.com/in-en/shop/99Herbs
A1FashionIndia,Cushions-Bolsters-Pouf Covers- CUSTOM MADE Products,0 items,https://www.etsy.com/in-en/shop/A1FashionIndia
A2iMart,UNIQUE HOME DECOR AND SENSY GIFTS,4 items,https://www.etsy.com/in-en/shop/A2iMart
AadhyaSilver,Customizable handmade sterling silver jewelry.,0 items,https://www.etsy.com/in-en/shop/AadhyaSilver
aakritihandmadeMYS,Handmade and customised creations,3 items,https://www.etsy.com/in-en/shop/aakritihandmadeMYS
AALAAindia,Car mirror hanging accessories,8 items,https://www.etsy.com/in-en/shop/AALAAindia
Aamnagemsart,Special Big Sale 70% Off Discount On All Items,347 items,https://www.etsy.com/in-en/shop/Aamnagemsart
AamoriIndia,"art, decor, fabric & more handmade, for you & your home",2 items,https://www.etsy.com/in-en/shop/AamoriIndia
AanganofIndia,"Curated collection of Indian wear, home decor & gifts!!",381 items,https://www.etsy.com/in-en/shop/AanganofIndia
AasmaanIndia,Handcrafted artisanal sustainable casual wear for women,10 items,https://www.etsy.com/in-en/shop/AasmaanIndia
AbeoIndia,I Bring Joy,2 items,https://www.etsy.com/in-en/shop/AbeoIndia
AbmgemsIndia,abm gems india,0 items,https://www.etsy.com/in-en/shop/AbmgemsIndia
AbsoluteFashionIndia,One stop Latest Fashionable Style & Quality Above All !,31 items,https://www.etsy.com/in-en/shop/AbsoluteFashionIndia
AchernarLeatherShop,"Leather Shoes, Leather Mask with Fliter, Leather Totes",65 items,https://www.etsy.com/in-en/shop/AchernarLeatherShop
AddyaIndia,"Addya 

Comfortable Work & leisure wear.",10 items,https://www.etsy.com/in-en/shop/AddyaIndia
ADietitianGetsCrafty,Handmade products with nutrition flare,8 items,https://www.etsy.com/in-en/shop/ADietitianGetsCrafty
AdornIndia,Combining Indian ethnicity with our favourite jewellery,8 items,https://www.etsy.com/in-en/shop/AdornIndia
AeranJewellersIndia,"Antique Jewellery, Beads, Gemstones,  Silver Antique",2 items,https://www.etsy.com/in-en/shop/AeranJewellersIndia
AFEWGOODTHINGSIndia,A retail therapy for your creative soul!,0 items,https://www.etsy.com/in-en/shop/AFEWGOODTHINGSIndia
AfricanGemsIndia,Africangemsindia ,935 items,https://www.etsy.com/in-en/shop/AfricanGemsIndia
Agapecoutureindia,Agape Couture India,36 items,https://www.etsy.com/in-en/shop/Agapecoutureindia
AgarwalgemsIndia,"Manufacturer, Wholesaler of Semiprecious Gemstone Beads",192 items,https://www.etsy.com/in-en/shop/AgarwalgemsIndia
AGJewelryIndia,AG Jewelry India,222 items,https://www.etsy.com/in-en/shop/AGJewelryIndia
AISHWARIYACREATION,Fashion for YOU,13 items,https://www.etsy.com/in-en/shop/AISHWARIYACREATION
AJDIAMONDSINDIA,Handmade Jewelry That Makes You Proud.,70 items,https://www.etsy.com/in-en/shop/AJDIAMONDSINDIA
AKSHATIndia,always keeps you one step ahead..,128 items,https://www.etsy.com/in-en/shop/AKSHATIndia
akwaycraft,AKWAY,0 items,https://www.etsy.com/in-en/shop/akwaycraft
AlbatrossIndia,Life is a fashion show the world is your runway ..,31 items,https://www.etsy.com/in-en/shop/AlbatrossIndia
AlemJewels,"Handmade 925 Silver Jewelry with Natural Gemstones,",49 items,https://www.etsy.com/in-en/shop/AlemJewels
algourigems,Kyanite Hub,294 items,https://www.etsy.com/in-en/shop/algourigems
AlibabaGemsIndia,We are Manufacturer wholesaler of Beautiful Gemstone,56 items,https://www.etsy.com/in-en/shop/AlibabaGemsIndia
AliceAndIndia,Handmade treasures for the soul ✨,31 items,https://www.etsy.com/in-en/shop/AliceAndIndia
ALIFHANDICRAFTINDIA,Handmade antique home decor & nauticals,117 items,https://www.etsy.com/in-en/shop/ALIFHANDICRAFTINDIA
AliJewellesCo,All Kinds Of Gemstones And Jewellery,120 items,https://www.etsy.com/in-en/shop/AliJewellesCo
ALittleBitofSummer,A Little Bit of Summer ... Summertime fun year round!,260 items,https://www.etsy.com/in-en/shop/ALittleBitofSummer
AlizaDesignerBoutiqu,"Ethnic Indian Store, Sarees, Jewelry, Suits and more",116 items,https://www.etsy.com/in-en/shop/AlizaDesignerBoutiqu
allAboutFantasy,Beautiful Fantasy Stuff.,19 items,https://www.etsy.com/in-en/shop/allAboutFantasy
